title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Gmork (Dadub Tool),Lucy & Walter Ercolino,Gmork / So The Nothing Grows Stronger,0.15240265429000000,0.8475973606110000,0.887963235378,0.00313304713927,0.00428835954517,0.0145922284573,0.025969548150900000,0.0173845347017,0.0429879538715,0.00368110300042,0.0634594783187,0.0550346933305,0.162474438548,0.102610766888,0.61642062664,0.261866271496,0.738133728504,0.6763856410980000,0.323614358902,0.57572722435,64.98123168950000,spotify:track:0JD3wrgzSc8CT8dQkGQDrg,2,14,16,17,20,1
Export 1,Owen Pallett,Export,0.0235379487276,0.976462066174,0.639891982079,0.0070699560456,0.0772555992007,0.123378165066,0.0103057781234,0.0914779379964,0.00500158499926,0.0456189922988,0.195921286941,0.0939917266369,0.199329927564,0.046540386974800000,0.464216679335,0.887000322342,0.112999670208,0.00203551421873,0.997964501381,0.794683039188,66.2560043335,spotify:track:6v5pqSPtSuLcgsULy6WUlN,2,14,15,18,20,1
Eclipse,Herbst9,:Eta Carinae:,0.0125545393676,0.987445473671,0.581000089645,0.00870844069868,0.0270828977227,0.0301743857563,0.034377470612500000,0.194574788213,0.0598939284682,0.0641879811883,0.0612040534616,0.0644849017262,0.397198498249,0.0743883177638,0.402724206448,0.00378998182714,0.996210038662,0.8496986627580000,0.15030130744,0.486726552248,67.7774963379,Not Found,2,14,16,17,20,1
untitled,Alva Noto,Prototypes,1.24294110719E-05,0.999987542629,0.962958574295,0.0012407883768900000,0.00231480551884,0.026367258280500000,0.0008139602141450000,0.00284683890641,0.0007382167968900000,0.00271953595802,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.192677289248,0.807322740555,0.8480732440950000,0.15192675590500000,0.0773561373353,74.33936309810000,Not Found,2,14,16,17,20,1
Stay,Low,Long Division,0.011350598186300000,0.988649427891,0.617077052593,0.00721187610179,0.0232317000628,0.2364461869,0.0205326788127,0.0745434165001,0.00708886282519,0.0138682061806,0.172280877829,0.210706010461,0.221825689077,0.0955739691854,0.2996134758,0.283016353846,0.716983675957,0.7588425278660000,0.241157442331,0.0296303220093,74.4515914917,spotify:track:1Nhb2W4BXDTdSbNBw0BxVd,2,14,16,17,20,1
Green Planet,Washington Dead Cats,The Beast Off,0.34667879343,0.6533212065700000,0.402218341827,0.0137830357999,0.306073069572,0.102964937687,0.0324891805649,0.039994686842,0.0946043357253,0.00787241291255,0.0848362743855,0.137096583843,0.109409704804,0.158907458186,0.509749948978,0.786904096603,0.213095888495,0.118935450912,0.8810645341870000,0.7217696905140000,74.9549865723,spotify:track:7JbmbRMCsKXWeFrI4MtZjY,2,14,15,18,20,1
Feelin This Shit...,E-Life,E=MC²,0.180617153645,0.819382846355,0.587320446968,0.0161529891193,0.15327039361,0.048282302916,0.0306986048818,0.042487736791400000,0.035622369498,0.0861651673913,0.139283806086,0.114742554724,0.026528570801,0.0921301543713,0.627314925194,0.101970560849,0.898029446602,0.000359435856808,0.999640583992,0.502946257591,77.76317596440000,Not Found,2,14,16,18,20,1
"What Does Your Soul Look Like, Part 1: Blue Sky Revisit / Transmission 3",DJ Shadow,Endtroducing.....,0.161232098937,0.838767886162,0.348293870687,0.0151292867959,0.157473608851,0.162643134594,0.0934388563037,0.119679428637,0.0576011613011,0.0457406714559,0.07378684729340000,0.0922561809421,0.27225407958000000,0.105385266244,0.4563176333900000,0.0209201574326,0.979079842567,0.990133106709,0.00986691471189,0.761567771435,77.8892288208,Not Found,2,14,16,17,20,1
"What Does Your Soul Look Like, Part 1: Blue Sky Revisit",DJ Shadow,Endtroducing.....,0.162266910076,0.8377330899240000,0.4387744069100000,0.0193739123642,0.0972405225039,0.06683520227670000,0.0802845209837,0.176756888628,0.07365315407510000,0.0470814071596,0.0520615652204,0.0847059264779,0.329068779945,0.128743126988,0.40542063117,0.0420126765966,0.957987308502,0.909288048744,0.0907119438052,0.78349596262,77.9402923584,Not Found,2,14,16,17,20,1
Danse Macabre,Celtic Frost,Morbid Tales,3.00000096379E-14,1.0,0.297834903002,0.0171183273196,0.180345147848,0.104711711407,0.07373091578480000,0.116747349501,0.060047712177,0.149463951588,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,6.3999214035E-05,0.999935984612,0.993587136269,0.00641284277663,0.170676037669,78.006477356,spotify:track:56iyJoi7vW5rKgZwWD4S8v,2,14,16,17,20,1
