title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
La Folie verte,Blood Axis & Les Joyaux de la Princesse,Absinthia Taetra,0.0282263495028,0.97177362442,0.972084820271,0.000365436339052,0.00011621757585100000,0.00816889479756,0.00201701163314,0.00233060424216,0.00646895030513,0.00844807736576,0.0716644972563,0.08363352715970000,0.439801871777,0.215981706977,0.188918381929,0.923141717911,0.0768582597375,0.927712738514,0.0722872614861,0.89262342453,109.095153809,Not Found,2,12,15,17,19,1
The Captain,Slow Bird,Chrysalis,0.0170606393367,0.982939362526,0.494809746742,0.007437675260010000,0.0102217551321,0.0516495630145,0.255720436573,0.116422586143,0.050710014998900000,0.0130282109603,0.07543546706440000,0.226159214973,0.553957760334,0.10058093071,0.0438666529953,0.7891688346860000,0.210831150413,0.986773729324,0.0132262827829,0.5999214053150000,109.148780823,spotify:track:3kAoW3xEmqZS7LOAqwmShI,2,12,15,17,19,1
Suite No 4 En Ré Majeur Pour Basse De Viole & Clavecin - La Folette,Marin Marais,Marais: Sonnerie De Sainte-Genevieve Du Mont De Paris - Suites Pour Violes,0.199094638228,0.8009053468700000,0.841916620731,0.009287886321540000,0.00992364250124,0.0580702647567,0.0250899773091,0.0272816158831,0.0076001239940500000,0.0208298899233,0.0876845866442,0.121401779354,0.675323367119,0.0802888274193,0.0353014394641,0.544187545776,0.455812484026,0.964754700661,0.035245299339300000,0.742719888687,109.235351563,Not Found,2,12,15,17,19,1
Opkropper,Kreng,Grimoire,0.0111293904483,0.988870620728,0.836139321327,0.00214567687362,0.0193540323526,0.105134345591,0.00247137015685,0.0271884314716,0.00329460506327,0.00427221646532,0.106838949025,0.337715476751,0.366553425789,0.130554527044,0.0583375990391,0.902982413769,0.0970176011324,0.972643971443,0.027356011793,0.0193939041346,109.25274658200000,spotify:track:3J1rUm2ISBrHozaGHUZyGV,2,12,15,17,19,1
Mean To Me,Billie Holiday / Lester Young,Lady Day &amp; Pres 1937-1941,0.00367176695727,0.996328234673,0.573325991631,0.000925036263652,0.00360917672515,0.34735926985700000,0.00374128879048,0.0171813592315,0.00159208546393,0.0522658117115,0.08676305413250000,0.15422531962400000,0.466717272997,0.249648213387,0.0426461361349,0.506194889545,0.493805080652,0.99085354805,0.00914646219462,0.6074277758600000,109.276924133,Not Found,2,12,15,17,19,1
The Meadows of Light,Lacrimas Profundere,La naissance dun rêve,0.00801689829677,0.991983115673,0.835435986519,0.00178466783836,0.00170277326833,0.048738278448600000,0.0201616808772,0.0772959068418,0.0122610898688,0.00261961086653,0.137730926275,0.180845707655,0.361532270908,0.153190270066,0.166700839996,0.984904706478,0.0150952925906,0.957056462765,0.0429435260594,0.590057373047,109.379394531,Not Found,2,12,15,17,19,1
Folsom Prison Blues (5),Johnny Cash,The Man in Black: 1954-1958 (Disc 1),0.133344188333,0.8666558265690000,0.491302609444,0.0025289200712,0.0501534864306,0.137221097946,0.0141259683296,0.277264177799,0.007568805478510000,0.0198349412531,0.0515588149428,0.299627006054,0.348898231983,0.256715685129,0.0432002432644,0.999999165535,8.44640908326E-07,0.6897202134130000,0.310279786587,0.780106246471,109.51733398400000,spotify:track:6pPmgSgrdWMemkmpRWO2aQ,2,12,15,17,19,1
Awake and Sleeping,Winterlight,Hope Dies Last,5.0123355777E-07,0.999999523163,0.846534073353,0.00216986774467,0.00122382375412,0.0475757941604,0.0129557317123,0.0478046685457,0.036205984652,0.00553007749841,0.0559170469642,0.06253376603130000,0.711085855961,0.125638127327,0.0448252223432,0.8778150677680000,0.122184962034,0.999999940395,7.21951352034E-08,0.945068120956,109.716171265,spotify:track:1l0inhtAKa142vPOyzGLJv,2,12,15,17,19,1
Mutual Friend,Drunk,Soreness of Legs,0.0496391169727,0.950360894203,0.337870508432,0.0181261077523,0.0349980965257,0.285117536783,0.0568593814969,0.220050632954,0.0289445817471,0.018033163622,0.06909318268300000,0.0665192976594,0.6500721573830000,0.15976524353,0.0545501075685,0.7750625610350000,0.224937409163,0.957046806812,0.0429531894624,0.205056488514,109.74011993400000,spotify:track:5JuW9KDh3iTGSEgy6DAkGx,2,12,15,17,19,1
Hellraiser,Coil,Gold Is the Metal (With the Broadest Shoulders),0.391235083342,0.6087648868560000,0.541874527931,0.0256929695606,0.0588008873165,0.0701561197639,0.110223650932,0.0404059775174,0.114297144115,0.0385487228632,0.0692895948887,0.15926164388700000,0.349073469639,0.215745314956,0.206629991531,0.7202302813530000,0.27976968884500000,0.995103538036,0.00489644659683,0.8430098295210000,109.79506683300000,Not Found,2,12,15,17,19,1
"Suite No. 1 G-Dur, BWV 1007: IV. Sarabande",Johann Sebastian Bach,Bach: Hänssler Edt. Vol.41: Werke Für Violine Und Violoncello Solo (Disc3: Suiten Für Violoncello Solo),0.007678134832530000,0.992321848869,0.94589304924,0.00260930042714,0.00455383397639,0.0244462545961,0.003104539355260000,0.00936257932335,0.00227868254296,0.00775176798925,0.0364173166454,0.0928661301732,0.715146899223,0.149721756577,0.0058478824794300000,0.885966658592,0.114033326507,0.999999582767,3.96896069788E-07,0.617137432098,109.834350586,spotify:track:1NyDgSWCV9elWa2h77eSl4,2,12,15,17,19,1
