title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Mood Indigo,Sidney Bechet and His New Orleans Feetwarmers,The Sidney Bechet Story,0.0054854019545,0.994514584541,0.842506408691,0.00170857622288,0.006773584522310000,0.08027441799640000,0.00456459401175,0.0203952454031,0.001872684923,0.0419045053422,0.101321853697,0.18478885293,0.510753512383,0.185111448169,0.018024332821400000,0.711246669292,0.288753330708,0.999999880791,1.29104790858E-07,0.604381799698,67.0002212524,spotify:track:76eM6DkyviV22Gko4uHmEv,2,12,15,17,20,1
Here Comes,Melanie Oxley & Chris Abrahams,Welcome to Violet,0.00666848523542,0.993331491947,0.537169933319,0.00166469090618,0.00196456117555,0.333214908838,0.0323432870209,0.0779513046145,0.00665116822347,0.0090401340276,0.0583958998322,0.0695764571428,0.746019005775,0.115794494748,0.0102141210809,0.891948759556,0.108051225543,0.5371763110160000,0.462823718786,0.211276829243,68.3017044067,Not Found,2,12,15,17,20,1
Nobody Knows the Way I Feel Dis Morning,Red Onion Jazz Babies,The Sidney Bechet Story,2.46326931119E-06,0.99999755621,0.855737268925,0.000926841981709,0.00127219967544,0.07417506724600000,0.00387996411882,0.00715138297528,0.00205458654091,0.054802689701300000,0.100826844573,0.292071193457,0.319495469332,0.264608830214,0.0229976736009,0.759555578232,0.240444391966,0.978544712067,0.021455315873,0.706101596355,72.4646682739,Not Found,2,12,15,17,20,1
Defrost Your Heart (demo version),Charlie Feathers,Cant Hardly Stand It! (Disc 2),0.0573389008641,0.942661106586,0.7898151874540000,0.00185524311382,0.0166700109839,0.108707159758,0.00599362747744,0.05947001650930000,0.0072911409661200000,0.0101976133883,0.0376112051308,0.0722914487123,0.7424651980400000,0.123045533895,0.0245866347104,0.659239530563,0.340760439634,0.573719441891,0.426280558109,0.343758761883,74.6804122925,Not Found,2,12,15,17,20,1
Where No One Stands Alone,Floyd Cramer,Sounds of Sunday,0.0526164285839,0.947383582592,0.568080246449,0.00198504514992,0.0028635829221500000,0.108496427536,0.0475090742111,0.255992949009,0.010226777754700000,0.00484588835388,0.0534694008529,0.132882446051,0.603630006313,0.193864792585,0.016153331846,0.999999701977,3.02281534914E-07,0.940065205097,0.0599347837269,0.563533008099,76.8397521973,Not Found,2,12,15,17,20,1
House of Incest,All My Faith Lost ...,The Hours,0.00297416723333,0.997025847435,0.750862181187,0.00879092421383,0.005498083774,0.07945736497640000,0.0392094068229,0.0644882693887,0.0456506609917,0.00604310305789,0.117451377213,0.27064433693900000,0.402946859598,0.07963569462300000,0.129321724176,0.903508663177,0.0964913219213,0.9007036089900000,0.0992964059114,0.6792908310890000,77.2068099976,spotify:track:1MawTfGQx898sl9avhQ3dx,2,12,15,17,20,1
"Sonata no. 5, op. 12: II. Elegia",Alexander Vasilievich Mosolov,"Russian Futurism, Volume 1: Alexander Mosolov: Piano Works",1.52812226588E-05,0.999984741211,0.914563298225,0.000457044545328,0.00156796665397,0.07187166064980000,0.00088711961871,0.0076851490885,0.000454202760011,0.00251357839443,0.114522464573,0.212640359998,0.36732262373,0.138875082135,0.166639462113,0.687938630581,0.312061339617,0.999993443489,6.55265785099E-06,0.00101439456921,77.99258422850000,Not Found,2,12,15,17,20,1
"Concerto in G major, H. 405, Wq. 3: II. Adagio","Concerto Armonico, Péter Szűts direttore artistico, Miklós Spányi cembalista e direttore artistico","The Complete Keyboard Concertos, Volume 1",0.198906049132,0.801093935966,0.835739016533,0.00985869672149,0.0322607457638,0.056354049593200000,0.0175443179905,0.023542592302,0.008301539346580000,0.0163990389556,0.0866219773889,0.122793160379,0.379092872143,0.0772494152188,0.334242582321,0.524783551693,0.475216418505,0.995268344879,0.00473167095333,0.0216899067163,78.2923431396,Not Found,2,12,15,17,20,1
Texas Moaner Blues,Clarence Williams Blue Five,The Sidney Bechet Story,0.030760018155,0.969240009785,0.962323129177,0.000357123411959,0.00101402658038,0.00924201961607,0.000900826591533,0.00283630867489,0.0005471216281880000,0.0227794330567,0.143072903156,0.227901935577,0.346984118223,0.261399328709,0.0206417404115,0.88564735651,0.114352665842,0.991524219513,0.00847578980029,0.907311141491,78.49308776860000,spotify:track:6bHLRSv45A6WViScF5ADhU,2,12,15,17,20,1
"15. Wassenaer Unico van, 6 Concerti Armonici,  No 3 La majeur A Largo-Andante",Van Wassenaer6 Concerti Armonici,Van Wassenaer6 Concerti Armonici,0.0359653420746,0.964034676552,0.749284625053,0.00229264330119,0.00200371071696,0.178298681974,0.0181785225868,0.0455579273403,0.00352661218494,0.0008572555379940000,0.0543229877949,0.0994339883327,0.715764462948,0.106798410416,0.0236801542342,0.6777780056,0.3222219944,0.999990522861,9.46645195654E-06,0.590766906738,78.68895721440000,Not Found,2,12,15,17,20,1
Requiem for Baxter,Ari Pulkkinen,Shadowgrounds (OST),0.0594551451504,0.940544843674,0.548869729042,0.005523625295610000,0.00261939363554,0.0596003271639,0.17450453341000000,0.152179077268,0.0527404770255,0.00396280968562,0.0988875105977,0.192724496126,0.495264083147,0.170165032148,0.0429588705301,0.594321012497,0.405678987503,0.7947598099710000,0.205240190029,0.70812356472,79.8294677734,Not Found,2,12,15,17,20,1
Kashmir,Ottmar Liebert,Little Wing,0.0104856463149,0.989514350891,0.414274930954,0.0051481775008100000,0.0157960932702,0.238693997264,0.0490572936833,0.252516239882,0.0073455204255900000,0.017167758196600000,0.0951482728124,0.14409020543100000,0.3688340783120000,0.103426992893,0.288500458002,0.8629008531570000,0.137099161744,0.990847885609,0.00915209390223,0.12425146997,79.9758377075,spotify:track:2XiOvlwqrDaAQfrLw9d4ES,2,12,15,17,20,1
Gorilla Variation 1 (For Eder Santos),Molly Berg & Stephen Vitiello,The Gorilla Variations,0.0027029896155,0.997296988964,0.95462757349,0.0010740904836,0.0005894940113650000,0.0302878487855,0.00277913291939,0.00334369763732,0.00209173886105,0.00520641589537,0.0723575130105,0.103838987648,0.44619935751,0.0860325023532,0.291571646929,0.764782488346,0.235217526555,0.997283816338,0.00271619530395,0.454682290554,80.54402160640000,spotify:track:0WGr59g87Xrv85LpDYGG57,2,12,15,17,20,1
My Love Goes Free,Jon Foreman,Fall,1.64449029398E-05,0.999983549118,0.662828266621,0.0013833177508800000,0.000486238655867,0.318175435066,0.00854676216841,0.00495666265488,0.00210602139123,0.00151728570927,0.0925269052386,0.222941800952,0.413034647703,0.240998491645,0.0304981544614,0.743986606598,0.256013423204,0.8939242362980000,0.106075748801,0.854411244392,80.6473922729,spotify:track:74kaI8yronM2r2b1K3mrfs,2,12,15,17,20,1
West Memphis 3,Nick Cave & Warren Ellis,West of Memphis,0.00370319373906,0.996296823025,0.983508169651,0.000957672891673,0.000364225910744,0.0100583918393,0.00164425873663,0.00177644670475,0.0008160586585290000,0.000874802528415,0.0484939627349,0.07422098517420000,0.685395121574,0.182875290513,0.009014624170960000,0.999997854233,2.16604735215E-06,0.999984264374,1.57474296429E-05,0.876291632652,81.3612823486,Not Found,2,12,15,17,20,1
Blues With Drums,Ritchie Valens,"Come on, Lets Go (Disc 2)",0.16503624618100000,0.834963738918,0.380457431078,0.0142170749605,0.0269647426903,0.315415471792,0.0386291705072,0.16402599215500000,0.0197477303445,0.0405424050987,0.149742364883,0.284303039312,0.30877116322500000,0.237896546721,0.0192868951708,0.952056586742,0.0479434095323,0.875794947147,0.12420502305,0.636207520962,81.7251663208,Not Found,2,12,15,17,20,1
