title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Het Is Laat,Bløf,Het Eind Van Het Begin (Disc 2: Ballads),0.00484377006069,0.995156228542,0.396635830402,0.00378630566411,0.011413971893500000,0.366598308086,0.0103592379019,0.168475046754,0.00455316714942,0.0381781198084,0.0322287268937,0.048754427582,0.8000786900520000,0.0977882370353,0.021149944514000000,0.916088521481,0.08391147851940000,0.000379686622182,0.999620318413,0.00400834716856,109.20391082800000,spotify:track:2tePKxSjIOYCb3LwAWZard,2,12,15,18,19,1
Gypsy Davy,Woody Guthrie,"The Asch Recordings, Volumes 1-4",0.0193157028407,0.980684280396,0.902616500854,0.000907182693481,0.00713319377974,0.0136555386707,0.00268734502606,0.0525658093393,0.0045193224214,0.015915116295200000,0.0297138281167,0.159143909812,0.695334792137,0.0920084118843,0.0237990636379,0.935780704021,0.06421927362680000,0.295900911093,0.704099059105,0.505115568638,109.437156677,spotify:track:2cnkGSDCfFaWhc5h3jaWaO,2,12,15,18,19,1
Mama,Roy Orbison,Roy Orbison’s Greatest Hits,0.0377879403532,0.962212085724,0.743486523628,0.00758910086006,0.00664478121325,0.0994070544839,0.0431048423052,0.0593146346509,0.0182263944298,0.0222266446799,0.0520922616124,0.0750662013888,0.730860769749,0.123449251056,0.0185314938426,0.947516024113,0.0524839870632,0.010714944452,0.989285051823,0.808401346207,109.44711303700000,spotify:track:2BtBFfJp78YJ7BFVz3IAWZ,2,12,15,18,19,1
If I Happen to Fall Down,Seagull Screaming Kiss Her Kiss Her,Dying for Seagulls!,0.06382492184640000,0.936175107956,0.594772696495,0.00623776484281,0.00738706300035,0.0243104659021,0.053868301212800000,0.17601467669,0.131407767534,0.006001251284030000,0.0726101770997,0.148142591119,0.410200476646,0.181781455874,0.18726530671100000,0.81015586853,0.189844146371,0.335631638765,0.664368391037,0.776715517044,109.53469848600000,spotify:track:7phuXK9LWYxpHDiUvFBMTe,2,12,15,18,19,1
O písničce,Karel Plíhal,1985 - 1989,0.0467693321407,0.953230679035,0.5222803354260000,0.0127782933414,0.0130765056238,0.151576563716,0.0576715171337,0.21760442853,0.0085123386234,0.0165000427514,0.08434428274630000,0.082858517766,0.5910823345180000,0.181084543467,0.0606303215027,0.999999761581,2.37853058138E-07,0.022679539397400000,0.977320432663,0.8217592835430000,109.58351135300000,spotify:track:6qwGz7rAZxf72eXVIDn1hL,2,12,15,18,19,1
Little Spring,Rocky votolato,Television of saints,0.055508747696900000,0.944491267204,0.394356817007,0.0148458983749,0.0287173781544,0.17044056952,0.0773794874549,0.223395124078,0.040203075856,0.0506616458297,0.0794372931123,0.330083906651,0.41962698102,0.13291823864,0.0379335805774,0.990252673626,0.009747350588440000,0.0105684185401,0.98943156004,0.868833065033,109.66075134300000,Not Found,2,12,15,18,19,1
Under The Radar,Adrian Belew,Side One,0.0128669412807,0.987133085728,0.544947147369,0.00465996703133,0.0072146197781,0.0397036299109,0.0535490773618,0.234073385596,0.07347517460580000,0.0423769690096,0.142830044031,0.26217132806800000,0.381673425436,0.184929177165,0.028396019712100000,0.639936983585,0.36006301641500000,0.0019424459897,0.998057544231,0.798895001411,109.77167511,spotify:track:64b1iOo7A7y5uw8bUvZpUI,2,12,15,18,19,1
"Atto 2 - Scena 1 - Son Pereda, Son Ricco Donore (Carlo)",Giuseppe Verdi,"The Complete Studio Recordings 1949-1969 (Disc 18: Verdi: La Forza Del Destino (Maria Callas, Coro E Orchestra Del Teatro Alla Scala, Milano; Tullio Serafin)",0.23842716217,0.7615728378300000,0.906348586082,0.00102958711796,0.0201899185777,0.0277904681861,0.00200617103837,0.0173357017338,0.00206619943492,0.0232333559543,0.051809258759000000,0.292419105768,0.400805592537,0.15440708398800000,0.100558944046,0.968719959259,0.0312800444663,0.0130317881703,0.98696821928,0.129926219583,109.874687195,Not Found,2,12,15,18,19,1
"Adeste Fideles (O Come, All Ye Faithful)",Andrea Bocelli,Sacred Arias,0.125643029809,0.8743569850920000,0.91992521286,0.0033135805279,0.00576698686928,0.031111355871,0.0084389783442,0.0167818665504,0.00395637238398,0.0107056405395,0.0447397902608,0.207263097167,0.497960358858,0.224949970841,0.0250867959112,0.965214729309,0.0347852669656,0.00852079316974,0.991479218006,0.243315696716,109.900878906,spotify:track:0vnFKE4zpgb24ZwpQaZFfv,2,12,15,18,19,1
Bonny Boy,Susan McKeown,Bushes &amp; Briars,5.61751085115E-06,0.999994397163,0.774309456348,0.00198406260461,0.0060035251081,0.156848356128,0.0260390471667,0.0235188007355,0.00105954345781,0.0102371731773,0.0422527082264,0.150147989392,0.505734026432,0.255126059055,0.0467391945422,0.6653971672060000,0.334602832794,0.00555585511029,0.994444131851,0.445939809084,109.916519165,spotify:track:19FKgC9nLtjVUbg7jBkog6,2,12,15,18,19,1
Desert Garden,VAST,Nude,0.012046309188,0.987953662872,0.426088273525,0.00479862419888,0.017084829509300000,0.274564266205,0.031636767089400000,0.199385553598,0.00927505735308,0.0371666252613,0.051627721637500000,0.191231206059,0.614048182964,0.126050084829,0.0170427840203,0.915461361408,0.08453864604230000,0.00124139536638,0.998758614063,0.0531245656312,109.957725525,spotify:track:0dpEmbOhNuQZwl8aYC9bhH,2,12,15,18,19,1
Weihnachtstraum,Helge Schneider,"The Best of: 22 sehr, sehr gute Lieder (Aber auch Erzählungen)",0.0359074771404,0.964092552662,0.639739871025,0.00558264134452,0.0719931051135,0.144470140338,0.0125719057396,0.0789851844311,0.00410366151482,0.0425535067916,0.0441891551018,0.13689903914900000,0.359875112772,0.225697368383,0.233339339495,0.530232906342,0.469767093658,8.6522573838E-05,0.999913454056,0.0547748059034,110.09838104200000,spotify:track:6lIZIdasaYnYCE8PG2pDak,2,12,15,18,19,1
Think Again (live),Billy Bragg,The Internationale,0.0549842044711,0.945015788078,0.718085408211,0.00235281093046,0.00810116622597,0.0325536094606,0.0155681371689,0.191521927714,0.004462118726220000,0.0273548029363,0.0368575640023,0.35601457953500000,0.391027659178,0.1483528018,0.0677473768592,0.934656858444,0.0653431341052,0.00185058801435,0.998149394989,0.770722270012,110.213150024,spotify:track:1WFVZDGFumnBt3o6ghq5yo,2,12,15,18,19,1
Dead or Alive,Woody Guthrie,"The Asch Recordings, Volumes 1-4",0.0153919104487,0.984608113766,0.764151871204,0.00235708872788,0.009396741166710000,0.166474744678,0.00320743164048,0.0144645785913,0.00448933430016,0.0354581922293,0.07245139777660000,0.127048328519,0.599771142006,0.164954915643,0.0357742197812,0.774580597878,0.225419431925,0.49408864975,0.50591135025,0.010640235617800000,110.310043335,spotify:track:1FO41L3hfEJhFHmvWn9ACs,2,12,15,18,19,1
As I Came in by Huntly Town,Alasdair Roberts,The Crook of My Arm,0.0118946135044,0.988105416298,0.367642015219,0.005405358504500000,0.0125797111541,0.264171928167,0.0732106864452,0.195225566626,0.0150122428313,0.06675249338150000,0.08102662116290000,0.138389542699,0.5688579082490000,0.115958683193,0.0957672297955,0.579865634441,0.420134365559,0.00566549552605,0.994334518909,0.544878661633,110.413772583,spotify:track:1a3uGtkg2TdUOdJFSC9psU,2,12,15,18,19,1
"Atto Primo, Scena III: Coro - DellEusino Con Aura Seconda (Allegro) (Vivaldi)",Antonio Vivaldi,Farnace,0.176367297769,0.823632717133,0.652559697628,0.00805966742337,0.0124079976231,0.0773635134101,0.0676326528192,0.105922937393,0.0369945578277,0.0390589982271,0.103145301342,0.321270823479,0.414308935404,0.114009805024,0.0472651571035,0.8362153768540000,0.163784608245,0.061904914677100000,0.938095092773,0.875894010067,110.416007996,spotify:track:4SaW3HxUHvjce5gjqhFP0B,2,12,15,18,19,1
Pledging My Love,Johnny Ace,Blowing the Fuse: 29 R&B Classics That Rocked the Jukebox in 1955,0.13634736836,0.863652646542,0.482832074165,0.002720429562030000,0.00362245319411,0.333015114069,0.0571726746857,0.100389704108,0.0128543376923,0.0073932162486,0.0649798437953,0.152619451284,0.427378892899,0.340455889702,0.014565916732,0.999997913837,2.10500911635E-06,0.004273649305110000,0.99572634697,0.776916325092,110.556632996,spotify:track:70Xt4jSqmMpdrpO5P6ypvC,2,12,15,18,19,1
