title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Out of Sight,Johnny Storm &The Sunsets,For Greasy Kids only,0.0762637928128,0.923736214638,0.4354160726070000,0.00908872298896,0.0574545413256,0.0181580521166,0.0793031156063,0.347055435181,0.0428940728307,0.0106299649924,0.056249678134900000,0.351915091276,0.468944698572,0.107185177505,0.015705358237000000,0.980494618416,0.0195053592324,0.035166464746,0.964833557606,0.692044615746,69.8293838501,Not Found,2,12,15,18,20,1
Youre Not Home Yet,Porter Wagoner,More Grand Old Gospel,0.133385881782,0.866614103317,0.595891594887,0.00227358122356,0.0212949626148,0.010619954206,0.0280357338488,0.334147155285,0.00397905241698,0.00375795690343,0.053333688527300000,0.325417339802,0.335601449013,0.247076809406,0.0385707095265,0.982317447662,0.017682563513500000,0.000310171220917,0.999689817429,0.8140848279,70.4008636475,spotify:track:6yJbTQTWmYknQmVo5UN5xX,2,12,15,18,20,1
D. Fernando,At-Tambur,At-Tambur,0.0702316612005,0.929768323898,0.453472495079,0.004554029088470000,0.0208814553916,0.288701862097,0.0240558926016,0.194442287087,0.00427796179429,0.00961402058601,0.0547681413591,0.0716650560498,0.641092658043,0.17089766264000000,0.061576459556800000,0.973576664925,0.0264233052731,0.364125490189,0.635874509811,0.161316111684,71.1282119751,spotify:track:1RfJho60UMdjgX9mxElrRK,2,12,15,18,20,1
The Maker Makes,Rufus Wainwright,Vibrate: The Best Of Deluxe Edition,5.94491211814E-06,0.999994039536,0.7863504886630000,0.00112920987885,0.00125911762007,0.108781695366,0.0573247633874,0.0353883653879,0.00469744112343,0.005068894475700000,0.0449994280934,0.13021710515,0.676690459251,0.140158548951,0.007934463210400000,0.8580031394960000,0.141996860504,0.021724933758400000,0.978275060654,0.7541386485100000,71.69032287600000,spotify:track:48y6ciC5m3usPiDVM3vgfm,2,12,15,18,20,1
Dear Heart,Spaniels,Very Best of the Spaniels,0.28853136301,0.71146863699,0.6827793717380000,0.0069253272377,0.018722102046,0.0600958280265,0.045478653162700000,0.08117597550150000,0.0267063118517,0.0781164467335,0.16069586575,0.268462508917,0.342789471149,0.170802310109,0.0572498477995,0.6151866316800000,0.384813338518,0.00518061220646,0.994819402695,0.833935916424,72.5375137329,spotify:track:6018qSlIUVo7uaiS5HvU7O,2,12,15,18,20,1
Le Vingt-Cinquieme du Mois dOctobre,June Tabor,Ashore,0.09017048031090000,0.909829497337,0.376236021519,0.005591420456770000,0.0092720258981,0.215371400118,0.100607477129,0.271759361029,0.0135263241827,0.00763596082106,0.0495523661375,0.151755526662,0.486415088177,0.280800491571,0.0314765274525,0.999999940395,4.18888106424E-08,0.0366449095309,0.963355064392,0.506299555302,74.1804122925,spotify:track:0ziC6zGmG1ebbVFfDDpzAO,2,12,15,18,20,1
Im Sorry for You My Friend,Jack Scott,Classic Scott: The Way I Walk (Disc 2),0.0462216511369,0.953778326511,0.705205202103,0.00786641333252,0.0413196235895,0.0909855514765,0.0447180196643,0.05771163105960000,0.0118774101138,0.0403161719441,0.0584977716208,0.172903463244,0.576722919941,0.16608059406300000,0.0257952399552,0.8833553791050000,0.116644643247,0.00177735078614,0.998222649097,0.368034750223,74.4690093994,Not Found,2,12,15,18,20,1
Letting Go,Alyssa Reid,The Game,0.0601590909064,0.939840912819,0.61359590292,0.004648250527680000,0.00675798207521,0.0660342499614,0.14789494872100000,0.109214529395,0.0272125843912,0.0246415287256,0.073440939188,0.305819630623,0.44696649909,0.166065022349,0.00770790223032,0.760439038277,0.239560946822,0.0105291549116,0.9894708395,0.8025264143940000,74.9900894165,spotify:track:27GQ6Xg39jWjTqx4bPf4fA,2,12,15,18,20,1
Let Me Go Lover,Dean Martin,The Very Best Of Dean Martin. The Capitol & Reprise Years,0.0468746982515,0.953125298023,0.546358287334,0.005092048086230000,0.0132484473288,0.200099736452,0.0488902628422,0.15314307808900000,0.008678176440300000,0.024489954114,0.0699518769979,0.125945776701,0.526334404945,0.24511487782,0.032653037458700000,0.996312618256,0.0036873689387,0.0189201198518,0.981079876423,0.371225357056,75.1451187134,spotify:track:2ghmhqUMZ4Z2GqpwrH8yLj,2,12,15,18,20,1
Happy Holidays,Jim ORourke,Eureka,0.0234816633165,0.976518332958,0.4875018000600000,0.00663432152942,0.00899966061115,0.289759397507,0.0556246265769,0.131580680609,0.00968218035996,0.0102173443884,0.0912170708179,0.138947144151,0.636908352375,0.124104857445,0.00882258452475,0.974903345108,0.0250966288149,0.10261502862,0.897385001183,0.159417778254,75.7685546875,Not Found,2,12,15,18,20,1
