title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Twilight Time,Three Suns,Twilight Time,0.08564732968810000,0.914352655411,0.363265842199,0.004308524075900000,0.0238775499165,0.210426956415,0.0638407617807,0.283823728561,0.021251773461700000,0.0292048659176,0.035382408648700000,0.368545472622,0.376096576452,0.210617646575,0.00935786683112,0.269707322121,0.730292677879,0.96787494421,0.0321250408888,0.7200735211370000,65.9349060059,spotify:track:35STQd1LwEyPXi2ZksuHlk,2,12,16,17,20,1
What the Queen Loves Most,Mark Isham,Once Upon a Time,0.0139902504161,0.986009776592,0.464684307575,0.00742443464696,0.0351625531912,0.120008967817,0.0710185319185,0.281157106161,0.004683438222860000,0.015860658139,0.108495354652,0.154092088342,0.495510995388,0.183336108923,0.0585654675961,0.030189864337400000,0.969810128212,0.616769731045,0.383230239153,0.000422215700382,66.1797561646,Not Found,2,12,16,17,20,1
Conway Twitty zieh mit mir,Bohren & der Club of Gore,Gore Motel,0.0237215459347,0.976278424263,0.80855691433,0.00408722087741,0.0183059666306,0.09255386143920000,0.00545726204291,0.045056335628,0.00554382055998,0.0204385984689,0.0582956150174,0.0972455367446,0.725584030151,0.0554124340415,0.0634623840451,0.0258166752756,0.974183320999,0.99999153614,8.48914714879E-06,0.3527148664,66.6114273071,spotify:track:5Q1h4vD9f8xXdzgzExsy05,2,12,16,17,20,1
Feeling Good,Eels,Oh What a Beautiful Morning,0.0470506735146,0.952949345112,0.685908019543,0.00682798353955,0.0245233234018,0.203805804253,0.0126325758174,0.0334474742413,0.009356405586,0.023498408496400000,0.186450839043,0.207435041666,0.312061101198,0.235414102674,0.0586389154196,0.0105383740738,0.98946160078,0.997269511223,0.00273048458621,0.347762346268,66.84815979,spotify:track:1VDigtjaiwEfqw2w86R1L2,2,12,16,17,20,1
Theta,Oceanus,Sirens,0.0137574002147,0.986242592335,0.6904621720310000,0.00260041397996,0.0203291140497,0.251514822245,0.00500338710845,0.015347481705200000,0.00258681084961,0.0121557908133,0.0871681123972,0.132410392165,0.688773214817,0.0645923614502,0.0270559228957,0.006366972811520000,0.993633031845,0.999991834164,8.14277973404E-06,0.0411349534988,67.79307556150000,spotify:track:7626q7fmI66c7sQlwSizMT,2,12,16,17,20,1
White Silence & The Fragile Reality,Glissando,With Our Arms Wide Open We March Towards the Burning Sea,0.0551016442478,0.944898366928,0.6332669258120000,0.000509661389515,0.00206810841337,0.349945008755,0.0021324811969,0.0091073429212,0.00217177742161,0.00079872464994,0.0774579569697,0.256321102381,0.388676851988,0.212480351329,0.0650637298822,0.120002858341,0.879997134209,0.902809619904,0.0971903577447,0.83084654808,69.6820449829,Not Found,2,12,16,17,20,1
Pink And Golden Billows,Brambles,Charcoal,0.0029411814175500000,0.997058808804,0.84798926115,0.00374111882411,0.0142867686227,0.100982390344,0.00381156732328,0.0189329944551,0.00182108441368,0.008434814400970000,0.0930114611983,0.230777040124,0.461632609367,0.17947626113900000,0.035102609545,0.0220038443804,0.977996170521,0.991445600986,0.00855439063162,0.27364313602400000,69.9180603027,spotify:track:76qmbKTlpNICfkNyOGALgp,2,12,16,17,20,1
Goodbye,Benny Goodman,The Birth of Swing (1935-1936) (Disc 1),0.0126474015415,0.987352609634,0.699751377106,0.00352866924368,0.0100875366479,0.127211615443,0.0146014513448,0.11980754137,0.00607905443758,0.0189327560365,0.106414459646,0.0909470915794,0.638230144978,0.114402286708,0.0500060394406,0.465445131063,0.534554839134,0.999987959862,1.20499717013E-05,0.6987040042880000,70.4417800903,spotify:track:33epO6drRAdk6jWlwBkqC2,2,12,16,17,20,1
Darn That Dream,Thelonious Monk,"The London Collection, Volume 1",0.00988235138357,0.990117669106,0.8455107808110000,0.0021654444281,0.0065795741975300000,0.0682735741138,0.0178942494094,0.0462672784925,0.00415176106617,0.00915731582791,0.0775257200003,0.21056561172,0.417341768742,0.123299621046,0.171267271042,0.35232877731300000,0.6476712226870000,0.999990880489,9.10101698537E-06,0.497894227505,71.6098861694,spotify:track:4TfOThMFT9EWyR99n1AATO,2,12,16,17,20,1
Suite No 4 En Ré Majeur Pour Basse De Viole & Clavecin - Rondeau,Marin Marais,Marais: Sonnerie De Sainte-Genevieve Du Mont De Paris - Suites Pour Violes,0.0817394480109,0.918260574341,0.817994356155,0.0102983042598,0.0139658981934,0.060130830854200000,0.0217491034418,0.0474107451737,0.010624804534,0.0178259517998,0.0466132238507,0.0521728768945,0.791527032852,0.061613611877,0.0480732731521,0.158449277282,0.841550707817,0.985340058804,0.014659925364,0.374606639147,73.5751647949,Not Found,2,12,16,17,20,1
