title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
"Atto 2 - Scena 2 - Gloria, O Vincitore!",Giacomo Puccini,"The Complete Studio Recordings 1949-1969 (Disc 42: Puccini : Turandot (Maria Callas, Core E Orchestra Del Teatro Alla Scala, Milano ; Tullio Serafin)",0.0301353409886,0.969864666462,0.967998743057,0.000455615576357,0.00113969494123,0.0172668043524,0.00254206056707,0.00879385881126,0.000906148983631,0.0008970612543640000,0.217997506261,0.171303197742,0.375885635614,0.178872019053,0.0559416487813,0.370243549347,0.629756450653,0.00127798772883,0.998722016811,0.146049022675,109.391090393,Not Found,2,12,16,18,19,1
Moma Houbava,Le Mystère des voix bulgares,Ritual,0.042097043246,0.95790296793,0.95585167408,0.00286283763126,0.0055897850543300000,0.00863258633763,0.00489631062374,0.0091647291556,0.00935446377844,0.00364761915989,0.0517726354301,0.0796164050698,0.437631517649,0.122773319483,0.308206140995,0.390180438757,0.609819531441,0.5,0.5,0.494384437799,109.533958435,spotify:track:6NfvmcxPjX2zfs4dUivUrs,2,12,16,18,19,1
Atto II - Dove Dunque Angelotti?,Giacomo Puccini,"The Complete Studio Recordings 1949-1969 (Disc 66: Puccini : Tosca (Maria Callas, Orchestre De La Société Des Concerts Du Conservatoire ; Georges Prêtre)",0.0151230692863,0.984876930714,0.90247964859,0.00257502635941,0.008465806953610000,0.0466541871428,0.004792009014640000,0.0214495696127,0.00372587307356,0.00985790789127,0.08476142585280000,0.170191526413,0.472260445356,0.222898960114,0.049887649714900000,0.026625433936700000,0.973374545574,0.044209048152,0.955790936947,0.0268176943064,109.72038269,Not Found,2,12,16,18,19,1
Bullets,Embrace,Refugees,0.0591397956014,0.940860211849,0.461292594671,0.014249256812,0.0499642752111,0.0519960969687,0.184502854943,0.132728263736,0.0761764794588,0.0290901586413,0.105915568769,0.17384806275400000,0.274700850248,0.2532812953,0.19225423038,0.432430624962,0.567569375038,0.0038398723118,0.996160149574,0.497858762741,109.955001831,spotify:track:0psVK32f2HTYhcs1BGcF8g,2,12,16,18,19,1
The River,Clan of Xymox,Twist of Shadows,0.0361177995801,0.96388220787,0.383208036423,0.0223837215453,0.0376077108085,0.0239588674158,0.15151207149,0.151684954762,0.21382680535300000,0.0158178377897,0.039568066597,0.0420520827174,0.670847892761,0.0673485472798,0.180183395743,0.130524203181,0.869475781918,0.0681936442852,0.931806325912,0.0221732016653,109.95587158200000,spotify:track:6LmDX6imQJBILfd2ZkoXn5,2,12,16,18,19,1
Design,Gentle Giant,I Lost My Head: The Chrysalis Years (1975-1980),0.045352678746,0.954647302628,0.581444442272,0.0132803441957,0.049806628376200000,0.13074028492,0.0504291132092,0.0978733822703,0.0158801935613,0.0605456121266,0.0876305922866,0.17521081864800000,0.324322581291,0.175607472658,0.237228527665,0.0437469556928,0.956253051758,0.010766872204800000,0.989233136177,0.0237904507667,110.012016296,spotify:track:2BXfY1o4ecSnwkAuWXqXYL,2,12,16,18,19,1
Altitudes (piano version),Luca Turilli,The Infinite Wonders of Creation,0.0290868617594,0.970913112164,0.457804679871,0.006726975552740000,0.011478402651800000,0.299480259418,0.0692480504513,0.126724869013,0.0105909742415,0.0179457869381,0.138971656561,0.240534812212,0.284491240978,0.252008378506,0.08399390429260000,0.205971285701,0.7940286993980000,0.0036008823663,0.996399104595,0.181776493788,110.056358337,spotify:track:2YFK3mNK9Q3lvqhceFsW1F,2,12,16,18,19,1
Alleluia Nativitatis,Jan Garbarek & The Hilliard Ensemble,Mnemosyne (Disc 2),0.0053477031178800000,0.994652271271,0.950579106808,0.0017957958625600000,0.00413535628468,0.0163924973458,0.00941225979477,0.00982030667365,0.00275782705285,0.00510687706992,0.0565944388509,0.208104804158,0.4193507730960000,0.215771973133,0.100178010762,0.137997508049,0.862002491951,0.240033939481,0.7599660754200000,0.00325732072815,110.144325256,Not Found,2,12,16,18,19,1
Something Wonderful Happens in Summer,Frank Sinatra,The Complete Capitol Singles Collection,0.0167001914233,0.983299791813,0.409024506807,0.0040150755085100000,0.019855258986400000,0.253348976374,0.05201570689680000,0.218454569578,0.009528161957860000,0.0337577536702,0.0927993506193,0.237661004066,0.459653913975,0.156952813268,0.052932906895900000,0.0837133452296,0.91628664732,0.0725060254335,0.927493989468,0.025645589456,110.16522979700000,spotify:track:2vCcbcPhvyiwFxsIZv5r5J,2,12,16,18,19,1
Earth Scream,Univers Zero,Clivages,0.138734459877,0.861265540123,0.44243735075,0.020734269172,0.0604917109013,0.114869527519,0.0932393297553,0.028177950531200000,0.207264378667,0.0327854789793,0.0940652266145,0.0763515383005,0.40623575449,0.269575804472,0.153771668673,2.52846093645E-05,0.999974727631,0.183300420642,0.8166995644570000,0.533861994743,110.357765198,Not Found,2,12,16,18,19,1
Sister,No Secrets in the Family,Kleinzeit,0.0302640274167,0.969735980034,0.480958968401,0.00359121896327,0.0200850814581,0.326962590218,0.0166099686176,0.122081212699,0.00660958932713,0.0231013502926,0.172958791256,0.200594231486,0.283737510443,0.154275968671,0.188433498144,0.0300268046558,0.96997320652,0.300265043974,0.699734926224,0.011278428137300000,110.45978546100000,Not Found,2,12,16,18,19,1
Act 2 - Qual Novella?,Vincenzo Bellini,"The Complete Studio Recordings 1949-1969 (Disc 8: Bellini: I Puritani (Maria Callas, Coro E Orchestra Del Teatro Alla Scala, Tullio Serafin)",0.032870385795800000,0.967129588127,0.8371246457100000,0.00102222140413,0.00256796786562,0.142410725355,0.00388677883893,0.0044589987956,0.0013826745562300000,0.00714598177001,0.051203597337,0.07671301066880000,0.638580262661,0.200758382678,0.0327447727323,0.335076123476,0.6649239063260000,0.248757764697,0.751242220402,0.0911242365837,110.53059387200000,spotify:track:00ix9pnoMdmVxfMZLEB56Q,2,12,16,18,19,1
The Whispering Valley,Oöphoi & Louisa John-Krol,I Hear the Water Dreaming,0.0104787023738,0.989521324635,0.92127764225,0.0007978774374350000,0.00174155517016,0.068911023438,0.00357723049819,0.00168622622732,0.000421207718318,0.00158720882609,0.0584330894053,0.209531962872,0.479175150394,0.203254505992,0.0496052764356,0.404475957155,0.595524013042,0.042553704232,0.957446277142,0.6765140891080000,110.77458953900000,spotify:track:4hx4fSuA6w03jAFypbieR8,2,12,16,18,19,1
La Vie Devant Toi,Myriam Abel,La Vie Devant Toi,0.0288250111043,0.971175014973,0.557323515415,0.004828033503140000,0.0145841846243,0.242195874453,0.0542985275388,0.07825584709640000,0.00531621417031,0.043197780847500000,0.0376173481345,0.0683908239007,0.7792531847950000,0.08155672997240000,0.0331819206476,0.0221429467201,0.97785705328,0.100894749165,0.8991052508350000,0.356400638819,110.909919739,spotify:track:3OZ7ktmWy3jCaLU6d9GNuv,2,12,16,18,19,1
Blood of the Earth,Hawkwind,Blood of the Earth,0.0909137502313,0.909086227417,0.489490121603,0.0183857791126,0.157182097435,0.0339647121727,0.059183295816200000,0.128938168287,0.031774252653100000,0.0810815617442,0.0787382125854,0.0920117795467,0.383243739605,0.212025895715,0.233980357647,0.00121970113833,0.998780310154,0.0567032918334,0.943296730518,0.08583970367910000,110.94646453900000,spotify:track:7lubAVOt8YpDby1U2DSuQE,2,12,16,18,19,1
"Acte I - Reste La, Maintenant, Pendant Que Je Lirai",Georges Bizet,"The Complete Studio Recordings 1949-1969 (Disc 63: Bizet : Carmen (Maria Callas, Orchestre Du Théâtre National De LOpéra De Paris ; Georges Prêtre)",0.089352324605,0.910647690296,0.922068893909,0.00240235263482,0.016960844397500000,0.0217985790223,0.00391763169318,0.0203056707978,0.00240685883909,0.0101391868666,0.0447922833264,0.126694619656,0.5676121115680000,0.235168114305,0.0257328636944,0.187935754657,0.812064230442,0.175984278321,0.82401573658,0.051624234765800000,111.331390381,Not Found,2,12,16,18,19,1
Eastern & Western Medicine,Eddie Izzard,Sexie (disc 2),0.0694888681173,0.930511116982,0.380379110575,0.00799363385886,0.0830471292138,0.111761108041,0.015794493258,0.042420942336300000,0.00873730238527,0.349866271019,0.0561418011785,0.14460688829400000,0.314409613609,0.303505003452,0.181336686015,0.110485360026,0.8895146250720000,0.000137226015795,0.999862790108,0.172601252794,111.404525757,Not Found,2,12,16,18,19,1
Two Shillelagh OSullivan,Bing Crosby,Top o the Morning: His Irish Collection,0.12717692554,0.872823059559,0.393821597099,0.0118400119245,0.07876517623660000,0.19108057022100000,0.0578370504081,0.16575840115500000,0.0322403758764,0.0686568245292,0.0864206850529,0.122087433934,0.373650670052,0.250460535288,0.167380660772,0.300046652555,0.699953317642,0.00544251035899,0.994557499886,0.534265339375,111.46936035200000,spotify:track:2WYiqOLHgmUj2J0qxUDCUY,2,12,16,18,19,1
Werewolf,The Holy Modal Rounders,The Moray Eels Eat the Holy Modal Rounders,0.0427106320858,0.957289397717,0.792878210545,0.00333644147031,0.0205717217177,0.0424638912082,0.00613856874406,0.0193695183843,0.0035909190774,0.111650705338,0.0275961477309,0.234840914607,0.327202379704,0.24032300710700000,0.17003753781300000,0.468473821878,0.531526148319,0.159722909331,0.840277075768,0.0112709226087,111.603881836,spotify:track:3t2TCNXzdNzFkCLD9evbPQ,2,12,16,18,19,1
Blakes Jerusalem,Billy Bragg,The Internationale,0.0186949707568,0.981305003166,0.955702781677,0.0005475291400220000,0.0033192622941,0.0327362939715,0.00198568659835,0.00204970734194,0.0021641906350900000,0.0014945532893800000,0.0680512562394,0.154198825359,0.627405166626,0.125235900283,0.025108870118900000,0.494781672955,0.505218327045,0.362505733967,0.637494266033,0.580299198627,111.641716003,spotify:track:0B3OtncyFjft0CSFlSwskw,2,12,16,18,19,1
