title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
So Used to Loving You,Jack Scott,Classic Scott: The Way I Walk (Disc 1),0.0271752104163,0.972824811935,0.618078112602,0.005029906518760000,0.0195620749146,0.162684768438,0.0423317067325,0.113348983228,0.005563986487690000,0.033400457352400000,0.0217789374292,0.280641406775,0.5244808793070000,0.16570664942300000,0.00739210564643,0.214230760932,0.785769224167,0.01786448434,0.982135534286,0.21406853199,68.4521331787,spotify:track:1VZKypyPSjwZIaKJBuZmYi,2,12,16,18,20,1
Rose of Los Angeles,Michael Gira,The Milk of M. Gira: Collected Solo Home Recordings 2001 - 2010,0.00361693371087,0.996383070946,0.391718834639,0.0236142147332,0.0672187432647,0.24885538220400000,0.07028581947090000,0.15868240594900000,0.018064558506,0.021560043096500000,0.15307255089300000,0.111719496548,0.580313265324,0.105896927416,0.0489977896214,0.424674928188,0.575325071812,0.147690027952,0.852309942245,0.928689777851,73.4544372559,spotify:track:2P5NeGSpkN4eS3vbzvzjwx,2,12,16,18,20,1
Schöpfung I,Orplid,Fr¨¹he Werke,0.049948628991800000,0.950051367283,0.6533063054080000,0.0244426950812,0.0317377485335,0.0151324402541,0.0626202151179,0.0528913885355,0.15234218537800000,0.00752703705803,0.0889277234674,0.0878471210599,0.30831432342500000,0.225887790322,0.289023041725,0.197986975312,0.802013039589,0.107553079724,0.892446935177,0.613178253174,75.1371765137,Not Found,2,12,16,18,20,1
She Danced With the Spirits,Chris Wilson,King for a Day,0.00474988622591,0.995250105858,0.510991215706,0.00506167765707,0.0118182897568,0.208877295256,0.0581145100296,0.16964635253,0.0122831705958,0.023207455873500000,0.119533702731,0.204355672002,0.385219782591,0.146793082356,0.144097745419,0.322323024273,0.6776769757270000,0.000252386147622,0.999747633934,0.478319972754,75.3712768555,Not Found,2,12,16,18,20,1
Baby Marie,Jack Scott,Classic Scott: The Way I Walk (Disc 1),0.115844450891,0.884155571461,0.401154369116,0.013547196984300000,0.0748862624168,0.122631072998,0.0693991333246,0.216297194362,0.035787671804400000,0.06629709154370000,0.089950710535,0.0865660831332,0.650773704052,0.108030214906,0.06467930972580000,0.408246964216,0.591753065586,0.006381683982910000,0.993618309498,0.852550804615,75.54442596440000,spotify:track:7JJFbpWxQoUa3u27ftOdMO,2,12,16,18,20,1
A Well Worn Story,Mark Isham,Mrs. Parker and the Vicious Circle,0.0496914498508,0.950308561325,0.493157714605,0.00326914503239,0.0138261262327,0.280885636806,0.0137008856982,0.185744926333,0.00308812526055,0.00632741069421,0.034811116755,0.0729419365525,0.760983943939,0.08916568011050000,0.0420973449945,0.443621903658,0.55637806654,0.0174785796553,0.982521414757,0.028162131086,77.6838150024,spotify:track:5yrFFLEuqXj2mOlDDnjIQp,2,12,16,18,20,1
Partir,Thomas Winter & Bogue,Manu,1.63559416251E-05,0.999983668327,0.431491106749,0.00721502536908,0.0110163930804,0.141677632928,0.215228527784,0.142582431436,0.0209787096828,0.0298101622611,0.070418484509,0.186728686094,0.640011668205,0.0429649576545,0.0598762258887,0.0859972685575,0.914002716541,0.0409601777792,0.95903980732,0.8423178792,77.9665756226,spotify:track:6MrHniOHygI1W9nYiIqi0d,2,12,16,18,20,1
Though You Are Far Away,Colin Blunstone,One Year,0.0420510917902,0.957948923111,0.5132791399960000,0.004997660871600000,0.0273989401758,0.237389177084,0.0238924752921,0.161085277796,0.00333541445434,0.0286218933761,0.0354710258543,0.0783883631229,0.640272557735,0.196890056133,0.0489780008793,0.242219418287,0.757780611515,0.34856024384500000,0.651439785957,0.121269486845,82.98989105220000,spotify:track:58yPYBUHK9UjaxXgNcv9Vk,2,12,16,18,20,1
It Only Happened Yesterday,Jack Scott,Classic Scott: The Way I Walk (Disc 2),0.0970413833857,0.902958631516,0.802991569042,0.00223099649884,0.0286478735507,0.0379044897854,0.0141877997667,0.100932732224,0.0047350442037,0.00836949981749,0.028273044154,0.15635432303,0.687962591648,0.118293777108,0.00911625940353,0.479419469833,0.520580530167,0.0105410255492,0.989458978176,0.637058138847,84.2892303467,spotify:track:69cikKSonWdugzCyc38K35,2,12,16,18,20,1
Jade Stairs,Fatima Al Qadiri,Asiatisch,0.0307465419173,0.969253480434,0.7847096323970000,0.00671554496512,0.0182200334966,0.0426433347166,0.030278617516200000,0.0658908113837,0.008139789104460000,0.0434022545815,0.0791651830077,0.35578930378,0.435743689537,0.112555488944,0.016746336594200000,0.195205897093,0.80479413271,0.0964520424604,0.903547942638,0.457818865776,84.3671188354,Not Found,2,12,16,18,20,1
