title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Detroit City,Jerry Lee Lewis,The Locust Years (Disc 2),0.0718371197581,0.928162872791,0.5655423402790000,0.00277899042703,0.004667553585020000,0.109431795776,0.0758003145456,0.210204318166,0.021736791357400000,0.00983789563179,0.0815007910132,0.405559182167,0.16658774018300000,0.28917992115,0.0571723766625,0.999989807606,1.02217018139E-05,0.00388335227035,0.996116638184,0.7333006262780000,109.139640808,spotify:track:0Af7MHK9nbBG9Eqaogm1wc,2,11,15,18,19,1
"Ass-Fuckin, Butt Suckin, Cunt Lickin, Masturbation",The New York Superscum,Hated in the Nation,0.006478176917880000,0.993521809578,0.386105179787,0.00968557409942,0.00909674074501,0.047826115042,0.07727210223670000,0.061926946044,0.375572472811,0.0325148552656,0.214828193188,0.225552678108,0.128010645509,0.211879938841,0.219728544354,0.713589847088,0.286410182714,0.5,0.5,0.956918656826,109.14276123,spotify:track:7JPbXiMgt8BbC2Sb0mBuc0,2,11,15,18,19,1
Slims Jam,Charlie Parker,Rétrospective 1940-1953 (Disc1: 1940-1947),0.228348582983,0.7716513872150000,0.5696880817410000,0.0100398799405,0.0449999310076,0.204314291477,0.0238833818585,0.112456604838,0.0175017900765,0.0171160250902,0.088612601161,0.406878530979,0.11976365,0.324373573065,0.0603716671467,0.9803814888,0.0196185130626,0.0453935973346,0.954606413841,0.14880917966400000,109.36896514900000,Not Found,2,11,15,18,19,1
Hyacinth House (demo),The Doors,Essential Rarities,0.105323523283,0.8946764469150000,0.609146118164,0.008583859540520000,0.0346923880279,0.106479264796,0.046558771282400000,0.091638982296,0.021965710446200000,0.0809349194169,0.105542302132,0.515537798405,0.0838907659054,0.23751373589,0.05751537159090000,0.91800236702,0.0819976255298,0.00253327423707,0.997466742992,0.529164254665,109.41410827600000,spotify:track:6bf4hAvfdkS1g6XBnnkvqX,2,11,15,18,19,1
Polymon Bongo,Maya Angelou,Miss Calypso,0.0108253704384,0.989174604416,0.557934105396,0.005694767925890000,0.0158135388047,0.237929880619,0.0544723086059,0.0601452104747,0.00656553963199,0.06144466251130000,0.249447360635,0.311666369438,0.107373259962,0.208675056696,0.122837945819,0.971204698086,0.0287953056395,0.0148779135197,0.985122084618,0.528658568859,109.448143005,spotify:track:7GibNNne0UGTWWrExVZw1c,2,11,15,18,19,1
Theres a Train,Marvin Etzioni,Marvin Country!,0.013196864165400000,0.986803114414,0.6737911105160000,0.00512695498765,0.0106240743771,0.241725102067,0.00693257246166,0.0411732271314,0.00380145851523,0.016825474798700000,0.0699175223708,0.364122271538,0.33163434267,0.187078624964,0.0472472384572,0.955761492252,0.04423853755,0.130193307996,0.8698067069050000,0.317015618086,109.62525177,Not Found,2,11,15,18,19,1
Sunset Sun,Karen O,Crush Songs,0.0134672988206,0.986532688141,0.6386709809300000,0.005313297268,0.00977288745344,0.0944190695882,0.0238362699747,0.136437401175,0.0247322563082,0.0668178424239,0.189168661833,0.3572537600990000,0.263881444931,0.169550538063,0.0201455932111,0.802513241768,0.19748672843,0.007987302728,0.992012679577,0.87585067749,109.73300170900000,spotify:track:7tMZeZHpL1FXM4GIUBR3eu,2,11,15,18,19,1
Song für dich,Max Mutzke,...aus dem Bauch,0.034831088036300000,0.965168893337,0.450187504292,0.00984827801585,0.0255082994699,0.225700736046,0.07328081876040000,0.145503416657,0.0178286302835,0.052142307162300000,0.108430884778,0.456741571426,0.208583161235,0.15446628630200000,0.07177808880810000,0.92453122139,0.0754687860608,0.00020563465659500000,0.999794363976,0.438265711069,109.750923157,Not Found,2,11,15,18,19,1
My Dear Old Arizona Home,Patsy Montana,The Best of Patsy Montana,0.0179640688002,0.982035934925,0.755198955536,0.00321529363282,0.00779533293098,0.0986029952765,0.0230465028435,0.0755282118917,0.00636884057894,0.030243858695,0.08432257920500000,0.508732318878,0.199409559369,0.186345085502,0.021190484985700000,0.959095358849,0.0409046560526,0.402875900269,0.597124099731,0.496587246656,109.751075745,spotify:track:4JNR6Ba1QXF9FbQJiG8XiC,2,11,15,18,19,1
"Dark Was the Night, Cold Was the Ground",Blind Willie Johnson,Public Enemies,0.0232969727367,0.976703047752,0.785152733326,0.0034214889165,0.0100724045187,0.14646515250200000,0.005713500548150000,0.014794422313600000,0.00247116875835,0.0319091305137,0.0670395866036,0.35198491811800000,0.312856316566,0.139588937163,0.128530249,0.919664263725,0.0803357586265,0.334416508675,0.665583491325,0.0278300903738,109.754890442,spotify:track:2P9nh9pTK96dE0b6NBbTSs,2,11,15,18,19,1
Making Believe (1975),Merle Haggard,Hag: The Studio Recordings 1969-1976 (Disc2),0.113060235977,0.886939764023,0.535904526711,0.006701119709760000,0.0228198412806,0.102102033794,0.0953485146165,0.17289318144300000,0.0249363146722,0.0392944552004,0.048425935208800000,0.490149915218,0.238185539842,0.205580249429,0.0176583640277,0.958017349243,0.041982639581000000,0.00303407898173,0.996965944767,0.692618608475,110.145729065,Not Found,2,11,15,18,19,1
Sanvean (live),Dead Can Dance,Lisa Gerrard,0.0934265702963,0.906573414803,0.75025755167,0.00140591128729,0.0011426145210900000,0.0958016440272,0.0176193658262,0.129266604781,0.00225702463649,0.00224930141121,0.0805899128318,0.28658393025400000,0.253699034452,0.198009237647,0.181117907166,0.84724342823,0.15275657177000000,0.087492108345,0.912507891655,0.389214128256,110.19387817400000,spotify:track:3x80ryUQmeSriEJTRorPI7,2,11,15,18,19,1
One More Ride (Takes 5-11),Johnny Cash,The Man in Black: 1954-1958 (Disc 5),0.126688703895,0.8733112812040000,0.646913945675,0.006864312570540000,0.0835545286536,0.161244720221,0.0107925208285,0.0657842680812,0.00750429509208,0.0173414293677,0.0880808010697,0.35463890433300000,0.236041814089,0.26950442791,0.051734074950200000,0.977569699287,0.022430289536700000,0.0601144097745,0.939885616302,0.13227494061000000,110.20265197800000,Not Found,2,11,15,18,19,1
Too-Ra-Loo-Ra-Loo-Ral,Bing Crosby,Top o the Morning: His Irish Collection,0.005157017614690000,0.994843006134,0.8412443995480000,0.00104357395321,0.00294510181993,0.127381563187,0.00554318120703,0.0129751227796,0.00200448278338,0.0068625761196000000,0.0836485028267,0.336837649345,0.334843099117,0.205254167318,0.0394165702164,0.7425134181980000,0.257486611605,0.119871921837,0.8801280856130000,0.145588219166,110.502220154,spotify:track:5wPjeR82lO9lymgarjo7wQ,2,11,15,18,19,1
Apologies,Mott,Drive On,0.0309503618628,0.969049632549,0.524385690689,0.011026898399,0.0353573337197,0.209279298782,0.0319000408053,0.143986105919,0.00980331283063,0.0342613346875,0.12814494967500000,0.515311658382,0.191514387727,0.156952083111,0.00807689782232,0.975203990936,0.024796012789,0.0010952496668300000,0.998904764652,0.181302279234,110.558753967,spotify:track:3X1WB58gP4gFi86761cFVp,2,11,15,18,19,1
"Radetzky Marsch, op. 235",Pyotr Ilyich Tchaikovsky,"The Complete EMI Recordings 1946-1984, Volume 1: Orchestral",0.124469891191,0.8755301237110000,0.643046438694,0.00491718389094,0.005718344356860000,0.0576437413692,0.123342081904,0.116039529443,0.0402979552746,0.008994751609860000,0.0689110606909,0.623453140259,0.122121855617,0.161159068346,0.0243548955768,0.99999922514,7.79569461429E-07,0.431838363409,0.568161666393,0.519125342369,110.98447418200000,Not Found,2,11,15,18,19,1
Geld,Eric Fish & Friends,Gegen den Strom,0.0465596653521,0.953440308571,0.583169043064,0.00731951417401,0.0219650361687,0.062915623188,0.0295068863779,0.256820857525,0.0311405435205,0.00716247409582,0.0793777629733,0.45717433095,0.170462071896,0.15489567816300000,0.138090163469,0.999984562397,1.54157478391E-05,0.0050657466054,0.994934260845,0.777507662773,111.30284118700000,spotify:track:2qXfn9Hpo6IvYdHfVcANiP,2,11,15,18,19,1
