title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Believe,Shimmering Stars,Walk Away,0.0588102079928,0.94118976593,0.788232922554,0.00364562799223,0.0157159809023,0.00480490038171,0.0200211908668,0.0833569094539,0.0825223475695,0.00170014239848,0.211854934692,0.500935435295,0.06851113587620000,0.145490631461,0.0732078775764,0.620455563068,0.379544436932,0.0285238474607,0.971476137638,0.470177173615,67.8706512451,spotify:track:1TEMlXRU6c8zBqnp2bKj7X,2,11,15,18,20,1
Short Haired Woman Blues,Townes Van Zandt,Rain On A Conga Drum: Live In Berlin,0.038769133389,0.961230874062,0.536155581474,0.00436518248171,0.0266496017575,0.292699128389,0.0175501480699,0.0678395777941,0.0152681646869,0.0394725948572,0.0674528703094,0.416983395815,0.316350281239,0.125278607011,0.0739348381758,0.8881009221080000,0.111899107695,0.476105451584,0.523894548416,0.6743421554570000,70.8632278442,spotify:track:5x4qRTZBkNx0wmwxBXnWH3,2,11,15,18,20,1
Two Trains,Hans Theessink,Hard Road Blues,0.020409328863,0.979590654373,0.784084558487,0.00735690444708,0.0224941931665,0.0750506147742,0.017603667452900000,0.0372650586069,0.0105440597981,0.0456009581685,0.11241556704,0.363274037838,0.191579461098,0.30445304513,0.0282778777182,0.6592649221420000,0.340735048056,0.00391917815432,0.996080815792,0.246991142631,71.69607543950000,spotify:track:4mhm9PfHi4LMZRQjFQ7C6c,2,11,15,18,20,1
You Got the Power,Billy Bragg,Brewing Up With Billy Bragg,0.014389583841,0.985610425472,0.762783706188,0.0026984007563400000,0.0114781400189,0.141053035855,0.0113231968135,0.04730989784,0.00441286945716,0.0189407300204,0.0645144581795,0.429526269436,0.240016400814,0.254742324352,0.0112005313858,0.986598491669,0.0134015344083,0.00187760428526,0.998122394085,0.215813055634,76.2134857178,spotify:track:064pCCLT6tvzjrD532qEw8,2,11,15,18,20,1
The Devil Is A Busy Man,Sunnyland Slim,Slims Shout,0.280190438032,0.71980959177,0.578881263733,0.00157724437304,0.00864570122212,0.17777094245,0.0160764195025,0.198659405112,0.0127536477521,0.00563537748531,0.0454183258116,0.630763411522,0.0710874274373,0.195420876145,0.0573099479079,0.8561369776730000,0.14386303722900000,0.0197863671929,0.9802136421200000,0.554133415222,78.1961212158,spotify:track:1lr94UMkc49eWESjcSOwbM,2,11,15,18,20,1
Winters Dream,Hayley Westenra,Winter Magic,0.012805679813,0.987194299698,0.7196764945980000,0.00443263119087,0.00983041152358,0.12833592295600000,0.0700136125088,0.0529129914939,0.00645651109517,0.00834140274674,0.124844454229,0.357227027416,0.292342603207,0.209528073668,0.0160578396171,0.939931988716,0.0600679889321,0.313711255789,0.686288774014,0.158167153597,80.8997650146,spotify:track:3jPEWKx3skVyWbqzaXXzO1,2,11,15,18,20,1
Just Little Boy Blue,Johnny Preston,Running Bear,0.257769972086,0.7422300577160000,0.367294847965,0.00788827706128,0.032572980970100000,0.14867775142200000,0.08822277933360000,0.271833956242,0.0371006168425,0.0464087799191,0.0667205229402,0.476410776377,0.23977380991,0.210597187281,0.00649770954624,0.999996185303,3.82445841751E-06,0.0120107894763,0.987989187241,0.8571801781650000,81.4582748413,spotify:track:2rHtIfDZvWlJaYeIEzq3s9,2,11,15,18,20,1
The Hole He Said Hed Dig for Me (alternate) (stereo),Jerry Lee Lewis,The Locust Years... and the Return to the Promised Land,0.159283593297,0.8407164216040000,0.336015045643,0.0103201987222,0.027088213712,0.23415902257,0.105247832835,0.215850949287,0.0392881967127,0.0320305377245,0.125600412488,0.448552668095,0.258446007967,0.155907899141,0.0114930104464,0.995016276836,0.00498370267451,0.0783831998706,0.921616792679,0.367825984955,82.5469436646,Not Found,2,11,15,18,20,1
Its Not the Moon That Makes the Difference,Wynn Stewart,Wishful Thinking (Disc 1),0.329408764839,0.6705912351610000,0.432240128517,0.008818143047390000,0.0355964824557,0.0921109542251,0.169760540128,0.196721896529,0.0410234853625,0.0237283445895,0.0527538061142,0.565161287785,0.140133231878,0.233465284109,0.00848637148738,0.999999284744,7.14901545962E-07,0.0162102710456,0.983789741993,0.8154900670050000,82.5616912842,spotify:track:7Hyg5BlIOkHKnmcoZmfozY,2,11,15,18,20,1
Love Youre So Beautiful Tonight,Porter Wagoner,Ballads Of Love,0.0484904870391,0.951509535313,0.484347879887,0.00353232584894,0.011638995260000000,0.056921530515,0.0761614069343,0.334140062332,0.007259578909720000,0.0259982049465,0.08593721687790000,0.44798335433,0.315437883139,0.130696669221,0.019944883883,0.970794260502,0.0292057339102,0.00614964636043,0.99385035038,0.559518814087,82.7942047119,Not Found,2,11,15,18,20,1
