title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
So Wrong,Oliver Koletzki feat. HRRSN,I Am Ok,0.987321972847,0.0126780029386,0.00584975862876,0.428464949131,0.111571498215,0.027821667492400000,0.269916474819,0.07257068902250000,0.07660543918610000,0.0071995225735,0.107750445604,0.220885679126,0.15117637813100000,0.177260324359,0.342927157879,0.997237503529,0.00276251137257,0.7647488713260000,0.235251098871,0.925367474556,109.95750427200000,spotify:track:3SxZUnj7BsWGoHDK5Bpduq,3,14,15,17,19,0
Introduction No. 9,Seagull Screaming Kiss Her Kiss Her,No! No! No!,0.941061019897,0.0589389503002,0.0056828917004200000,0.61192303896,0.0357201881707,0.014101007953300000,0.0659219026566,0.0221656002104,0.235835447907,0.00864994525909,0.146785527468,0.0815366283059,0.246322199702,0.163653865457,0.361701786518,0.590042829514,0.4099571704860000,0.812004029751,0.187996000051,0.960009813309,111.17061615,spotify:track:71NeoPe3mTLLMjvtF1mf7m,3,14,15,17,19,0
Ballet Dancer (long version),The Twins,Ballet Dancer,0.999915897846,8.41186847538E-05,0.00285860383883,0.5473213195800000,0.16671808064000000,0.0246373154223,0.07856798917060000,0.158249035478,0.0188158545643,0.00283180363476,0.09924674034120000,0.12587028741800000,0.264784902334,0.13073730468800000,0.379360765219,0.999996006489,3.98086012865E-06,0.864127337933,0.13587266206700000,0.8701324462890000,111.565162659,Not Found,3,14,15,17,19,0
Dancing on Air,Dance With the Dead,Out of Body,0.99999833107,1.6761431425E-06,0.000170982340933,0.935723781586,0.0324397310615,0.00028860528254900000,0.0211767721921,0.00637375097722,0.00366523279808,0.000161153177032,0.159500747919,0.0987473651767,0.110277578235,0.133920431137,0.497553884983,0.876079976559,0.12392000854,0.922610104084,0.0773898735642,0.963144898415,112.00088501,spotify:track:2XvcLEMcNmbXr7K2DxIQBF,3,14,15,17,19,0
Killer Long Version,MC 900 Ft Jesus,Welcome to My Dream,0.993289530277,0.00671044178307,0.00241490523331,0.541111767292,0.0462477095425,0.00788224395365,0.0428820103407,0.273665606976,0.080314360559,0.00548138702288,0.0719653367996,0.10910731554,0.13729734718800000,0.0479073151946,0.633722662926,0.821487188339,0.178512811661,0.999993383884,6.63303626425E-06,0.97020637989,112.380996704,spotify:track:3AxIGnrGW8n9SylLGlWHvs,3,14,15,17,19,0
Nothing Gold (Todd Terje remix),Joakim,Nothing Gold (Remixes),0.972779393196,0.027220601216000000,0.00997260026634,0.254789292812,0.0875960886478,0.240935057402,0.119782067835,0.241340741515,0.0374780707061,0.00810607057065,0.0792213901877,0.051320400089,0.26235678792,0.0465354695916,0.560565948486,0.980619072914,0.01938091591,0.999999940395,5.50239320773E-08,0.939445197582,112.958435059,spotify:track:2Z30vbABDGXJ2N6NAVvw7H,3,14,15,17,19,0
Careless Woman,Tythe,& Also With You,0.964833378792,0.0351666174829,0.0106232631952,0.510463416576,0.0544909127057,0.0208812411875,0.0285380333662,0.365072906017,0.00356399454176,0.0063662212342,0.149423465133,0.160392031074,0.181297361851,0.13797815144100000,0.370908975601,0.987625956535,0.012374066747700000,0.987471342087,0.0125286849216,0.851050257683,113.833015442,spotify:track:7pQFpipPfINqiIW6j8ArLy,3,14,15,17,19,0
Good Times,Matt Bianco,The Best of Matt Bianco,0.995134592056,0.0048654028214500000,0.00316694029607,0.574639558792,0.111533865333,0.0240237656981,0.120045386255,0.120855845511,0.0423938818276,0.0033407760784,0.116537168622,0.155656412244,0.08812496066090000,0.1359744519,0.503706991673,0.959281384945,0.040718626231,0.579988598824,0.420011430979,0.938875198364,114.075202942,spotify:track:1phaO9safXCjLP6tW2VDya,3,14,15,17,19,0
Joe Si Ha (Reverso 68 version),Tosca,Pony: No Hassle Versions,0.999747574329,0.00025240654940700000,0.000936165684834,0.856762826443,0.056555356830400000,0.0016988429706500000,0.0260215513408,0.053265273571,0.00217166286893,0.0025882916525,0.0757112726569,0.0855377838016,0.17806793749300000,0.07320564985280000,0.587477385998,0.963639438152,0.0363605506718,0.995561420918,0.00443858420476,0.954531133175,114.934646606,spotify:track:3RljRx6IW4PlxuewtBXusV,3,14,15,17,19,0
Gold,Blondes,Blondes,0.995468199253,0.00453182728961,0.00524613307789,0.679025173187,0.13634957373100000,0.00729190325364,0.0206027962267,0.108359225094,0.0367421805859,0.00638304045424,0.07758837938310000,0.05284244939680000,0.238805666566,0.0400354936719,0.590727984905,0.862301766872,0.137698248029,0.997187614441,0.00281240139157,0.8768649101260000,115.011276245,spotify:track:68FyyroZAGX0WnpXfwNqYZ,3,14,15,17,19,0
Mon ami,Cabadzi,Des angles et des épines,0.996858179569,0.0031418304424700000,0.00995244178921,0.758925616741,0.0292168390006,0.017469696700600000,0.0993955954909,0.026894396171,0.0488362982869,0.00930913724005,0.10780236125,0.155204460025,0.238710567355,0.153994813561,0.344287782907,0.891321480274,0.108678534627,0.573208451271,0.426791548729,0.915670692921,115.87033844,spotify:track:29jkQVaXBKBiFPu9OhtGmw,3,14,15,17,19,0
Split (Mirrorball mix),KMFDM,"Extra, Volume 1",0.998204946518,0.0017950750188900000,0.00014916794316400000,0.937441468239,0.0102491145954,0.00119068939239,0.00956467911601,0.0032453776802900000,0.0379825644195,0.00017694743291900000,0.0739614665508,0.0678603202105,0.08648784458640000,0.051402717828800000,0.720287680626,0.769697487354,0.230302512646,0.799057126045,0.200942888856,0.953873634338,116.286148071,spotify:track:29kfS7HGpibflT3030KfeR,3,14,15,17,19,0
Time Marches On,Jungle Wonz,Timeless Classics,0.999999880791,1.00000008274E-07,0.000142158358358,0.965604782104,0.007142435293640000,0.000282836175757,0.00171515555121,0.0242786742747,0.0006588671240020000,0.00017506384756400000,0.07535815984010000,0.0443225577474,0.232034400105,0.045029617846,0.603255271912,0.924180030823,0.075819991529,0.754577577114,0.245422422886,0.964026510715,116.825149536,spotify:track:1VJz2ggeVX2j9OUh3eTeN5,3,14,15,17,19,0
Geständnis (remix by I.P.X.),Feindflug,Kollaboration,0.975751399994,0.024248579517,0.00281720049679,0.528058111668,0.15904378891000000,0.00489720376208,0.0172948651016,0.0196522250772,0.266388982534,0.00184764247388,0.0790168344975,0.0655293762684,0.116051472723,0.043745536357200000,0.6956567764280000,0.982458472252,0.0175415370613,0.988684356213,0.011315619573,0.965192735195,117.14116668700000,Not Found,3,14,15,17,19,0
Electric Čoček,Äl Jawala,Live at Jazzhaus Freiburg,0.905072450638,0.0949275791645,0.0103078195825,0.331585854292,0.245613396168,0.04846189171080000,0.270878046751,0.0259417686611,0.062395870685600000,0.004815349821000000,0.0652471780777,0.059919513762,0.160639151931,0.0452250540257,0.668969094753,0.936918079853,0.06308191269640000,0.842441678047,0.157558321953,0.7891103625300000,117.600158691,spotify:track:58Qik4xcYYMC8GbTRGe1sC,3,14,15,17,19,0
Lightspan (Chapman),The Shamen,En-Tact,0.998598754406,0.0014012720203000000,0.0006200425559650000,0.486109346151,0.377934336662,0.0015741051174700000,0.0382385104895,0.0903390571475,0.00451554311439,0.000669077679049,0.119234412909,0.126509740949,0.0582281388342,0.180445805192,0.515581905842,0.645010948181,0.35498905181900000,0.986824929714,0.0131750805303,0.932263016701,117.85166931200000,Not Found,3,14,15,17,19,0
Fade,Holly Herndon,Movement,0.999999880791,1.00000008274E-07,8.14019003883E-05,0.979415595531,0.00874482467771,6.92857065587E-05,0.00118797237519,0.00997015740722,0.000312469957862,0.000218274115468,0.07672522962090000,0.0680173039436,0.188672140241,0.0529229752719,0.613662362099,0.939748167992,0.0602518506348,0.780012071133,0.219987943769,0.944766283035,117.93677520800000,spotify:track:05ELFVR40V3yI917EL2lww,3,14,15,17,19,0
Hit the Wall (Frustration),Cottam,Shapes 12:01,0.999999880791,1.00000008274E-07,6.46193484499E-06,0.993123233318,0.00172829430085,1.17095996757E-05,0.000471989915241,0.00454763881862,6.85176928528E-05,4.21684708272E-05,0.07094630599020000,0.0467473827302,0.223882526159,0.0354963839054,0.622927427292,0.6763573288920000,0.323642700911,0.999999165535,8.15525766029E-07,0.971405804157,118.001823425,spotify:track:2MnFYA59fFhulC6GU7RISe,3,14,15,17,19,0
History,Defective Units,Sequences,0.999977648258,2.23221322813E-05,0.00465841591358,0.558881640434,0.132682219148,0.0232906378806,0.0336402654648,0.224736228585,0.0120085645467,0.0101020084694,0.0747376009822,0.054650966078,0.263180822134,0.0505065284669,0.556924104691,0.54797065258,0.452029317617,0.989231348038,0.0107686528936,0.970270812511,118.995117188,spotify:track:45tRBBwdpbzVJDRa6c99p7,3,14,15,17,19,0
