title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Aeons,Rawtekk,Heres to Them,0.999957621098,4.23801684519E-05,0.0003544951905500000,0.952300965786,0.00745800603181,0.000463820964796,0.00816522911191,0.0281227752566,0.00264532933943,0.0004893862060270000,0.138637796044,0.133822336793,0.284084975719,0.137227222323,0.306227654219,0.00422995863482,0.995770037174,0.0215395335108,0.978460490704,0.7847126126290000,109.642913818,spotify:track:0VFfVoyAPcBg0X990fNsvE,3,14,16,18,19,0
Wunk,Monokrom,One Fine Day in the Pyramid,0.999999880791,1.00000008274E-07,8.70837102411E-05,0.970870256424,0.007409852929410000,0.000112079062092,0.0061620217748,0.00024782438413200000,0.0150645012036,4.63837095594E-05,0.07787514477970000,0.044655721634600000,0.219670474529,0.0302087124437,0.627589941025,0.00205303146504,0.997946977615,0.000456948881038,0.999543070793,0.974660396576,109.70539093,spotify:track:2k1ppkETOIrZzxzzCMggP5,3,14,16,18,19,0
No Problem,Diplo feat. Flinch & My Name Is Kay,Express Yourself EP,0.999573171139,0.000426833983511,0.00135315128136,0.8886210918430000,0.0195824578404,0.00300584873185,0.0308358967304,0.0207142829895,0.0345651395619,0.00132212135941,0.182872161269,0.153062477708,0.14480881393,0.110409170389,0.408847391605,0.120127566159,0.8798724412920000,0.0482207722962,0.95177924633,0.912800610065,109.83478546100000,spotify:track:5My0ZdAjZCLQrN0t8etu99,3,14,16,18,19,0
Where I Am,Funkoars,The Quickening,0.999611318111,0.00038870592834400000,0.0036999580916,0.658533453941,0.060560259968,0.00216961675324,0.227501571178,0.00480569107458,0.0423269867897,0.0004024374939040000,0.106544882059,0.145176291466,0.0791236758232,0.256033033133,0.413122147322,0.258502006531,0.741497993469,0.0106111802161,0.989388823509,0.936855971813,109.889610291,Not Found,3,14,16,18,19,0
Im Living a Dream,DJ BoBo,Visions,0.999933063984,6.69368455419E-05,0.0010179587407,0.551522195339,0.115846090019,0.00393742928281,0.214484006166,0.0873222500086,0.0245445575565,0.00132549798582,0.170977145433,0.172757968307,0.156289458275,0.201137721539,0.298837691545,0.440928041935,0.559071958065,0.08142824471,0.918571770191,0.945727169514,109.95375061,spotify:track:02RNhjm8ucZHkZ57YGYuDO,3,14,16,18,19,0
Circle Jerk,Electrocado vs. The Mollusk,The Shepard Tone,0.999996900558,3.07097775476E-06,0.0011456974316400000,0.865106403828,0.0489222854376,0.00112781533971,0.032543040812,0.0422954782844,0.0079588862136,0.00090039341012,0.08656927198170000,0.07368555665020000,0.200629323721,0.0651107504964,0.574005067348,0.0107378745452,0.989262104034,0.13011059165,0.869889438152,0.7700551748280000,110.01803588900000,Not Found,3,14,16,18,19,0
Floodgates,Colbie Caillat,Gypsy Heart,0.999999880791,1.00000008274E-07,0.000153625631356,0.8247238993640000,0.0007866039522920000,7.53095810069E-05,0.159498915076,0.0030329136643600000,0.0116968909279,3.18314851029E-05,0.0950439944863,0.099168382585,0.0927864611149,0.17237958312,0.540621578693,0.365764945745,0.6342350244520000,0.014082239009400000,0.985917747021,0.8912203311920000,110.06888580300000,spotify:track:2CCcCusU3AuekOG18ww9Yj,3,14,16,18,19,0
Infomodities 92 (instrumental mix),Consolidated,Tool and Die,0.998746395111,0.00125360407401,0.0066404091194300000,0.338433355093,0.29789322614700000,0.0127947079018,0.158858120441,0.0357350595295,0.14496619999400000,0.00467891944572,0.07065282016990000,0.0669925585389,0.210292056203,0.0960136950016,0.556048870087,0.07723511755470000,0.922764897346,0.269121199846,0.730878770351,0.930677652359,110.195755005,Not Found,3,14,16,18,19,0
Boom Hunter,Duran Duran Duran,Face Blast,0.999985814095,1.41805703606E-05,0.0010151215829,0.895878911018,0.0645056515932,0.0011232742108400000,0.0054929102771,0.0101195564494,0.0192896034569,0.0025749981869,0.100574307144,0.0665333792567,0.261048704386,0.06680454313760000,0.505039095879,0.10520926863,0.8947907090190000,0.242961600423,0.7570384144780000,0.8546550273900000,110.24006652800000,spotify:track:2VBUEzLsymjbJFycH1y7cA,3,14,16,18,19,0
Fire Up the Shoesaw (vocal mix),Lionrock,Fire Up the Shoesaw,0.835578501225,0.164421513677,0.0044151139445600000,0.726467609406,0.030720198527000000,0.0103522380814,0.06308685243130000,0.0264550279826,0.131943956017,0.00655897054821,0.227759152651,0.104938663542,0.128796502948,0.212341621518,0.326164066792,0.00853284448385,0.991467177868,0.00473879324272,0.995261192322,0.953349649906,110.43837738,Not Found,3,14,16,18,19,0
Scratch Yer Head (Squarepusher mix),DJ Food,Refried Food,0.925781786442,0.0742182433605,0.0227679163218,0.308276772499,0.167140871286,0.139021515846,0.0298411343247,0.285142719746,0.018643528223,0.0291655436158,0.0887636467814,0.0795199275017,0.191593900323,0.066050671041,0.574071824551,0.5,0.5,0.424355000257,0.5756449699400000,0.702683866024,110.838882446,Not Found,3,14,16,18,19,0
A New Error,Moderat,Moderat,0.999999880791,1.00000008274E-07,0.0036314916797,0.880328178406,0.042601414024800000,0.00183146260679,0.0190427135676,0.032750707119700000,0.0171537604183,0.0026602963917,0.0550850331783,0.046946644783,0.164809212089,0.035545319318800000,0.6976137757300000,0.17160683870300000,0.828393161297,0.06094573810700000,0.939054250717,0.921825945377,110.86466217,spotify:track:1fmoCZ6mtMiqA5GHWPcZz9,3,14,16,18,19,0
Silencer,Sundown,Glimmer,0.997929036617,0.00207094009966,0.000207327611861,0.923344016075,0.0119746318087,0.000669067900162,0.0138229448348,0.00304206204601,0.046619404107300000,0.000320562510751,0.125476703048,0.102605104446,0.112017124891,0.07333660870790000,0.586564481258,0.0295696817338,0.970430314541,0.00964307878166,0.99035692215,0.878374040127,110.919235229,spotify:track:4RXH9vSnJDlw2XllAG5YOv,3,14,16,18,19,0
Tú no ajaunta,Cypress Hill,Los grandes éxitos en español,0.992675840855,0.00732414238155,0.00802416913211,0.64963966608,0.159755855799,0.035190731287,0.0164984762669,0.0941216126084,0.0192906372249,0.017478849738800000,0.123099111021,0.138837412,0.112688951194,0.257016777992,0.368357747793,0.109069950879,0.890930056572,0.375528723001,0.624471247196,0.90008854866,111.059928894,spotify:track:0X1iG7LF5n1gPQNvwuW62w,3,14,16,18,19,0
Der Ossi sucht das Glück,J.B.O.,I Dont Like Metal - I Love It!,0.99388808012,0.00611193012446,0.00152349611744,0.649169445038,0.218873649836,0.00364278629422,0.0295130815357,0.0140134654939,0.0811904445291,0.00207363488153,0.148567691445,0.144600629807,0.0397721268237,0.129854053259,0.537205457687,0.289149045944,0.710850954056,0.13478103280100000,0.8652189373970000,0.942641437054,111.173423767,spotify:track:1kzpDjW9uwaDmJ7AH8xgzq,3,14,16,18,19,0
I Am My Own Name (Youth remix),Peter Murphy,Lion,0.999983549118,1.64233897522E-05,0.00111676019151,0.7301624417300000,0.23486469686,0.00137616682332,0.00436644209549,0.0190905071795,0.00554590532556,0.00347707304172,0.0660143792629,0.0619013793766,0.249923884869,0.0798758715391,0.5422844886780000,0.104625754058,0.895374238491,0.171077489853,0.8289225101470000,0.899122297764,111.571777344,spotify:track:26jSyWtHfjgLJa7VDF0cXR,3,14,16,18,19,0
Im a Fucking Idiot,Venetian Snares,Fuck Canada // Fuck America,0.999999880791,1.00000008274E-07,5.2195941862E-06,0.971695125103,0.00157531211153,8.11587779026E-06,0.000320631166687,1.0306225704E-05,0.0263843759894,8.9317632046E-07,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00944620650262,0.990553796291,0.125246763229,0.874753236771,0.875210225582,111.76642608600000,Not Found,3,14,16,18,19,0
What You Want (Jimmy Edgar dub mix),Boys Noize,Out of the Black: The Remixes,0.999999880791,1.00000008274E-07,2.05899832508E-05,0.986785471439,0.00832307897508,4.72159008496E-05,0.0016221138648700000,0.0007556638447570000,0.00223386590369,0.000212029626709,0.117649033666,0.112287558615,0.18042871356,0.218781411648,0.370853304863,0.0173200666904,0.982679903507,0.051602303981800000,0.948397696018,0.954792618752,111.93447113,spotify:track:3jNJJcpTitXHI7z8klvR4M,3,14,16,18,19,0
Closing the Distance / Toy Universe,Peter van Hoesen,Entropic City,0.999999880791,1.00000008274E-07,0.00120894168504,0.5406706333160000,0.4401499331,0.00174816255458,0.00137590244412,0.0117152687162,0.0009919363074,0.00213920231909,0.0655075460672,0.0467857420444,0.147586882114,0.039158735424300000,0.7009611129760000,0.0400059893727,0.959994018078,0.35917952656700000,0.64082044363,0.96138215065,111.93800354,spotify:track:1XkNBatxy6kazBXN5AvSRb,3,14,16,18,19,0
Self-Taught Infection,Neurosis,Pain of Mind,0.587343513966,0.412656515837,0.00125784659758,0.524577796459,0.014275973662700000,0.00876604393125,0.114958412945,0.0158603787422,0.315878242254,0.004425312858070000,0.1223744452,0.0602883920074,0.17466029524800000,0.0281234737486,0.614553391933,0.0903077423573,0.90969222784,0.24217222631,0.7578277587890000,0.94045650959,112.658828735,spotify:track:3lM9qGtOpWWAUBYU4S2MQK,3,14,16,18,19,0
Causers of This,Toro y Moi,Causers of This,0.999999880791,1.00000008274E-07,0.000685181235895,0.886614561081,0.0287642870098,0.00142768712249,0.0251900553703,0.0511125735939,0.005078583490100000,0.00112708937377,0.129030302167,0.118110768497,0.119622208178,0.16108840704000000,0.472148299217,0.132445529103,0.867554485798,0.193942606449,0.806057393551,0.972357153893,112.839653015,spotify:track:3poAcr6VerZoMWYjr3tUp3,3,14,16,18,19,0
Fighter Beat,The Prodigy,Invaders Must Die,0.596856594086,0.403143376112,0.0001923397067,0.956173241138,0.019874509424,0.00028854413540100000,0.00345481582917,0.0180574059486,0.00131553935353,0.000643617706373,0.118128210306,0.177509441972,0.196549370885,0.14040181040800000,0.36741116643,0.24778701365,0.752213001251,0.380289405584,0.619710564613,0.961759388447,112.879936218,Not Found,3,14,16,18,19,0
Cut Out Your Tongue,Bloodgroup,Tracing Echoes,0.996288180351,0.00371181056835,0.00778175285086,0.49158591032,0.171182706952,0.0128389410675,0.26274812221500000,0.0219873376191,0.0249844156206,0.00689082266763,0.0911956354976,0.0899619609118,0.0596792511642,0.0434598177671,0.715703308582,0.0600820481777,0.939917981625,0.0214431975037,0.97855681181,0.836944580078,112.944915771,spotify:track:5YFe1nPyHq8gL3YJljum91,3,14,16,18,19,0
Desertropolis,Encephalon,Psychogenesis,0.998604238033,0.00139573880006,0.00324289570563,0.428133606911,0.013315381482200000,0.00490520941094,0.327955961227,0.007805816363540000,0.211989581585,0.00265153427608,0.0980178788304,0.102127380669,0.127207666636,0.07746504247190000,0.595182061195,0.0780531093478,0.921946883202,0.0228560771793,0.97714394331,0.944098353386,112.99278259300000,spotify:track:4BqGE0cHlXQHxIiy7n46ko,3,14,16,18,19,0
Death Is Looking for Him,Genocide Organ,Remember,0.999996066093,3.92463653043E-06,0.0266852770001,0.264140367508,0.239713326097,0.0530040487647,0.150998771191,0.11473762244,0.122756391764,0.0279641970992,0.140837848186,0.228881120682,0.259634017944,0.0366942547262,0.333952754736,0.012858136557,0.98714184761,0.00310273934156,0.996897280216,0.982286810875,113.06887054400000,spotify:track:20sT82oCTelkBBPLWNVwQC,3,14,16,18,19,0
