title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Time Shift,Jimmy Chamberlin Complex,Life Begins Again,0.7553647160530000,0.244635298848,0.0254592765123,0.347600132227,0.0459574535489,0.0514072179794,0.216094926,0.0786571055651,0.211935326457,0.0228885542601,0.223879933357,0.0793376490474,0.236523598433,0.116466984153,0.34379184246100000,0.471462130547,0.528537869453,0.615474224091,0.384525805712,0.8768871426580000,109.09711456300000,spotify:track:6uJDYK6RhsUEcuaEGqXKrh,3,14,16,17,19,0
atopos 03 sun ra,Love Is Colder Than Death,Atopos,0.994421303272,0.005578693002460000,0.00374318589456,0.821914792061,0.051142424345000000,0.0189529340714,0.0357991755009,0.0384168662131,0.0219987072051,0.00803192332387,0.110591061413,0.11009594053,0.313321501017,0.131326764822,0.334664732218,0.069165751338,0.930834233761,0.906445264816,0.0935547202826,0.877607107162,109.132751465,Not Found,3,14,16,17,19,0
Pleasant Smell (Snipers Hit n Run Vocal mix),12 Rounds,Pleasant Smell,0.939636290073,0.0603637360036,0.00637024268508,0.593607544899,0.0897098779678,0.0116594489664,0.215718179941,0.0376611277461,0.041539568454,0.0037339834962,0.0961354374886,0.120246380568,0.0669275894761,0.142055869102,0.574634730816,0.0949223712087,0.905077636242,0.613038480282,0.386961519718,0.883641004562,109.75631713900000,Not Found,3,14,16,17,19,0
Escher Surfers,Niagara,Hyperocean,0.999996840954,3.15591114486E-06,0.00151884788647,0.8165481686590000,0.132905840874,0.00204672035761,0.022896906361,0.016081301495400000,0.00500730704516,0.00299492059276,0.0777635201812,0.0448678210378,0.136751562357,0.0303845424205,0.7102325558660000,0.00108535971958,0.998914659023,0.7187808752060000,0.281219124794,0.3767105937,109.77719116200000,spotify:track:71EWGfSRRF8G74HtL5jo1i,3,14,16,17,19,0
Les liens du sang,Astral Waves feat. Aureohm,Magnetique,0.999888241291,0.000111762950837,0.006666385568680000,0.459336787462,0.177834481001,0.006032106932250000,0.229066044092,0.048112768679900000,0.0689826905727,0.00396871939301,0.0687431097031,0.0492461621761,0.203602254391,0.0364933907986,0.6419150829320000,0.0609527006745,0.939047276974,0.988608181477,0.0113918418065,0.866397738457,109.79535675,spotify:track:7L7ocxFTFXN5ibXb1Ji9Cj,3,14,16,17,19,0
Pleasant Smell (Snipers Regular Specials Dub),12 Rounds,Pleasant Smell,0.99415075779,0.005849232897160000,0.00388763938099,0.829327404499,0.121110349894,0.00493745412678,0.00809633173048,0.007442099042240000,0.0220102854073,0.00318840891123,0.08244010061030000,0.07280360162260000,0.13706548512,0.198823273182,0.508867561817,0.00185520155355,0.998144805431,0.617499113083,0.382500886917,0.783452272415,109.861968994,Not Found,3,14,16,17,19,0
Stars Bring Us Closer (Franz Kirmann remix),A Dancing Beggar,Ghosts,0.998073160648,0.00192683620844,0.0091950064525,0.6392509937290000,0.0624682866037,0.00987813342363,0.0371359921992,0.205267727375,0.0263534877449,0.0104503585026,0.079237870872,0.0672659501433,0.226050466299,0.0438338816166,0.5836118459700000,0.210330963135,0.789669036865,0.8396875262260000,0.160312458873,0.679832994938,109.884567261,spotify:track:4DJGrX023caJdSr3fk9WwF,3,14,16,17,19,0
Gringos Return to Punk Paste,Lo Fidelity Allstars,Vision Incision,0.999947845936,5.21554466104E-05,0.00417762016878,0.517521083355,0.4067517220970000,0.008333028294150000,0.0114111863077,0.0404384061694,0.00578381028026,0.00558312656358,0.118228211999,0.111062899232,0.0975958406925,0.159183532,0.513929545879,0.005833033472300000,0.994166970253,0.899972438812,0.100027568638,0.668423354626,109.885025024,spotify:track:2EmMK6AxQszUnxoHdqe8vg,3,14,16,17,19,0
Paranoid Destruction (Dance or Die remix),Agonoize,Paranoid Destruction,0.999999880791,1.00000008274E-07,1.81788273039E-05,0.976922273636,0.000545260903891,2.59941807599E-05,0.0040536345914,2.98066806863E-05,0.0183909907937,1.38760497066E-05,0.202185824513,0.0547479167581,0.204366907477,0.0532014258206,0.485497921705,0.008944681845610000,0.991055309772,0.960811316967,0.0391887053847,0.958427488804,109.887107849,Not Found,3,14,16,17,19,0
Come With Us,The Chemical Brothers,Come With Us,0.999999165535,8.37159234379E-07,0.000456536799902,0.6996232271190000,0.152250722051,0.00144955515862,0.126954168081,0.00982605293393,0.0090901395306,0.000349635636667,0.108474865556,0.0863507166505,0.210201054811,0.135940209031,0.459033161402,0.0632247775793,0.93677520752,0.701332747936,0.298667222261,0.748113334179,109.95587921100000,spotify:track:5kTBiVnjq9xKmZL9dNs8zL,3,14,16,17,19,0
Elija,Mantus,Die Hochzeit von Himmel und Hölle,0.946822285652,0.0531777366996,0.00255446438678,0.766105055809,0.0144246751443,0.00293257506564,0.0247824322432,0.0218705683947,0.163511231542,0.00381898577325,0.120537728071,0.134241446853,0.0597772859037,0.112172409892,0.5732710957530000,0.007702594622970000,0.992297410965,0.8051102757450000,0.194889754057,0.769637286663,109.980041504,spotify:track:5PvhCeVVaPjp7rn7lxuEHo,3,14,16,17,19,0
Sitata Tirulala (instrumental) / Sieben Sünden,And One,Sitata Tirulala,0.9994152188300000,0.0005847773863930000,0.00995105877519,0.475976228714,0.244022622705,0.0195504762232,0.0366988107562,0.187784343958,0.010295813903200000,0.0157206524163,0.0904149711132,0.0740353241563,0.30771073699,0.0997266024351,0.428112387657,0.000276437407592,0.999723553658,0.98081111908,0.0191888734698,0.733088731766,109.984657288,Not Found,3,14,16,17,19,0
Failures (A Fire of Pleasure),Fenton,Mythic Failures,0.986415803432,0.0135842226446,0.022081065923,0.645113170147,0.0548072345555,0.0209890082479,0.0298638083041,0.149361908436,0.0566323436797,0.0211514420807,0.0952145010233,0.0625700205564,0.204544231296,0.0438998006284,0.593771457672,0.00722432835028,0.992775678635,0.999999165535,8.52284358643E-07,0.931569457054,109.99465179400000,spotify:track:4pBfrivHUhgqRNUCbztDzt,3,14,16,17,19,0
Circle Of Agony,In Vain,Mantra,0.967344999313,0.0326549820602,0.000297704100376,0.654447376728,0.0042245388031,0.000450266059488,0.0375987030566,0.000563709123526,0.302075088024,0.000342613260727,0.0671247765422,0.0408506058156,0.16136623919,0.0290170852095,0.701641261578,0.0234631747007,0.976536810398,0.803199529648,0.196800455451,0.925380706787,109.999038696,spotify:track:5l58HLTyb4AePuv2GpxILL,3,14,16,17,19,0
Тень сердца (remix),Шмели,Тень сердца,0.999999880791,1.33307139549E-07,0.0027266072575,0.6276447772980000,0.0514245592058,0.00837557855994,0.0950064063072,0.012598796747600000,0.198835015297,0.00338828982785,0.09108372032640000,0.052410945296300000,0.0303129665554,0.055580612272000000,0.770611763,0.17453455925,0.8254654407500000,0.918059945107,0.08194005489350000,0.968777596951,110.01358032200000,Not Found,3,14,16,17,19,0
Kinetic Control,Mystral,World Without Limits,0.999865174294,0.00013484118972,0.0028301491402100000,0.8084691166880000,0.0443199500442,0.00353326508775,0.07171103358270000,0.058860681951,0.007408086676150000,0.00286768772639,0.0822103247046,0.0830813348293,0.128223463893,0.0632048100233,0.643280088902,0.010503000579800000,0.989497005939,0.877669215202,0.122330784798,0.741567194462,110.01419067400000,spotify:track:6NvJOWjnv67fEA8hITnGoY,3,14,16,17,19,0
