title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
The Gloaming. (Softly Open Our Mouths in the Cold.),Radiohead,Hail to the Thief. (The Gloaming.),3.00000096379E-14,1.0,5.32972480869E-05,0.7550016045570000,0.238964378834,7.70931583247E-05,0.0006985747604630000,0.0043500685133,0.000156731082825,0.000698243209627,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00531292986125,0.994687080383,0.907455444336,0.09254456311460000,0.955615103245,66.5790328979,Not Found,3,14,16,17,20,1
Depth Charge,Reverend and the Makers,@Reverend_Makers,3.00000096379E-14,1.0,3.12396332447E-05,0.8750604987140000,0.00907502323389,6.38542333036E-05,0.0454282946885,0.0013703224249200000,0.06888952851300000,8.12635262264E-05,0.0845726877451,0.048307724297,0.261564284563,0.0320031307638,0.573552191257,0.186294943094,0.813705086708,0.209461227059,0.7905387878420000,0.8658895492550000,71.4401779175,spotify:track:2ZDupzPFJFc7z2tj2LMhLq,3,14,16,18,20,1
Touching Down… Planet Photek,Studio Pressure,The Physical / Touching Down… Planet Photek,3.00000096379E-14,1.0,0.00139962648973,0.492955952883,0.414281278849,0.00345034641214,0.0206076856703,0.0650572627783,0.00100602046587,0.00124183821026,0.0594336055219,0.0690828859806,0.156477764249,0.077520981431,0.63748472929,0.044535368681,0.955464661121,0.525314867496,0.474685102701,0.61966496706,79.9593734741,Not Found,3,14,16,17,20,1
Interceptor,Mitch Murder,Interceptor,3.00000096379E-14,1.0,0.000502680777572,0.615152359009,0.257563620806,0.000718501862139,0.035349082201700000,0.08893859386440000,0.00120076793246,0.000574401114136,0.0717634856701,0.0467139221728,0.27435362339,0.0296099856496,0.5775589942930000,0.06060927733780000,0.939390718937,0.628979802132,0.371020197868,0.923520863056,82.4024353027,spotify:track:2XD8RAoYmvuLRjvTi1dHvl,3,14,16,17,20,1
Arrhythmia,Halou,Wiser,3.00000096379E-14,1.0,0.00302806962281,0.429893225431,0.337673187256,0.005733015481380000,0.15413607657,0.050901275128100000,0.0148688107729,0.00376631715335,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0013427713420200000,0.998657226562,0.141074344516,0.858925640583,0.514953374863,82.8747634888,spotify:track:1onAe7lm8yyrSYHUms7qvL,3,14,16,18,20,1
Debauched Putrefaction,Malodorous,Amaranthine Redolence,0.05795030668380000,0.94204968214,0.00121890683658,0.710543096066,0.128522112966,0.00291755306534,0.0177928153425,0.00683913147077,0.129723370075,0.002443036763,0.34252139926,0.0888451561332,0.0540065839887,0.0276275891811,0.4869992733,0.000468191108666,0.999531805515,0.00288174441084,0.997118234634,0.965339422226,82.966178894,spotify:track:4rGUY22xANjYZsD5wtsWk4,3,14,16,18,20,1
Full Spectrum Dominance,Black Lung,Full Spectrum Dominance,3.00000096379E-14,1.0,0.000758924114052,0.7206158041950000,0.183886483312,0.00152752688155,0.0575482994318,0.0159983560443,0.017734028399,0.00193059816957,0.0934212878346,0.0478913076222,0.234512880445,0.032049000263200000,0.5921255350110000,0.0599950142205,0.940005004406,0.992191672325,0.00780832255259,0.6677697300910000,84.964302063,spotify:track:0W1vhJfFpXDwW3IvF2cNoQ,3,14,16,17,20,1
Tr-III-CK,Al Core,Body Hammer,3.00000096379E-14,1.0,9.75054936134E-05,0.982636749744,0.009324157610540000,0.000119997035654,0.00382326007821,0.00018963716866,0.00370646151714,0.000102220423287,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0019721100106800000,0.998027861118,0.0575904361904,0.942409574986,0.921726644039,84.9886550903,spotify:track:2BE95PSeuPnEz6bZCJVbI4,3,14,16,18,20,1
Electricks,Roni Size & Reprazent,New Forms,3.00000096379E-14,1.0,0.00200033606961,0.739114701748,0.15044952929000000,0.00296900235116,0.0892237797379,0.007820469327270000,0.00613342132419,0.00228878483176,0.0916732996702,0.049788840115100000,0.331843018532,0.048316091299100000,0.478378742933,0.0311641059816,0.968835890293,0.6826978921890000,0.317302107811,0.920986294746,85.0185165405,spotify:track:2FbNnxrf0UIw4Jp9YvOPuN,3,14,16,17,20,1
Get Deaded,Noisia,Outer Edges,3.00000096379E-14,1.0,0.0007149675511760000,0.968606889248,0.0212335605174,0.0006070396048020000,0.00385065120645,0.00216153683141,0.00180547591299,0.00101987412199,0.0948970019817,0.0524879060686,0.0416662096977,0.111505776644,0.699443101883,0.0379250943661,0.962074935436,0.0619876347482,0.938012361526,0.8701798915860000,85.9342803955,spotify:track:56mk0sSl5SUHXCMO1k1wcB,3,14,16,18,20,1
Concussion,Noisia,FabricLive 40: Noisia,3.00000096379E-14,1.0,0.00123678159434,0.690943002701,0.14308565855,0.0016335269901900000,0.0103585608304,0.00498410267755,0.145725741982,0.00203264644369,0.0772356912494,0.0444028303027,0.22769266367,0.0306250862777,0.620043754578,0.00182560866233,0.998174369335,0.889574408531,0.11042560637,0.937573671341,86.44691467290000,spotify:track:2cUvoVjOfB3WNgkVjtaYST,3,14,16,17,20,1
Stripe Rhythm,Two Fingers,Stunt Rhythms,3.00000096379E-14,1.0,0.000474907807074,0.989630699158,0.006650662049650000,0.000117534487799,0.000578184437472,0.001824591076,0.000296035810607,0.000427386024967,0.15424478054,0.13635058701,0.186277583241,0.212154403329,0.31097263097800000,0.000672960944939,0.99932706356,0.0596616342664,0.940338373184,0.745447456837,86.53150939940000,spotify:track:3cVB8NNPB1lKPwEKTZDAdH,3,14,16,18,20,1
SFX,The Upbeats,Way of the Samurai,3.00000096379E-14,1.0,0.00341620040126,0.395269364119,0.0694864094257,0.005727742332970000,0.14620494842500000,0.0033985178452,0.372850805521,0.00364602543414,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,4.506381174E-06,0.999995470047,0.999990820885,9.16362932912E-06,0.8197152018550000,86.5361938477,spotify:track:3jL7ZGgHb7KBFJmCEh7MQP,3,14,16,17,20,1
Red Bus Needs to Leave!,DJ Shadow,Stem,3.00000096379E-14,1.0,0.0182074159384,0.320767104626,0.253023177385,0.0219024457037,0.0485756471753,0.035462435334900000,0.286406099796,0.0156556833535,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0580897368491,0.941910266876,0.992052197456,0.00794779602438,0.961966753006,87.8544387817,Not Found,3,14,16,17,20,1
Teenage Lobotomy,Al Core,Body Hammer,3.00000096379E-14,1.0,1.92912580133E-06,0.996194243431,0.00292960880324,5.43909163753E-06,0.000218006578507,1.72031141119E-05,0.000617327808868,1.62627839018E-05,0.07538505643610000,0.044483512640000000,0.224006816745,0.030616721138400000,0.625507891178,0.115511074662,0.884488940239,0.00362837966532,0.996371626854,0.947104275227,88.5422744751,spotify:track:2Xvg6aLw4Sec3kFnxOrNw5,3,14,16,18,20,1
Trigger,Zion I & The Grouch,Heroes in the City of Dope,3.00000096379E-14,1.0,0.00403073942289,0.598910748959,0.177524492145,0.010166962631,0.05855164304380000,0.107113309205,0.0357025079429,0.00799959897995,0.23202881217,0.247374132276,0.306343257427,0.102010495961,0.112243294716,0.969002306461,0.0309977103025,0.0351016297936,0.964898347855,0.972016394138,89.8538208008,spotify:track:5E6hN1vTuBXbDHrWR0IgRe,3,12,15,18,20,1
Salam,Gigi,Gold & Wax,3.00000096379E-14,1.0,0.00634996686131,0.511336803436,0.209590896964,0.014929166995,0.0389925912023,0.122686609626,0.08701449632640000,0.00909947883338,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0384750515223,0.961524963379,0.997345685959,0.00265433662571,0.971517145634,89.97605896,spotify:track:4yZAPt3Bq4q4HUFGwzNhQK,3,14,16,17,20,1
Verschwende Deine Jugend (Official Version 180 BPM),Deutsch Amerikanische Freundschaft,Verschwende Deine Jugend (Delkom Remix),2.70736766339E-10,1.0,0.00266759097576,0.78963381052,0.104384705424,0.00930184870958,0.0535194724798,0.030065773055,0.00618071155623,0.00424606492743,0.101313747466,0.13129521906400000,0.0873653963208,0.110709927976,0.569315731525,0.6336262226100000,0.366373807192,0.872664093971,0.12733592093,0.951666235924,89.97714233400000,Not Found,3,14,15,17,20,1
Aluvimium,Frank Riggio,Symmetric Human Door,3.00000096379E-14,1.0,0.00306536443532,0.462200075388,0.0197413433343,0.00785526726395,0.241819709539,0.035454992204900000,0.22679951787,0.00306373601779,0.17824366688700000,0.0874846279621,0.269610613585,0.0584271550179,0.406233936548,0.146067544818,0.853932440281,0.36355894804,0.63644105196,0.874859690666,89.9977798462,Not Found,3,14,16,18,20,1
Elephants,Burning Spear,Mek We Dweet,3.00000096379E-14,1.0,0.00392202660441,0.4971674084660000,0.245940938592,0.0094703277573,0.113319091499,0.0935298129916,0.0326404497027,0.00400993740186,0.150744229555,0.092350140214,0.489985734224,0.104246817529,0.162673085928,0.991247713566,0.008752284571530000,0.152118563652,0.8478814363480000,0.952610969543,90.0141525269,spotify:track:0i4rzeCdnuPRhhMoIRzuva,3,12,15,18,20,1
Fall (feat. Inga Copeland),The Bug,Angels & Devils,3.00000096379E-14,1.0,0.00618304871023,0.54127061367,0.189992055297,0.00780603196472,0.116854690015,0.0579334832728,0.0728997513652,0.0070603271015,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0233531408012,0.976646840572,0.970767438412,0.029232537373900000,0.785157561302,90.08380889890000,Not Found,3,14,16,17,20,1
Yvma!,ROVO,Pico!,3.00000096379E-14,1.0,0.000818376196548,0.485902130604,0.457913786173,0.00352737191133,0.0203539356589,0.0253178533167,0.00209522619843,0.00407131062821,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0005087182507850000,0.999491274357,0.98557639122,0.014423580840200000,0.672130048275,90.61357879640000,Not Found,3,14,16,17,20,1
Payment Day,Chris Hülsbeck,"Turrican Soundtrack Anthology, Volume 3",3.00000096379E-14,1.0,0.00146994192619,0.768631339073,0.123275816441,0.00507260067388,0.051266469061400000,0.00940303876996,0.036261126399,0.00461965054274,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00539672840387,0.994603276253,0.999999582767,4.2189176952E-07,0.88462126255,91.0152130127,spotify:track:4zvglUQUmmlFpPoB9MY5zH,3,14,16,17,20,1
Heels,Andre Williams,Life,0.479125648737,0.520874381065,0.0579432733357,0.212858945131,0.123900979757,0.101354233921,0.190908402205,0.117091044784,0.167887270451,0.0280558597296,0.179207384586,0.207214221358,0.0886154994369,0.14676809310900000,0.37819480896,0.964308261871,0.035691767931,0.837453365326,0.162546619773,0.8634673953060000,91.5858535767,spotify:track:3fHWnT2RilpLjWFqGHrvfE,3,14,15,17,20,1
Grovzimmer march,Sort Stue,Endnu en ulovlighed,3.00000096379E-14,1.0,0.0169459525496,0.30340939760200000,0.30115616321600000,0.0213491283357,0.15688444674000000,0.053867083042900000,0.126851141453,0.0195366814733,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0441676266491,0.955832362175,0.8784780502320000,0.121521949768,0.944709956646,92.07894134520000,Not Found,3,14,16,17,20,1
