title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
The Best Selling Show,Lucy,Churches Schools and Guns,0.999999880791,1.00000008274E-07,0.000831156794447,0.730373799801,0.226179122925,0.000716764188837,0.00131892366335,0.0379711352289,0.0015236078761500000,0.00108547986019,0.089146822691,0.0416873060167,0.150784745812,0.0480690933764,0.6703120470050000,0.0109247202054,0.989075303078,0.0876390859485,0.912360906601,0.954400956631,60.1953239441,spotify:track:6sTgTgfBdjb5eucjLSPunx,3,14,16,18,20,0
Les Tonaxarès,Dawn & Dusk Entwined,Cathédrales de brume,0.932781159878,0.0672188475728,0.0198440756649,0.521816790104,0.0938525572419,0.0189814772457,0.06932314485310000,0.051810920238500000,0.209826901555,0.0145441377535,0.120306566358,0.052207991480800000,0.0678967833519,0.047386638820200000,0.7122020125390000,0.000193096901057,0.999806880951,0.6492042541500000,0.350795775652,0.8366235494610000,70.3378219604,Not Found,3,14,16,17,20,0
Blood Line,iTAL tEK,Blood Line,0.999968707561,3.13033306156E-05,0.00365860387683,0.386681318283,0.20569652319,0.00804521422833,0.194939121604,0.0905645489693,0.102107912302,0.008306756615640000,0.117795042694,0.121176637709,0.139359772205,0.227580830455,0.394087731838,0.00146844913252,0.998531579971,0.250230312347,0.749769687653,0.963126659393,72.0401077271,spotify:track:2UkTEcWPxTo7uNQAl0q0e7,3,14,16,18,20,0
BHC,Morgan Zarate,Broken Heart Collector,0.999999880791,1.00000008274E-07,0.00382447219454,0.463209748268,0.279080718756,0.00508950976655,0.163599476218,0.06149641796950000,0.0205722916871,0.00312735862099,0.142911881208,0.160243600607,0.183483526111,0.114244110882,0.399116873741,0.0823979005218,0.91760212183,0.122830241919,0.8771697878840000,0.939337790012,72.5026931763,spotify:track:7IXZFpbOdppDj7CEUGDQ0g,3,14,16,18,20,0
Beautiful Brutality,random,Happy Ending After All,0.999999880791,1.00000008274E-07,0.015342753380500000,0.317753940821,0.125258073211,0.0424259305,0.16616545617600000,0.128073230386,0.175462648273,0.029517967253900000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.040006712079,0.959993302822,1.0,2.25268230736E-08,0.96940612793,74.0745697021,Not Found,3,14,16,17,20,0
Youre Still Here,Guy Forsyth,Steak,0.979939222336,0.0200607720762,0.00866723433137,0.369962960482,0.0641356259584,0.0108514418826,0.202851951122,0.146629914641,0.18950393796,0.00739693362266,0.131334900856,0.165735468268,0.186600953341,0.139158993959,0.377169698477,0.400916427374,0.599083602428,0.0148657104,0.98513430357,0.955604016781,75.39798736570000,spotify:track:2HmlRuUvT1Y9tnd39dJiHu,3,14,16,18,20,0
Rolled Into 1 (original),E-Z Rollers,Dimensions of Sound,0.993330776691,0.00666922191158,0.0383082740009,0.425942957401,0.194292828441,0.0434370972216,0.12614618241800000,0.121606394649,0.0270066596568,0.0232595950365,0.0709307938814,0.07248604297640000,0.182087242603,0.0546856820583,0.6198102235790000,0.051121994853,0.948877990246,0.984801769257,0.0151982335374,0.327333629131,77.4966506958,Not Found,3,14,16,17,20,0
City of angels-www.trancezone.tv.pl,Blank &amp; Jones,RelaxEdition 2,0.998497724533,0.00150230212603,0.0128635661677,0.319025576115,0.120287925005,0.0158931110054,0.21833032369600000,0.282218694687,0.0165561661124,0.014824616722800000,0.0551430583,0.0813227593899,0.504748404026,0.0433269888163,0.31545880436900000,0.06322750449180000,0.936772525311,0.24374930560600000,0.7562506794930000,0.578619420528,78.0017852783,Not Found,3,12,16,18,20,0
Stay in Bed Forever,Pete Skank,Stay in Bed Forever / E.T. Likes LSD,0.999995231628,4.75095748698E-06,0.00091174436966,0.388181507587,0.0454113520682,0.00100572302472,0.319490730762,0.00679925410077,0.237908393145,0.000291315314826,0.0840510576963,0.0596032962203,0.123763538897,0.0545708686113,0.678011238575,0.211949378252,0.78805065155,0.681089222431,0.318910807371,0.881426811218,79.9364547729,Not Found,3,14,16,17,20,0
Fever,Monokle,Saints,0.999999880791,1.00000008274E-07,0.00520313670859,0.671515524387,0.138903170824,0.0075809773989,0.0238622352481,0.129552021623,0.0147585710511,0.008624363690610000,0.104795403779,0.119110219181,0.230156734586,0.0496235303581,0.496314108372,0.0124657824636,0.987534224987,0.898905277252,0.1010947451,0.968769431114,79.9393692017,spotify:track:1bAAVSM6ABy3DxpmUArnoh,3,14,16,17,20,0
In Triple Time,Biosphere,Dropsonde,0.999987900257,1.20937302199E-05,0.000899730541278,0.929628670216,0.0272563379258,0.000702238408849,0.016148315742600000,0.007209694013,0.016750825569,0.00140415900387,0.0681316629052,0.0389237292111,0.187668025494,0.0295615103096,0.675715088844,0.847409486771,0.15259048342700000,0.999999940395,5.27405248363E-08,0.981097280979,79.9723052979,spotify:track:5fYTy4KvEankt7yIj4qu2C,3,14,15,17,20,0
Crusoe (remixed by Aquasky),Art of Noise,The Drum and Bass Collection,0.999984264374,1.57222293637E-05,0.000572754419409,0.522522211075,0.432007491589,0.00174570037052,0.00856922566891,0.032790455967200000,0.000787823519204,0.00100436143111,0.105591401458,0.139393866062,0.142928645015,0.0992328450084,0.512853264809,0.183779090643,0.8162209391590000,0.963086903095,0.0369131192565,0.883220732212,80.0153961182,Not Found,3,14,16,17,20,0
Lieber verbrennen als erfrieren,Fettes Brot,Strom und Drang,0.999953448772,4.65289158456E-05,0.0051489826291800000,0.365072339773,0.318442553282,0.00720923161134,0.0662347152829,0.212368875742,0.0213903225958,0.00413299398497,0.131594255567,0.24026273191,0.0754610672593,0.295506507158,0.257175445557,0.528500258923,0.471499711275,0.0305626168847,0.969437360764,0.827856659889,80.8825073242,spotify:track:6hJBwTaeVf6Vica0W3s32D,3,13,15,18,20,0
Still Awake,Pick a Piper,Distance,0.996914029121,0.0030859943945000000,0.0121102062985,0.52602571249,0.147957727313,0.0468853116035,0.0530679821968,0.162693470716,0.0249109901488,0.0263486038893,0.159899547696,0.158494099975,0.232357427478,0.07445389777420000,0.374795049429,0.0195650458336,0.980434954166,0.995720207691,0.00427979091182,0.841637194157,81.9225540161,spotify:track:744v3VLZI4QiIb8nPS2n6G,3,14,16,17,20,0
The End,zircon,Identity Sequence,0.925282597542,0.074717387557,0.00262744841166,0.414942502975,0.042817953974000000,0.00352548458613,0.394357353449,0.0314108803868,0.108628354967,0.00169003149495,0.17973436415200000,0.153572380543,0.110223546624,0.0866359770298,0.469833731651,0.525410115719,0.474589854479,0.117968097329,0.8820319175720000,0.908880412579,82.28721618650000,spotify:track:24HZkXA56U0OUrkJ8fgzpv,3,14,15,18,20,0
Feindflug (remix by Feindflug),Feindflug,Kollaboration,0.999147772789,0.000852212833706,0.000696840404999,0.8927478194240000,0.0411029681563,0.0010494184680300000,0.0021530231460900000,0.00539814122021,0.0563777349889,0.0004740749136540000,0.0800709426403,0.036546420306,0.06314588338140000,0.0362098254263,0.784026920795,0.193239703774,0.806760311127,0.09077326953410000,0.909226715565,0.910617351532,82.323059082,Not Found,3,14,16,18,20,0
Brockwild,Darkhouse Family,Brockwild EP,0.999804615974,0.000195368207642,0.0020369836129200000,0.7109935879710000,0.236548900604,0.000755916873459,0.0198483914137,0.0160208977759,0.013049502857,0.0007458036998290000,0.21860255301,0.150103092194,0.0874170660973,0.183872282505,0.360005021095,0.0985766872764,0.901423335075,0.08459111303090000,0.915408909321,0.96326905489,82.9339141846,Not Found,3,14,16,18,20,0
Schauspielführer,Fatoni & Dexter,"Yo, Picasso",0.999902904034,9.70693508862E-05,0.00329539296217,0.491181820631,0.253630489111,0.005243275780230000,0.12797249853600000,0.109791584313,0.004536466207360000,0.00434846803546,0.165624365211,0.241251945496,0.233774542809,0.222596049309,0.13675309717700000,0.5849288702010000,0.415071129799,0.852055668831,0.147944301367,0.944234311581,82.9713287354,spotify:track:2bQiNBXUUGfakxDsRjdDAE,3,11,15,17,20,0
Three Way Deal (Theme From Undercover),Simon Viklund,Payday - The Game Soundtrack,0.999993503094,6.51889422443E-06,0.0011781821958700000,0.844672858715,0.0377261042595,0.00204928778112,0.0382492132485,0.0309767406434,0.043386742472600000,0.0017608870985,0.0567383728921,0.0579027310014,0.107977218926,0.041996769607100000,0.735384881496,0.0271772984415,0.972822725773,0.7959381341930000,0.204061895609,0.891369223595,82.98387908940000,Not Found,3,14,16,17,20,0
Physics for Everyone!,Flying Lotus,Pattern+Grid World,0.999998867512,1.14262456918E-06,0.00135891477112,0.6805160641670000,0.0976526588202,0.00769652519375,0.176156803966,0.0124667650089,0.0228982139379,0.00125403131824,0.256173491478,0.128852799535,0.0251640751958,0.0686893165112,0.52112030983,0.6879261136050000,0.312073886395,0.876693964005,0.123306050897,0.945880174637,83.2615203857,spotify:track:1P1m6BC56LRANA7obQxyl7,3,14,15,17,20,0
The Place To Be,Rmb,This World Is Yours,0.999994516373,5.49714786757E-06,1.57230242621E-05,0.989692091942,0.00045693438733000000,4.33871791756E-05,0.0023767191451,0.000339252321282,0.00705203972757,2.38801403611E-05,0.273446619511,0.150128915906,0.0709956213832,0.172386944294,0.333041906357,0.22059160471,0.77940839529,0.447980761528,0.552019238472,0.915930867195,83.876121521,spotify:track:20mLRDK4WQD0ngd8ehFgou,3,14,16,18,20,0
Beautiful Decline,Abney Park,The End of Days,0.979706704617,0.0202932842076,0.00299923191778,0.500521123409,0.074588008225,0.0523921325803,0.083987429738,0.26871791482,0.013406882062600000,0.00338729238138,0.2737801373,0.244782596827,0.142150297761,0.274697452784,0.0645895153284,0.8961088061330000,0.103891178966,0.727957248688,0.27204272151000000,0.8395769596100000,83.90242004390000,spotify:track:6bFddLq7WiSeUtpeSahlrS,3,13,15,17,20,0
