title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Major List MCs (Mark One instrumental),Virus Syndicate,Ready to Learn,0.992887675762,0.00711232842878,0.00110547314398,0.00224751210772,0.971750020981,0.00400852272287,0.00332667562179,0.0169265717268,0.000396971416194,0.00023824357776900000,0.129845619202,0.238188549876,0.0590339675546,0.230402305722,0.342529565096,0.809933483601,0.190066546202,0.982394397259,0.0176055785269,0.902271986008,69.456413269,Not Found,4,14,15,17,20,0
Blow,E-Z Rollers,Dimensions of Sound,0.999993443489,6.56666998111E-06,0.0095021026209,0.160020917654,0.241794288158,0.101789303124,0.235786035657,0.231738045812,0.0133607331663,0.00600859336555,0.0953248515725,0.0763018876314,0.207107633352,0.0499895550311,0.571276068687,0.872193455696,0.127806574106,0.99999755621,2.43244198828E-06,0.820793271065,81.6576309204,Not Found,4,14,15,17,20,0
I Don’t Play,Kool Keith,Black Elvis / Lost in Space,0.999965190887,3.47935347236E-05,0.000166929137777,0.00477376626804,0.776833713055,0.0005305453087200000,0.007355713751170000,0.209559589624,0.000279447383946,0.00050029437989,0.160766080022,0.193130597472,0.234727114439,0.157324001193,0.254052191973,0.538579046726,0.461420953274,0.673643767834,0.326356202364,0.93044012785,82.3301391602,spotify:track:0fcHgMmwEclq6liArDogML,4,14,15,17,20,0
L.M.L.Y.P.,Ween,GodWeenSatan: The Oneness,3.00000096379E-14,1.0,0.0127288764343,0.00719459820539,0.799607872963,0.0224490091205,0.0584100112319,0.0660836324096,0.0241399947554,0.00938600394875,0.07709092646840000,0.0444307178259,0.227578550577,0.0306549351662,0.6202448606490000,0.535652458668,0.464347571135,0.999989271164,1.07131572804E-05,0.6994898319240000,82.7357788086,spotify:track:3qok69sGhyT5tWtp7criOL,4,14,15,17,20,1
Acid,Rubberoom,Architechnology,0.998403251171,0.0015967513900300000,0.00292642391287,0.060992334038,0.8869149088860000,0.005949394311760000,0.0145145012066,0.0162268169224,0.00743145635352,0.00504416693002,0.09629693627360000,0.134337633848,0.17976090312000000,0.179687395692,0.409917145967,0.95097643137,0.0490235574543,0.942932486534,0.0570674873888,0.969452023506,83.00927734380000,spotify:track:6nxrLwKGIQSPiB1C8ERWBG,4,14,15,17,20,0
My Life,Erykah Badu,Mamas Gun,0.990775883198,0.0092241121456,0.0326788052917,0.0378495082259,0.398241728544,0.0436434596777,0.0801146999002,0.381192356348,0.0116367675364,0.0146426558495,0.0748162120581,0.150452271104,0.223231121898,0.231056705117,0.320443689823,0.7484662532810000,0.25153374671900000,0.931747019291,0.0682529732585,0.956092476845,83.5305023193,spotify:track:0ieS2bue78yadTdPiyzsaO,4,14,15,17,20,0
Eye of a Needle (remixed by Lemon D),Art of Noise,The Drum and Bass Collection,0.983440577984,0.0165594276041,0.00016605776909300000,0.000762924435548,0.97613042593,0.00409699231386,0.00142561038956,0.0169100873172,2.78046427411E-05,0.00048008520389,0.0906000584364,0.123860731721,0.108479373157,0.0901712402701,0.586888611317,0.7580986619,0.241901367903,0.6840267181400000,0.31597328186,0.912700295448,84.9348602295,Not Found,4,14,15,17,20,0
La fabrica rica,Chinatown,Opio,0.966220080853,0.0337799414992,0.0007274388335650000,0.00615395326167,0.957101106644,0.00439839763567,0.0024040113203200000,0.0193633530289,0.003567985259,0.00628377543762,0.0808438286185,0.130923688412,0.17459312081300000,0.06398067623380000,0.54965865612,0.678671658039,0.321328371763,0.87495470047,0.125045284629,0.96083343029,85.6640853882,spotify:track:4Bky6Gl9Cxn2VyLbDFrsiC,4,14,15,17,20,0
This Life (Boymerang mix),Mandalay,This Life (remixes),0.999913394451,8.66165937623E-05,0.000934108335059,0.00189463153947,0.930853664875,0.0132168242708,0.00219722487964,0.049842517823,0.000253105856245,0.000807929143775,0.0665714666247,0.0718162804842,0.197212204337,0.0876830220222,0.576717019081,0.593833863735,0.406166166067,0.777683675289,0.222316339612,0.8807319402690000,85.8758621216,Not Found,4,14,15,17,20,0
White Lightning (feat. Ryme Tyme),Ed Rush & Optical,The Creeps (disc 1),0.999788224697,0.000211803548154,0.00510885752738,0.427133589983,0.496692240238,0.008652478456500000,0.00655016908422,0.0474062375724,0.0033329047728300000,0.00512353237718,0.116927787662,0.179602026939,0.176511049271,0.201308712363,0.325650423765,0.582671165466,0.417328804731,0.8435510993,0.156448885798,0.94183665514,85.8980255127,Not Found,4,14,15,17,20,0
"Black Chick, White Guy",Kid Rock,Early Mornin Stoned Pimp,0.999996006489,4.00634098696E-06,3.32232448272E-05,0.034759178757700000,0.956842839718,0.000129621068481,0.00486098090187,0.00241370941512,0.000838083971757,0.000122358673252,0.07930894941090000,0.0958905443549,0.129677534103,0.0431657359004,0.6519572138790000,0.508370220661,0.491629809141,0.734979629517,0.265020400286,0.963647425175,85.9045257568,spotify:track:5MxybYJk5uwY9hGk5zkOAt,4,14,15,17,20,0
Cult Leader,Non Phixion,The Future Is Now: Platinum Edition,0.822214007378,0.177786007524,0.035636477172400000,0.108425915241,0.788668453693,0.012120638974000000,0.00963665358722,0.0337687209249,0.00557876890525,0.00616439012811,0.077948987484,0.0844416320324,0.129183635116,0.129490941763,0.578934788704,0.955917298794,0.0440826974809,0.509902060032,0.490097939968,0.939057826996,85.9781036377,spotify:track:70cKGAIYVVgPLNyPTZtAyd,4,14,15,17,20,0
