title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
She Drives Me Crazy (Monie Love Mix),Fine Young Cannibals,The Finest,0.999372661114,0.0006273228791540000,0.0008454716298730000,0.0308732781559,0.721999943256,0.0259928088635,0.0156488437206,0.199221864343,0.0017894578632,0.00362835335545,0.0926553532481,0.137321263552,0.222414150834,0.145508781075,0.402100473642,0.7852963805200000,0.214703634381,0.0333913005888,0.966608703136,0.8125043511390000,109.051765442,Not Found,4,14,15,18,19,0
Camilla The Old Old Story (remixed by J. Majik),Art of Noise,The Drum and Bass Collection,0.994056642056,0.005943334195760000,0.00125627894886,0.0393764525652,0.871745944023,0.00271526700817,0.006930058356370000,0.07634525001050000,0.000440480886027,0.0011903009144600000,0.0608465857804,0.0806521102786,0.310445964336,0.0615068636835,0.486548483372,0.7026303410530000,0.297369688749,0.0919082090259,0.908091783524,0.265980750322,109.063201904,Not Found,4,14,15,18,19,0
Sway,Shriekback,Care,0.999886095524,0.000113897280244,0.00035670906072500000,0.0147790508345,0.936820268631,0.00179216545075,0.00224135234021,0.042480293661400000,0.00012965015776,0.0014005323173500000,0.04878519475460000,0.111598707736,0.08344392478470000,0.182674661279,0.573497533798,0.633302152157,0.366697877645,0.344227522612,0.655772507191,0.913115859032,109.255737305,spotify:track:2rUB5RLM95L50N9fo1SFHS,4,14,15,18,19,0
R To The A,CJ Lewis,Rough n Smooth,0.891016840935,0.108983166516,0.007444805465640000,0.155161574483,0.395646214485,0.0374134667218,0.253953099251,0.103639915586,0.0387840010226,0.00795693788677,0.179457962513,0.111929237843,0.218230843544,0.183538645506,0.30684331059500000,0.963991522789,0.0360084958375,0.352918505669,0.647081494331,0.961882054806,109.728187561,spotify:track:1ufJgh6mOVOe1rp6kmk0tk,4,14,15,18,19,0
Another One Bites the Dust,Queen,The Game,0.526718020439,0.473281949759,0.0025815553963200000,0.011160409078000000,0.90008187294,0.0175397340208,0.0339893065393,0.0307000037283,0.00167966284789,0.00226746802218,0.135043010116,0.172668665648,0.128652945161,0.125567272305,0.438068091869,0.7734293341640000,0.226570695639,0.00399678712711,0.996003210545,0.67879575491,109.84366607700000,spotify:track:57JVGBtBLCfHw2muk5416J,4,14,15,18,19,0
Another Part of Me (extended dance mix),Michael Jackson,King of Pop,0.857954502106,0.142045482993,0.021985700354,0.029747135937200000,0.752056598663,0.0720550268888,0.0391958281398,0.0596137531102,0.0219263080508,0.00341966212727,0.06116946786640000,0.07297506183390000,0.146262347698,0.131418183446,0.588174939156,0.935579061508,0.0644209682941,0.0527199953794,0.947279989719,0.895389676094,110.10111236600000,Not Found,4,14,15,18,19,0
I Got My Mind Made Up (You Can Get It Girl),Instant Funk,Instant Funk,0.990820109844,0.00917991157621,0.0031942208297600000,0.392476379871,0.4518863558770000,0.006142857484520000,0.0594786629081,0.0577399507165,0.0257210657001,0.0033605324570100000,0.0749723315239,0.14875319600100000,0.185567364097,0.245018228889,0.34568887949,0.991237044334,0.008762972429390000,0.315065979958,0.684934020042,0.934565246105,110.263114929,spotify:track:3NVeGIbKHnLYeQlBTZHSZX,4,14,15,18,19,0
Tu mas saoulé,Les Négresses Vertes,En public,3.00000096379E-14,1.0,0.0068484977819,0.0352921187878,0.548243284225,0.0367782339454,0.203430891037,0.134556934237,0.0251076109707,0.00974239874631,0.0902963429689,0.187655732036,0.131352245808,0.140242561698,0.450453102589,0.900911271572,0.0990887060761,0.17683769762500000,0.823162317276,0.873733878136,110.717803955,spotify:track:6WhbolBbmluu0k5ln37X20,4,14,15,18,19,1
"Charlie Watts, Jim Keltner Project -  1) Shelly Manne",Charlie Watts &amp; Jim Keltner,Charlie Watts/Jim Keltner Project,0.992017924786,0.00798209570348,0.000326671055518,0.111879959702,0.875410079956,0.00261624762788,0.007119958288970000,0.00125740666408,0.0007182236877270000,0.000671472342219,0.126630336046,0.191401019692,0.0462932400405,0.0659557804465,0.569719612598,0.777355968952,0.222644031048,0.118249878287,0.881750106812,0.946606040001,110.897598267,Not Found,4,14,15,18,19,0
Tobloid Junkie,Michael Jackson,"HIStoryPast, Present and Future, Book I",0.925957024097,0.07404296845200000,0.0107792140916,0.124844878912,0.727477967739,0.027561662718700000,0.025771070271700000,0.06705290079120000,0.0108421528712,0.005670144688340000,0.077831029892,0.1260509938,0.137038588524,0.30402636528,0.35505303740500000,0.599554657936,0.400445342064,0.006195269525050000,0.993804752827,0.787177920341,111.088142395,Not Found,4,14,15,18,19,0
No Turning Back (live),Satan,The Early Demos,0.999542653561,0.000457340676803,0.00338893942535,0.28842997551,0.504660725594,0.0344848297536,0.0882575213909,0.021806087344900000,0.0549521297216,0.0040197996422600000,0.07710821926590000,0.047274839133,0.202493607998,0.028525236994,0.6445980668070000,0.7182294130330000,0.28177061677,0.00195344141684,0.998046576977,0.855744421482,111.237419128,spotify:track:6xo7TOaSXRbKBSQyVZ9BBB,4,14,15,18,19,0
Start It Up,Àè×Ë,¸øÄã°É,0.999956786633,4.32407723565E-05,0.0740725249052,0.0413653850555,0.386067301035,0.0983385667205,0.165080040693,0.146610230207,0.06963394582270000,0.0188319943845,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.980355381966,0.0196446329355,0.111870102584,0.888129889965,0.826895177364,111.26256561300000,Not Found,4,14,15,18,19,0
King Diamond,Ill Bill & Vinnie Paz,Heavy Metal Kings,0.993652641773,0.00634732842445,0.00451141921803,0.368548870087,0.54990285635,0.00613829120994,0.012718568556,0.0388456210494,0.0170181840658,0.00231614871882,0.06795348972080000,0.165337145329,0.0597765482962,0.278361529112,0.428571283817,0.764789283276,0.235210731626,0.00153656932525,0.998463451862,0.94020909071,111.458122253,spotify:track:2WpRU9UUwhaFU0pfwanwTs,4,14,15,18,19,0
Matter of Fact,Roni Size & Reprazent,New Forms,0.998541295528,0.00145868188702,0.00183399079833,0.113973997533,0.803168177605,0.00394975533709,0.0203978251666,0.0538055859506,0.0015166811645,0.0013540093787,0.08923880010840000,0.0915080830455,0.29369956255,0.05681597441430000,0.468737572432,0.7595966458320000,0.240403354168,0.035691991448400000,0.964308023453,0.315993309021,111.8829422,spotify:track:29O8WY6ZJ32o4iGm38auYs,4,14,15,18,19,0
"Charlie Watts, Jim Keltner Project -  3) Kenny Clarke",Charlie Watts &amp; Jim Keltner,Charlie Watts/Jim Keltner Project,0.850167632103,0.149832382798,0.020378081128,0.0412003025413,0.6903523802760000,0.0489767417312,0.10243280977,0.037616327405,0.051745608449,0.00729776592925,0.08815567195420000,0.19596748054,0.0619082264602,0.187337845564,0.466630786657,0.7554785013200000,0.244521513581,0.123521074653,0.8764789104460000,0.8269394636150000,111.974411011,Not Found,4,14,15,18,19,0
Working for the Man,PJ Harvey,My Life,0.99972820282,0.000271802622592,0.00128603854682,0.029459014535,0.614530146122,0.00200144667178,0.265197664499,0.034878410399000000,0.051448315382,0.00119897013064,0.0794591903687,0.135016784072,0.12262891233,0.08885672688480000,0.5740383863450000,0.725582301617,0.274417728186,0.06194458901880000,0.93805539608,0.942520558834,111.97899627700000,spotify:track:5R67RgBhVnlEqPfnIAdx8j,4,14,15,18,19,0
Sample Me. 4,Paradox,The Musician as Outsider,0.999004483223,0.000995529349893,8.6278305389E-06,0.0029093429911900000,0.995288908482,7.32828193577E-05,6.83138423483E-05,0.00158595480025,1.38939913086E-05,5.16623695148E-05,0.0886302143335,0.152939170599,0.0403421111405,0.160438224673,0.557650268078,0.749786973,0.250213056803,0.277031898499,0.7229681015010000,0.972391009331,112.78192138700000,spotify:track:0hN7mH1bQO536JN9QZ16jT,4,14,15,18,19,0
03 - Arada Bir,VA,Metamorfoz,0.909815013409,0.090184956789,0.009017909877,0.135485514998,0.661315917969,0.019802639260900000,0.034850101918000000,0.12965631485000000,0.00444191321731,0.00542969070375,0.0713966414332,0.17983281612400000,0.133099064231,0.301795423031,0.313876062632,0.666501522064,0.333498448133,0.020674046129,0.979325950146,0.93950599432,112.85727691700000,Not Found,4,14,15,18,19,0
Gonna Make You Sweat (Everybody Dance Now) : (The Master Mix),C + C Music Factory,Gonna Make You Sweat,0.999999880791,1.00000008274E-07,0.0036667608656,0.135360449553,0.7083350420000000,0.00508604291826,0.0824515298009,0.0375751033425,0.025440717116,0.00208437722176,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.6827098727230000,0.317290127277,0.169412925839,0.8305870890620000,0.938631653786,113.80066680900000,Not Found,4,14,15,18,19,0
This Time (12 mix),Funk Deluxe,Grand 12-Inches 14,3.00000096379E-14,1.0,0.00100764085073,0.0200880561024,0.599991321564,0.03231837973,0.0257081389427,0.314971864223,0.00499161798507,0.000922990089748,0.102316789329,0.109052032232,0.17263470590100000,0.106465429068,0.509531021118,0.719156622887,0.280843377113,0.136509120464,0.863490879536,0.364353895187,114.27144622800000,Not Found,4,14,15,18,19,1
06 - PLUS  DEVICE - Come Inside Of Me,Plus Device,Puncture,0.912379384041,0.0876206234097,0.0193166118115,0.0642507821321,0.621952533722,0.0472066923976,0.0379363819957,0.19586609304,0.00581692531705,0.00765398982912,0.080981977284,0.268371969461,0.13679860532300000,0.21740783751,0.296439617872,0.826346993446,0.173653021455,0.0355503819883,0.964449644089,0.915294528008,114.97734832800000,Not Found,4,14,15,18,19,0
Hollywood Babylon Revisited (Johnny Favourite Dub),The Gruesome Twosome,Hallucination Generation,0.996817171574,0.00318283983506,0.007503942586480000,0.16685745120000000,0.426664859056,0.0150163983926,0.144511193037,0.195590808988,0.0357566401362,0.00809870008379,0.0961004197598,0.0933318585157,0.07721458375450000,0.117520034313,0.615833103657,0.59983587265,0.400164157152,0.0797963142395,0.92020368576,0.932756662369,115.15735626200000,Not Found,4,14,15,18,19,0
Hmm Hmm Hmm,Serge Gainsbourg,Love on the Beat,3.00000096379E-14,1.0,0.00425157137215,0.119727015495,0.591872394085,0.029792338609700000,0.139092355967,0.0960877016187,0.015788402408400000,0.00338822393678,0.0772079899907,0.0444035492837,0.22779341042,0.0306310262531,0.619964003563,0.918178737164,0.081821270287,0.00688771391287,0.993112266064,0.91848385334,115.409233093,spotify:track:7HVWUK42Hugz0XDLuv9J0v,4,14,15,18,19,1
Global Destruction,24K,Words… Yet Unspoken,0.8819819688800000,0.118018008769,0.00306582497433,0.00408867653459,0.929995715618,0.0113456733525,0.00258614332415,0.0111645814031,0.00131293898448,0.0364404506981,0.105361372232,0.18771597743,0.05907864123580000,0.172703176737,0.475140810013,0.803280293941,0.196719691157,0.060829121619500000,0.939170897007,0.932050228119,115.77785491900000,spotify:track:7Gvi3Ope7dfBKdAbW4d8p4,4,14,15,18,19,0
Young Guns (Go for It!),Wham!,The Best of Wham!: If You Were There...,0.998078465462,0.00192155945115,0.00330901402049,0.07671820372340000,0.8017148375510000,0.0128615153953,0.0528225563467,0.0296052731574,0.0198085792363,0.00316002056934,0.18063595891,0.186700999737,0.0811527743936,0.180308878422,0.3712013959880000,0.962703227997,0.0372967682779,0.217016711831,0.78298330307,0.947233617306,115.80483245800000,spotify:track:3PS1Q0c2VNKQMIiUusjlFf,4,14,15,18,19,0
(Somebody) Help Me Out (12 version),Beggar & Co,Grand 12-Inches 14,0.5294597744940000,0.470540255308,0.0301591716707,0.184954077005,0.323390483856,0.104379028082,0.136233523488,0.149010300636,0.0603192001581,0.0115542244166,0.0756678879261,0.061449605971600000,0.276018977165,0.08438607305290000,0.50247746706,0.955694913864,0.0443050600588,0.392974853516,0.607025146484,0.712756514549,116.18280792200000,Not Found,4,14,15,18,19,0
Let the Music Play (remix),Shannon,Let The Music Play,0.779998600483,0.220001414418,0.047719858586800000,0.0282525438815,0.447313934565,0.13566449284600000,0.159427016973,0.0980214253068,0.076818190515,0.00678255222738,0.0686843544245,0.0758352428675,0.17650082707400000,0.132806524634,0.546173036098,0.765647292137,0.234352722764,0.255710482597,0.744289517403,0.870764374733,116.37376403800000,spotify:track:5jOlnuW0MCSbeziweJNmrn,4,14,15,18,19,0
Love in the First Degree (Eurobeat Style),Bananarama,The Greatest Hits Collection,0.985451102257,0.0145488996059,0.0102784633636,0.0901659727097,0.497479856014,0.013285715133,0.282066971064,0.082365334034,0.0217925198376,0.00256519648246,0.0578049272299,0.0770134478807,0.196833178401,0.06773037463430000,0.600618064404,0.978464841843,0.0215351674706,0.233187049627,0.766812980175,0.88968449831,117.43278503400000,spotify:track:0Z351uqNL9QOVCBouvtFRl,4,14,15,18,19,0
Unsquare Dance,The Dave Brubeck Quartet,Dave Brubecks Greatest Hits,0.389713704586,0.610286295414,0.022487917915,0.0060022319667,0.696401715279,0.150413930416,0.008636312559250000,0.0959201753139,0.004927231464530000,0.015210467390700000,0.179431810975,0.219265058637,0.05644160136580000,0.128133401275,0.416728138924,0.934577643871,0.065422333777,0.128965780139,0.8710342049600000,0.6792519092560000,117.478919983,spotify:track:2VUo8O3ymKRYNgj97ZG2kM,4,14,15,18,19,1
Chegevarap,Martial,Premier Pas,0.947871148586,0.0521288476884,0.00498651340604,0.06991341710090000,0.8045762181280000,0.0160348303616,0.0215189605951,0.06275222450490000,0.017170690000100000,0.0030471547506700000,0.142816200852,0.224014043808,0.13214956224000000,0.187264889479,0.313755303621,0.989463329315,0.010536685586,0.136207863688,0.8637921214100000,0.923162460327,117.91468811,Not Found,4,14,15,18,19,0
Början på allt,Petter med Eye-N-I,Början på allt,0.99397456646,0.0060254377313,0.00118572323117,0.192603215575,0.70721077919,0.0015339199453600000,0.0705659016967,0.00664045801386,0.0192595869303,0.00100039679091,0.05891487747430000,0.0167404599488,0.0250598937273,0.024558307603,0.8747264742850000,0.782298028469,0.217701971531,0.00511553836986,0.994884490967,0.961016595364,117.97707366900000,spotify:track:4R77Mqbor18zRRGQzG0xfZ,4,14,15,18,19,0
"Selon Que Vous Serez, Etc., Etc.",Michel Sardou (Olympia 95) 08,Olympia 95 (Disc 1),0.477299392223,0.522700607777,0.208827465773,0.0184867437929,0.212968707085,0.185246154666,0.08174637705090000,0.114965192974,0.170031100512,0.00772826978937,0.103809177876,0.177435845137,0.14845007658,0.215170234442,0.355134665966,0.843148291111,0.15685172379,0.20148986578,0.79851013422,0.9001114368440000,117.981536865,Not Found,4,14,15,18,19,1
My Ugly Boy,Skunk Anansie,An Acoustic Skunk Anansie: Live in London (disc 1),0.962442100048,0.0375579036772,0.0026383155491200000,0.298189669847,0.449544072151,0.00739415735006,0.0495369657874,0.105477668345,0.08517396450040000,0.00204517575912,0.134511113167,0.100273966789,0.131152495742,0.0518113784492,0.58225107193,0.908854901791,0.0911450907588,0.0638522580266,0.936147749424,0.927340269089,118.40614318800000,spotify:track:3MY3sMuH6Og9q5YSZjUWG5,4,14,15,18,19,0
Chinatown,Chaka Khan,I Feel for You,0.989378631115,0.0106213390827,0.0097801592201,0.186581373215,0.353348493576,0.0267548952252,0.224816307425,0.123424194753,0.0694734677672,0.00582110742107,0.130860835314,0.138792157173,0.0915503427386,0.189873039722,0.448923617601,0.8847963809970000,0.115203596652,0.20302452147,0.7969754934310000,0.89796179533,118.49227905300000,spotify:track:5L3UCg8EpXOcvgsAEOkFZ6,4,14,15,18,19,0
U.4.2.P.1. Club Dub,Falco,Data de Groove,0.895660579205,0.104339428246,0.00384472426958,0.102501809597,0.8566340208050000,0.00707427412271,0.00614782469347,0.00390362297185,0.0191804394126,0.000713299086783,0.0940196961164,0.131516635418,0.0386329367757,0.0943120643497,0.641518652439,0.775302350521,0.224697679281,0.056751940399400000,0.943248033524,0.8401152491570000,118.665657043,Not Found,4,14,15,18,19,0
Walking on Thin Ice,John Lennon & Yoko Ono,Double Fantasy,0.966047286987,0.0339526869357,0.0192839838564,0.288995146751,0.408882677555,0.0153104756027,0.0834075286984,0.0923926308751,0.0857031196356,0.00602443097159,0.0860021412373,0.103683084249,0.138049259782,0.0820515453815,0.5902139544490000,0.974013924599,0.025986099615700000,0.358440309763,0.641559720039,0.898612618446,118.876731873,Not Found,4,14,15,18,19,0
Livin for Today,Dayton,Dayton,0.928754687309,0.0712453052402,0.00995474029332,0.0711152628064,0.6942093372340000,0.049128040671300000,0.0424097441137,0.106194138527,0.0243698433042,0.00261891423725,0.0981959402561,0.0946220085025,0.107369482517,0.161528736353,0.538283824921,0.999999165535,8.44808141665E-07,0.362140417099,0.637859582901,0.692818582058,118.96235656700000,spotify:track:4Y4ffJNGmfRnAA9qM5T5rd,4,14,15,18,19,0
Tunisia Bambaataa,DJ Mehdi,Pocket Piano,0.772647738457,0.227352231741,0.00136152282357,0.173012942076,0.574861645699,0.0101274857298,0.00825800839812,0.224293008447,0.0058212922886,0.00226410035975,0.142091229558,0.19397008419,0.185905352235,0.183102667332,0.294930666685,0.5350152850150000,0.464984685183,0.34359338879600000,0.656406641006,0.736235618591,118.978797913,Not Found,4,14,15,18,19,0
Go Home,Stevie Wonder,In Square Circle,0.874715924263,0.125284105539,0.00379951228388,0.0319719873369,0.472124546766,0.0122993532568,0.201846256852,0.263894885778,0.0113854808733,0.0026779889594800000,0.0771432891488,0.13743706047500000,0.164071530104,0.08379042148590000,0.5375577211380000,0.983756780624,0.0162432417274,0.008086081594230000,0.99191391468,0.754224598408,119.249168396,spotify:track:5zSwmohdHeH2xmrWDFZUZZ,4,14,15,18,19,0
I Cant Live Without My Radio,LL Cool J,Radio,0.993263185024,0.00673679728061,0.000277566286968,0.0042473818175500000,0.989245653152,0.00181802723091,0.00038064480759200000,0.00229388778098,0.000265564507572,0.00147128954995,0.0609803907573,0.0396916978061,0.041942369192800000,0.0362825840712,0.821102976799,0.7877939939500000,0.212205976248,0.34530031681100000,0.654699683189,0.91820961237,119.333106995,spotify:track:2qfTGzETefwtBWKDThZjnU,4,14,15,18,19,0
Hot Girls - Bad Boys,Bad Boys Blue,Super 20,0.97214859724,0.0278514046222,0.0125341322273,0.213838428259,0.32520699501,0.049365822225800000,0.154290378094,0.146788313985,0.0822645202279,0.0157114081085,0.14182920754,0.215533569455,0.133464396,0.213178947568,0.295993894339,0.983058512211,0.0169414598495,0.33960011601400000,0.660399913788,0.970264077187,119.619003296,spotify:track:34JypsuYwXIkOZ07Va6sKU,4,14,15,18,19,0
