title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Ice Pole Remix,Wiley,Da 2nd Phaze,0.999885439873,0.00011458046356,0.0135373752564,0.029232909902900000,0.440300434828,0.0227138064802,0.251013547182,0.205548048019,0.0247118547559,0.0129420161247,0.103886015713,0.0875136107206,0.260085135698,0.122964128852,0.425551116467,0.96281427145,0.0371857173741,0.00344987004064,0.996550142765,0.966488063335,69.4861907959,spotify:track:3DZ8IKIE1rtmgBjCYtXcG1,4,14,15,18,20,0
Beg Your Pardon (feat. NJ),Marcie Phonix & Hyper Fen,Thunder Power,0.999449968338,0.000550012802705,0.0007404275820590000,0.00159468536731,0.981580674648,0.000973206362687,0.006984089966860000,0.00355310970917,0.00409930665046,0.000474473199574,0.0635755956173,0.211470365524,0.0434243232012,0.18144929409,0.500080406666,0.8566632270810000,0.143336772919,0.00768822710961,0.992311775684,0.927878439426,69.9762268066,Not Found,4,14,15,18,20,0
Tighten Up (live),James Brown,Soul Pride: 1960-1969 (Disc 2),0.931835353374,0.0681646540761,0.0179988183081,0.0335427708924,0.486688017845,0.221141576767,0.0545487292111,0.125978589058,0.0503911562264,0.00971032958478,0.134320348501,0.202677607536,0.134675100446,0.219758138061,0.308568775654,0.971034765244,0.0289652366191,0.0821064338088,0.917893588543,0.860327839851,70.3428268433,spotify:track:1IOt1j7pvnPKCoXMNNuWMX,4,14,15,18,20,0
Freestyle,Devlin,Thunder Power,0.989239037037,0.0107609387487,0.0127640953287,0.0552544184029,0.5547641515730000,0.0130254952237,0.17942811548700000,0.08167875558140000,0.0801192000508,0.022965785116,0.17097735405,0.127487823367,0.049340698868000000,0.0868259742856,0.565368115902,0.7314798831940000,0.268520087004,0.00103414151818,0.998965859413,0.973394215107,71.8115234375,spotify:track:209dbCVqECUoIq8Xq88w2y,4,14,15,18,20,0
Money,The Game,L.a.X,0.995746135712,0.00425384985283,0.000450857012765,0.028574340045500000,0.917862951756,0.00146013335325,0.008802531287070000,0.0394580997527,0.00161254173145,0.0017785488162200000,0.0827511399984,0.0989456400275,0.210096105933,0.0641698092222,0.5440373420720000,0.564340829849,0.435659170151,0.0239955466241,0.976004481316,0.8609127402310000,72.9878540039,spotify:track:6osPu33P36J9pVRhsp4rPt,4,14,15,18,20,0
Immigrant Visa (Maga Bos Anisitia remix),Poirier feat. MC Zulu,Running High,0.998414814472,0.00158515677322,0.0020598536357300000,0.0997746139765,0.802251875401,0.00361522776075,0.032680455595300000,0.0104916160926,0.0471277162433,0.00199861708097,0.184045672417,0.0704592838883,0.04310098290440000,0.0710560902953,0.6313379406930000,0.633377194405,0.3666228353980000,0.0070167556405100000,0.992983222008,0.958214461803,74.9722290039,Not Found,4,14,15,18,20,0
"Cuttboyz Anthem (Feat. The Cutt Boyz, Verse, Max Minelli And G. Dinero)",C-Murder,Screamin 4 Vengeance,0.999964058399,3.5916120396E-05,4.90755046485E-05,0.023848908022,0.954832911491,0.00010201205441300000,0.00685427896678,0.0138391889632,0.00042304318049,5.05617681483E-05,0.179693669081,0.16842357814300000,0.155313596129,0.193622335792,0.30294680595400000,0.608698964119,0.391301035881,0.0382722020149,0.961727797985,0.971655488014,77.7499160767,Not Found,4,14,15,18,20,0
Walk On,Method Man feat. Redman,4:21... The Day After,0.91225618124,0.0877437889576,0.0168095529079,0.0484183691442,0.7545415759090000,0.0120429908857,0.0173212401569,0.0439572483301,0.102644637227,0.00426438311115,0.15374967455900000,0.204540506005,0.14863152802,0.183241173625,0.30983713269200000,0.820204436779,0.17979557812200000,0.17048239707900000,0.829517602921,0.950749874115,79.95671844480000,Not Found,4,14,15,18,20,0
I Got Money,Young Jeezy feat. T.I.,The Inspiration,0.999986350536,1.36201579153E-05,0.00239664432593,0.0935870707035,0.758817076683,0.0034647474531100000,0.0835173130035,0.0314972549677,0.024468190968,0.00225173402578,0.19365221262,0.17687125504,0.158883348107,0.170652270317,0.299940943718,0.591883480549,0.408116519451,0.016660820692800000,0.983339190483,0.938764631748,79.9651184082,spotify:track:2TC7R6eOaGR9XJqNPGTfyz,4,14,15,18,20,0
Still Move Work,Young Spray,Thunder Power,0.999637186527,0.00036281454959,0.0012952813413,0.0216035954654,0.877038896084,0.0021851323545,0.0214007087052,0.0709126964211,0.00442435732111,0.0011393069289600000,0.142495319247,0.15542858839,0.0413759611547,0.096791356802,0.563908755779,0.7890086174010000,0.210991382599,0.0089610889554,0.991038918495,0.91903758049,79.9864654541,Not Found,4,14,15,18,20,0
