title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
I Dont Want Your Love (Big Mix;2010 Digital Remaster),Duran Duran,All She Wants Is,0.994245052338,0.00575494999066,0.00441204290837,0.121882475913,0.7943298220630000,0.015698203817,0.0186274908483,0.038833089172800000,0.00420785043389,0.00200900784694,0.070622600615,0.0689763575792,0.224259838462,0.07597474753860000,0.560166418552,0.48213544488,0.5178645849230000,0.941452026367,0.0585479587317,0.898318350315,109.04495239300000,Not Found,4,14,16,17,19,0
Voices,The Accüsed,Straight Razor,0.585122585297,0.414877414703,0.166798502207,0.0328715927899,0.32580730319,0.0402406081557,0.152195572853,0.0334091633558,0.221621334553,0.0270559284836,0.0570621676743,0.04142190516,0.0655050352216,0.0335176251829,0.8024932742120000,0.08733957260850000,0.912660419941,0.931869268417,0.0681307166815,0.494781196117,109.119377136,spotify:track:6jo3hgQyWtUBc0wF0cAl9R,4,14,16,17,19,0
Real Estate,Cypress Hill,Cypress Hill,0.99638646841,0.00361353578046,0.00334337633103,0.0415145307779,0.8837689757350000,0.00671695778146,0.0164288431406,0.0242944434285,0.0202606841922,0.00367217650637,0.0809109807014,0.100765392184,0.134240463376,0.225685760379,0.458397418261,0.215042203665,0.784957766533,0.719680964947,0.280319005251,0.943707466125,109.12508392300000,spotify:track:3ul8eqBFpmtiDt2CR2Xac0,4,14,16,17,19,0
Black Dignity,Peter Tosh,Honorary Citizen (Disc1) - Jamaican Singles,0.961606264114,0.0383937060833,0.0646832883358,0.0199911333621,0.225340783596,0.205998152494,0.0752515047789,0.203447580338,0.0366021543741,0.168685406446,0.132804870605,0.244554296136,0.232600867748,0.115753881633,0.274286091328,0.115805417299,0.884194612503,0.999998807907,1.17463093829E-06,0.907513678074,109.452636719,spotify:track:2mfy3CWZ2mdDmRLimkbWBK,4,14,16,17,19,0
Forgetting,FALSE,2007,0.999999880791,1.00000008274E-07,0.0175142623484,0.17801146209200000,0.494806230068,0.0378647893667,0.037058830261200000,0.118394747376,0.0787319168448,0.0376177504659,0.0657493174076,0.061192214489,0.26262742281,0.0561909787357,0.554240047932,0.0223910976201,0.977608919144,0.910061120987,0.0899388715625,0.94402807951,109.65050506600000,Not Found,4,14,16,17,19,0
Surfing on a Rocket (To the Smiling Sun remix),Air,Surfing on a Rocket,0.999999880791,1.00000008274E-07,0.0035975095816,0.0877684354782,0.742448747158,0.007709827274080000,0.0225333776325,0.114823110402,0.0152673199773,0.00585167948157,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.014728571288300000,0.985271453857,0.999999463558,5.23776634509E-07,0.8304662704470000,109.81777954100000,Not Found,4,14,16,17,19,0
The Nigga Ya Love to Hate,Ice Cube,AmeriKKKas Most Wanted,0.997962594032,0.00203737709671,0.00183055072557,0.0318667478859,0.908472299576,0.006074470002200000,0.018229287117700000,0.0117486920208,0.0196778029203,0.00210012868047,0.08351979404690000,0.0581834167242,0.0176882781088,0.0828594714403,0.7577490210530000,0.294046074152,0.705953896046,0.866162598133,0.133837386966,0.977947592735,109.851699829,spotify:track:3Mzqw2mz9YMKjjCEmypYfZ,4,14,16,17,19,0
My Soul,Johnny Winter,Guitar Slinger,0.957859754562,0.042140275239900000,0.147068694234,0.0289652626961,0.189917266369,0.168059363961,0.160471513867,0.172213152051,0.08030561357740000,0.0529991388321,0.102762773633,0.115732625127,0.111149124801,0.14329299330700000,0.527062475681,0.105238065124,0.894761919975,0.999993920326,6.07702395428E-06,0.8811881542210000,109.85998535200000,spotify:track:3dP2w9b5HQS9FiSSpf5nIK,4,14,16,17,19,0
Bang This in the Club,Girl Talk,Unstoppable,0.981055080891,0.0189448967576,0.00118417653721,0.08584427833560000,0.855558812618,0.00543602695689,0.006729944143440000,0.0394162498415,0.00271880719811,0.00311169680208,0.101745709777,0.194500848651,0.0936640202999,0.302359700203,0.307729721069,0.310333162546,0.6896668076520000,0.602222323418,0.397777676582,0.928398728371,109.877502441,spotify:track:3uRflk78jOB55mEsmsXHHb,4,14,16,17,19,0
Night Out (D. Batistatos remix),Zero Cult,Art of Harmony,0.99990516901,9.4841918326E-05,0.00871470477432,0.06465353071690000,0.639857590199,0.0132324490696,0.0899174660444,0.147571355104,0.0294823963195,0.006570511031900000,0.0853985473514,0.112240664661,0.104653008282,0.0685001015663,0.629207670689,0.00386108038947,0.996138930321,0.849492490292,0.15050752461,0.957671403885,109.92016601600000,spotify:track:0JT95TXVMyIZYJvDoFPbsm,4,14,16,17,19,0
