title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Drunk Slide,dredg,"The Pariah, the Parrot, the Delusion",3.00000096379E-14,1.0,0.0144880972803,0.102114923298,0.464508354664,0.0327130891383,0.170699611306,0.0699690505862,0.101520083845,0.043986804783300000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00257944688201,0.997420549393,1.0,2.22036344866E-08,0.863715708256,109.141929626,Not Found,4,14,16,17,19,1
Dancing Machine,The Jackson 5,The Disco Box,3.00000096379E-14,1.0,0.007231979630890000,0.0194749981165,0.725460112095,0.0235258731991,0.017234554514300000,0.189719229937,0.0122159700841,0.00513727869838,0.077222533524,0.0444036349654,0.227747499943,0.0306321326643,0.619994223118,0.00779724866152,0.992202758789,1.0,1.88718263239E-09,0.830191910267,109.144317627,spotify:track:0xqb2Euq1PAxKHBA36NUnx,4,14,16,17,19,1
Räumliche Distanz,Funny van Dannen,Herzscheiße,3.00000096379E-14,1.0,0.0184483677149,0.0066286562942,0.55110180378,0.254930943251,0.0235040280968,0.09387216717,0.016240933910000000,0.0352730900049,0.07712457329030000,0.0444274023175,0.227582529187,0.0306452922523,0.620220184326,0.00953044556081,0.990469574928,0.999998033047,1.97260510504E-06,0.858705639839,109.18342590300000,spotify:track:4yL8v2FojbuyE8uXSKB41f,4,14,16,17,19,1
Live at Disco Convention 82,Grandmaster Flash & The Furious Five,The Official Adventures of Grandmaster Flash,3.00000096379E-14,1.0,0.0278162490577,0.176882997155,0.343750745058,0.0221468918025,0.0407123379409,0.034283030778200000,0.21790441870700000,0.136503338814,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.233308136463,0.7666918635370000,0.9282553792,0.0717446282506,0.976627826691,109.20120239300000,Not Found,4,14,16,17,19,1
"Signed, Sealed, Delivered Im Yours",Stevie Wonder,A Time to Love (bonus disc),3.00000096379E-14,1.0,0.00266450503841,0.0337221436203,0.867141187191,0.00991814024746,0.0412613749504,0.00652626343071,0.03189143911,0.006874944083390000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.100513026118,0.8994869589810000,0.997015297413,0.00298467371613,0.956704556942,109.244628906,spotify:track:2eF8pWbiivYsYRpbntYsnc,4,14,16,17,19,1
Stop Breaking My Heart,Jacob Miller & Inner Circle,The Best of Inner Circle feat. Jacob Miller,3.00000096379E-14,1.0,0.00911394692957,0.0401765294373,0.7322639226910000,0.0288177803159,0.0543674901128,0.0726215690374,0.0359705016017,0.0266682822257,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00297645712271,0.997023522854,0.8072568178180000,0.192743197083,0.899844408035,109.26878356900000,Not Found,4,14,16,17,19,1
State of War (feat. Celph Titled),Esoteric & Stu Bangas,Machete Mode,3.00000096379E-14,1.0,0.00959674455225,0.110834985971,0.35782122612000000,0.0218407995999,0.22693528235,0.0549309626222,0.17541818320800000,0.0426217950881,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00678900489584,0.993210971355,0.995948195457,0.0040518278256100000,0.924751579762,109.28437805200000,spotify:track:0WzGzdI8ZNuNheZQrsnRLC,4,14,16,17,19,1
Nimm den Hammer,Ton Steine Scherben,Wenn die Nacht am tiefsten,3.00000096379E-14,1.0,0.0300081036985,0.0190224386752,0.55175614357,0.055977206677200000,0.102773092687,0.0457998402417,0.183538749814,0.011124426499,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00197574030608,0.99802428484,0.985283255577,0.014716754667500000,0.709236502647,109.298812866,spotify:track:3OiE6ppi3VBtm2uLrvczq0,4,14,16,17,19,1
Two Years on Welfare,Exhaust,Exhaust,3.00000096379E-14,1.0,0.0184607151896,0.168266072869,0.513142645359,0.0460998490453,0.0198546759784,0.187968030572,0.0143977981061,0.0318102017045,0.0772226676345,0.0444035679102,0.227747902274,0.0306320842355,0.619993805885,0.0144291557372,0.985570847988,0.993328213692,0.00667176302522,0.31684923172,109.501960754,spotify:track:2Qi0U7vodLU0GeksoQNEER,4,14,16,17,19,1
Super Afro-Beat,The Daktaris,Soul Explosion,3.00000096379E-14,1.0,0.0105944843963,0.127390190959,0.474821984768,0.0786323770881,0.120111934841,0.08168950676920000,0.0917814821005,0.0149780455977,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.014726633206,0.985273361206,0.991420984268,0.00857900641859,0.909288346767,109.510879517,Not Found,4,14,16,17,19,1
