title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Panther,Midaircondo,IV,0.98415440321,0.0158456005156,0.0150163294747,0.0378767587245,0.415868282318,0.0255344677716,0.140155017376,0.221417158842,0.127185374498,0.016946606338,0.0931424722075,0.0970238521695,0.241645276546,0.0959015190601,0.472286880016,0.000790109799709,0.999209880829,0.754124701023,0.245875284076,0.881189286709,59.955020904500000,spotify:track:7CUeYGNQt1NuPt0fOZZV0y,4,14,16,17,20,0
Serpentine Energy,Inade,Colliding Dimensions,0.999999880791,1.00000008274E-07,0.0101079307497,0.116315111518,0.527076005936,0.011288347654,0.0277922227979,0.21044075489,0.081403516233,0.015576131641900000,0.0772226378322,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0197175033391,0.980282485485,0.942142903805,0.05785712227230000,0.9734993577,62.934879303,spotify:track:6KtftLCEFzqvCFDC4yCZjP,4,14,16,17,20,0
untitled,Jeff Mills,Actual,0.999950051308,4.99472698721E-05,0.00125777244102,0.0208843741566,0.896219015121,0.00216334220022,0.00391045259312,0.07244741916660000,0.00162808725145,0.00148953078315,0.131224066019,0.169574305415,0.143064215779,0.164880663157,0.39125674963,0.165098264813,0.834901750088,0.92707413435,0.072925850749,0.882098436356,63.193023681600000,spotify:track:10zQIGcy4qSANAAXQildPD,4,14,16,17,20,0
Thermal Motion,Biosphere,Shenzhou,0.57156085968,0.42843914032,0.067962884903,0.054731991142,0.478366196156,0.0165740512311,0.05823835730550000,0.279084175825,0.0362392775714,0.00880304444581,0.0771062746644,0.0444150418043,0.228824272752,0.0306561253965,0.618998289108,0.08914658427240000,0.91085344553,0.999999940395,4.18073575759E-08,0.816339254379,67.2336578369,spotify:track:6tJCshbkPm6CrzwDK8EdLt,4,14,16,17,20,0
Charming DXM,Belladonnakillz,Perverted & Proud,0.8414162397380000,0.15858374536000000,0.0007085939869280000,0.0188917461783,0.551653325558,0.000139538402436,0.00218371278606,0.00019934590091,0.426187098026,3.66503554687E-05,0.384837687016,0.07233678549530000,0.0296068266034,0.0245594326407,0.488659292459,0.0647665932775,0.935233414173,0.958022773266,0.0419772341847,0.958508193493,67.5972137451,spotify:track:09z4ABtGYBNW0BupbEe0eo,4,14,16,17,20,0
Radical,Distance,Political Warfare / Radical,0.997063338757,0.00293665658683,0.00537095637992,0.006178942974660000,0.931962311268,0.00460499897599,0.007572071626780000,0.0396412201226,0.00294122588821,0.00172829930671,0.0576884075999,0.102143213153,0.125446468592,0.0834642276168,0.631257653236,0.00399923929945,0.996000766754,0.7789278030400000,0.221072211862,0.8877360820770000,69.8434143066,spotify:track:5VFbEKMqLdqZbTQduNLtGq,4,14,16,17,20,0
Upset Me,Durrty Goodz,Ultrasound,0.999989390373,1.05865265141E-05,2.09646768781E-05,0.00847097206861,0.983670592308,4.14140304201E-05,0.0015904749743600000,0.006071889307350000,6.43330422463E-05,6.9346773671E-05,0.148909792304,0.15212339162800000,0.229780048132,0.0548645667732,0.414322197437,0.225580826402,0.774419188499,0.603785812855,0.396214187145,0.8596357107160000,69.95663452150000,spotify:track:61ax0IT6Dr72vr6SX0NVH1,4,14,16,17,20,0
Turning,Synkro & Indigo,Turning,0.995888531208,0.004111477173860000,0.0190814789385,0.195118233562,0.477078199387,0.013682609424,0.0494093336165,0.228085353971,0.0114059420303,0.006138834171,0.12993696332000000,0.197238579392,0.11796060204500000,0.225007265806,0.329856604338,0.0029291959945100000,0.997070789337,0.959015071392,0.0409849323332,0.876836836338,69.9955749512,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,4,14,16,17,20,0
Freezeframe,BOMB20,Reality Surpasses Fiction,0.997209131718,0.00279088388197,0.008472261019050000,0.0984030589461,0.745484888554,0.0101679908112,0.017949620261800000,0.106871441007,0.00601919507608,0.006631553173070000,0.220486611128,0.0982740819454,0.09210642427210000,0.102511428297,0.486621469259,0.161230921745,0.8387690782550000,0.984742581844,0.0152574088424,0.934087395668,70.0506057739,Not Found,4,14,16,17,20,0
Macumba,Buraka Som Sistema,Komba,0.999582111835,0.000417893374106,0.00428487081081,0.268791884184,0.43832975626,0.0143939843401,0.17742790281800000,0.0680352970958,0.0208496507257,0.007886642590170000,0.192682728171,0.175326436758,0.07171637564900000,0.167874157429,0.392400294542,0.0271563827991,0.972843647003,0.8306631445880000,0.16933684051,0.7304317355160000,70.0954666138,spotify:track:42FhG0PV6MHg2CvAO8jTve,4,14,16,17,20,0
The Regulator Plot,Black Lung,Full Spectrum Dominance,0.8443661928180000,0.155633792281,0.0128611531109,0.017702117562300000,0.871968448162,0.00808338541538,0.0108944736421,0.0683651939034,0.00373693695292,0.0063882893882700000,0.079471513629,0.07625139504670000,0.345089435577,0.050598166883000000,0.448589473963,0.0697330459952,0.930266976357,0.7091066837310000,0.290893286467,0.272660702467,70.6220779419,spotify:track:5KQg1MYwQiN5KiVYdxxwGF,4,14,16,17,20,0
Spwan,Static,Eject Your Mind,0.99619781971,0.00380217819475,0.000903235049918,0.00113882962614,0.852475225925,0.00134316529147,0.012400839477800000,0.130890965462,0.000218360204599,0.00062935432652,0.16121767461300000,0.114828027785,0.255726933479,0.13047201931500000,0.337755352259,0.24752484262,0.7524751424790000,0.991609096527,0.00839091930538,0.494083672762,70.91524505620000,Not Found,4,14,16,17,20,0
"05-Bushflange , Foot Thought",Dave Angel,39 Flavours of Tech Funk,0.999999821186,1.72103028717E-07,3.41973418472E-06,0.0344881527126,0.965023100376,3.78083459509E-05,0.000154390130774,6.89290900482E-05,0.000181235198397,4.29561405326E-05,0.06413545459510000,0.027774123475,0.0150449145585,0.0162127539515,0.876832783222,0.241970464587,0.758029520512,0.921454489231,0.07854552567010000,0.980124115944,71.2452087402,Not Found,4,14,16,17,20,0
Sulliday,A.R. Kane,69,0.87811177969,0.121888235211,0.160338103771,0.016415981575800000,0.248208463192,0.132231667638,0.176299840212,0.188700422645,0.0509584136307,0.026847101748,0.0784753262997,0.0945366173983,0.123822309077,0.113425150514,0.58974057436,0.0534815527499,0.946518421173,0.868657052517,0.131342947483,0.352837622166,74.04080200200000,spotify:track:3Fb7qnzYOG0ZIu5Bjnlq7A,4,14,16,17,20,0
Lucky and Unhappy,Air,10 000 Hz Legend,0.999861299992,0.000138715375215,0.004249430261550000,0.179330766201,0.6032537221910000,0.0142993992195,0.0555877275765,0.0787468925118,0.0485099442303,0.0160221401602,0.109610177577,0.05369367823,0.0646758079529,0.023895610123900000,0.748124718666,0.0111423376948,0.98885768652,0.993788123131,0.006211850326510000,0.920457959175,74.7411117554,spotify:track:3KtCDKfQyDOYpedX16GPpL,4,14,16,17,20,0
Thats a GoodBelt (feat. City Boy D),N.O.R.E.,Noreaster,0.99941188097,0.000588141847402,0.000682031153701,0.012477112934,0.5994157195090000,0.00276107480749,0.195452570915,0.181174308062,0.007777086459100000,0.00026011292357,0.07880052924160000,0.241868019104,0.164379373193,0.193420380354,0.321531683207,0.5,0.5,0.926528036594,0.0734719857574,0.847981870174,75.9894943237,spotify:track:7wjDr7cG1l21dyRJFwh2W5,4,14,16,17,20,0
Solar Valley,Niagara,Hyperocean,0.99999666214,3.36199650519E-06,0.00163618265651,0.0749116912484,0.781736671925,0.00777035392821,0.0388850793242,0.07501465082170000,0.0188843384385,0.0011610584333500000,0.103100463748,0.065888799727,0.0981418564916,0.07061108201740000,0.662257790565,0.0063053593039500000,0.993694663048,0.829475104809,0.170524895191,0.548619329929,76.0270690918,spotify:track:3EpF5RSYgjktW342OQr3Ak,4,14,16,17,20,0
Psycho Circle Game,Depressive Age,Lying in Wait,0.924732744694,0.0752672255039,0.0160229299217,0.0707984045148,0.475974291563,0.0192024074495,0.17751196026800000,0.0698945447803,0.16190207004500000,0.00869339238852,0.0575955547392,0.0495392382145,0.0780203342438,0.035980924964,0.7788639664650000,0.422608524561,0.577391505241,0.7810856699940000,0.218914330006,0.747233688831,76.1075057983,Not Found,4,14,16,17,20,0
West Coast,The Neighbourhood,The Love Collection,0.946240544319,0.053759444505,0.00171215704177,0.0183905996382,0.7224631905560000,0.0043334844522200000,0.07695692032580000,0.168102860451,0.00327022862621,0.00477056065574,0.137635290623,0.188403964043,0.08318158239130000,0.07555810362100000,0.515221059322,0.197554454207,0.802445530891,0.586816966534,0.4131830334660000,0.926885068417,77.9144210815,spotify:track:4TaY35s44Bf6OQnRK4R8Y5,4,14,16,17,20,0
Large Amounts,Ludacris,The Red Light District,0.999999880791,1.00000008274E-07,8.64001485752E-05,0.006612972356380000,0.970739245415,0.0016354141989700000,0.0013928096741400000,0.0169775784016,0.00167234323453,0.0008832498569970000,0.0715475678444,0.07204985618590000,0.139556244016,0.0671232491732,0.649723112583,0.0124208824709,0.987579107285,0.937444388866,0.0625556334853,0.971423745155,78.99699401860000,spotify:track:7cROxYZW45Z4tHgYQ0LVUz,4,14,16,17,20,0
Space Funk,S.O.S.,Natural / Space Funk,0.998757719994,0.00124227779452,0.0119271762669,0.166661068797,0.5024140477180000,0.0339615866542,0.184177458286,0.0586010739207,0.0294013340026,0.012856236659,0.07276995480060000,0.0820566341281,0.041046902537300000,0.06452387571330000,0.73960262537,0.303664118052,0.696335911751,0.777668118477,0.222331881523,0.7889860868450000,79.7908325195,Not Found,4,14,16,17,20,0
Meiso (Drug Deal vocal mix),DJ Krush,Meiso,0.937762916088,0.0622370578349,0.000955758616328,0.00208978191949,0.94080132246,0.00585740851238,0.0058731134049600000,0.033663526177400000,0.0006676617776980000,0.0100914109498,0.0940929278731,0.119668953121,0.157310530543,0.054153054952600000,0.574774503708,0.0243078656495,0.975692152977,0.957214951515,0.042785048484800000,0.850920557976,79.96125030520000,Not Found,4,14,16,17,20,0
Peanut Porridge,Equiknoxx,Bird Sound Power,0.999727129936,0.000272869830951,0.0008709079702380000,0.0016566348495000000,0.939531266689,0.00126222427934,0.00177962100133,0.050690829753900000,0.000146150647197,0.00406234897673,0.09166677296160000,0.161782845855,0.225519001484,0.155559167266,0.365472197533,0.0003674023028,0.99963259697,0.8236812949180000,0.17631869018100000,0.932785451412,79.9617614746,Not Found,4,14,16,17,20,0
Life Spit Love,Guilt Trip,Feed the Fire,0.99998062849,1.93979012693E-05,0.00154496461619,0.07957022637130000,0.8403025865550000,0.00225834059529,0.045962408185,0.00805353559554,0.0211945772171,0.00111333676614,0.104262985289,0.125433519483,0.08819738030430000,0.17201390862500000,0.510092198849,0.00459208991379,0.995407938957,0.768716573715,0.231283411384,0.915030002594,79.9791259766,spotify:track:745a4n9ph7kIFXh8v1E6Vs,4,14,16,17,20,0
Down to the Last Element,Candiria,Process of Self.Development,0.966027796268,0.033972222358,0.00199490599334,0.006378549151120000,0.616921365261,0.0121311489493,0.0100568514317,0.343162149191,0.000819498323835,0.00853555556387,0.07327074557540000,0.120074033737,0.322172164917,0.143902420998,0.340580612421,0.000893684336916,0.999106287956,0.518322587013,0.481677412987,0.263743817806,80.4768981934,spotify:track:2ws3GUojtiSpwFyDKcVNjL,4,14,16,17,20,0
Buck Wild,Biz Markie,I Need a Haircut,0.999529540539,0.000470449769637,0.000137532886583,0.007093194872140000,0.967367053032,0.0004938349593430000,0.00218557659537,0.0194243174046,0.0023377521429200000,0.000960738398135,0.16554710269,0.145266935229,0.127648681402,0.121399767697,0.440137505531,0.111534379423,0.888465642929,0.913187265396,0.0868127569556,0.919834852219,81.9348602295,spotify:track:5z66c1V2X3i3800FxcRDxJ,4,14,16,17,20,0
Do Your Thing,Black Sheep,Non-Fiction,0.998305022717,0.0016949631972200000,2.42916703428E-05,0.0008771769935270000,0.733909368515,0.000519379565958,0.00401058327407,0.260523080826,9.97842143988E-05,3.63540420949E-05,0.143369272351,0.162776902318,0.17258672416200000,0.13831935823,0.382947772741,0.188292950392,0.8117070794110000,0.752799212933,0.24720081687,0.720783472061,82.17435455320000,spotify:track:4SuVuJwFJSXHmx49i9vI7C,4,14,16,17,20,0
Low Down Dirty (Exclu),Eminem,Long Time No See,0.999978125095,2.18477835006E-05,0.000115984861623,0.06539306044580000,0.921986103058,0.000315319688525,0.0007440274348480000,0.0102771557868,0.0007902508368720000,0.000378072931198,0.116616047919,0.156034350395,0.115483477712,0.240602582693,0.371263533831,0.253034621477,0.746965348721,0.5615981221200000,0.438401848078,0.946715712547,82.2445297241,Not Found,4,14,16,17,20,0
El Divisadero,Chris Watson,El Tren Fantasma,0.847518086433,0.152481898665,0.0232040472329,0.0525276511908,0.53388607502,0.0164841432124,0.201234713197,0.0612775422633,0.100175753236,0.0112100532278,0.105592899024,0.133361801505,0.257703065872,0.164473429322,0.338868826628,0.0179620161653,0.982037961483,0.973856091499,0.0261439308524,0.822798013687,82.75569915770000,spotify:track:2oDQvYpRAq2kwPXZJFeWsT,4,14,16,17,20,0
Easy,Aesop Rock,Build Your Own Bazooka Tooth,0.970602750778,0.0293972622603,0.007151974830780000,0.0122691811994,0.937526285648,0.00702392775565,0.00882062315941,0.0190843921155,0.00593945477158,0.00218415632844,0.0950571894646,0.113425835967,0.1001149863,0.18178448081,0.509617507458,0.00138937390875,0.99861061573,0.978716254234,0.0212837401778,0.701643466949,83.00457000730000,spotify:track:1B8rF6BBn8qQveo9zkcXtE,4,14,16,17,20,0
This Train (instrumental),Wax Tailor,In the Mood for Life,0.999999880791,1.00000008274E-07,0.0073857367970000000,0.0764650329947,0.560790419579,0.0259381327778,0.0390007831156,0.255769640207,0.017445700243100000,0.0172045454383,0.077042542398,0.044336989522,0.226915687323,0.0305518954992,0.621152877808,0.00514795724303,0.99485206604,0.999999523163,4.69061376407E-07,0.917291522026,83.0252685547,spotify:track:5gL3SRn7UjNjBhVpeJKX83,4,14,16,17,20,0
The Day Before,Conflict,The Ungovernable Force,0.965929806232,0.0340702198446,0.0789983719587,0.0203104745597,0.591623425484,0.0109634669498,0.0344327054918,0.00637175887823,0.251386612654,0.00591315608472,0.103420682251,0.0193155817688,0.00976514257491,0.0620422028005,0.805456399918,0.0245303027332,0.975469708443,0.701571762562,0.298428237438,0.8863840103150000,83.0279083252,spotify:track:6RFcCzl02OTsgav8j2qwOH,4,14,16,17,20,0
Introduction,The Oscar Peterson Trio,The London House Sessions,0.999998867512,1.15544128221E-06,0.0183096323162,0.0192548893392,0.767914354801,0.0754009261727,0.00687779858708,0.082149349153,0.00225595268421,0.0278370697051,0.07141828536990000,0.061661221087,0.101323805749,0.0794369131327,0.6861597895620000,0.0477134697139,0.952286541462,0.589984536171,0.410015463829,0.101983375847,83.09716033940000,spotify:track:2CFSNnxzJNxNo1bmpnTToE,4,14,16,17,20,0
Once Again (Here to Kick One for You) (feat. Grand Puba and Sadat X),Handsome Boy Modeling School,So... Hows Your Girl?,0.999999880791,1.00000008274E-07,0.00257974863052,0.183564037085,0.6978486180310000,0.00493673188612,0.0346777513623,0.0388956107199,0.027452673763,0.0100448224694,0.0806066468358,0.0683098807931,0.155448272824,0.0387707203627,0.656864464283,0.0385413393378,0.961458683014,0.955467283726,0.044532738626,0.955901503563,83.2487411499,Not Found,4,14,16,17,20,0
Carn Marth,Aphex Twin,Richard D. James Album,0.999999880791,1.00000008274E-07,0.00282029132359,0.0030942582525300000,0.932761967182,0.0251676421613,0.00553960539401,0.0141351316124,0.0153042254969,0.0011768694967,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.005709785036740000,0.994290232658,0.8596398234370000,0.140360176563,0.932513058186,83.3880310059,spotify:track:0BShm4IqnSq5t13VOmP5AK,4,14,16,17,20,0
Görlitzer Park,Jefre Cantu-Ledesma,A Year with 13 Moons,0.8176347017290000,0.182365268469,0.0532889552414,0.00557288620621,0.8286246061330000,0.00302844960243,0.00223506381735,0.0025470480322800000,0.101973228157,0.00272975768894,0.051940690726,0.0234817992896,0.00778169417754,0.0183589290828,0.898436903954,0.00236413720995,0.99763584137,0.849720239639,0.150279775262,0.08805205672980000,83.8308181763,spotify:track:3zx1LIMwuS9VVZeItBTP1x,4,14,16,17,20,0
Crossing the Bridge,Eileen Ivers,Crossing the Bridge,0.970764160156,0.0292358268052,0.000395777402446,0.017187749967,0.8776166439060000,0.00170548364986,0.0181123334914,0.08351150155070000,0.000916430435609,0.000554076745175,0.05946018174290000,0.06806854903700000,0.105714119971,0.0733183398843,0.693438827991,0.0061936173588,0.993806362152,0.999997735023,2.25108715313E-06,0.709391772747,84.0156707764,spotify:track:2IislXQc9lXZPueFRKmqzO,4,14,16,17,20,0
Last June,The Flashbulb,These Open Fields,0.999484241009,0.0005157772102390000,0.004908808507030000,0.161172837019,0.367151767015,0.0404903143644,0.117301054299,0.223451212049,0.0773369893432,0.00818702671677,0.293109804392,0.23691265285,0.048259343951900000,0.0743240863085,0.347394108772,0.0255477037281,0.974452316761,0.574685394764,0.425314635038,0.951676607132,84.0390777588,Not Found,4,14,16,17,20,0
Indo (official version),KMFDM,84-86,0.999909162521,9.08540241653E-05,0.00012352767225800000,0.0217776037753,0.954849362373,0.00103044591378,0.00217291503213,0.0194413792342,0.000231087658904,0.000373685761588,0.160440862179,0.149077579379,0.0441896095872,0.0542225055397,0.592069447041,0.13178269565100000,0.868217289448,0.539255261421,0.460744738579,0.794237673283,84.15617370610000,Not Found,4,14,16,17,20,0
Kill em All (remix) (dirty),Aesop Rock,Boombox,0.77153468132,0.228465333581,0.0834008604288,0.017266392707800000,0.209829494357,0.208445951343,0.178945153952,0.175239294767,0.100126393139,0.0267464779317,0.120656296611,0.138474181294,0.107930146158,0.161359995604,0.471579402685,0.06024234741930000,0.93975764513,0.8699401021,0.130059882998,0.8927642703060000,84.35591888430000,Not Found,4,14,16,17,20,0
New York Shibaki Terror Conversation,Guilty Connector,"Beats, Noise and Life",0.967515528202,0.0324844606221,0.032974064350100000,0.0118608698249,0.578765630722,0.225505903363,0.024534471333,0.0547680333257,0.0172085575759,0.0543824620545,0.0685423761606,0.0665894821286,0.140962198377,0.06379564106460000,0.660110294819,0.00120245467406,0.998797535896,0.726626515388,0.273373484612,0.718339681625,84.40031433110000,spotify:track:1V140PmxQ2f45KhzuYQH9x,4,14,16,17,20,0
Let the Girls Out,Ryan Amon,Elysium: Original Motion Picture Soundtrack,0.999999344349,6.49693674859E-07,0.00346394395456,0.0233836416155,0.625852167606,0.0102020548657,0.0379219166934,0.27939602732700000,0.0128959789872,0.006884266156700000,0.112429708242,0.0633318647742,0.27086147666,0.0434227623045,0.509954214096,0.000250664976193,0.999749362469,0.932932734489,0.0670672953129,0.7596592307090000,84.6044998169,spotify:track:1ceCqjXSnkZGjjhlpSdCqS,4,14,16,17,20,0
Doppler in de Jungle,Mazaruni!,The Jungle Dub Experience,0.9998524189,0.00014759207260800000,8.75270925462E-05,0.00636136997491,0.937757670879,0.00148162420373,0.00726532377303,0.0465908274055,0.000357546581654,9.81170815066E-05,0.14912329614200000,0.1249813959,0.0291909463704,0.06426598876710000,0.632438361645,0.0438448786736,0.956155121326,0.541765868664,0.458234131336,0.8009250760080000,84.75303649900000,spotify:track:6ACxnGCTnaYSZz0aKRhNSK,4,14,16,17,20,0
Lunar Caves,The Orb,Moonbuilding 2703 AD ❬special edition❭,0.803459107876,0.196540921926,0.0139544159174,0.07981812208890000,0.701624035835,0.00838707666844,0.0282274316996,0.130730509758,0.021035995334400000,0.016222422942500000,0.0753844752908,0.0446063429117,0.224357768893,0.0310023389757,0.624649047852,0.000202858966077,0.999797165394,0.932797789574,0.0672022402287,0.111998684704,84.83145141600000,spotify:track:1wUJskvY0BAcuvmZz7cBQM,4,14,16,17,20,0
Hyperflow,Haujobb,Matrix,0.8599098324780000,0.140090182424,0.0016789713408800000,0.0163637399673,0.951690137386,0.00427790451795,0.005366406869140000,0.0130751878023,0.000618735619355,0.00692889373749,0.151187628508,0.155434757471,0.208079323173,0.107172913849,0.378125399351,0.00444473419338,0.995555281639,0.534869015217,0.465130954981,0.620408117771,84.8553771973,spotify:track:1ZV5jSJ38GU0WDM2umbK37,4,14,16,17,20,0
Teenagemakeup (Four Ears Mix),Dance or Die,Teenagemakeup,0.999737262726,0.000262727000518,0.00040463363984600000,0.052839174866700000,0.802180469036,0.00121588609181,0.00850257836282,0.13320338726,0.000482279690914,0.00117160740774,0.146927684546,0.15751889348,0.152588114142,0.103895492852,0.439069807529,0.165780127048,0.8342198729520000,0.851522505283,0.148477494717,0.940677165985,84.89469146730000,Not Found,4,14,16,17,20,0
Let’s Get It On,Roni Size & Reprazent,New Forms,0.972020685673,0.0279793180525,0.0021723061800000000,0.00305873760954,0.958445847034,0.0122262658551,0.00279954611324,0.009125210344790000,0.00105874671135,0.0111133204773,0.0705708190799,0.07368054240940000,0.145330458879,0.0851720869541,0.625246107578,0.00223668012768,0.997763335705,0.695865809917,0.30413416028,0.414679765701,84.9130706787,spotify:track:0pajd8NaHR5KObOsk2CqmZ,4,14,16,17,20,0
Slowfast Matrix,Om Unit,Aeolian,0.999998509884,1.49715845055E-06,0.0032233220990700000,0.346593976021,0.502230346203,0.00584484403953,0.0109030026942,0.123420462012,0.0026236101985,0.0051604565233000000,0.10519746691,0.13734741509,0.306356579065,0.128329858184,0.322768688202,0.00519823469222,0.99480175972,0.821775913239,0.17822407186,0.8133178949360000,84.93017578130000,spotify:track:5P9Ns3RZLQrgdFjJrLa8ha,4,14,16,17,20,0
Emeralds,Deft,Always Greener,0.999792635441,0.000207366683753,0.00748601416126,0.257548242807,0.53446918726,0.0087996404618,0.051767267286800000,0.114696420729,0.0176551621407,0.0075780809857,0.103875659406,0.09761165827510000,0.225060403347,0.143394127488,0.430058151484,0.00282152509317,0.99717849493,0.938687443733,0.06131255626680000,0.918465614319,85.0086212158,spotify:track:5KOTUgeeceKkLIb4zBTe7x,4,14,16,17,20,0
BMS Digital,Company Flow,Little Johnny From the Hospitul,0.988388717175,0.0116112893447,0.021336723119,0.017207292839900000,0.651797294617,0.036454975605,0.0319785699248,0.217843741179,0.00919845234603,0.014182952232700000,0.133230552077,0.130867183208,0.128490135074,0.0842362344265,0.523175895214,0.0399038381875,0.960096180439,0.999981999397,1.80104816536E-05,0.835879445076,85.072807312,Not Found,4,14,16,17,20,0
Burnt Pride,Latyrx,The Album,0.996142506599,0.00385746522807,0.00215554260649,0.052436336875,0.8249978423120000,0.00417542457581,0.0120720649138,0.0113354269415,0.0908372104168,0.00199017068371,0.0798485577106,0.06438720226290000,0.113572888076,0.0547876507044,0.687403678894,0.12651887536000000,0.8734811544420000,0.507671654224,0.492328375578,0.939381837845,85.3282623291,spotify:track:3iu5hePHmVngzMcO3uByFB,4,14,16,17,20,0
Manoman,Black Dice,Manoman,0.940358161926,0.059641841799,0.00340586947277,0.00425371807069,0.928283512592,0.00508811185136,0.00492973951623,0.036094982177,0.0006908155628480000,0.0172532517463,0.08680674433710000,0.0743193775415,0.17234697938,0.0535298511386,0.612997055054,0.00325713935308,0.996742844582,0.756846964359,0.243153005838,0.809198856354,85.5293502808,spotify:track:3AlT2IhIlgiA4zF8PFg374,4,14,16,17,20,0
Lights on the Vibe,The Solid Doctor,How About Some Ether: Collected Works 93-95,0.996921181679,0.00307881459594,0.0008288663229910000,0.00331113673747,0.920250654221,0.00490469438955,0.00357455364428,0.0631561279297,0.000636456359643,0.00333749456331,0.07669898122550000,0.07484018057580000,0.175788015127,0.0754193514585,0.597253441811,0.00541602121666,0.994583964348,0.787498295307,0.212501689792,0.827758193016,85.5835494995,spotify:track:6KE2sOZtuOMRG5ifCWjWRi,4,14,16,17,20,0
