title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Bring The Noise (No Noise Instrumental),Public Enemy,It Takes A Nation Of Millions To Hold Us Back,0.999963760376,3.62476494047E-05,0.000725692952983,0.0553335137665,0.921336054802,0.00229831738397,0.0033972992096100000,0.0108050918207,0.00186869513709,0.00423534959555,0.0886384621263,0.0856550857425,0.100959792733,0.083409704268,0.641336977482,0.100165247917,0.8998347520830000,0.4862782657150000,0.513721764088,0.918898105621,109.239227295,spotify:track:3yms4Ypcqyal71lPkQ2Yex,4,14,16,18,19,0
Venom,Gonjasufi,MU.ZZ.LE,0.999999761581,2.6264092412E-07,0.000846971641295,0.126817017794,0.790083944798,0.00249658199027,0.00979820732027,0.0629035383463,0.003978131804620000,0.00307563319802,0.116280779243,0.114911593497,0.341531306505,0.0705570951104,0.356719225645,0.353681027889,0.646318972111,0.0982777327299,0.901722252369,0.631654441357,109.575035095,spotify:track:4xlmn9QrtlTdUhkA4Kzmtm,4,14,16,18,19,0
Imagine,Lemongrass,Windows,0.999314069748,0.000685902719852,0.00933255441487,0.154708877206,0.465016573668,0.0200987234712,0.0232059340924,0.316549599171,0.00393504463136,0.00715270126238,0.123979829252,0.133484438062,0.165439680219,0.136331662536,0.4407643973830000,0.474073082209,0.525926947594,0.407945126295,0.592054843903,0.80715739727,109.675720215,spotify:track:2sjzjq73V2HZzHCYO4Slrr,4,14,16,18,19,0
How Low,GUT,The Cumback 2006,0.91452562809,0.08547436445950000,0.00245721149258,0.3618692457680000,0.455044716597,0.0031542731449000000,0.07496276497840000,0.00743240863085,0.0923560932279,0.00272329081781,0.192315131426,0.142280191183,0.0715529546142,0.0535425841808,0.540309131145,0.042321760207400000,0.957678258419,0.00624430878088,0.993755698204,0.952877223492,109.90616607700000,spotify:track:340S86Nrn2cuYQiWS9sSX0,4,14,16,18,19,0
Hitler hatte keinen Sex,J.B.O.,I Dont Like Metal - I Love It!,0.994223833084,0.00577618088573,0.0008468041196470000,0.275609821081,0.643795847893,0.00501628126949,0.03239640221,0.011174818500900000,0.0300406496972,0.00111941166688,0.0674658119678,0.0690536946058,0.0776748880744,0.07571557164190000,0.7100900411610000,0.013650518842,0.986349463463,0.00126638903748,0.998733639717,0.7473385334010000,109.928291321,spotify:track:4lKHziaYi7aXLhqVEgt3zd,4,14,16,18,19,0
Fata morgana,Litfiba,Viva Litfiba,0.951057970524,0.0489420518279,0.00288804923184,0.0355109721422,0.4785402119160000,0.0177473798394,0.196295514703,0.257871359587,0.00680711166933,0.00433939369395,0.08187571913,0.124523669481,0.29280936718,0.204173773527,0.296617478132,0.12461002171000000,0.8753899931910000,0.02588317357,0.974116802216,0.64210242033,109.94987487800000,spotify:track:0UAfMdkpT6QAxtisQaWxDF,4,14,16,18,19,0
Xscape,Michael Jackson,XSCAPE,0.999296069145,0.0007039397023620000,0.00394687056541,0.0313753932714,0.608961820602,0.00655650300905,0.221067473292,0.0930753648281,0.0323530621827,0.00266352575272,0.07378557324410000,0.104608133435,0.046121891588,0.068142645061,0.7073417305950000,0.0731817036867,0.926818311214,0.292226791382,0.707773208618,0.939634621143,109.970932007,spotify:track:0xzSpvDboL5Imo8cP1vMXm,4,14,16,18,19,0
Brin the Beat Back,Rappin 4-Tay,4 Tha Hard Way,0.999190509319,0.0008095118100750000,0.000727425678633,0.00472046993673,0.907232999802,0.0067045185715000000,0.0008195976261050000,0.07880784571170000,0.000205378368264,0.000781743205152,0.0958067029715,0.256269544363,0.139582261443,0.23092341423,0.277418076992,0.228673607111,0.7713264226910000,0.105612568557,0.8943874239920000,0.952434420586,110.07181549100000,spotify:track:1bj9c06rXW90caqTdmKuv8,4,14,16,18,19,0
Herb The Nation,Devin The Dude,One For The Road,0.999735891819,0.000264105940005,8.41170185595E-05,0.000751288607717,0.99327903986,0.00275967689231,0.000982566969469,0.00171651027631,0.000301045191009,0.000125725811813,0.112936414778,0.112053185701,0.0608529821038,0.0745428428054,0.6396145820620000,0.047319140285300000,0.952680885792,0.00544829200953,0.994551718235,0.952092945576,110.145385742,spotify:track:2DU6xWxRMOcw6UaagolUc0,4,14,16,18,19,0
On the Road Again,Audio Two,Best of Old School Hip-Hop,0.999989271164,1.07082150862E-05,0.00010614337225,0.181282266974,0.8100411295890000,0.00017386220861200000,0.000197140019736,0.00789850205183,0.00011358290066700000,0.000187402052688,0.108094744384,0.117548555136,0.150910019875,0.132267579436,0.49117910862,0.458234488964,0.541765511036,0.0298579055816,0.970142066479,0.913518607616,110.201293945,spotify:track:684jFQoRU1Pa2xKThNBvTA,4,14,16,18,19,0
