title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
World Runners (feat. Lupe Fiasco & Nikki Jean),Ab-Soul,These Days…,3.00000096379E-14,1.0,2.00711328944E-05,0.00713407946751,0.967034637928,8.84035689523E-05,0.00147755362559,0.024129062891000000,1.038749906E-05,0.000105807026557,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.124933406711,0.875066578388,0.00968684349209,0.99031317234,0.448042452335,109.656318665,spotify:track:4nVHpSgnqxniryRIozwmBQ,4,14,16,18,19,1
Carbon,:zoviet*france:,Digilogue,3.00000096379E-14,1.0,0.0294514223933,0.011249827221000000,0.741089463234,0.0600400045514,0.0158846322447,0.135690584779,0.00331267039292,0.00328140566126,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.404134422541,0.595865547657,0.010266562923800000,0.989733457565,0.000440607807832,109.84294128400000,Not Found,4,14,16,18,19,1
untitled,Andreas Tilliander,Ljud,3.00000096379E-14,1.0,0.000382313097361,0.0020083184354,0.627889811993,0.00119224598166,0.00199268921278,0.365346848965,0.000117814335681,0.00106994784437,0.0836468487978,0.0733911320567,0.263457626104,0.0436595417559,0.535844862461,0.00103820860386,0.998961806297,0.409144163132,0.590855836868,0.929406940937,109.993041992,Not Found,4,14,16,18,19,1
I Like Love,Vince Taylor & The Playboys,The Black Leather Rebel,0.454191118479,0.545808911324,0.14786067605,0.0310520976782,0.256341308355,0.109027244151,0.0532296039164,0.103258870542,0.237141385674,0.0620888061821,0.212910488248,0.12252163142,0.111005231738,0.16051967442,0.393042981625,0.228176578879,0.771823406219,0.208524599671,0.79147541523,0.968171477318,110.6040802,spotify:track:2caVAzo2AfNVdmRB19bLFp,4,14,16,18,19,1
Intro,Schwefelgelb,Das Ende vom Kreis,3.00000096379E-14,1.0,0.0271795205772,0.00340043590404,0.943432331085,0.00429817475379,0.0105040082708,0.00650487886742,0.00192076701205,0.0027598596643700000,0.09297962486740000,0.123886451125,0.229284986854,0.117565348744,0.436283588409,0.0008841902017590000,0.999115824699,0.086895942688,0.913104057312,0.50014680624,110.70880127,spotify:track:1AIWVUTXnneLwBWprbUArr,4,14,16,18,19,1
Ill Pearls,Nervous Cop,Nervous Cop,3.00000096379E-14,1.0,0.044138930738,0.121182315052,0.595102608204,0.0669586807489,0.0377071984112,0.0831044092774,0.0181723739952,0.0336334742606,0.114095315337,0.08439255505800000,0.150680989027,0.116567857563,0.534263253212,0.005199431907390000,0.994800567627,0.201070412993,0.798929572105,0.23945851624000000,110.839790344,spotify:track:7cHPTIaNgvP7QbJutKvUgv,4,14,16,18,19,1
13.Sodom und Gomorrha,Orplid,Orplid,0.15648169815500000,0.8435183167460000,0.149114757776,0.014327915385400000,0.349427014589,0.226143330336,0.0323203876615,0.174716591835,0.0255960226059,0.0283539816737,0.062268204987,0.0456885881722,0.259761124849,0.0473931916058,0.584888875484,0.00331904366612,0.99668097496,0.112812913954,0.8871870636940000,0.0175367798656,110.97114563,Not Found,4,14,16,18,19,1
Funeral,Hatred Surge,Hatred Surge / Insect Warfare,3.00000096379E-14,1.0,0.101190514863,0.00716481264681,0.666733622551,0.00372788240202,0.00297712930478,0.00346571346745,0.200169637799,0.014570717699800000,0.160560920835,0.0501596070826,0.0270990747958,0.0175547804683,0.744625627995,0.007068464066830000,0.992931544781,0.27454417944000000,0.7254558205600000,0.981961846352,111.292640686,Not Found,4,14,16,18,19,1
Some More Songs,Anal Cunt,Everyone Should Be Killed,3.00000096379E-14,1.0,0.00930233392864,0.013766319491,0.7973676323890000,0.0111092589796,0.00789392087609,0.0193752758205,0.126842990518,0.014342260547,0.0804336741567,0.00364521006122,0.0035168803297,0.0016857106238600000,0.910718500614,0.0423335805535,0.957666397095,0.06754980236290000,0.932450175285,0.957407534122,113.266944885,spotify:track:6xwtXQq2YQmE8qUj09X93D,4,14,16,18,19,1
Fred Bash,Anal Cunt,Everyone Should Be Killed,0.0155569883063,0.9844430089,0.026184432208500000,0.0133639005944,0.7401993870740000,0.0162703841925,0.00604724092409,0.0243284907192,0.0142506929114,0.159355461597,0.319014579058,0.054048638790800000,0.0373448133469,0.016480712220100000,0.5731112957,0.0680331811309,0.931966841221,0.0227058250457,0.977294147015,0.960810124874,116.50470733600000,spotify:track:68iEeCInpRBVZRHmOisxVo,4,14,16,18,19,1
Rene,Small Faces,Odgens Nut Gone Flake,0.493054002523,0.506945967674,0.121395647526,0.056244805455200000,0.333866655827,0.0455616638064,0.0694811791182,0.159597814083,0.190590515733,0.023261711001400000,0.120919190347,0.125376924872,0.118240401149,0.107465475798,0.527998030186,0.155698150396,0.8443018794060000,0.0263880975544,0.97361189127,0.900807738304,116.797210693,spotify:track:56MyPMdFaknfAS7L0g4CFJ,4,14,16,18,19,1
