title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
VLBI,Bad Sector,Plasma,0.972937047482,0.0270629692823,0.0121031366289,0.140724435449,0.31735110282900000,0.0147924618796,0.261868864298,0.0922129303217,0.153461202979,0.007485877256840000,0.230420961976,0.0967960953712,0.07540059834720000,0.06886944174770000,0.5285128951070000,0.215743988752,0.78425604105,0.13247665762900000,0.867523312569,0.916202604771,66.0614242554,spotify:track:6TBZ4cQ70z35GJoltc15oS,4,14,16,18,20,0
Glow,Monokle,Saints,0.999987900257,1.20905260701E-05,0.00520923919976,0.088651150465,0.497019946575,0.00881404802203,0.0872875824571,0.277310401201,0.0303275585175,0.00538006937131,0.186964690685,0.207792490721,0.189546525478,0.0681214258075,0.347574859858,0.015705075115,0.984294950962,0.19838193059,0.801618099213,0.951536297798,69.9398651123,spotify:track:2vAB1VPH7CsuJjNg48aCRI,4,14,16,18,20,0
Race Against Time,Wiley,Race Against Time,0.999757289886,0.000242719674134,0.00293424911797,0.08607634902000000,0.5738282799720000,0.00827917736024,0.26410022378000000,0.0413558855653,0.0200093910098,0.00341642601416,0.108108706772,0.111797615886,0.0577363446355,0.08985894918440000,0.632498383522,0.125081464648,0.874918520451,0.0184602998197,0.981539726257,0.970155000687,69.9619445801,spotify:track:50LkUwDjLEKlIGtwLY3WGd,4,14,16,18,20,0
Hangover (Bababa),Buraka Som Sistema,Komba,0.999943435192,5.65904410905E-05,0.00428689317778,0.0596985444427,0.538986802101,0.019947564229400000,0.087596707046,0.271786719561,0.00792971719056,0.0097670443356,0.133316457272,0.228412106633,0.115375004709,0.180721282959,0.342175155878,0.291277706623,0.708722293377,0.27975410223,0.7202458977700000,0.906310558319,69.992225647,spotify:track:1WgsrqAgQI3ArppzaehCyR,4,14,16,18,20,0
Rope of Weeds,Elysian Fields,Queen of the Meadow,0.765274107456,0.234725877643,0.0032895440235700000,0.0516384765506,0.696291089058,0.013067026622600000,0.0237701274455,0.204289853573,0.0015014423988800000,0.00615242915228,0.08432803303,0.07305416464810000,0.178141340613,0.053357832133800000,0.611118614674,0.16837772727000000,0.831622302532,0.0110906744376,0.988909304142,0.342950940132,71.263343811,spotify:track:6OzJJ1v2VyYNExd1TpqT70,4,14,16,18,20,0
Carpetbagger,Billy Woods feat. Elucid,"Today, I Wrote Nothing",0.992198705673,0.00780132133514,0.000235896164668,0.00146452884655,0.991921782494,0.000855974562,0.0006444750470110000,0.00208122003824,0.00102275901008,0.00177338381764,0.114010021091,0.182514429092,0.0600918754935,0.166022852063,0.4773608148100000,0.0286516230553,0.971348404884,0.00432142987847,0.995678544044,0.848186135292,72.3739318848,spotify:track:67oCIeQWO9uoQ0JtExH5el,4,14,16,18,20,0
Never Understand,Angra,Holy Land (bonus disc: Live Acoustic at FNAC),0.997277915478,0.00272206566297,0.00122181803454,0.161419376731,0.7746386528020000,0.00265411101282,0.0361877307296,0.0182512756437,0.00352231506258,0.00210473197512,0.0789012238383,0.0575272925198,0.132023900747,0.0507723614573,0.6807752251630000,0.025193834677300000,0.974806189537,0.00319638452493,0.996803641319,0.617450237274,73.5586090088,spotify:track:4ioGUGSa2F06jamUHnihdI,4,14,16,18,20,0
305 Anthem,Pitbull,M.I.A.M.I. - Pitbull,0.997587561607,0.00241242325865,0.010432825423800000,0.0325064584613,0.7201921343800000,0.006184444762770000,0.114047661424,0.07292037457230000,0.0390995442867,0.00461657065898,0.0755432546139,0.174285501242,0.133850559592,0.241841107607,0.3744795918460000,0.284984380007,0.7150155901910000,0.0953897684813,0.904610216618,0.858987271786,73.9809799194,spotify:track:2fd6JqVNtZCEz1CKDOz57d,4,14,16,18,20,0
Intro,Benediction,Killing Music,0.999999880791,1.00000008274E-07,0.3019284904,0.017881596460900000,0.302841484547,0.151091948152,0.0503579266369,0.130883947015,0.026892375201,0.0181222483516,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0170721318573,0.982927858829,0.147521018982,0.8524789810180000,0.07487787306310000,74.5760269165,spotify:track:28FpIImjEbbwL5wIGYgubM,4,14,16,18,20,0
Eh,Death Grips,Bottomless Pit,0.909286558628,0.0907134339213,0.00104623415973,0.0768223181367,0.7457492351530000,0.00203831680119,0.0603684075177,0.106448076665,0.00436215708032,0.0031652764882900000,0.0860913470387,0.08469506353140000,0.384065538645,0.0478742197156,0.39727383852,0.103508174419,0.896491825581,0.005219332873820000,0.994780659676,0.948806941509,75.9977493286,spotify:track:5pNYiMbnXm7UkewX2KhmyK,4,14,16,18,20,0
Dreams & Light,The Wolfgang Press,Queer,0.886767089367,0.113232910633,0.006517345551400000,0.188287779689,0.596545696259,0.0209261924028,0.08449297398330000,0.0709675997496,0.024600172415400000,0.007662210613490000,0.17748901248,0.15718913078300000,0.0791631489992,0.041143294423800000,0.545015394688,0.340427577496,0.6595724225040000,0.214410796762,0.7855892181400000,0.957920610905,77.8680419922,spotify:track:1L29RMTQZHqcE6mHflOOPE,4,14,16,18,20,0
Peanut Butta Ups (Prod. By DJ Marmaduke),Vordul Mega,Megagraphitti,0.832219004631,0.16778101027000000,0.000288206123514,0.005875523202120000,0.924129009247,0.0024762901011900000,0.00505102379248,0.0593182221055,0.00103153812233,0.0018301724921900000,0.208888009191,0.20316362381,0.118008360267,0.0894798487425,0.380460172892,0.186138033867,0.813861966133,0.0955960527062,0.904403924942,0.963540792465,77.8718795776,Not Found,4,14,16,18,20,0
Hot Fuck No Love,clipping. feat. Cakes da Killa & Maxi Wild,Wriggle,0.999978005886,2.20162582991E-05,0.000235868545133,0.00543028023094,0.957717120647,0.000389788678149,0.00416863756254,0.028812972828700000,0.00231007602997,0.000935255142394,0.112293355167,0.212121516466,0.205625608563,0.17718885839,0.292770653963,0.0562704466283,0.943729579449,0.0029261293821,0.997073888779,0.897561013699,78.0113830566,spotify:track:1rlzjc3itqyQE57PdSCHvU,4,14,16,18,20,0
Experienz,Kastle,Hyperreality,0.993662178516,0.00633779680356,0.00452931178734,0.0372277498245,0.6712387204170000,0.00610959343612,0.127142131329,0.133012905717,0.0174533408135,0.0032862527295900000,0.0624737106264,0.125213012099,0.043487850576600000,0.153540596366,0.6152848601340000,0.116425871849,0.883574128151,0.4713952541350000,0.528604745865,0.935697257519,79.8652267456,spotify:track:7nuxYme84X7jY9z85Nal3m,4,14,16,18,20,0
