title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
delirium rag,Molasses,A Slow Messe,0.359993070364,0.640006899834,0.16822645068200000,0.029186042025700000,0.238861888647,0.123007372022,0.207093447447,0.131406754255,0.08641611784700000,0.0158019233495,0.0781682878733,0.0598210319877,0.197081148624,0.0392822921276,0.625647246838,0.00325860246085,0.99674141407,0.296031147242,0.703968882561,0.292443990707,65.2849121094,Not Found,4,14,16,18,20,1
Devastated,Alan Vega,Station,3.00000096379E-14,1.0,0.000370745983673,0.0163469538093,0.862796545029,0.0035790968686300000,0.0537502653897,0.0560358464718,0.00680203130469,0.000318515027175,0.0635345727205,0.06369533389810000,0.0925639569759,0.056015111506000000,0.724191009998,0.0581430122256,0.941856980324,0.00514939846471,0.994850575924,0.6592347621920000,68.1641769409,spotify:track:77XIpBtBwnD1ZxxbMZcyzi,4,14,16,18,20,1
Jack Up the Tune,Preditah,El Futuro,0.00691783241928,0.993082165718,0.00116532284301,0.0617593228817,0.875041723251,0.00168927945197,0.0295620653778,0.02665354684,0.00269454345107,0.00143422186375,0.14572699368,0.148462712765,0.184869706631,0.103183351457,0.417757242918,0.0164020769298,0.983597934246,0.19676913321,0.803230881691,0.8078114390370000,70.23371124270000,Not Found,4,14,16,18,20,1
Boingy,Africa Hitech,Hitecherous,3.00000096379E-14,1.0,0.000247288757237,0.00975946336985,0.644657611847,0.00711957551539,0.00504072150216,0.330279290676,0.000259521970293,0.00263652252033,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0322597362101,0.967740237713,0.0373542904854,0.962645709515,0.940659344196,70.9737548828,spotify:track:3nrVF6xygW20NqmuIYlcJj,4,14,16,18,20,1
Money Is Flesh,Swans,Greed,0.284588843584,0.715411186218,0.0464829355478,0.0284217111766,0.38800984621,0.0369047895074,0.152943119407,0.042832735925900000,0.299328744411,0.00507612805814,0.0978625714779,0.0504071414471,0.026077708229400000,0.0557583421469,0.769894242287,0.07174228876830000,0.928257703781,0.00611205492169,0.993887960911,0.766406357288,71.63436889650000,spotify:track:7geTnzk4VOsp1ATjabhMM7,4,14,16,18,20,1
Drifting Black Umbrellas,Blacklight Braille,Carmarthen,3.00000096379E-14,1.0,0.187088593841,0.0139185907319,0.549827337265,0.122433573008,0.0373187959194,0.0586278624833,0.007389228791,0.0233959965408,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.412970364094,0.587029635906,0.0131040066481,0.986895978451,4.37238077211E-06,72.8205413818,Not Found,4,14,16,18,20,1
Obscene Creed,Insect Warfare,Hatred Surge / Insect Warfare,3.00000096379E-14,1.0,0.0111669581383,0.00146356504411,0.8735052943230000,0.000270327669568,0.000166513535078,0.000240992885665,0.112926095724,0.00026024755789,0.264986902475,0.07136255502700000,0.0462838225067,0.0133232735097,0.604043424129,0.0127037456259,0.987296283245,0.202595844865,0.7974041700360000,0.984061539173,80.48220825200000,Not Found,4,14,16,18,20,1
Interlude,Martin Eyerer,Struktur,1.80913584894E-12,1.0,4.48045611847E-05,0.00564441317692,0.992997825146,0.000333329866407,0.000161887641298,0.000442898919573,8.99469960132E-05,0.00028488764655800000,0.253442585468,0.159792035818,0.107970587909,0.186928778887,0.291866034269,0.39180162549,0.608198404312,0.182770252228,0.817229747772,0.7568309307100000,82.0517272949,spotify:track:3AY37jdthqdttK6trftHzl,4,14,16,18,20,1
Creep City (feat. Sheek Louch),Styles P,Phantom and The Ghost,3.00000096379E-14,1.0,2.98760296573E-05,0.005169663112610000,0.990365147591,5.44582217117E-05,0.0017327651148700000,0.00248003075831,0.000108128901047,5.99543200224E-05,0.0809613615274,0.047430142760300000,0.245650306344,0.0327602364123,0.5931979417800000,0.0877326130867,0.912267386913,0.0297834295779,0.970216572285,0.828936457634,83.0096206665,spotify:track:4IbWhUKcREvxJVrZAssUqU,4,14,16,18,20,1
Rash,"Stock, Hausen & Walkman",Oh My Bag!,3.00000096379E-14,1.0,0.000244973023655,0.000199863410671,0.993626117706,0.000222658680286,0.00026113321655400000,0.0044846185483,0.000784050615039,0.000176587156602,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0023921269457800000,0.997607886791,0.389679342508,0.610320627689,0.214604392648,83.6759490967,Not Found,4,14,16,18,20,1
Gorillas,Army of the Pharaohs,The Torture Papers,3.00000096379E-14,1.0,0.0063138701953,0.065581843257,0.533180117607,0.0189456790686,0.20866215229,0.0688316002488,0.0851946920156,0.0132900271565,0.0814974978566,0.0551236718893,0.197532519698,0.0343738459051,0.631472468376,0.007802827749400000,0.992197155952,0.364340692759,0.635659277439,0.909823477268,83.8733215332,spotify:track:4vxNsFsXcN1IbU6XTIPEv6,4,14,16,18,20,1
viva,OPM,Forthemasses,0.402333408594,0.5976666212080000,0.0110679604113,0.0063189859502,0.603503525257,0.06692445278170000,0.00618826271966,0.297309696674,0.0014867677819000000,0.00720035191625,0.0752288401127,0.046778496354800000,0.237462729216,0.0357523448765,0.604777574539,0.0033699083142,0.996630072594,0.0635275617242,0.936472415924,0.0481812730432,83.905921936,spotify:track:2tXJT5Igvpw7K98k24BTUw,4,14,16,18,20,1
