title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Fertility Dance,Miklós Rózsa,Ben-Hur,0.954484581947,0.0455154068768,0.0722965449095,0.109771922231,0.321558475494,0.055429793894300000,0.0224610455334,0.293172895908,0.09704139828680000,0.0282679386437,0.17677013576000000,0.07992250472310000,0.54612237215,0.0202819947153,0.176902979612,0.0595406033099,0.940459370613,0.996868371964,0.00313162594102,0.907234311104,65.7849197388,spotify:track:4b35Ki7CS78yVYuHM0ZQeL,4,12,16,17,20,0
Fish,Arca,Xen,0.999995052814,4.93545667268E-06,0.000492771621794,0.0366981960833,0.7946443557740000,0.00152880814858,0.0325247049332,0.131834536791,0.00104071188252,0.00123591709416,0.106354802847,0.09287378937010000,0.40692204237,0.0639272630215,0.329922109842,3.75142371922E-05,0.999962508678,0.228550434113,0.771449565887,0.449040979147,67.0030136108,spotify:track:4epLsQTxdtUhRMjrzWn8DW,4,12,16,18,20,0
Voodoo Love,Buraka Som Sistema,Komba,0.996077299118,0.00392268691212,0.00772713171318,0.27390885353100000,0.399072736502,0.0142702171579,0.07935250550510000,0.214970603585,0.00393692217767,0.006761050317440000,0.0768207237124,0.219263985753,0.332132488489,0.236984878778,0.134797930717,0.967430055141,0.0325699262321,0.6476593613620000,0.352340608835,0.8811795115470000,67.4834899902,spotify:track:7BrU4Mk4JmNJR8v3hwBmWc,4,12,15,17,20,0
Breathtaking,Planas,The Long Game,0.997163712978,0.00283630308695,0.00299987290055,0.0161061082035,0.668875396252,0.0123279159889,0.0345271341503,0.263536959887,0.00116087880451,0.000465724937385,0.111364521086,0.212083250284,0.392982691526,0.183822467923,0.09974706918,0.21753680706,0.78246319294,0.00854585133493,0.991454124451,0.7075254321100000,69.93245697020000,spotify:track:1KnREiQ2GDNKsEm1ljQWru,4,12,16,18,20,0
Slurring (Baauer remix),Ryan Hemsworth,Last Words,3.00000096379E-14,1.0,0.000435689406004,0.462018817663,0.491324841976,0.000267428753432,0.0314394906163,0.0122596304864,0.0019877681043,0.000266335497145,0.102282084525,0.14096063375500000,0.440969616175,0.0981713831425,0.217616289854,0.348117917776,0.651882052422,0.363946557045,0.636053442955,0.644084811211,69.9994277954,Not Found,4,12,16,18,20,1
Shutter,Hecq,Avenger,0.993205070496,0.006794925313440000,0.00344687653705,0.0186383519322,0.632280766964,0.00554071366787,0.0595806837082,0.259549915791,0.0158523228019,0.00511034904048,0.144042417407,0.123318493366,0.312810987234,0.120509080589,0.299319028854,0.00423696311191,0.995763063431,0.372804701328,0.627195298672,0.785212576389,70.0013504028,spotify:track:5Ul96MMgRu4qYL9pPXaVPa,4,12,16,18,20,0
Silver,Shield Patterns,Violet,0.99995303154,4.69859878649E-05,0.0028438225854200000,0.0243982598186,0.780167758465,0.00524339359254,0.0487294234335,0.13138602674,0.005639898590740000,0.0015914174728100000,0.0772831141949,0.0960795730352,0.408284753561,0.116108849645,0.302243709564,0.0018537368159700000,0.998146235943,0.346978962421,0.653021037579,0.7783361673360000,70.0930480957,spotify:track:23VjZhPlGTik2MReneicKR,4,12,16,18,20,0
Drug Store Woman,John Lee Hooker,Blues Legends: The Best of John Lee Hooker,0.931470394135,0.0685295760632,0.005932793952520000,0.0189528595656,0.853785276413,0.0135203376412,0.0096387732774,0.0523178167641,0.037385080009700000,0.00846706051379,0.173426181078,0.151991814375,0.442655831575,0.143522426486,0.08840376138690000,0.611863315105,0.388136714697,0.712495565414,0.287504434586,0.959646999836,70.2181243896,spotify:track:6S75o3nKlPCfpdAFx0Rseo,4,12,15,17,20,0
"Weisst Du, Dass Ich Glücklich Bin",Marius Müller-Westernhagen,Westernhagen,0.968560159206,0.0314398407936,0.006068244576450000,0.0723382756114,0.751498401165,0.00962406210601,0.051733076572400000,0.0684648603201,0.0351201184094,0.005152971483770000,0.08794087916610000,0.147445783019,0.413444727659,0.0517346560955,0.299433946609,0.516345381737,0.483654588461,0.103985950351,0.896014034748,0.8498476743700000,73.0325012207,spotify:track:0H1TeP2axkItSxZvSgWceP,4,12,15,18,20,0
Hypnotize,Young Jeezy,The Inspiration,0.999999880791,1.00000008274E-07,0.00458815647289,0.0941821187735,0.576888978481,0.007616989780220000,0.18396763503600000,0.0962955057621,0.0322092548013,0.004251375328750000,0.176354423165,0.0711569935083,0.391639202833,0.0567167624831,0.304132610559,0.008256620727480000,0.991743385792,0.00810262095183,0.991897404194,0.925963938236,74.9621582031,spotify:track:7aMAIVhGdgixers0N5iBdj,4,12,16,18,20,0
Why?_(Just_One_Of_Those_Things,Eligh,Enigma,0.490541398525,0.509458601475,0.209765210748,0.0122490935028,0.273279935122,0.168278083205,0.047064691782,0.25661662221000000,0.008693117648360000,0.0240532308817,0.0487496927381,0.1335324049,0.340553700924,0.191397383809,0.285766810179,0.8831816911700000,0.11681830883,0.141645401716,0.8583545684810000,0.7828612923620000,75.9291305542,Not Found,4,12,15,18,20,1
"Tes Rock, Coco!",Léo Ferré,Avec Le Temps... (Disc1),0.807115197182,0.192884787917,0.052571635693300000,0.0189389064908,0.685402572155,0.0249828528613,0.0511756390333,0.134491279721,0.027468027547,0.00496906973422,0.0798630192876,0.24415750801600000,0.31808450818100000,0.288241714239,0.0696532651782,0.916420221329,0.0835797786713,0.0101826544851,0.989817321301,0.726150751114,76.4019851685,spotify:track:3yqJtJPTMNhxw5ZgwtiKb1,4,12,15,18,20,0
