title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
"Major List MCs (feat. Ears, Fallacy, Jammer, Trim)",Virus Syndicate,Ready to Learn,0.981321394444,0.0186785850674,0.0028984120581300000,0.00607480155304,0.928432106972,0.006938163191080000,0.0201114974916,0.0310292933136,0.0040518003515900000,0.000463938980829,0.0997957885265,0.233969792724,0.0631974413991,0.305855572224,0.297181397676,0.688701629639,0.311298370361,0.4703727662560000,0.529627203941,0.918339014053,69.4777984619,spotify:track:2oNCdDXwkvXOD1IdnlnPog,4,13,15,18,20,0
Blow the Whistle on em,Kyteman,The Hermit Sessions,1.43498617433E-08,1.0,0.00121870241128,0.118412218988,0.5650248527530000,0.00387697829865,0.180375397205,0.1224835217,0.00617493409663,0.00243341340683,0.0862711519003,0.182680442929,0.24449133873000000,0.374167025089,0.11239002645,0.146857887506,0.853142082691,0.07072595506910000,0.929274022579,0.938502967358,74.9502944946,spotify:track:1IFpSitb6SbCpEWd8v37X0,4,13,16,18,20,1
Sole Has Issues,Sole,Bottle of Humans,0.99696791172,0.00303208176047,0.00272354064509,0.0100407199934,0.959710597992,0.00275457696989,0.00988829787821,0.008729766123,0.0027972382959000000,0.00335528468713,0.0564127154648,0.15777237713300000,0.200260415673,0.292796880007,0.292757630348,0.23493565619000000,0.765064358711,0.280416816473,0.719583153725,0.936766982079,75.9588470459,spotify:track:5uALAYmncodK1lj0fy1xBg,4,13,16,18,20,0
Faint of Heart,Zion I & The Grouch,Heroes in the City of Dope,0.98136484623,0.0186351574957,0.00139647116885,0.0230163801461,0.7097756266590000,0.00764785800129,0.0106343226507,0.244079783559,0.00121428701095,0.00223528547212,0.0658875033259,0.21401463449,0.107340715826,0.381253570318,0.231503546238,0.0286817047745,0.971318304539,0.129315271974,0.8706847429280000,0.90173214674,78.9785995483,spotify:track:2ac7OIWgHqS50EbgegwpxO,4,13,16,18,20,0
Hot Stuff,Roni Size & Reprazent,New Forms,0.998678028584,0.00132199947257,0.00442514242604,0.024986024946,0.6797585487370000,0.0042547066696,0.07950184494260000,0.199416413903,0.00565652176738,0.00200082082301,0.096191175282,0.201132982969,0.22503601014600000,0.25257641077,0.225063413382,0.0777917727828,0.922208249569,0.522191405296,0.477808624506,0.8516166806220000,79.9359130859,spotify:track:5FPdQbKa7rMmdNq9z7WA2h,4,13,16,17,20,0
Everything I Am,Lowkey,Soundtrack to the Struggle,0.998369038105,0.0016309353523000000,0.00061943178298,0.0066367303952600000,0.7305820584300000,0.00108997966163,0.058859284967200000,0.19960238039500000,0.00217300513759,0.000437109643826,0.150249391794,0.272739499807,0.223502337933,0.289916574955,0.06359218806030000,0.767610371113,0.232389643788,0.141119033098,0.858880996704,0.911049187183,79.9568328857,spotify:track:1SDoo77CQ5pwZqx7JfLgGI,4,13,15,18,20,0
U Already Know (Feat. Remy Mar,Dropkick Murphys,Do or Die,0.995192110538,0.00480791740119,0.00588816497475,0.0579992756248,0.488666206598,0.0130376545712,0.185203626752,0.221545770764,0.0227010250092,0.00495827291161,0.0691205114126,0.146493136883,0.210246726871,0.31261318922,0.261526435614,0.0769092738628,0.923090755939,0.377491831779,0.622508168221,0.8780295848850000,80.6063461304,Not Found,4,13,16,18,20,0
"Burnin (feat. Royce Da 5’9″, Kid Vishis & Crooked I)",Marcus D,Simply Complex,0.990816295147,0.00918369181454,0.00369229237549,0.020934432745,0.747216880322,0.00955307018012,0.0624224059284,0.127487540245,0.026432219892700000,0.0022611352615100000,0.108830936253,0.225349068642,0.170022949576,0.265842318535,0.229954719543,0.09983289241790000,0.900167107582,0.100714839995,0.8992851376530000,0.911003470421,82.8810272217,Not Found,4,13,16,18,20,0
Simply Complex (feat. Gods’Illa),Marcus D,Simply Complex,0.90897923708,0.0910207629204,0.0569755584002,0.0230943746865,0.287957400084,0.0642687529325,0.185900360346,0.270261257887,0.0456487871706,0.06589350849390000,0.138444900513,0.243056818843,0.171489283442,0.25036424398400000,0.196644753218,0.693896889687,0.306103110313,0.297693222761,0.702306807041,0.8149614930150000,83.4895935059,Not Found,4,13,15,18,20,0
Gully Side,Mavado,Gangsta for Life,0.999986708164,1.32655050038E-05,0.00200765859336,0.0864704623818,0.545540809631,0.00554610555992,0.156084224582,0.193088620901,0.008380223996940000,0.00288186175749,0.192052215338,0.202087283134,0.197938218713,0.22434194386,0.183580338955,0.982389867306,0.0176101066172,0.0192406848073,0.980759322643,0.952755987644,83.9459915161,spotify:track:0KDulFob67R5N9SXaLXwXF,4,13,15,18,20,0
