title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Komba,Buraka Som Sistema,Komba,0.998718500137,0.00128149718512,0.0082620549947,0.292324781418,0.338727831841,0.0295037180185,0.0852834060788,0.221137270331,0.0124541195109,0.0123068029061,0.34217071533200000,0.206145107746,0.0902398824692,0.180067956448,0.181376352906,0.063580609858,0.93641936779,0.0590453222394,0.940954685211,0.952335238457,65.0596389771,spotify:track:43TKGNbGBRZdMdHbWyZIfu,4,10,16,18,20,0
Mission: Impossible Theme,Lalo Schifrin,Mission: Impossible,0.978608727455,0.0213912483305,0.00999991875142,0.0735458508134,0.399876266718,0.042678043246300000,0.111304931343,0.332920402288,0.0201987884939,0.00947578810155,0.2412763834,0.263166189194,0.123172648251,0.109599046409,0.262785732746,0.0110408738256,0.988959133625,0.860517561436,0.139482423663,0.759306192398,67.61763763430000,spotify:track:1XnzC28Z5QSglwHBDvGTtN,4,11,16,17,20,0
40 Karats,Salva,Complex Housing,0.999858438969,0.00014155141252600000,0.00163258844987,0.0499844588339,0.7952479124070000,0.0074405814521,0.0679482072592,0.0733139663935,0.00341658899561,0.00101569236722,0.0728417038918,0.3720484972,0.17344377934900000,0.194625154138,0.187040865421,0.208075091243,0.791924893856,0.318525642157,0.681474387646,0.934057474136,69.9982299805,spotify:track:6cZxOnFFLD9QXAE8QlOYZt,4,11,16,18,20,0
Too Late,Africa Hitech,Hitecherous,0.560673236847,0.4393267929550000,0.000407302170061,0.00784558709711,0.591044902802,0.0036866767332,0.0058233514428100000,0.387783110142,0.0004768542421520000,0.0029322465416,0.14747746288800000,0.44159257412,0.137810707092,0.169553592801,0.10356567055,0.428728640079,0.571271359921,0.0100948978215,0.989905118942,0.906746089458,71.1474761963,Not Found,4,11,16,18,20,0
Aldrig navngivet,Trepac,Fatamorgana,0.980657339096,0.0193426720798,0.00301454332657,0.048018489033,0.8371858596800000,0.00319602666423,0.014421377331,0.0872751250863,0.00549470866099,0.0013938639313000000,0.118134498596,0.260914862156,0.2234878093,0.166035637259,0.231427177787,0.222193270922,0.777806758881,0.445964246988,0.554035782814,0.7734343409540000,71.825920105,spotify:track:11taAKLPvi9G9Af0EyYsxU,4,11,16,18,20,0
Right,Étienne de Crécy,My Contribution to the Global Warming,0.940449416637,0.0595505870879,0.00100557249971,0.007675973232840000,0.954753220081,0.0127053624019,0.00349420472048,0.0141806490719,0.00552928261459,0.0006557488814000000,0.35077238082900000,0.159584671259,0.044239543378400000,0.13705943524800000,0.308343976736,0.0678100660443,0.932189941406,0.730412960052,0.26958703994800000,0.905371129513,72.8592376709,spotify:track:0YbvMprc6HKvPNEmHGBAYP,4,10,16,17,20,0
Live Better (feat. Saigon & Choklate),Marcus D,Simply Complex,0.9074925780300000,0.0925074294209,0.0033581373281800000,0.006850033998490000,0.548542797565,0.0126772951335,0.169018194079,0.251063495874,0.00786646362394,0.000623575411737,0.136859536171,0.377896010876,0.0838170796633,0.232056096196,0.169371277094,0.511248767376,0.488751262426,0.187939375639,0.812060654163,0.920296251774,77.9409484863,Not Found,4,11,15,18,20,0
La Baise instrumentale (Herr Silver version),Sexy Sushi,Vous nallez pas repartir les mains vides ?,0.999940693378,5.92929536651E-05,0.00142359966412,0.225902289152,0.564497709274,0.00195219682064,0.0284975860268,0.167496606708,0.007080151233820000,0.00314989336766,0.375951141119,0.219028428197,0.164749592543,0.12229591608,0.117974929512,0.00101808074396,0.998981893063,0.033775337040400000,0.96622467041,0.966291308403,78.0156326294,Not Found,4,10,16,18,20,0
Debris,Asian Dub Foundation,The Rough Guide to the Asian Underground,0.999909639359,9.03887921595E-05,0.0023134287912400000,0.0515531338751,0.470448881388,0.0346729643643,0.0548915229738,0.345160365105,0.0382159352303,0.0027437862008800000,0.259178102016,0.231478855014,0.171150639653,0.138098835945,0.20009355247,0.149664834142,0.850335180759,0.590887308121,0.409112721682,0.926075100899,78.293762207,spotify:track:23ZRojKxz1oY4wLv5BRX8a,4,10,16,17,20,0
CD64 JUKE REWORK,Vaperror,POLYCHROMATIC COMPILER,0.990013897419,0.00998611468822,0.00487646926194,0.0242260973901,0.913561999798,0.00765087082982,0.014144611544900000,0.0301815550774,0.00390318944119,0.00145519943908,0.112590767443,0.499628782272,0.0318075940013,0.281967043877,0.074005804956,0.592711925507,0.407288074493,0.00143302965444,0.99856698513,0.941082298756,79.76570129390000,spotify:track:5cz0nE9Kxb4cOD7MDtMydV,4,11,15,18,20,0
