title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Song Of The Morrow,Collin Walcott,Grazing Dreams,0.133476644754,0.8665233850480000,0.0177462138236,0.000496752618346,0.00299410196021,0.931545257568,0.0013449715916100000,0.0406185463071,0.00205926015042,0.0031949046533600000,0.0735359191895,0.0658933147788,0.237363398075,0.0429960079491,0.580211341381,0.6968923807140000,0.303107619286,0.983377277851,0.016622742638,0.0387096293271,109.20866394,spotify:track:18VFPusJLKLZGFnMDaVO10,5,14,15,17,19,1
Begin/Restore,Tetsu Inoue + Taylor Deupree,Active/Freeze,3.00000096379E-14,1.0,0.144684508443,0.010822406970000000,0.0516246445477,0.568336367607,0.0171576347202,0.106794722378,0.00980007555336,0.0907796621323,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.521009385586,0.478990614414,0.826049387455,0.173950627446,0.0462218895555,109.242050171,Not Found,5,14,15,17,19,1
Live Your Dreams,Charlie Haden Quartet West,In Angel City,0.329833984375,0.670166015625,0.0262166168541,0.00167116092052,0.008146438747640000,0.878605008125,0.022335767746,0.032873570919,0.017500398680600000,0.0126510597765,0.0762239471078,0.130469545722,0.279437661171,0.0965803191066,0.417288511992,0.737755417824,0.262244611979,1.0,1.237423497E-08,0.715762972832,109.457992554,spotify:track:37b4XWTQBvWjgHKnOFWKK1,5,14,15,17,19,1
The Mountain Top,Omer Avital,Suite of the East,0.302850216627,0.697149753571,0.108787670732,0.00665372330695,0.0123540107161,0.6519703865050000,0.0601005330682,0.114868029952,0.028843747451900000,0.0164218731225,0.0752014890313,0.0472802333534,0.239121437073,0.0343327671289,0.604064047337,0.8017222285270000,0.198277756572,0.999999940395,6.07526331464E-08,0.4742264449600000,109.60675048800000,spotify:track:1dF7wmKwMHBC6bkzmSJt2f,5,14,15,17,19,1
Los Olvidados,Archie Shepp,The Impulse Story,0.16936753690200000,0.830632448196,0.172802448273,0.0145588610321,0.0315738394856,0.443950384855,0.0934155508876,0.160466521978,0.053836107254,0.029396276921,0.0703144669533,0.046985283494,0.2632423639300000,0.0410949066281,0.578363001347,0.7182464003560000,0.281753599644,0.890588402748,0.109411589801,0.4413741230960000,109.65573120100000,spotify:track:09eMRwnHcILwRPkJ6Nd9hZ,5,14,15,17,19,1
Two for One,Jimmy Hamilton,Its About Time,3.00000096379E-14,1.0,0.00441444851458,0.02443327941,0.030635608360200000,0.648483753204,0.0480215400457,0.22553485631900000,0.007593133021150000,0.0108834095299,0.0810786187649,0.0469744503498,0.240913271904,0.0325031504035,0.59853053093,0.511647939682,0.488352060318,0.99126124382,0.00873873848468,0.876321852207,110.032363892,spotify:track:7dStofWPTOkwElCypW6BzB,5,14,15,17,19,1
One Wish,Hiroshima,Best of Hiroshima,0.13747392594800000,0.8625260591510000,0.0362453311682,0.069872431457,0.0462152138352,0.406159162521,0.164527654648,0.244196236134,0.0164767801762,0.0163071937859,0.145474210382,0.175511822104,0.175104752183,0.112637259066,0.391271948814,0.982192933559,0.0178070869297,0.999987661839,1.23548970805E-05,0.645735323429,110.22148132300000,spotify:track:6Bc1D6PR9oaeTZNMPSwE2U,5,14,15,17,19,1
Elliott Mills,Mostly Other People Do The Killing,The Coimbra Concert (Disc 2),7.66702257238E-08,0.999999940395,0.016870450228500000,0.0302987918258,0.0609266348183,0.576707720757,0.0904499217868,0.138317838311,0.0709436312318,0.0154850194231,0.144599348307,0.239727079868,0.124529398978,0.16291141510000000,0.328232765198,0.517558515072,0.482441455126,0.978498101234,0.0215018931776,0.8029180169110000,110.522193909,spotify:track:3MOT7E1ESOmkLrPA20jQbu,5,14,15,17,19,1
My Ship,Keith Jarrett;Charlie Haden,Last Dance,0.0037227072753,0.996277272701,0.257870137691,0.00173051119782,0.00397577462718,0.546643257141,0.00795971043408,0.16472040116800000,0.00371562386863,0.0133845908567,0.07826928049330000,0.0595442391932,0.255546092987,0.0400090031326,0.566631376743,0.942572832108,0.0574271902442,0.99999076128,9.26630855247E-06,0.35134294629100000,110.592132568,spotify:track:7gapLLf7TnXBg6NnT3kH8e,5,14,15,17,19,1
Sur la montagne du loup,La Bottine Souriante,Y a ben du changement,0.435396909714,0.564603090286,0.102597519755,0.016145054251,0.048997823149,0.359261929989,0.0631147548556,0.230776667595,0.158891782165,0.020214471966,0.106067955494,0.155453383923,0.144780576229,0.0930553078651,0.500642776489,0.964531362057,0.035468660295,0.884139955044,0.115860030055,0.913380324841,110.65376281700000,spotify:track:4H3FeRj2UzzX4fxzUqBLLa,5,14,15,17,19,1
Is,"Dewey Redman, Cecil Taylor & Elvin Jones",Momentum Space,0.149632662535,0.850367367268,0.184456765652,0.00689356029034,0.0235975161195,0.545680522919,0.0644537955523,0.104531876743,0.047487620264300000,0.0228983424604,0.07722244411710000,0.0444037243724,0.227747619152,0.0306321661919,0.619994044304,0.745517611504,0.254482418299,1.0,2.01025762876E-12,0.287493348122,111.42847442600000,spotify:track:49btaekHYb61zr8VTpFsmg,5,14,15,17,19,1
Blues for Big Scotia,The Oscar Peterson Trio,The London House Sessions,3.00000096379E-14,1.0,0.00206253305078,0.00521541386843,0.0026785207446700000,0.965771198273,0.007357067894190000,0.0142038017511,0.00174748303834,0.000963988131844,0.104218989611,0.155679434538,0.285530716181,0.105764091015,0.348806768656,0.939157366753,0.0608426518738,0.992437183857,0.007562845014040000,0.09774138033390000,111.521263123,spotify:track:2BQleAH9R7usYFm2kzJ8VR,5,14,15,17,19,1
Jim,The Oscar Peterson Trio,The London House Sessions,0.00263540446758,0.997364580631,0.000806652766187,0.000924934516661,0.000452875741757,0.988578677177,0.00407500425354,0.00354747730307,0.0012079316657,0.000406448991271,0.07333813607690000,0.0504394732416,0.243660852313,0.0363132618368,0.596248269081,0.974383175373,0.0256168060005,0.999999403954,5.76164950417E-07,0.124702401459,111.590682983,spotify:track:7FqD1WJbdlmPfyuhkKkxaw,5,14,15,17,19,1
The Bastard,Reverend Glasseye,One Year Lost At Sea,0.0437803007662,0.956219673157,0.0526292659342,0.00309546105564,0.00191480398644,0.7543824911120000,0.11615036428,0.0431692488492,0.0159690175205,0.012689370662,0.0826782733202,0.112928800285,0.253550291061,0.0641228333116,0.486719816923,0.592105269432,0.407894730568,0.955792427063,0.0442075878382,0.760701954365,111.707923889,Not Found,5,14,15,17,19,1
You Enjoy Myself (Live),Phish,Vegas 96,0.28405904769900000,0.7159409523010000,0.0352209284902,0.008281524293120000,0.0150524266064,0.737181603909,0.0487985387444,0.0825658589602,0.0534292533994,0.0194698739797,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.7918518185620000,0.208148211241,1.0,3.3817387779E-10,0.649855911732,111.82042694100000,spotify:track:1li6Y2MPA2fJ4a9jWK9RPg,5,14,15,17,19,1
The Trip,Art Pepper,Saturday Night At The Village Vanguard,0.0799454972148,0.920054495335,0.118786424398,0.00123605481349,0.00162787374575,0.808149695396,0.0114307235926,0.0524974055588,0.00380643084645,0.00246540666558,0.07479966431860000,0.045553535223,0.235828220844,0.0326329655945,0.611185610294,0.992182850838,0.007817126810550000,0.9968480467800000,0.00315193692222,0.07418467849490000,111.82084655800000,spotify:track:7qHb026VLQsyjHBdjVr8zE,5,14,15,17,19,1
Skagly,Freddie Hubbard,Skagly,0.446217030287,0.553782999516,0.00271525164135,0.00865264516324,0.0209465548396,0.882906019688,0.0220583658665,0.0567020103335,0.00393790239468,0.00208126567304,0.07719159126280000,0.0444115698338,0.227683544159,0.0306388475001,0.6200744509700000,0.995480954647,0.00451906071976,0.997139215469,0.00286078546196,0.442082077265,111.82367706300000,spotify:track:5CZZKrPcSVCuMjHhU7kq5U,5,14,15,17,19,1
Kingpin,Adam Nitti,Balance,0.146319061518,0.8536809682850000,0.022167256102,0.008567420765760000,0.008066168986260000,0.528782367706,0.1988183707,0.105222374201,0.118510730565,0.00986532308161,0.105883345008,0.157859772444,0.176371410489,0.08368781208990000,0.476197630167,0.95559990406,0.0444000959396,0.999999821186,2.00350513069E-07,0.831215381622,111.92433929400000,spotify:track:4jqmGhb4hJIZ7Du5vmmvCk,5,14,15,17,19,1
Sign of the Season,Pat Metheny,The Unity Sessions,0.246055692434,0.753944277763,0.13582329452,0.004059470258650000,0.0170116759837,0.690967082977,0.0319433398545,0.0943999886513,0.00784926768392,0.0179458651692,0.07332888245580000,0.0511144548655,0.25476950407,0.0386469997466,0.582140147686,0.719637393951,0.280362606049,0.980686604977,0.0193134211004,0.512352585793,112.06006622300000,spotify:track:6UnOPitIYFum9O9WOXNtLc,5,14,15,17,19,1
One of a Kind,Freddie Hubbard,The Best Of Freddie Hubbard Live And In Studio,0.1852876544,0.8147123456,0.07541888952260000,0.00833343807608,0.0263778585941,0.603102445602,0.0952325239778,0.13905672729000000,0.0307429283857,0.0217351969332,0.0759460628033,0.0494974143803,0.221983298659,0.033199969679100000,0.619373261929,0.558087229729,0.441912770271,0.999992489815,7.52719097363E-06,0.633547842503,112.243125916,spotify:track:0085n9Z6DXCIYx6kXKlQ5Y,5,14,15,17,19,1
Spirit of the Water,Camel,Moonmadness,0.0496001690626,0.950399816036,0.413034200668,0.00256340671331,0.00690314965323,0.491968810558,0.0179525241256,0.0445819795132,0.00481929071248,0.0181766189635,0.105279155076,0.169408008456,0.251343905926,0.0736250951886,0.400343835354,0.7848104834560000,0.215189516544,0.983237743378,0.0167622491717,0.201942399144,112.723670959,spotify:track:2XOhwUwc6mwnDQaZnEQten,5,14,15,17,19,1
Mimosa,George Benson & Earl Klugh,Collaboration,0.240031123161,0.7599688768390000,0.005476136226210000,0.0046778623946,0.010319323279,0.782943308353,0.0247186310589,0.157941266894,0.0112843513489,0.00263909739442,0.0901577845216,0.13107983768,0.247169926763,0.070866599679,0.460725843906,0.849198579788,0.150801420212,0.999987602234,1.24177213365E-05,0.746115446091,113.700332642,spotify:track:3EG19ZSaWFlZrKp4XHUtLW,5,14,15,17,19,1
El Retorn A La Infantesa,Narsilion,Namarie,0.0795005112886,0.920499503613,0.172278910875,0.010329507291300000,0.012561920099,0.415605783463,0.145117759705,0.218702062964,0.0144101362675,0.0109939221293,0.07412499189380000,0.0683341473341,0.272306203842,0.0706929117441,0.514541745186,0.937082350254,0.0629176497459,0.979450643063,0.0205493811518,0.4860714674,113.849945068,spotify:track:6Y2Q9ZIoEu3bKsNpvkpfxU,5,14,15,17,19,1
Swing Shift: Grooveboxes,Ahn Trio,Groovebox,0.0455075092614,0.954492509365,0.17133618891200000,0.00112226256169,0.0008127905311990000,0.801871716976,0.0122917108238,0.00465257652104,0.00494771823287,0.00296505447477,0.0912445783615,0.100853011012,0.236053332686,0.0619029439986,0.509946107864,0.961204171181,0.0387958176434,0.999999940395,8.13256662013E-08,0.665667414665,113.90299987800000,spotify:track:6P63oqL0Ku2BsDtsaUa06H,5,14,15,17,19,1
Dancing Heart,Universal Two,45 Live: A Classic Rap Mix,3.00000096379E-14,1.0,0.0385502502322,0.016515202820300000,0.134215474129,0.443727999926,0.138194784522,0.108551241457,0.08533880114560000,0.0349062494934,0.07720085978510000,0.0632290765643,0.215665191412,0.0450513288379,0.5988535285000000,0.562841653824,0.437158375978,0.999990224838,9.78355274128E-06,0.960807681084,114.30010986300000,spotify:track:3Ey0xyZYw58VZcvMYeTVJB,5,14,15,17,19,1
Hallucinations,George Shearing,Breakin Out,0.0189402252436,0.981059789658,0.0140626067296,0.167024984956,0.167358696461,0.38375043869,0.0720634683967,0.128506705165,0.0520060844719,0.0152270235121,0.131599605083,0.290730476379,0.15223757922600000,0.131883233786,0.293549120426,0.594905078411,0.405094921589,0.958950400352,0.0410495996475,0.65314245224,114.32538604700000,spotify:track:60ZaJasHxicuVSM1goBCWN,5,14,15,17,19,1
Insensatez,Banda Mantiqueira,Aldeia,0.015506554395,0.984493434429,0.24518622458,0.00225832615979,0.00610155658796,0.485272675753,0.08809074014430000,0.156309813261,0.00700453668833,0.009776139631870000,0.09379411488770000,0.201506912708,0.293370425701,0.106693930924,0.304634600878,0.7110177874570000,0.288982242346,0.999996006489,3.97973917643E-06,0.17228315770600000,114.55067443800000,spotify:track:3JalOuDBgSbmsT2jWAHV6s,5,14,15,17,19,1
"Winterreise, D. 911: Der Leiermann",Franz Schubert,Winterreise,3.00000096379E-14,1.0,0.221196502447,0.0007117136847230000,0.00450022285804,0.657017350197,0.0103288386017,0.040590882301300000,0.00157818908338,0.064076282084,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.924694895744,0.07530511915680000,0.84095877409,0.159041196108,7.17519969839E-06,114.70234680200000,spotify:track:6CU58iaJbVTQURkopUUqRm,5,14,15,17,19,1
Goin Down The Road Feeling Bad,Etta Baker,Instrumental Music Of The Southern Appalachians,3.00000096379E-14,1.0,0.0614735819399,0.0174818634987,0.0562038868666,0.459943145514,0.0632004141808,0.304841756821,0.019294725731,0.017560617998200000,0.08254297077660000,0.0525123775005,0.243039622903,0.0339740216732,0.587930977345,0.994261741638,0.005738262087110000,0.665278673172,0.334721297026,0.7923182845120000,114.773643494,spotify:track:1O52bP7oe7fHt0A6OtS4J1,5,14,15,17,19,1
Boogie Stop Shuffle,Chris Potter Quartet,Lift: Live at the Village Vanguard,0.251025348902,0.748974621296,0.0189927462488,0.00363893830217,0.00842946954072,0.850317776203,0.0182678010315,0.0687942579389,0.0181621666998,0.0133968628943,0.07713467627760000,0.044474828988300000,0.228150635958,0.0307730510831,0.619466781616,0.947339832783,0.052660189569,0.954762756824,0.0452372208238,0.416306346655,114.84113311800000,Not Found,5,14,15,17,19,1
The Most Beautiful Girl in the World,Sonny Rollins Quartet,Tenor Madness,0.332060217857,0.667939782143,0.0142495334148,0.00364110060036,0.0066335555166,0.904668927193,0.007777514401820000,0.050020061433300000,0.00320038408972,0.00980891380459,0.0981111004949,0.167079046369,0.28049483895300000,0.156756415963,0.297558575869,0.898010492325,0.101989485323,0.969159603119,0.030840402469,0.633110404015,115.41015625,spotify:track:2RhWU4vwIMgXg4VFFjw4Hl,5,14,15,17,19,1
Soubresauts,Univers Zero,Clivages,0.418590992689,0.581409037113,0.0534587614238,0.0142398606986,0.008224103599790000,0.476827651262,0.213134050369,0.0677756220102,0.156451404095,0.00988853629678,0.07872238010170000,0.0651560723782,0.347774356604,0.06865306943660000,0.439694136381,0.870776534081,0.129223451018,0.990107953548,0.00989201664925,0.913539707661,115.603897095,Not Found,5,14,15,17,19,1
