title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
The Morning After,E-Z Rollers,Dimensions of Sound,0.9998254776,0.000174533255631,0.011679767631,0.13556937873400000,0.0514041893184,0.601514220238,0.0382289066911,0.133532807231,0.0167260803282,0.0113446330652,0.0779345482588,0.059917185455600000,0.249350309372,0.0401270724833,0.57267087698,0.427821397781,0.572178602219,0.999999821186,1.80888946488E-07,0.842513799667,109.02159881600000,Not Found,5,14,16,17,19,0
Track One,Steven Wilson,Grace for Drowning,0.999999880791,1.00000008274E-07,0.0480426698923,0.00581902218983,0.0238067619503,0.788469254971,0.013008386828,0.07985901087520000,0.00918733421713,0.0318075492978,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0043713673949200000,0.995628654957,0.999985516071,1.44770847328E-05,0.044055290520200000,109.885002136,spotify:track:7eA5zUjJXy1z1Z5JWpHgCb,5,14,16,17,19,0
Jessups Diary,Sun City Girls,Dantes Disneyland Inferno,0.564820587635,0.435179412365,0.183042228222,0.0133526232094,0.0728162229061,0.386631608009,0.101071365178,0.153947070241,0.0112126432359,0.077926248312,0.0711588263512,0.0701384693384,0.28424265980700000,0.0575405545533,0.516919493675,0.0095279738307,0.990472018719,0.6774716377260000,0.322528362274,0.178672730923,109.97966003400000,spotify:track:5fuOW2XjRRvWaHde0lR8zC,5,14,16,17,19,0
"Et Tu, Brute?",Chris Potter,Unspoken,0.999999880791,1.00000008274E-07,0.023555051535400000,0.013149317354000000,0.0413634888828,0.7046399116520000,0.0468814633787,0.0745752751827,0.08212032169100000,0.0137151433155,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.467048853636,0.532951176167,0.999997735023,2.26394195124E-06,0.779706716537,110.20253753700000,spotify:track:5sdK64dsmk5egox9KAd83E,5,14,16,17,19,0
Desolation Sound,Charles Lloyd,Canto,0.999999880791,1.00000008274E-07,0.017757430672600000,0.000497119675856,0.00091538252309,0.966862797737,0.0028663284611,0.00765379611403,0.00105112511665,0.00239600683562,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.391639709473,0.608360290527,0.99999922514,7.82414986134E-07,0.0643671825528,110.48962402300000,spotify:track:0ZtLbArVfp7QVvmQUzLoPC,5,14,16,17,19,0
Shaolin Soldier (skit),Method Man,4:21... The Day After,0.512054979801,0.487945020199,0.400059491396,0.004399118945,0.0717346221209,0.443522363901,0.00789863243699,0.017430409789100000,0.00838531833142,0.0465700477362,0.034439090639400000,0.132276266813,0.0396218039095,0.182197377086,0.611465454102,0.279159486294,0.720840513706,0.627127707005,0.372872292995,0.714434504509,110.682899475,spotify:track:4Juu7qzbo4p56EHbzzehdI,5,14,16,17,19,0
The Abutbuls,Omer Avital,Suite of the East,0.645168542862,0.35483148694,0.0184098519385,0.0166456438601,0.0223077107221,0.38030192256,0.255644917488,0.24588333070300000,0.0502284765244,0.0105781564489,0.0739211440086,0.0464501976967,0.246399521828,0.0362534970045,0.5969756245610000,0.358293324709,0.641706705093,0.999992549419,7.44968974686E-06,0.412492334843,110.870773315,spotify:track:22kcgcANHgJmvU5hBV7S1I,5,14,16,17,19,0
Tail of the Sad Dog,Thumbscrew,Convallaria,0.8804959058760000,0.119504086673,0.058677859604400000,0.058396201580800000,0.126567140222,0.417647182941,0.0438217483461,0.194480270147,0.039318259805400000,0.0610913336277,0.0730225816369,0.0617380253971,0.227463588119,0.0391149073839,0.598660886288,0.0244413036853,0.975558698177,0.999995291233,4.73742056784E-06,0.5927032232280000,110.991157532,Not Found,5,14,16,17,19,0
Low-Down (Toytown),First House,Cantilena,0.897935390472,0.102064602077,0.07106368243690000,0.0281327143312,0.288522392511,0.292287498713,0.0600513629615,0.194217652082,0.0324041359127,0.033320549875500000,0.114572070539,0.112157635391,0.197834074497,0.0841446146369,0.491291612387,0.0819752141833,0.918024778366,0.994270205498,0.00572980940342,0.321323007345,111.534080505,spotify:track:7d32OcTnA1LcTF6rbLDL9o,5,14,16,17,19,0
Without a Song,Sonny Rollins,The Bridge,0.704768657684,0.295231312513,0.00210650521331,0.0030738681089100000,0.0129301082343,0.959379732609,0.00369810243137,0.00995817966759,0.00237746722996,0.006476021371780000,0.0781157761812,0.078046284616,0.370341181755,0.0794407948852,0.394055962563,0.330011487007,0.669988512993,0.978540897369,0.0214590914547,0.822920322418,112.049247742,spotify:track:6NeCoPvzhTHcBu3RFzbY3X,5,14,16,17,19,0
