title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Egaberté,The Books,Music for a French Elevator and Other Short Format Oddities by the Books,4.55732288174E-06,0.999995470047,0.230702221394,0.017250072211,0.0334167256951,0.232390597463,0.0896430313587,0.226656645536,0.0438496470451,0.126091063023,0.142878249288,0.07217846810820000,0.200050354004,0.0521899014711,0.53270304203,0.484352618456,0.5156473517420000,0.0947468429804,0.905253171921,0.641864836216,72.57722473140000,spotify:track:2BiMr99uQGnr0HNQgsfXFq,5,14,16,18,20,1
Epilogue,Marianne Faithfull,A Secret Life,0.999999880791,1.00000008274E-07,0.10272405296600000,0.018736800178900000,0.037389036268000000,0.470987647772,0.17826314270500000,0.122543677688,0.040056057274300000,0.0292995702475,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.132942140102,0.8670578598980000,0.06782444566490000,0.932175576687,0.874136447906,77.7712631226,spotify:track:1gQSX1MBrYYZLpKt0DR9JX,5,14,16,18,20,0
North Point Memorial,Dave Douglas &amp; Nomad,Mountain Passages,0.0421242900193,0.957875728607,0.137409433722,0.00400114012882,0.00934369955212,0.7015561461450000,0.0269763842225,0.0991709753871,0.00241558300331,0.0191266592592,0.103197678924,0.151681914926,0.275125592947,0.0988448560238,0.3711499571800000,0.057705745101,0.942294239998,0.473041534424,0.526958465576,0.197340711951,79.9459609985,Not Found,5,14,16,18,20,1
Patrasche Come Back,Deerhoof,The Magic,0.00854428298771,0.991455733776,0.297154814005,0.0035069074947400000,0.0155165744945,0.541519224644,0.00438740476966,0.010712325573,0.00293636927381,0.124266400933,0.227903321385,0.189987421036,0.212792098522,0.118494793773,0.250822365284,0.144605249166,0.855394721031,0.255502998829,0.744497001171,0.900499582291,80.2880325317,spotify:track:7K8rjbTTcwy1is3spnwtE5,5,14,16,18,20,1
This Old House,Loretta Lynn,Van Lear Rose,0.26783132553100000,0.7321686744690000,0.012049903161800000,0.00519033987075,0.0236229486763,0.47728985548,0.115095593035,0.346295505762,0.00747284758836,0.0129829924554,0.105733729899,0.17916046083,0.233950063586,0.140404328704,0.340751409531,0.23875892162300000,0.761241078377,0.00582502176985,0.994174957275,0.929978609085,85.3352279663,spotify:track:6i6lF169xWB0Ng0qEEtDX4,5,14,16,18,20,1
Arafura,Biosphere,Dropsonde,0.928868830204,0.071131169796,0.104553893209,0.0230216030031,0.056706313043800000,0.600704431534,0.0425880774856,0.139867693186,0.00764003163204,0.0249179415405,0.170975536108,0.269228458405,0.153378173709,0.106409877539,0.300007939339,0.158831179142,0.841168820858,0.485238611698,0.514761388302,0.155129045248,86.44886779790000,spotify:track:2ZVqx48eYJ2vfSb2ep1YBZ,5,14,16,18,20,0
Throw Aggi,Dum Dum Girls,Blissed Out,0.999047279358,0.000952713890001,0.0966968238354,0.0279393587261,0.0194087605923,0.398331671953,0.215550825,0.0479129850864,0.183230563998,0.010929004289200000,0.122468359768,0.0901968032122,0.300329655409,0.07759220153090000,0.40941298008,0.24152162671100000,0.758478403091,0.00249885441735,0.997501134872,0.955892562866,86.98072052,Not Found,5,14,16,18,20,0
Somenoize2000,Noiseshaper,Prelaunch Sequence,0.999999880791,1.00000008274E-07,0.0462226085365,0.00492193736136,0.0359642095864,0.7490516901020000,0.00611684191972,0.120595514774,0.00192222429905,0.0352049507201,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00375257432461,0.996247410774,0.0677992329001,0.932200789452,0.910308003426,90.2998504639,Not Found,5,14,16,18,20,0
At Home In The Universe,Evan Parker Electro-Acoustic Ensemble,Drawn Inward,2.82584710476E-06,0.999997198582,0.0607164166868,0.00940658617765,0.200675785542,0.439954459667,0.0259276889265,0.191585421562,0.0105173680931,0.0612162724137,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0802320092916,0.919767975807,0.0896358042955,0.910364210606,0.060346059501200000,90.7268676758,spotify:track:61sy94yyk0h64EJgIuoTtN,5,14,16,18,20,1
untitled,The Chemical Brothers,Radio 1 Anti-Nazi Mix / Interview,1.87323777823E-07,0.999999821186,0.0744745656848,0.00787219777703,0.127454131842,0.438852012157,0.00984846707433,0.0397104695439,0.008373817428950000,0.293414354324,0.0783607140183,0.045093744993200000,0.225818350911,0.0310069490224,0.619720220566,0.368884831667,0.631115198135,0.000489451456815,0.999510526657,0.425977826118,90.8332901001,Not Found,5,14,16,18,20,1
