title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
36-23-36,Art Blakey & The Jazz Messengers,On View at the Five Spot Café,3.00000096379E-14,1.0,0.00492105958983,0.00198565796018,0.00192563631572,0.97113853693,0.00430314568803,0.0076097860001,0.00253400579095,0.005582178477200000,0.124665178359,0.232718959451,0.403179049492,0.167644888163,0.0717919170856,0.803073763847,0.196926221251,0.941257536411,0.05874245241280000,0.393876552582,109.02469635,spotify:track:0foTwUxWAitgw7ZwnJpWhG,5,12,15,17,19,1
Drina March (Mars Na Drini),James Last & Berdien Stenberg,Flute Fiesta,0.257686495781,0.742313504219,0.174723088741,0.00129662069958,0.00378553988412,0.740772783756,0.0293085463345,0.0420416332781,0.00504588149488,0.00302589102648,0.058085732162,0.143495753407,0.5332158803940000,0.235232874751,0.029969751834900000,0.97331982851,0.026680175215,0.930417656898,0.0695823207498,0.622051715851,109.11769104,Not Found,5,12,15,17,19,1
That Old Feeling,Frankie Laine & Buck Clayton,Jazz Spectacular,0.349091142416,0.6509088873860000,0.0219888407737,0.00130410713609,0.0037709090393,0.902311325073,0.0198849402368,0.0358848534524,0.00653579831123,0.00831920001656,0.0696579366922,0.09139920771120000,0.444164127111,0.18825955689,0.206519156694,0.975139498711,0.0248605180532,0.86090785265,0.139092117548,0.677992522717,109.22509002700000,spotify:track:20kK8xSPnrcnNHP4Sp0bRy,5,12,15,17,19,1
Trees Of Highwood,Cantoma,Out Of Town,0.130483224988,0.869516789913,0.0336938910186,0.0112438146025,0.00441886810586,0.51243853569,0.14662045240400000,0.137011781335,0.14751252532,0.00706012547016,0.095679551363,0.11992470175,0.563943743706,0.204678803682,0.0157731808722,0.987119376659,0.0128806456923,0.923477053642,0.076522924006,0.8704217076300000,109.24605560300000,spotify:track:3OfE7fIRiTooWds2Ew9SAR,5,12,15,17,19,1
Interlude,Acoustic Art,Interlude,0.0352626405656,0.964737355709,0.15971963107600000,0.0082209603861,0.022170605137900000,0.5612122416500000,0.0314178057015,0.196453735232,0.010482693091,0.0103223212063,0.0723205134273,0.0620965659618,0.415224373341,0.0710708200932,0.379287719727,0.974854290485,0.0251457132399,0.982429325581,0.0175706520677,0.0916701629758,109.26306152300000,spotify:track:5a0nHa7F4S9hb0Zi0zLS8w,5,12,15,17,19,1
Easter Parade,Chris Botti,Night Sessions,0.007523185107860000,0.992476820946,0.13747599721000000,0.0008434556075370000,0.00295833405107,0.768686056137,0.00353023316711,0.08177730441090000,0.00116444576997,0.00356416450813,0.0759088546038,0.185843139887,0.453436642885,0.146162047982,0.138649314642,0.828407049179,0.171592950821,0.677556395531,0.322443634272,0.0344268046319,109.28184509300000,spotify:track:6jIna9xZNLo8bKxb9RXcSw,5,12,15,17,19,1
Inquietacao,Clare Fischer,Latin Patterns,7.36331548978E-06,0.999992609024,0.0569440722466,0.00129605038092,0.00273666484281,0.84149825573,0.025862859562,0.0624792464077,0.00269827619195,0.00648459233344,0.075096078217,0.0988743007183,0.669128000736,0.123871840537,0.0330297574401,0.52085185051,0.47914814949,0.974327981472,0.025672018528,0.693939208984,109.296310425,Not Found,5,12,15,17,19,1
Additional Controller,Lance Hayes,Forza Motorsport 3,0.234769925475,0.765230059624,0.08910334855320000,0.026375822722900000,0.0565377362072,0.32305124402,0.173395976424,0.229216694832,0.0606442168355,0.0416749678552,0.142445877194,0.17770691216000000,0.361375421286,0.163491353393,0.154980450869,0.542555332184,0.457444667816,0.996605932713,0.0033940544817600000,0.613232314587,109.953521729,Not Found,5,12,15,17,19,1
Sway,Chuck Loeb,In a Heartbeat,0.103314064443,0.8966859579090000,0.0143960798159,0.00337420753203,0.0120408674702,0.7071846723560000,0.0189444515854,0.223726198077,0.00274562742561,0.0175879001617,0.0833172425628,0.176806792617,0.473187059164,0.109066419303,0.157622486353,0.661088705063,0.338911324739,0.976123809814,0.0238761715591,0.868532896042,109.954162598,spotify:track:7Do22VSVXkST7r1Da2QLu0,5,12,15,17,19,1
"The Lane - Five Childrens Songs, op. 89: 4. The Cat",Александр Тихонович Гречанинов,50 Years on Decca: Original Jacket Collection,0.0832495391369,0.916750490665,0.394885063171,0.00171184015926,0.00782737880945,0.490394830704,0.00950301904231,0.0232236981392,0.00119510444347,0.0712590515614,0.0467068813741,0.148029908538,0.5766442418100000,0.15533465147,0.07328432798390000,0.645013868809,0.354986131191,0.842386484146,0.157613486052,0.174419432878,110.185173035,Not Found,5,12,15,17,19,1
