title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Dos gardenias,Cristina Branco,Fado/Tango,0.0366307944059,0.963369190693,0.051841121166900000,0.0029850383289200000,0.00781718920916,0.504353404045,0.0976611748338,0.317514032125,0.00370105705224,0.0141269881278,0.10653321445,0.1794064641,0.5481507778170000,0.148265048862,0.0176444817334,0.8205484747890000,0.179451495409,0.0140840439126,0.985915958881,0.770104467869,109.44568634,Not Found,5,12,15,18,19,1
Whatever Lola Wants,Eartha Kitt,Purrfect: The Eartha Kitt Collection,0.00751111563295,0.992488861084,0.103195928037,0.00278645963408,0.00816116016358,0.806247591972,0.0215765852481,0.0433256626129,0.0020897325594,0.0126168904826,0.17460456490500000,0.138148859143,0.430671900511,0.105736479163,0.150838181376,0.586327910423,0.413672089577,0.115659601986,0.884340405464,0.611373364925,109.508110046,Not Found,5,12,15,18,19,1
Youre Aging Well,Dar Williams,The Honesty Room,0.0178439803421,0.982156038284,0.115555584431,0.0019338655984,0.0014372594887400000,0.7197295427320000,0.0816997364163,0.0610769614577,0.0134176947176,0.00514938076958,0.09345626086,0.183811321855,0.5249107480050000,0.172810927033,0.0250107403845,0.966928243637,0.0330717526376,0.0155883608386,0.984411656857,0.602679729462,109.548416138,spotify:track:0YMU0okxTYWnLYwsd8n3Yo,5,12,15,18,19,1
Together,Patrick Wolf,Sundark and Riverlight,0.0261493474245,0.973850667477,0.244053065777,0.006472375243900000,0.00566599611193,0.562778532505,0.053160276264,0.112722955644,0.0080561041832,0.00709066167474,0.0974487364292,0.126435995102,0.449331671,0.24483564496,0.0819479376078,0.606876790524,0.393123239279,0.211394026875,0.788605988026,0.617098391056,109.693138123,spotify:track:07AE1d4NtXHPEQoTNrbi4b,5,12,15,18,19,1
My Souls In Louisiana,Otis Taylor,White African,0.118200197816,0.881799817085,0.05651793628930000,0.0181430224329,0.0390459299088,0.357290953398,0.180800259113,0.26297980547,0.0403363257647,0.044885762035800000,0.08709495514630000,0.153539836407,0.501912713051,0.158674940467,0.0987775623798,0.616584718227,0.383415281773,0.141029715538,0.858970284462,0.7581767439840000,109.883216858,spotify:track:6nF41yFBkDcx1BYJqtj8Na,5,12,15,18,19,1
Maaliskuu 18,KOM-teatteri,Porvari nukkuu huonosti,0.0176285151392,0.982371509075,0.250426501036,0.00215058680624,0.00824210513383,0.635443031788,0.0157011691481,0.0817145779729,0.00267339474522,0.00364864105359,0.128201603889,0.189445018768,0.317067593336,0.29988789558400000,0.06539788097140000,0.960357189178,0.039642803371,0.0173695776612,0.982630431652,0.0292877461761,109.999786377,Not Found,5,12,15,18,19,1
Its Got to Be Jean,New Buffalo,"Somewhere, Anywhere.",0.0185022205114,0.981497764587,0.0935267284513,0.00314322067425,0.00249106995761,0.6907812953,0.08590712398290000,0.105566091835,0.0131858680397,0.00539858033881,0.116254329681,0.177792564034,0.405901581049,0.24572369456300000,0.054327826947,0.999995529652,4.46454032499E-06,0.334885567427,0.665114462376,0.7771995067600000,110.027153015,Not Found,5,12,15,18,19,1
Thirteen,Katell Keineg,At the Mermaid Parade,0.0271891150624,0.972810864449,0.138482823968,0.00410375464708,0.006266067735850000,0.577089726925,0.0599755607545,0.186074718833,0.0043991394341000000,0.023608237505,0.031540434807500000,0.0617237091064,0.752375841141,0.14672887325300000,0.00763112166896,0.990584671497,0.0094153219834,0.00642037624493,0.993579626083,0.460245221853,110.17386627200000,Not Found,5,12,15,18,19,1
"Bruce Wayne Campbell Interviewed On The Roof Of The Chelsea Hotel, 1979",Okkervil River,The Stand Ins,0.053113553673,0.94688642025,0.0744492337108,0.00237419712357,0.00289702205919,0.673090517521,0.0631322562695,0.15684646368,0.0202458892018,0.00696443626657,0.09640523791310000,0.197959110141,0.335496783257,0.12582713365600000,0.24431173503400000,0.986786961555,0.013213013298800000,0.124179027975,0.875820994377,0.334383368492,110.248054504,Not Found,5,12,15,18,19,1
La Nymphomane,Jean Bertola,"Intégrale 1991, Volume 09: Dernières chansons de Brassens par Jean Bertola",0.07662558555600000,0.923374414444,0.0135108800605,0.00224473513663,0.00378751987591,0.873185753822,0.0121650537476,0.0741382092237,0.00176364078652,0.0192042272538,0.10159034282,0.217967405915,0.383278995752,0.24515144527,0.052011825144300000,0.9662230014800000,0.0337770283222,0.00592520274222,0.994074821472,0.791351854801,110.494697571,spotify:track:6LOkWtwdorC5vgrPoDwf0L,5,12,15,18,19,1
The Change Song,Blodwyn Pig,Ahead Rings Out,0.0664217695594,0.933578252792,0.221700921655,0.00567199522629,0.0401334166527,0.4017808139320000,0.0282984375954,0.249926060438,0.00718627031893,0.0453020855784,0.040664829313800000,0.0821053311229,0.728217065334,0.111367590725,0.0376451648772,0.969096064568,0.0309039391577,0.00151100265794,0.998489022255,0.07841823250060000,110.700912476,spotify:track:2lnk2rCC9l166xKZ2OcpSQ,5,12,15,18,19,1
Walkin One And Only,Patti Cathcart - Tuck Andress,Paradise Found,0.148412361741,0.85158765316,0.010596639476700000,0.00289308535866,0.0144682740793,0.634465098381,0.019800985232,0.266968697309,0.00243220245466,0.048375036567400000,0.114760152996,0.35964241623900000,0.373975366354,0.107499264181,0.044122800231,0.8282721638680000,0.17172783613200000,0.0079153412953,0.992084681988,0.837410748005,110.75979614300000,spotify:track:0nbuIkxdEVJoUL7FjokOOO,5,12,15,18,19,1
Ceux qui ne pensent pas comme nous,Jean Bertola,"Intégrale 1991, Volume 09: Dernières chansons de Brassens par Jean Bertola",0.32586017251,0.674139797688,0.0172461010516,0.00503996526822,0.0358183085918,0.8373850584030000,0.008378873579200000,0.047296974808,0.00241126865149,0.0464234277606,0.126949310303,0.15684445202400000,0.433148890734,0.175498813391,0.10755854845,0.6749053001400000,0.32509469986,0.203630805016,0.796369194984,0.8727915883060000,110.80744934100000,spotify:track:0O57paN26SaJBNKH9yQHB1,5,12,15,18,19,1
Invisible Light (reprise) (feat. Dar Williams),Rachael Sage,Haunted by You,0.104012265801,0.8959877491,0.0205678753555,0.004947842098770000,0.00530848512426,0.43663880229,0.207974672318,0.297185480595,0.0199685636908,0.0074082976207100000,0.0757091268897,0.130312457681,0.550659179688,0.20317131280900000,0.0401479490101,0.999997258186,2.7517523904E-06,0.144416466355,0.8555835485460000,0.693189561367,110.99609375,Not Found,5,12,15,18,19,1
Born to Be Blue,Helen Merrill,Helen Merrill,0.405070215464,0.594929754734,0.0127666024491,0.00708785420284,0.0184348765761,0.64263600111,0.0962032750249,0.207205921412,0.00372141157277,0.0119440332055,0.07644969224930000,0.16700513660900000,0.336759895086,0.199853718281,0.219931557775,0.54401922226,0.455980747938,0.0538133569062,0.94618666172,0.198726862669,111.027275085,spotify:track:0JbZXKGdbTWcE9Eqs0UYtx,5,12,15,18,19,1
Blue Again,Louis Armstrong,Portrait of the Artist as a Young Man,0.00773120345548,0.992268800735,0.1857111305,0.0032510040327900000,0.00676387734711,0.469813495874,0.0584207288921,0.228904575109,0.0263877119869,0.0207474753261,0.1663877666,0.135573521256,0.344754934311,0.147530376911,0.205753430724,0.668227851391,0.331772148609,0.408404022455,0.591596007347,0.463917076588,111.06234741200000,spotify:track:2fjADbj6wILnnAW61yrlio,5,12,15,18,19,1
Everytime We Touch (Yanous Candlelight mix),Cascada,Everytime We Touch,3.00000096379E-14,1.0,0.0108531368896,0.00499653024599,0.00673065008596,0.400218427181,0.261127233505,0.30511432886100000,0.00516914157197,0.00579058285803,0.118058592081,0.181933104992,0.491349518299,0.178392842412,0.0302659180015,0.665182948112,0.33481708169,0.00789482053369,0.992105185986,0.413991749287,111.090415955,spotify:track:1bBKhfRq4skr64uvEuOOVH,5,12,15,18,19,1
The Sun III,Snakadaktal,Sleep In The Water,0.0561494864523,0.943850517273,0.224313348532,0.00639136787504,0.00732850888744,0.529814720154,0.078441619873,0.0953246951103,0.0382259711623,0.0201597474515,0.0961426794529,0.154679208994,0.558020412922,0.145454183221,0.045703515410400000,0.951173186302,0.0488268211484,0.195797920227,0.8042020797730000,0.719512581825,111.21564483600000,spotify:track:1FlH5eFHXXAfcsHypHUHpA,5,12,15,18,19,1
Lost In The Stars,Abbey Lincoln,Abbey Is Blue,0.100746817887,0.899253189564,0.0767255872488,0.00199626642279,0.00952533166856,0.780524909496,0.0129230143502,0.112173214555,0.00140254537109,0.00472911028191,0.0538274198771,0.155686154962,0.541021823883,0.197609782219,0.0518548227847,0.906362712383,0.0936373025179,0.039303455501800000,0.960696518421,0.119372978806,111.45121002200000,spotify:track:0SkEYN9hgwf9wWWVAH4FJM,5,12,15,18,19,1
Twilight,Shawn Colvin,Cover Girl,0.0329875424504,0.967012465,0.0563532300293,0.0011218568543,0.00242265290581,0.7391248941420000,0.0152723183855,0.179302796721,0.000885860587005,0.0055164131335900000,0.0457246638834,0.122728139162,0.630592763424,0.188124746084,0.0128296716139,0.974154472351,0.025845548138,0.00023063867411100000,0.999769389629,0.237530097365,111.494758606,spotify:track:0kNq7Il9BvMJ4cT3h87gB1,5,12,15,18,19,1
He Dont Love Me Anymore,Lester Young,The Complete Aladdin Recordings of Lester Young,0.06944206357,0.930557966232,0.052399728447200000,0.000260765868006,0.0006537339068020000,0.921957850456,0.004879085812720000,0.0150878177956,0.0008126572938640000,0.00394837930799,0.112464927137,0.200837641954,0.395722329617,0.254999905825,0.035975195467500000,0.5943387746810000,0.405661195517,0.327558577061,0.672441422939,0.6798333525660000,111.617530823,spotify:track:63R7AhzhTG8ieTOXdFgi2r,5,12,15,18,19,1
Opened,Kathryn Williams,Leave to Remain,0.0234923996031,0.976507604122,0.178277552128,0.00599109567702,0.0135544314981,0.408208459616,0.067980080843,0.30741629004500000,0.00318562262692,0.0153864827007,0.0854154899716,0.17118164897,0.570180237293,0.158679902554,0.0145427258685,0.870230853558,0.12976914644200000,0.0663828700781,0.933617115021,0.585572719574,111.661476135,spotify:track:2jXqC0i6IBllRgYQJQPQmd,5,12,15,18,19,1
Fernande,Georges Brassens,"Intégrale 1991, Volume 07: Mourir pour des idées",0.208041653037,0.7919583320620000,0.0222835913301,0.00641619693488,0.0428014174104,0.466587483883,0.044745385646800000,0.366546809673,0.00532813137397,0.0452909804881,0.101580560207,0.215846017003,0.4450351595880000,0.207515239716,0.0300230178982,0.82956892252,0.170431092381,0.00176375010051,0.998236238956,0.933102726936,111.730003357,spotify:track:57GY57EnZssKbUbhIlfCnc,5,12,15,18,19,1
I Cover the Waterfront,Karrin Allyson,Sweet Home Cookin,0.0374326445162,0.962567329407,0.016307082027200000,0.00044884136878,0.000443736615125,0.961555242538,0.00435675075278,0.0147501416504,0.0012103774352,0.000927807763219,0.06687627732750000,0.0991018861532,0.586996674538,0.13195869326600000,0.115066468716,0.971516549587,0.0284834634513,0.0981454476714,0.90185457468,0.0548732466996,111.737876892,spotify:track:5GcK4Ovz4WIIKUi2e8a6m5,5,12,15,18,19,1
Let It Snow,Chris Isaak,Christmas,0.119124978781,0.880875051022,0.017912704497600000,0.0053043467924,0.00779411150143,0.6445060968400000,0.0955990850925,0.19915138185,0.0206674095243,0.00906486902386,0.117222562432,0.250234037638,0.479853868484,0.138365626335,0.0143238846213,0.990577697754,0.00942232459784,0.0406876802444,0.959312319756,0.908644914627,111.785469055,spotify:track:5cHXHK47k1u68mDMJsErYu,5,12,15,18,19,1
For You,Brian McKnight,Superhero,0.0917886719108,0.908211350441,0.0412029325962,0.00982039794326,0.013474092818800000,0.51569133997,0.162775740027,0.231293305755,0.00393500039354,0.0218071751297,0.14931420981900000,0.113818891346,0.517945408821,0.191664218903,0.0272572916001,0.957068562508,0.042931452393500000,0.00398626970127,0.996013700962,0.5598586201670000,111.79034423800000,spotify:track:12ZTZjPvHkMYLrWLHs8V69,5,12,15,18,19,1
You Come Down,Marika Hackman,That Iron Taste,0.23853982985,0.761460185051,0.023061303421900000,0.0124053480104,0.0104814143851,0.414457678795,0.364213854074,0.142320737243,0.0257071331143,0.007352510932830000,0.07104416936640000,0.14521563053100000,0.636844217777,0.119684040546,0.027211908251,0.5096201896670000,0.490379780531,0.362581133842,0.637418866158,0.811741054058,112.010414124,spotify:track:7EdwWyPnHkbi9KuG4wyKmc,5,12,15,18,19,1
Gérard Lauzier,Pierre Desproges,"Les Réquisitoires du tribunal des flagrants délires, Volume 5",0.2665579319,0.7334420681,0.134246602654,0.007462329696860000,0.0554957389832,0.504372596741,0.0269508957863,0.035420592874300000,0.005532113835220000,0.230519115925,0.045093357563,0.090509660542,0.360629498959,0.25169968605,0.252067804337,0.857754468918,0.142245516181,0.00156701775268,0.998432993889,0.728235125542,112.043609619,Not Found,5,12,15,18,19,1
Zo heerlijk rustig,Wim Sonneveld,De 20 mooiste liedjes,0.0373168699443,0.962683141232,0.17375914752500000,0.00982158724219,0.026757879182700000,0.559204280376,0.0327320769429,0.141646876931,0.00602303119376,0.0500551126897,0.110530696809,0.192328676581,0.400669068098,0.256071597338,0.0403999798,0.889312624931,0.11068739742,0.07745298743250000,0.922546982765,0.8674822449680000,112.322319031,spotify:track:0Kpv3zGxKmrgslnPrHfOel,5,12,15,18,19,1
Middle of the Road,James Ameman,Reunion,0.14638236165,0.853617668152,0.127826318145,0.007521338295190000,0.0195605102926,0.34681180119500000,0.102954097092,0.342549413443,0.0239561330527,0.02882036753,0.06950278580190000,0.118262380362,0.638321042061,0.147490903735,0.0264228582382,0.925787746906,0.0742122530937,0.00345431664027,0.996545672417,0.747229278088,112.441665649,spotify:track:6N5ztcQVFutUxmua6nS9yy,5,12,15,18,19,1
Nobody Like You,Aretha Franklin,The Electrifying Aretha Franklin,0.023502396419600000,0.976497590542,0.025878675282,0.000420942204073,0.0016937648179000000,0.697459757328,0.0075277811847600000,0.260642051697,0.00103900500108,0.005338020157070000,0.102136552334,0.21633040905,0.375349879265,0.293035179377,0.0131479678676,0.997299432755,0.0027005814481500000,0.0129171414301,0.987082839012,0.480448454618,112.968681335,spotify:track:6j3pjT0wUhShJqjga2OiEV,5,12,15,18,19,1
When A Woman Loves A Man,Ella Fitzgerald,Ella Fitzgerald Sings The Johnny Mercer Song Book,0.0418866239488,0.958113372326,0.12224458158,0.0011515840888,0.0010413514683,0.7924559116360000,0.027549892664,0.0479879900813,0.00279179541394,0.00477687176317,0.057543952018,0.128221422434,0.582447528839,0.202218145132,0.0295689757913,0.916310369968,0.0836896076798,0.196568831801,0.8034311532970000,0.453318715096,113.811515808,spotify:track:4DKDxtEuq55TRjCU2nfeFJ,5,12,15,18,19,1
Dont You Call Me Anymore,The Staves,If I Was,0.0291120447218,0.970887959003,0.123809956014,0.00537928519771,0.008307354524730000,0.300065249205,0.269275397062,0.256499111652,0.0302148777992,0.006448759697380000,0.091590501368,0.116712465882,0.562662422657,0.214047864079,0.0149867227301,0.934454858303,0.06554511934520000,0.00240041664802,0.997599601746,0.385041683912,113.88793945300000,spotify:track:5FoCtRdSQY50IwBFWHV7aG,5,12,15,18,19,1
