title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Kavita,Red House Painters,Old Ramon,0.124389730394,0.8756102919580000,0.166046485305,0.0108551904559,0.0327516831458,0.34110268950500000,0.07502481341360000,0.329542666674,0.026642944663800000,0.018033515662,0.0820133090019,0.256057471037,0.537923932076,0.105944663286,0.01806063205,0.740812718868,0.259187310934,0.0602205321193,0.93977946043,0.526626944542,62.014640808100000,spotify:track:0FQEoJy5TpTcMUHdnS4edT,5,12,15,18,20,1
Try One More Time,Marshall Tucker Band,Best of the Marshall Tucker Band: the Capricorn Years (Disc 1),0.06017272919420000,0.939827263355,0.0182657260448,0.00258937221952,0.00674433913082,0.562458574772,0.0838604420424,0.308282971382,0.0126618770882,0.00513671943918,0.085480928421,0.185715064406,0.606095373631,0.106933064759,0.015775589272400000,0.986476123333,0.0135238682851,0.005890865344550000,0.994109153748,0.405452638865,70.1174087524,spotify:track:7Jc0FK2dVTtrFhgMaszIjM,5,12,15,18,20,1
Ill Never Smile Again,Barry Manilow,Singin With the Big Bands,0.0531271994114,0.946872770786,0.197886958718,0.00399843323976,0.0106334174052,0.653467178345,0.037121236324300000,0.074325710535,0.00727954180911,0.0152874989435,0.084368430078,0.187213659286,0.573239207268,0.142684921622,0.0124937966466,0.854309916496,0.145690113306,0.000834482489154,0.999165534973,0.26642498374,72.22764587400000,spotify:track:7Aze8r0BsAWOIIUreaZ1W4,5,12,15,18,20,1
The Entitled Few,Doug MacLeod,Theres a Time,0.015941157937,0.984058856964,0.098137922585,0.00294291158207,0.0688551217318,0.491827249527,0.010829298757,0.271440058947,0.00259554712102,0.0533718988299,0.0498004294932,0.120148174465,0.562906205654,0.0988520681858,0.168293103576,0.8098139166830000,0.190186098218,0.00015912897652,0.999840855598,0.00583508377895,74.3602218628,spotify:track:6AR0V7ZYIluBMR4woDNj1O,5,12,15,18,20,1
They Cant Take That Away From Me,Sam Cooke,Tribute To The Lady,0.0145674301311,0.985432565212,0.0968655720353,0.00621426757425,0.0225002747029,0.5179036259650000,0.0985464453697,0.225860401988,0.00993513502181,0.0221742987633,0.209329977632,0.229871988297,0.236030846834,0.186177134514,0.138590037823,0.642752230167,0.35724779963500000,0.00284942775033,0.997150599957,0.247100308537,76.9959106445,Not Found,5,12,15,18,20,1
"Baby, Baby All the Time",Frankie Laine & Buck Clayton,Jazz Spectacular,0.0816770121455,0.918322980404,0.307601809502,0.00250366772525,0.0182881783694,0.50159496069,0.0555119104683,0.0937521755695,0.0043458519503500000,0.0164014007896,0.07289091497660000,0.186579138041,0.40657261014,0.287982016802,0.045975308865300000,0.941830396652,0.058169580996,0.026541383937,0.973458588123,0.679427742958,77.25282287600000,spotify:track:6PHaY0rs0rFnbEZIwg1doD,5,12,15,18,20,1
"Baby, Baby All the Time",Frankie Laine & Buck Clayton,Jazz Spectacular,0.08304898440840000,0.91695100069,0.299243181944,0.00234950007871,0.0169355347753,0.526437222958,0.0521086417139,0.080971069634,0.00456421030685,0.0173906125128,0.07144068181510000,0.186524778605,0.433271676302,0.266037166119,0.042725712060900000,0.946416854858,0.0535831451416,0.0450985431671,0.954901456833,0.672924339771,77.4285888672,spotify:track:6PHaY0rs0rFnbEZIwg1doD,5,12,15,18,20,1
Out of My Dreams,Karrin Allyson,Many A New Day,0.0190335419029,0.980966448784,0.0790245756507,0.00186357612256,0.00871157832444,0.7449536323550000,0.0307239480317,0.110917888582,0.00425026519224,0.0195545200258,0.0536413826048,0.105417221785,0.713766396046,0.117295220494,0.00987975206226,0.89650708437,0.103492930532,0.111528076231,0.8884719014170000,0.645647227764,79.8311233521,spotify:track:5DHBEtLHlpBTYJxU6fG79x,5,12,15,18,20,1
Die drei Musketiere,Reinhard Mey,Starportrait,0.00948676746339,0.990513205528,0.288162589073,0.00313410838135,0.0150877777487,0.450242936611,0.014050193131,0.167908802629,0.00303794303909,0.0583756417036,0.122911572456,0.160393163562,0.504318475723,0.184346720576,0.0280300974846,0.608025252819,0.391974776983,0.00107671681326,0.998923301697,0.429414331913,79.9385910034,Not Found,5,12,15,18,20,1
Dark Bird Is Home,The Tallest Man on Earth,Dark Bird Is Home,0.0267392788082,0.973260700703,0.06842808425430000,0.003991767764090000,0.0352741219103,0.473865389824,0.0402641110122,0.351748794317,0.00670077418908,0.0197269804776,0.119992472231,0.24981170892700000,0.4014784693720000,0.13111762702500000,0.0975997000933,0.927298486233,0.0727015435696,0.00416286103427,0.995837152004,0.129188224673,80.0078659058,spotify:track:1nnbJ38IrwJQqV3qIOZYVR,5,12,15,18,20,1
On a Good Day,Joanna Newsom,Have One on Me,1.24240768855E-05,0.999987602234,0.266983509064,0.00203359290026,0.00665830075741,0.575814187527,0.0177241116762,0.09808711707590000,0.00184748135507,0.0308517273515,0.055197004228800000,0.25651639699900000,0.541541695595,0.138828992844,0.00791592337191,0.972716629505,0.0272833574563,0.0562393292785,0.943760693073,0.79781216383,80.3765792847,Not Found,5,12,15,18,20,1
Never Saw A Better Day,Louis Armstrong & His Orchestra,The Complete RCA Victor Recordings (Disc4),0.219701454043,0.780298531055,0.254353374243,0.00230889255181,0.0169164594263,0.361513108015,0.0285419542342,0.272228777409,0.00877415481955,0.0553632676601,0.0447374582291,0.22851292789,0.373477011919,0.318339556456,0.034933045506500000,0.988536715508,0.011463269591300000,0.0628660395741,0.937133967876,0.5633572936060000,81.1003112793,Not Found,5,12,15,18,20,1
Telegram För En Bombad By,Cornelis Vreeswijk,Mäster Cees Memoarer (Disc1: Vol.1),0.052350319922,0.947649657726,0.0681699663401,0.00302172941156,0.0474830381572,0.724969029427,0.0194507800043,0.113319888711,0.00364221725613,0.019943382591,0.167358547449,0.150012746453,0.537053406239,0.107198819518,0.0383765101433,0.973387300968,0.0266127083451,0.00166096177418,0.998339056969,0.289445966482,81.57730865480000,spotify:track:7eqLc3g8bbEFBc6YKiXjw2,5,12,15,18,20,1
Me and the Devil Blues,Rory Block,The Lady and Mr. Johnson,0.033307865262000000,0.966692149639,0.052491679787600000,0.00330411526375,0.0125579508021,0.624000906944,0.0441893339157,0.243850663304,0.0034447326324900000,0.016160594299400000,0.155454918742,0.191954940557,0.3644680976870000,0.214633256197,0.0734887868166,0.926725149155,0.0732748582959,0.0210299696773,0.978970050812,0.399611860514,82.6460571289,spotify:track:4aoF5595Y6URwicJ9FPZzK,5,12,15,18,20,1
Vicksburg Is My Home,Hans Theessink,Hard Road Blues,0.0370494015515,0.962950587273,0.0222731921822,0.00153226079419,0.0340178310871,0.788483560085,0.00228996668011,0.14005893468900000,0.00119732646272,0.0101469513029,0.118672139943,0.224629580975,0.418428570032,0.118654429913,0.119615271688,0.5161082744600000,0.48389172554,0.0221192911267,0.977880716324,0.00815270561725,82.75365448,spotify:track:43aGeqT4L8f5uGjbkCvOB1,5,12,15,18,20,1
Dreamin Blues,John Lee Hooker,Stomp Boogie (Disc 2),0.032103631645400000,0.967896342278,0.130152493715,0.00322773819789,0.0315451323986,0.5620067119600000,0.0186195876449,0.18079707026500000,0.005586857441810000,0.068064391613,0.114230766892,0.0922701880336,0.318301707506,0.202439814806,0.272757530212,0.951032698154,0.0489673167467,0.00408320128918,0.99591678381,0.549992322922,83.09047698970000,spotify:track:4GgU39Hl7VyqFrlLFS9FvD,5,12,15,18,20,1
