title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Sounds for Sid,Cannonball Adderley feat. Milt Jackson,Things Are Getting Better,0.930527031422,0.0694729983807,0.0481833554804,0.00973144546151,0.0888874381781,0.540464103222,0.06521982699630000,0.201299458742,0.0184402242303,0.0277741700411,0.0925287306309,0.289222627878,0.327335059643,0.136263459921,0.15465010702600000,0.925660908222,0.0743390843272,0.5558496117590000,0.444150388241,0.7654103040700000,75.5044555664,spotify:track:1lDW76DVk1AmIaxyVoJQAV,5,12,15,17,20,0
Pastime Paradise,Stevie Wonder,Songs in the Key of Life,0.5464382767680000,0.453561723232,0.00563291134313,0.0073555321432700000,0.17438974976500000,0.484117954969,0.0233789496124,0.297367632389,0.00570069113746,0.00205660006031,0.109077937901,0.26693597436,0.398909091949,0.173636227846,0.051440782845,0.803388476372,0.196611493826,0.0595327652991,0.940467238426,0.293610930443,79.194480896,spotify:track:4Gn4b1qJ12rowCNRw5DHM9,5,12,15,18,20,0
TH5,"Meanwhile, Back in Communist Russia...",My Elixir; My Poison,0.835270702839,0.164729326963,0.0356243550777,0.0052395625971300000,0.0256443694234,0.814000189304,0.05882860347630000,0.043234955519400000,0.00284737884067,0.014580602757600000,0.150882557034,0.221777185798,0.36188480258,0.217054158449,0.0484012924135,0.0670611411333,0.932938873768,0.949487328529,0.050512686371800000,0.584601223469,83.9498901367,Not Found,5,12,16,17,20,0
"Die Kunst Der Fuge, BWV 1080 No. 6: Contrapunctus 6 A 4 In Stylo Francese",Johann Sebastian Bach,Bach: Hänssler Edt. Vol.37: Werke Für Tasteninstrumente (Disc3: Die Kunst Der Fuge),0.7252435684200000,0.27475643158,0.168674498796,0.07214192301030000,0.0253472514451,0.201511368155,0.200327754021,0.173708930612,0.125750035048,0.0325382389128,0.0938987880945,0.0411123409867,0.680482447147,0.0545871965587,0.129919201136,0.445356816053,0.5546432137490000,0.991038382053,0.00896162260324,0.826222598553,84.443687439,spotify:track:1WwWrw2YJjwObHSXzlHybj,5,12,16,17,20,0
Finzamba,Salif Keita & Kante Manfila,The Lost Album,0.600657880306,0.399342089891,0.34301871061300000,0.00359543133527,0.005066193640230000,0.476845264435,0.0757264569402,0.0459929928184,0.00921616423875,0.0405387803912,0.123719550669,0.209446370602,0.285608738661,0.24951416254,0.131711184978,0.510065257549,0.489934772253,0.0026471875608000000,0.997352838516,0.92544400692,87.69856262210000,Not Found,5,12,15,18,20,0
Prelude In Blue (chez Miguel),Art Blakey,Les Liaisons Dangereuses,0.871059656143,0.128940358758,0.00355906155892,0.014911304228,0.0367761291564,0.734560906887,0.0786211267114,0.117285400629,0.0110186589882,0.00326738902368,0.124243170023,0.164916411042,0.353837996721,0.187910377979,0.169092029333,0.307722389698,0.6922776103020000,0.944081962109,0.0559180378914,0.936567425728,89.63419342040000,spotify:track:7HyVgGqqgiNrU3kBAA0bzq,5,12,16,17,20,0
"Topsy, No. 2",The Modern Jazz Quartet,TopsyThis Ones for Basie OJC,0.996726989746,0.00327303051017,0.00386342569254,0.0404355600476,0.034491237253000000,0.8509665727620000,0.010880042798800000,0.049608640372800000,0.00437754066661,0.00537695223466,0.148561879992,0.28607794642400000,0.377679288387,0.10963601619,0.0780448392034,0.422159820795,0.5778402090070000,0.12806656956700000,0.8719334602360000,0.867167115211,89.7643432617,Not Found,5,12,16,18,20,0
Umophilos,UMO New Music Orchestra,A Good Time Was Had By All 1976-1979,0.6842492818830000,0.315750718117,0.0251167472452,0.0110135274008,0.0112668424845,0.536293745041,0.304100245237,0.0370283089578,0.0702589899302,0.00492160255089,0.0517422184348,0.12233325094,0.415278106928,0.306939721107,0.10370670259,0.862300872803,0.137699097395,0.968659758568,0.0313402414322,0.890146315098,90.17964935300000,spotify:track:3ECeZPM23MX5BGt7XnDRLL,5,12,15,17,20,0
"Obligatory, Part 2: Song in Which There Is No Presently Existing, Parts 1, nor the Plans to Make One",Man or Astro‐Man?,A Spectrum of Infinite Scale,0.9768065810200000,0.0231934245676,0.038792129606,0.0415962561965,0.139118790627,0.341998547316,0.121437884867,0.107465654612,0.14341922104400000,0.06617151945830000,0.21791754663,0.169030874968,0.252730876207,0.138567432761,0.221753284335,0.120343729854,0.879656255245,0.969834029675,0.0301659554243,0.92156046629,90.92156219480000,Not Found,5,12,16,17,20,0
The End Of A Love Affair,Art Blakey,The Jazz Messengers,0.824800908566,0.175199076533,0.00018904250464400000,0.0010173227638,0.0008016852079890000,0.995350420475,0.00044296428677600000,0.0008909786120060000,0.000825382652692,0.00048222611076200000,0.0911360606551,0.197837471962,0.28661215305300000,0.206641659141,0.217772677541,0.990765035152,0.0092349788174,0.978443205357,0.0215567778796,0.668435692787,91.0923843384,spotify:track:0yG8sQblG0xHvxGKGTVgW6,5,12,15,17,20,0
