title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Noah,Wooden Arms,Tide,0.0185535289347,0.981446444988,0.149383097887,0.00420307042077,0.00363724632189,0.7132349014280000,0.0671924725175,0.0382167212665,0.0178593788296,0.00627311039716,0.104510702193,0.122363060713,0.536799609661,0.173667281866,0.0626593157649,0.0177041124552,0.982295870781,0.929237246513,0.0707627683878,0.644757091999,109.270980835,spotify:track:42L4yHxi1JzWsZf7FO03cZ,5,12,16,17,19,1
"The Dreams and Prayers of Isaac the Blind: Prelude: Calmo, sospeso",Osvaldo Golijov,Yiddishbbuk,0.00733766378835,0.9926623106,0.192857593298,0.000570894335397,0.00305063603446,0.786019980907,0.00145181152038,0.0124668879434,0.000970405235421,0.00261178193614,0.0376361086965,0.0510761663318,0.829104959965,0.0534213334322,0.0287614054978,0.00537591474131,0.994624078274,0.985376954079,0.0146230459213,0.0025649794843,109.82409668,spotify:track:0b5JOxXMsEIYdpxnCcg7qN,5,12,16,17,19,1
Moed,John Zorn / Masada Chamber Ensembles,Bar Kokhba,7.22294771549E-07,0.999999284744,0.0481912232935,0.000591808871832,0.0026024007238400000,0.8310222029690000,0.0199147947133,0.092682339251,0.00129133753944,0.00370390736498,0.08845024555920000,0.14705532789200000,0.397091001272,0.111880838871,0.255522578955,0.061259333044300000,0.938740670681,1.0,6.68132971171E-09,0.524995148182,109.943000793,Not Found,5,12,16,17,19,1
Solitude,Black Sabbath,Master of Reality,0.35066139698,0.64933860302,0.031853232532700000,0.00792723055929,0.0125629678369,0.5635578036310000,0.08867269754410000,0.263239622116,0.0143344579265,0.0178519655019,0.06966027617450000,0.172862887383,0.533847808838,0.0863641574979,0.137264847755,0.0555075667799,0.944492459297,0.8879554271700000,0.112044550478,0.705156326294,110.01158905,spotify:track:0wjptUxT1jhKZ3Xm4lX8OF,5,12,16,17,19,1
Frozen Memories,Nox Arcana,Winters Eve,0.173061072826,0.826938927174,0.0399566553533,0.00796791072935,0.008419199846680000,0.440969884396,0.182489395142,0.306589573622,0.0108516588807,0.002755727851760000,0.0554777756333,0.0884730070829,0.6266660094260000,0.209635570645,0.019747659564,0.4235644042490000,0.576435565948,0.864711403847,0.13528859615300000,0.419686198235,110.01650238,spotify:track:0ff27rQtu4LvEhmxpO0upl,5,12,16,17,19,1
Rivers of Time,Endless Melancholy & EUS,Epilogue,0.0228169653565,0.977183043957,0.27746045589400000,0.019629901275,0.0425155833364,0.334617197514,0.088435575366,0.167320355773,0.0276467353106,0.0423741973937,0.08280827105050000,0.164217114449,0.370746165514,0.108020752668,0.27420771122,0.0615894943476,0.938410520554,0.999999821186,2.0133315104E-07,0.537827849388,110.028274536,Not Found,5,12,16,17,19,1
Dying Inside,Renaldo & The Loaf,Play Struve And Sneff,0.126043051481,0.873956918716,0.375191807747,0.00672612478957,0.0342538952827,0.380826056004,0.0285544898361,0.126498311758,0.0145156560466,0.0334336385131,0.07041063159700000,0.113771505654,0.51124304533,0.16517697274700000,0.139397859573,0.100587107241,0.899412870407,0.723151862621,0.276848137379,0.344068616629,110.04047393800000,spotify:track:7x2PMvSSmNtY0TlGItVR6k,5,12,16,17,19,1
Done Got Old,Buddy Guy,Sweet Tea,1.09169122879E-05,0.99998909235,0.089139573276,0.00619166065007,0.0429605357349,0.6084420681,0.00926863029599,0.201566204429,0.00932166632265,0.0331096723676,0.166782900691,0.233112737536,0.419979125261,0.127385810018,0.0527394153178,0.0164313632995,0.983568608761,0.784342110157,0.215657904744,0.537793040276,110.102401733,spotify:track:4u2biab1bZTBBkAOrkjHl9,5,12,16,17,19,1
Barenton,Artesia,Hilvern,0.00284199626185,0.997157990932,0.26617833972,0.00636516325176,0.0048332563601400000,0.585819780827,0.0465784035623,0.0527139753103,0.0289396625012,0.00857140496373,0.25027054548300000,0.0878864005208,0.425514280796,0.09178539365530000,0.144543364644,0.00128981715534,0.998710155487,0.837444484234,0.162555530667,0.602914273739,110.218421936,spotify:track:2BLCxlRlICDMftFrBoB5lk,5,12,16,17,19,1
A Hive of Villainy (Star Wars),John Williams,Star Wars Trilogy: The Original Soundtrack Anthology,0.0518727935851,0.94812721014,0.310980647802,0.00259890034795,0.0102777415887,0.601672768593,0.00846428237855,0.0603128708899,0.00214587431401,0.00354692153633,0.0546760745347,0.106764361262,0.665030062199,0.118250928819,0.0552785918117,0.129308104515,0.870691895485,0.996382415295,0.00361758610234,0.00112733035348,110.252716064,Not Found,5,12,16,17,19,1
