title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Álafoss,Sigur Rós,( ),0.0152966659516,0.984703361988,0.343373894691,0.00446728663519,0.0146918138489,0.364695727825,0.0536104701459,0.185401692986,0.00734217325225,0.0264169517905,0.09681683778760000,0.15465256571800000,0.376666098833,0.103137850761,0.26872664690000000,0.00699230656028,0.993007719517,0.903972566128,0.0960274413228,0.28808131814,66.9923858643,spotify:track:3sqyTvMpQeKfGfwmtsheF3,5,12,16,17,20,1
Gymnopédie No. 1,Jean-Jacques Perrey & Dana Countryman,Destination Space,0.0617704987526,0.938229501247,0.146452367306,0.007112009916450000,0.0224829707295,0.685720384121,0.039240229874800000,0.0751028582454,0.009813093580310000,0.0140760689974,0.225347086787,0.208686217666,0.447481632233,0.0871743783355,0.0313106738031,0.00290504912846,0.997094929218,0.895402312279,0.104597687721,0.7438380122180000,70.5579833984,spotify:track:2AgOFl0r2E2r0PqYfvmNS4,5,12,16,17,20,1
When a Man Loves a Woman,Louis van Dijk & The London Studio Orchestra,Only Love,0.0238973386586,0.976102650166,0.0146974362433,0.00189409148879,0.00710932677612,0.792388319969,0.0469618588686,0.127196893096,0.00543196778744,0.00432010646909,0.18576169014,0.329947441816,0.366956144571,0.101802110672,0.015532610938,0.19681251049000000,0.8031874895100000,0.8177524209020000,0.182247579098,0.716041266918,70.6509094238,spotify:track:20AazfQ9Iy6fJWx0pdQ3FR,5,12,16,17,20,1
Larisa,Silver Ray,Homes for Everyone,0.0219160001725,0.978084027767,0.119755193591,0.00705612078309,0.021561844274400000,0.413562595844,0.0920002683997,0.292019128799,0.0359004847705,0.0181443858892,0.115629166365,0.150603964925,0.505188405514,0.12779928743800000,0.100779183209,0.380096822977,0.619903206825,0.600325286388,0.399674743414,0.288909494877,72.1187057495,Not Found,5,12,16,17,20,1
Ivory Town,Tangerine Dream,Optical Race,0.138337656856,0.861662328243,0.15007416904,0.0139105059206,0.0063874912448200000,0.695290803909,0.050054293125900000,0.0667844340205,0.0140011440963,0.0034971791319500000,0.0424436479807,0.0445710383356,0.784456670284,0.0783453583717,0.0501833036542,0.0288286693394,0.971171319485,0.987528502941,0.0124714709818,0.642441034317,72.1393127441,Not Found,5,12,16,17,20,1
Stream,Piero Umiliani,Il corpo,0.122829131782,0.877170860767,0.105259411037,0.00542115606368,0.017314601689600000,0.641476511955,0.0234645996243,0.14449596405000000,0.0232845358551,0.0392831936479,0.113881438971,0.227847233415,0.503042638302,0.117839552462,0.037389125675,0.039608549326700000,0.960391461849,0.999999761581,2.54486764106E-07,0.950411617756,73.7458724976,spotify:track:0rRBVmQPdOB1wMDQUbWmbe,5,12,16,17,20,1
Remain,Rei Harakami,Red Curb,0.0197995714843,0.980200409889,0.22360932827,0.00323069421574,0.0181628763676,0.61509013176,0.0258370377123,0.1012352705,0.0041584428399800000,0.00867623649538,0.114735431969,0.257908046246,0.404842287302,0.151757702231,0.0707565322518,0.110243916512,0.8897560834880000,0.999998450279,1.5242610516E-06,0.167427808046,74.8498916626,spotify:track:3tEKDTMhRzsvzTE7uv0QEN,5,12,16,17,20,1
All The Things You Are,Art Tatum,The Complete Pablo Group Masterpieces (Disc 6),0.0509850382805,0.94901496172,0.0130980238318,0.00032679841388,0.00173199654091,0.965555846691,0.00130475487094,0.0130380690098,0.001351451152,0.00359303504229,0.0800862833858,0.268001228571,0.396773457527,0.149811968207,0.105327047408,0.413226187229,0.5867738127710000,0.999996244907,3.73480406779E-06,0.6225984096530000,75.1668243408,spotify:track:4ZszjqnsVFZAOBXCn39x6P,5,12,16,17,20,1
Toumastin,Tamikrest,Adagh,0.015952600166200000,0.984047412872,0.216159641743,0.0127689437941,0.0506595931947,0.351546436548,0.0867391973734,0.182645618916,0.0208087880164,0.0786717906594,0.108292475343,0.15570530295400000,0.489962428808,0.194165423512,0.0518743731081,0.0163591653109,0.98364084959,0.7379527091980000,0.262047290802,0.8875041604040000,75.2409744263,spotify:track:0UumGefPKGDQCP8pwlE7VT,5,12,16,17,20,1
Diabolical Streak,Jill Tracy,Diabolical Streak,0.0731084793806,0.926891505718,0.0983882546425,0.0080670164898,0.0102779204026,0.658060193062,0.0683122500777,0.0710527449846,0.0736018195748,0.0122397923842,0.07392081618310000,0.0582673996687,0.512527644634,0.0959060117602,0.259378105402,0.0106958858669,0.989304125309,0.961455821991,0.0385441705585,0.7595743536950000,77.0059127808,spotify:track:0rg0cslidSFr6e8VZD5wGy,5,12,16,17,20,1
Bypath - Would You Take It?,DJ Krush,Meiso,0.27811074256900000,0.7218892574310000,0.0867975950241,0.00585339823738,0.0302678029984,0.6888470053670000,0.004722744692120000,0.134295091033,0.0100494129583,0.0391669385135,0.0980534106493,0.0863071084023,0.707384884357,0.0544914379716,0.0537631772459,0.1142456159,0.885754406452,0.999997854233,2.16447733692E-06,0.674979865551,77.03592681880000,spotify:track:1tEadb8dgarLT79fMZuSlD,5,12,16,17,20,1
"Mein Herz, das macht Sachen",Uta Köbernick,Auch nicht schlimmer,0.007398477289830000,0.992601513863,0.0544693097472,0.00953675806522,0.0127413515002,0.376842617989,0.310203641653,0.186090096831,0.0285008400679,0.0216153934598,0.261764198542,0.103753693402,0.327937752008,0.0671436116099,0.239400729537,0.008960872888570000,0.991039097309,0.795522034168,0.204477980733,0.840734541416,77.08348846440000,spotify:track:4qsNrbDTxuFxgDTKWm9x2c,5,12,16,17,20,1
Chun-Lis Story,Original Soundtrack / Various Artists,Street Fighter (The Movie),0.0684914141893,0.931508600712,0.281164437532,0.010293379426,0.018519394099700000,0.31606647372200000,0.110234074295,0.232065185905,0.0135727822781,0.0180842839181,0.07957348972560000,0.339312046766,0.431570798159,0.129748240113,0.0197954047471,0.05977622047070000,0.940223753452,0.972856402397,0.0271435733885,0.268592566252,77.54360198970000,Not Found,5,12,16,17,20,1
March to Loch Barren,Harvestman,Lashing the Rye,0.331217944622,0.668782055378,0.0235080383718,0.000635286734905,0.00125630514231,0.964712381363,0.000736021785997,0.00293034035712,0.00206893403083,0.00415270589292,0.11832998693,0.175303548574,0.517856001854,0.166081801057,0.0224286634475,0.0758797079325,0.924120306969,0.999985694885,1.4275520698E-05,0.92202937603,79.6989898682,spotify:track:2Wd0nJc836TAMqjgFyv2mw,5,12,16,17,20,1
Return Of The Ancients,"Derek Duke, Glenn Stafford, Tr",Warcraft III: Frozen Throne,0.5,0.5,0.0340927876532,0.0120310010388,0.051023792475500000,0.623871147633,0.0521348230541,0.155354335904,0.0280109215528,0.0434812121093,0.08516251295800000,0.0926351249218,0.590063393116,0.0972286164761,0.134910330176,0.00013737828703600000,0.999862611294,0.8659420013430000,0.13405799865700000,0.837784528732,80.08039093020000,Not Found,5,12,16,17,20,1
It Wasnt the Hunting,Mount Eerie,Dawn,0.035539150238,0.964460849762,0.35307744145400000,0.00856287591159,0.016875522211200000,0.457399398088,0.0208319574594,0.1149642542,0.0114774201065,0.0168111231178,0.0871432721615,0.108953326941,0.716493546963,0.055338829755800000,0.0320710092783,0.00622628442943,0.993773698807,0.984878957272,0.0151210464537,0.729800581932,80.9270019531,spotify:track:28NT1UuWIxwgATaakVyti2,5,12,16,17,20,1
