title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Almost Blue,Alison Moyet,The Voice,0.0422888323665,0.957711160183,0.0149072147906,0.000447643280495,0.00217364309356,0.52201384306,0.0074171544984,0.4468544721600000,0.000577464990783,0.00560856238008,0.0648106709123,0.273458302021,0.432999491692,0.124810509384,0.103921025991,0.13382899761200000,0.866171002388,0.0238387212157,0.976161301136,0.3831628859040000,109.629043579,spotify:track:35LJ34sXyHZV9Zh01sBdov,5,12,16,18,19,1
"01 Disse-te Adeus ?Paretida, O",Katia Guerreiro,Tudo ou Nada,0.026050677523,0.973949313164,0.0345485620201,0.0020543325226800000,0.0148439658806,0.515011191368,0.0221129618585,0.385276913643,0.0025741124991300000,0.0235779620707,0.0687294900417,0.128827780485,0.614612102509,0.132315427065,0.055515188723800000,0.479764789343,0.520235180855,0.0139640457928,0.986035943031,0.330854356289,109.671928406,Not Found,5,12,16,18,19,1
Birthcry,Aeoga,Zenith Beyond the Helix-Locus,0.38549387455,0.61450612545,0.268151044846,0.00465214625001,0.0170603673905,0.60730868578,0.035074647516,0.046182852238400000,0.0115317385644,0.0100385239348,0.0618986524642,0.131293460727,0.5642268657680000,0.196012109518,0.0465689189732,0.234428927302,0.765571057796,0.416708260775,0.583291709423,0.140612140298,109.738510132,Not Found,5,12,16,18,19,1
Only Child,Arena,The Cry EP,0.119008913636,0.8809911012650000,0.05957449972630000,0.0183479860425,0.0130173414946,0.354129523039,0.277435690165,0.202016711235,0.0626868456602,0.0127914017066,0.0679913014174,0.0703494846821,0.566227436066,0.148181602359,0.147250190377,0.189295351505,0.810704648495,0.367693185806,0.632306814194,0.714727282524,109.93494415300000,Not Found,5,12,16,18,19,1
Jacks Lament,Danny Elfman,Tim Burtons The Nightmare Before Christmas,0.0633616372943,0.936638355255,0.262198060751,0.00797108560801,0.026459446176900000,0.39683675766,0.0544920936227,0.191612288356,0.00810250546783,0.0523277595639,0.0976438596845,0.142338082194,0.478172272444,0.227745890617,0.0540999136865,0.107991725206,0.892008244991,0.275289595127,0.724710404873,0.480412572622,110.01879119900000,spotify:track:4VCexsNDyC2j8ZrY34RwV0,5,12,16,18,19,1
#2 in the Model Home Series,Guided by Voices,Vampire on Titus / Propeller,0.0506579130888,0.94934207201,0.055918041616700000,0.0162863787264,0.15235427022,0.386296033859,0.0527329444885,0.234648093581,0.0306262932718,0.0711379274726,0.276854068041,0.202919974923,0.358482509851,0.0820036903024,0.0797397717834,0.398664861917,0.6013351678850000,0.0015911458758600000,0.998408854008,0.637619495392,110.65054321300000,spotify:track:4hwNmFw6m12FbrmOdZkED3,5,12,16,18,19,1
Les Deux Mains Prises,Maxime Le Forestier,Plutôt Guitare (Disc 1),0.0236588306725,0.976341187954,0.217613309622,0.0023232721723600000,0.0185197945684,0.6418015360830000,0.0127770388499,0.0481481216848,0.00494083156809,0.053876087069500000,0.078383423388,0.14235888421500000,0.431766808033,0.28951010108,0.0579807646573,0.340470641851,0.659529328346,0.122926823795,0.877073168755,0.381800591946,110.69837188700000,spotify:track:58GT4bgwcBQfmzYpaCMjIs,5,12,16,18,19,1
These Cold Fingers,Bill Morrissey,Standing Eight,0.07822222262620000,0.921777784824,0.0273113902658,0.00219463021494,0.0107079092413,0.630773246288,0.017897685989700000,0.284185230732,0.00444674678147,0.0224831532687,0.0935275554657,0.119151763618,0.65329182148,0.0947762951255,0.0392525903881,0.204596891999,0.795403122902,0.17922604084000000,0.8207739591600000,0.689601719379,110.838577271,spotify:track:5zZaTRrhj4yDQM54SOFYqc,5,12,16,18,19,1
Cowboy Junkies Story,Townes Van Zandt,Documentary,0.0330969356,0.966903090477,0.117097400129,0.00614028749987,0.119980402291,0.366021335125,0.00708087161183,0.0609545148909,0.00517961801961,0.317545592785,0.1070676893,0.199775397778,0.278798520565,0.269247204065,0.14511115849,0.097888097167,0.902111887932,0.266291588545,0.733708441257,0.171604692936,111.06448364300000,Not Found,5,12,16,18,19,1
Vaggvisa,Cornelis Vreeswijk,Mäster Cees Memoarer (Disc1: Vol.1),0.0175851080567,0.982414901257,0.176250770688,0.00357510754839,0.0338230468333,0.666008114815,0.00507965590805,0.0743355154991,0.00599542073905,0.0349323786795,0.0628915131092,0.371661543846,0.414020568132,0.109225235879,0.0422011315823,0.37371006608,0.626289963722,0.0699314624071,0.930068552494,0.459112375975,111.32424163800000,Not Found,5,12,16,18,19,1
Act 1 - Scene 1 - Vieni In Roma,Vincenzo Bellini,"The Complete Studio Recordings 1949-1969 (Disc 14: Bellini: Norma (Maria Callas, Coro E Orchestra Del Teatro Alla Scala, Milano; Tullio Serafin)",0.0161177739501,0.983882248402,0.148807451129,0.000585003115702,0.005435147322710000,0.809171140194,0.004810423124580000,0.020307963714,0.0009330624598080000,0.00994983036071,0.051423382014,0.144800573587,0.450351834297,0.208160549402,0.145263656974,0.441017180681,0.558982789516,0.360971063375,0.639028966427,0.014340355061,111.538627625,Not Found,5,12,16,18,19,1
Il naurait fallu,Léo Ferré,Les Chansons dAragon chantées par Léo Ferré,0.12506599724300000,0.8749340176580000,0.00750711467117,0.00130227277987,0.00624591717497,0.8661828637120000,0.00694927806035,0.105961099267,0.00096682831645,0.00488460622728,0.164905622602,0.212045758963,0.389137774706,0.170209959149,0.0637008845806,0.213481619954,0.786518394947,0.399970412254,0.600029587746,0.7391588091850000,111.56502533,Not Found,5,12,16,18,19,1
IVe Got To See You Again,Halie Loren,Simply Love,0.12842240929600000,0.8715775609020000,0.00302740139887,0.00194791238755,0.00417642854154,0.8536357283590000,0.0340626612306,0.0976147055626,0.00357366795652,0.0019614975899500000,0.121194861829,0.188094198704,0.402598530054,0.214379236102,0.0737331584096,0.245037183166,0.7549628019330000,0.0397812314332,0.960218787193,0.516076922417,111.632972717,spotify:track:4acgZD1Y9kg0UvaZGJhNwL,5,12,16,18,19,1
