title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Maine Island Lovers,Okkervil River,Down the River of Golden Dreams,0.0671504735947,0.932849526405,0.0217751413584,0.00348186283372,0.0137717034668,0.682895302773,0.0285494886339,0.230309709907,0.00704414304346,0.0121726403013,0.0686704441905,0.375736743212,0.424810409546,0.095617480576,0.0351649001241,0.415395796299,0.584604203701,0.00449873693287,0.995501279831,0.116988316178,65.9959564209,spotify:track:2L69a64h74KLVdhbl33wTT,5,12,16,18,20,1
Hell Understand and Say Well Done,Jack Scott,Classic Scott: The Way I Walk (Disc 3),0.0409921184182,0.95900785923,0.3870534598830000,0.00535329990089,0.0227555222809,0.435308873653,0.018703231588,0.0932727530599,0.00644762115553,0.0311052463949,0.0663896128535,0.26799544692,0.523704826832,0.136121958494,0.005788126960400000,0.362130135298,0.6378698349,0.00135076523293,0.99864923954,0.183533877134,72.6955795288,Not Found,5,12,16,18,20,1
Rosacoke Street,Lee Hazlewood,13,0.293730229139,0.706269800663,0.0601427741349,0.0186129901558,0.153034672141,0.486042946577,0.0622556991875,0.105632260442,0.07488750666380000,0.0393911674619,0.230035528541,0.121758669615,0.298798859119,0.184143856168,0.165263101459,0.17635859549000000,0.823641419411,0.47708055377,0.522919416428,0.901285409927,73.6060028076,spotify:track:7sADV2OQhK7G4RKNfipORg,5,12,16,18,20,1
Was hast du vor?,Annett Louisan,Unausgesprochen,0.148101210594,0.851898789406,0.0287749096751,0.00445309653878,0.016947682946900000,0.442483097315,0.100409120321,0.388322949409,0.00921758078039,0.0093915713951,0.0884061828256,0.21610224247,0.563605725765,0.112032599747,0.019853245466900000,0.212198317051,0.787801682949,0.0595583245158,0.940441668034,0.882857561111,76.9901504517,spotify:track:2iLJXjCJdoE3hkKtqhNunB,5,12,16,18,20,1
Sentimental Journey,Barry Manilow,Singin With the Big Bands,0.179107919335,0.8208920955660000,0.0586114190519,0.00540576130152,0.035540789365800000,0.479167729616,0.110376536846,0.284179776907,0.0168801210821,0.00983786955476,0.110167421401,0.327590465546,0.333128273487,0.199893325567,0.0292205121368,0.419400274754,0.580599725246,0.0731757134199,0.926824271679,0.577130913734,77.813911438,spotify:track:5eTdwJSzkX7s4oW8lmCJMr,5,12,16,18,20,1
Arthur,Ian McCulloch,Holy Ghosts,0.339778244495,0.660221755505,0.010271078907,0.00986688956618,0.0384863428771,0.6713326573370000,0.0852290168405,0.163118615746,0.017115071415900000,0.00458034081385,0.166331589222,0.193521097302,0.309364289045,0.175342962146,0.155440077186,0.3950330019,0.6049669981,0.0008340494241570000,0.999165952206,0.677112221718,79.0129241943,spotify:track:0JqArPAUOUzN931F36a9LN,5,12,16,18,20,1
Where no endings end,Lady and Bird,La ballade of,0.0237904880196,0.976209521294,0.167507186532,0.00130185333546,0.00640271417797,0.734822452068,0.00947967544198,0.0683698058128,0.00741619477049,0.004700110759590000,0.0891722589731,0.297303795815,0.339524000883,0.142256841063,0.13174307346300000,0.270557105541,0.7294428944590000,0.0602026879787,0.939797282219,0.0772934108973,79.5162963867,Not Found,5,12,16,18,20,1
Auto-Mobile,Duster,Auto-Mobile,0.0542300306261,0.945769965649,0.15762743353800000,0.012143698521,0.0437053740025,0.329696446657,0.08434709906580000,0.298177987337,0.046765375882400000,0.0275365710258,0.244291290641,0.114799760282,0.540965497494,0.0566356964409,0.043307740241300000,0.316807061434,0.683192908764,0.0283949840814,0.9716050028800000,0.655895769596,80.1509094238,spotify:track:0xA3y1xXgPslaeDvgR3yDB,5,12,16,18,20,1
The Escape,Scott Walker,The Drift,0.0324427932501,0.967557191849,0.038097541779300000,0.006079501472410000,0.118834003806,0.6362489461900000,0.007640578318390000,0.161862835288,0.00598800228909,0.0252485796809,0.117516763508,0.189554452896,0.296942472458,0.114273786545,0.28171250224100000,0.13885229826,0.86114770174,0.475117057562,0.524882912636,0.0371093675494,80.3431091309,spotify:track:6hollGBU6zA2XzPlrb83pG,5,12,16,18,20,1
The Way He Makes Me Feel,Barbra Streisand,Barbra Streisand - A Collection: Greatest Hits...and More,0.0320586115122,0.967941403389,0.119648933411,0.0027261544019,0.0116413198411,0.5886762738230000,0.0955779328942,0.16807514429100000,0.00305792479776,0.0105963218957,0.07419258356090000,0.23182348907,0.528581798077,0.0890539437532,0.0763481631875,0.0832588896155,0.916741132736,0.0103416917846,0.989658296108,0.117211669683,80.36507415770000,spotify:track:6WpvSZEayPZvQSHEghFEp8,5,12,16,18,20,1
The Second Time Around,Barry Manilow,Manilow Sings Sinatra,0.038886770606,0.961113214493,0.23943066597,0.00359678128734,0.016555024310900000,0.5561833977700000,0.044457938522100000,0.112896941602,0.0113296518102,0.0155495768413,0.156420081854,0.279103755951,0.34984749555600000,0.143122300506,0.0715063512325,0.209663927555,0.7903360724450000,0.450388878584,0.549611091614,0.216802552342,81.5556259155,spotify:track:3CxAIay5YSntogj3zi3R4h,5,12,16,18,20,1
Black Velvet,The Lost Fingers,Lost in the 80s,0.106309987605,0.893689990044,0.0320951230824,0.004394763149320000,0.07043928653,0.412684053183,0.0472901053727,0.4089509844780000,0.004726861137900000,0.0194188132882,0.0725571289659,0.183167934418,0.500147044659,0.148665696383,0.0954621732235,0.378895312548,0.62110465765,0.0006935677374710000,0.999306440353,0.492365002632,82.8491897583,spotify:track:67RsQdPCnegJGJSh9iMtN5,5,12,16,18,20,1
Trilha sonora,João Bosco,Bandalhismo,0.059842560440300000,0.940157413483,0.0687265768647,0.013679802417800000,0.0603958405554,0.482873648405,0.0606898963451,0.255032867193,0.00803739856929,0.0505639538169,0.0988785102963,0.160562291741,0.520647883415,0.185598418117,0.0343128964305,0.221238315105,0.778761684895,0.035998683422800000,0.964001297951,0.634143352509,87.88494110110000,spotify:track:2uLmrPfxhDC1XxLSIXYGXf,5,12,16,18,20,1
My Inlaws Are Outlaws,Doug MacLeod,Theres a Time,0.035525936633300000,0.964474081993,0.00936665199697,0.000988263636827,0.013483312912300000,0.881331562996,0.0038343060296,0.0795307308435,0.0007224683649840000,0.010742685757600000,0.137759685516,0.254925131798,0.299573600292,0.168710231781,0.139031365514,0.157264113426,0.842735886574,0.0042773662135,0.995722651482,0.055820629000700000,89.49598693850000,spotify:track:6mlKMveHPbBsIcz8Hjq9hE,5,12,16,18,20,1
Street Kid,Mesparrow,Keep This Moment Alive,0.0144712952897,0.985528707504,0.17592652142,0.0032315764110500000,0.00397389521822,0.6712194681170000,0.06927371770140000,0.0629603937268,0.005491381511090000,0.00792302377522,0.139376789331,0.31732639670400000,0.353222519159,0.125645905733,0.0644283890724,0.345593005419,0.654407024384,0.013282019645,0.986717998981,0.6808261275290000,89.6862945557,spotify:track:7FapTewWnX3DTaC28wFMEq,5,12,16,18,20,1
Please Dont Call Me,Kelly de Martino,Radar,0.311097919941,0.688902080059,0.10607842356,0.00873810146004,0.0170164909214,0.419289827347,0.0819312855601,0.32600954175,0.0251856241375,0.0157506819814,0.110077112913,0.314660400152,0.319793850183,0.201667398214,0.053801205009200000,0.42312836647,0.57687163353,0.00464991107583,0.995350062847,0.7909007072450000,89.6901397705,spotify:track:20imB89xhlJhHwcLNmiXRF,5,12,16,18,20,1
Missing,Patricia Barber,Smash,0.0097290314734,0.990270972252,0.235934868455,0.00494270445779,0.008415217511360000,0.5128516554830000,0.05012108385560000,0.16925804317,0.00327572459355,0.0152006857097,0.0467501506209,0.0701792240143,0.656916558743,0.144729241729,0.0814248174429,0.453870981932,0.546128988266,0.025964112952400000,0.974035859108,0.07782792299990000,89.88279724120000,spotify:track:704qbQxK4gteMkUun1xjkS,5,12,16,18,20,1
Dress My Skin and Become What I’m Supposed To,Wallis Bird,The Mistakes Are Intentional,0.085089109838,0.914910912514,0.218657270074,0.006058313418180000,0.0406265519559,0.460963457823,0.0148034514859,0.203005060554,0.006693306844680000,0.0491925813258,0.07226022332910000,0.122732982039,0.650901675224,0.0891183242202,0.064986795187,0.463878959417,0.536121070385,0.0922025740147,0.907797455788,0.17344045639000000,89.9515151978,spotify:track:3Xq8xGcrpXF6fyajNDzbqR,5,12,16,18,20,1
The Two Lonely People,Roberta Gambarini,Easy to Love,0.0382281690836,0.961771845818,0.0344033055007,0.0014805877581200000,0.013264534063600000,0.8718801736830000,0.0123861264437,0.0364619642496,0.0011020335368800000,0.029021279886400000,0.0605490542948,0.108485683799,0.57182097435,0.151303172112,0.10784111917,0.104465790093,0.895534217358,0.0601244270802,0.939875543118,0.263549298048,90.02018737790000,spotify:track:4VTTND2GoDk6ZD9OfXuBxQ,5,12,16,18,20,1
Take However Long You Want,Will Oldham,Guarapero: Lost Blues 2,0.011226035654500000,0.988773941994,0.16332426667200000,0.00909232813865,0.0282881055027,0.440501779318,0.0183598939329,0.296714007854,0.0112363444641,0.032483290880900000,0.07979010045530000,0.0964642688632,0.663356721401,0.07171313464640000,0.08867575973270000,0.0501644425094,0.949835538864,0.005305659491570000,0.99469435215,0.0625014007092,90.03436279300000,spotify:track:6rLwjbB5ndJlP2ZROYX40d,5,12,16,18,20,1
Laulu tuulessa,Cumulus,Maihin,7.91909042164E-06,0.999992072582,0.0217758510262,0.00093426858075,0.0006449625361710000,0.907020807266,0.0322745777667,0.0318603888154,0.00264407624491,0.00284506613389,0.218757256866,0.126306280494,0.438525855541,0.0850866138935,0.131323993206,0.0958983898163,0.904101610184,0.0108871320263,0.989112854004,0.8732389807700000,90.4208755493,Not Found,5,12,16,18,20,1
