title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Close to You,The Doors,Live at the Matrix 1967,0.251044660807,0.748955368996,0.340699702501,0.0042702560313,0.0218763165176,0.515598058701,0.0180340241641,0.0301482230425,0.0109192635864,0.058454181999,0.111279249191,0.360964864492,0.0661910548806,0.257241874933,0.204322963953,0.974990904331,0.0250091087073,0.771337389946,0.228662624955,0.456053614616,109.77898407,spotify:track:3Ev4e7X9K3O88vJqsclJDb,5,11,15,17,19,1
Pole Position,Alain Caron le band,Play,0.490638494492,0.5093615055080000,0.0100643308833,0.0187776964158,0.0207949802279,0.74419438839,0.055051073432,0.0845114886761,0.0591547563672,0.0074513088911800000,0.116306737065,0.425209581852,0.09048400074240000,0.17232155799900000,0.19567812979200000,0.680200994015,0.319799035788,0.908096075058,0.0919039174914,0.6602101325990000,109.969673157,spotify:track:6b7Sf6qFUAuz3zcr7q9uTx,5,11,15,17,19,1
Capitaine Fracasse,Chapelier Fou,Scandale !,0.0578563958406,0.942143619061,0.00227205571719,0.000453482440207,0.000399070297135,0.97064268589,0.0077580367215,0.017332976684000000,0.000827870331705,0.000313816446578,0.1401989609,0.385349154472,0.13067097961900000,0.162421301007,0.1813595891,0.909244120121,0.0907559022307,0.949043810368,0.050956174731300000,0.180750206113,109.980674744,spotify:track:79kNxjPOysbFZABJVo3eJG,5,11,15,17,19,1
Moonlight Cafe,Armik,Romantic Dreams,0.00268819718622,0.997311830521,0.00675152661279,0.120762340724,0.028321845457,0.386438548565,0.08451068401340000,0.355398416519,0.00967747345567,0.00813917722553,0.105827257037,0.34020644426300000,0.165676876903,0.15668171644200000,0.231607705355,0.942143201828,0.057856772095,0.986160337925,0.0138396834955,0.902786195278,110.00595092800000,spotify:track:3XQSDuOV7072QZ8vsksUli,5,11,15,17,19,1
Alberts Tune,Albert Mangelsdorff & Members of Klaus Lage Band,Listen and Lay Back,0.109697885811,0.890302121639,0.113965719938,0.00639154110104,0.0373847782612,0.6806918382640000,0.0271863602102,0.105271287262,0.00706838397309,0.0220401063561,0.112618274987,0.291239619255,0.223530337214,0.264484524727,0.108127258718,0.735223174095,0.264776855707,0.605727255344,0.394272774458,0.20942735672,110.186599731,spotify:track:69MsopoKF2s5rmuXkmvdHz,5,11,15,17,19,1
Times of My Life,Billy Cobham,Powerplay,0.251957714558,0.748042285442,0.0134353172034,0.00450453674421,0.00541791925207,0.631804227829,0.087221391499,0.228922188282,0.0262032188475,0.0024912017397600000,0.121728129685,0.401611924171,0.133079111576,0.138928636909,0.204652175307,0.996903061867,0.00309695885517,0.999993026257,6.95094422554E-06,0.6872754096980000,110.21097564700000,spotify:track:1LY4Db4VpH4hpA2hqpGUF7,5,11,15,17,19,1
Donna Lee,Charlie Parker,Rétrospective 1940-1953 (Disc2: 1947-1951),0.442821651697,0.5571783185010000,0.0251152757555,0.0032727750949600000,0.0197533220053,0.8233579993250000,0.00718538975343,0.101443246007,0.00288247573189,0.0169895403087,0.0967327728868,0.419353216887,0.0955938100815,0.330625236034,0.0576949454844,0.990145206451,0.00985481962562,0.845573842525,0.154426142573,0.782268881798,110.217796326,spotify:track:2u9OxJTn3Of4aMYp9K71kE,5,11,15,17,19,1
All the Things You Are,Ella Fitzgerald,Ella Fitzgerald Sings the Jerome Kern Songbook,0.09683333337310000,0.903166651726,0.028478551656,0.00116882787552,0.00366580369882,0.858609735966,0.0149005083367,0.0860291197896,0.0021577463485300000,0.00498969200999,0.161957725883,0.322103768587,0.13803870976,0.143582507968,0.234317287803,0.5749452710150000,0.425054728985,0.603609502316,0.396390467882,0.26332598924600000,110.67061615,spotify:track:5gPetRvxQKyOjjwZX1dzbt,5,11,15,17,19,1
Little Willie Leaps,Charlie Parker,Rétrospective 1940-1953 (Disc2: 1947-1951),0.477431893349,0.522568106651,0.170890197158,0.0103331776336,0.0220297314227,0.611474275589,0.0452222339809,0.0902867913246,0.0199449546635,0.0298186708242,0.154914841056,0.325383573771,0.267491221428,0.160371556878,0.0918388143182,0.949790179729,0.0502098314464,0.979179680347,0.0208202898502,0.874890565872,111.718544006,spotify:track:0E1s6gVI38CVCUMEyQnpQF,5,11,15,17,19,1
I Am Happy,Victor Feldman,Rio Nights,0.247537359595,0.752462625504,0.000403320678743,0.00112270622049,0.00120195955969,0.951827943325,0.008444638922810000,0.034597992897,0.00213447771966,0.00026697709108700000,0.160732388496,0.45394256711,0.123627066612,0.15470212698,0.106995850801,0.985192894936,0.0148071153089,0.7187149524690000,0.281285017729,0.356032729149,112.221260071,spotify:track:3irr4o9cgtj8AI71CA5rhf,5,11,15,17,19,1
Plenty More,Squirrel Nut Zippers,The Inevitable,0.489416927099,0.510583043098,0.0247392579913,0.00925310421735,0.0123323863372,0.587602138519,0.164704188704,0.104488104582,0.0833655968308,0.0135152377188,0.13647837936900000,0.44420555234,0.10570012033,0.15827141702200000,0.15534453094,0.75234657526,0.24765342474,0.671410679817,0.328589320183,0.927889764309,112.25238800000000,spotify:track:4I2qWFDMxBF0YWy1oeGHtK,5,11,15,17,19,1
Kaksi ystävää,Vesa-Matti Loiri,Vesku Helismaasta,0.193599373102,0.806400597095,0.006826494354750000,0.0100457137451,0.0110632171854,0.607117652893,0.124391816556,0.205959141254,0.0267014428973,0.00789450854063,0.0821604803205,0.570579588413,0.105626963079,0.118077501655,0.123555444181,0.90764850378,0.0923515111208,0.8076977729800000,0.192302197218,0.929192066193,112.40293121300000,spotify:track:7GqzkgN5ugSbRVafPHNiHi,5,11,15,17,19,1
Did You Hear Me Mommy?,Annette Peacock,Im The One,0.194750666618,0.805249333382,0.112090788782,0.0012918782886100000,0.0161813683808,0.704908251762,0.00193686771672,0.147826239467,0.00106105161831,0.0147035662085,0.0674688890576,0.421815484762,0.292367190123,0.192353382707,0.0259950440377,0.932266175747,0.0677338242531,0.805239737034,0.194760277867,0.0265146419406,112.71292114300000,spotify:track:0Rp6MkkRRZDeRbEl2eE9hA,5,11,15,17,19,1
Work for Your Money,Howlin Wolf,The Chess Box,0.0220478475094,0.977952182293,0.0378341712058,0.000463108794065,0.0022171146702,0.914124846458,0.00300146080554,0.0287868343294,0.0029634032398500000,0.0106090372428,0.09272427111860000,0.351501315832,0.21592104435,0.298246085644,0.0416072681546,0.814953684807,0.185046315193,0.927775323391,0.07222466170790000,0.526572108269,113.99600219700000,spotify:track:3TGPWubBLQCY5ga3IEMl82,5,11,15,17,19,1
Funkallero,David Benoit,Waiting for Spring,0.14364920556500000,0.856350779533,0.00541276298463,0.003928506281230000,0.0281863808632,0.493412494659,0.0110380649567,0.435239732265,0.00407067500055,0.0187113862485,0.116491004825,0.361390858889,0.274467438459,0.15518642962,0.0924642458558,0.7059181928630000,0.294081807137,0.8922024369240000,0.107797563076,0.691482782364,114.136421204,spotify:track:1X2zuGMJGllDoaf21fYpxL,5,11,15,17,19,1
