title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
When Its Sleepy Time Down South,Al Hirt,Our Man in New Orleans,0.633426904678,0.366573095322,0.0145479114726,0.016673091799000000,0.110303521156,0.4364297091960000,0.0612568967044,0.34577950835200000,0.00697719724849,0.00803215429187,0.109457671642,0.331949114799,0.298040986061,0.22155867517,0.0389935597777,0.973352134228,0.0266478657722,0.994723916054,0.00527605973184,0.365288108587,75.465133667,spotify:track:2DJ6QhNQ6mMEISlIWvdJ8W,5,11,15,17,20,0
Danse (I),Hespèrion XXI (2000- ),Estampies & danses royales,0.740683317184,0.259316682816,0.0228245537728,0.00206134654582,0.0134942922741,0.942373275757,0.00527430558577,0.00986083969474,0.00312809180468,0.000983323785476,0.0436918698251,0.655233561993,0.101882576942,0.16318680346,0.0360052064061,0.999996125698,3.85131443181E-06,0.974750518799,0.025249477475900000,0.378097385168,80.7249069214,spotify:track:1Jmg5rhh7JZ1W2WuBJutPu,5,11,15,17,20,0
Blues for Janet,Herb Ellis,Nothing but the Blues,0.646665990353,0.353334009647,0.0120107950643,0.00246976222843,0.00975244585425,0.867117345333,0.008447065018120000,0.0702971965075,0.0028624024707800000,0.0270429868251,0.0868938863277,0.316829502583,0.256971895695,0.18316309154,0.156141653657,0.952469348907,0.0475306510925,0.985986709595,0.0140132661909,0.8748252391820000,81.08544921880000,spotify:track:5cxtJfowsLMPSJM4fndVS6,5,11,15,17,20,0
Childs Play,Ghostface Killah,Supreme Clientele,0.63700312376,0.36299687624,0.0172242298722,0.00828359741718,0.142694428563,0.395879775286,0.0640715807676,0.35295194387400000,0.00780029920861,0.0110941277817,0.0938312858343,0.341321200132,0.278905361891,0.229740157723,0.0562019757926,0.99999332428,6.65004608891E-06,0.516885340214,0.483114659786,0.943676590919,83.5190582275,spotify:track:3MZcJjxx9jnuaM87gUd0Kw,5,11,15,17,20,0
When the Pipers Play,Isla St Clair,When the Pipers Play,0.518923819065,0.481076180935,0.0301332939416,0.0168392043561,0.064179494977,0.505750596523,0.153489410877,0.204560577869,0.0189642198384,0.00608321651816,0.095095820725,0.3703376948830000,0.157168254256,0.324331492186,0.053066726774000000,0.996306836605,0.003693136386570000,0.149570629001,0.850429356098,0.419521450996,84.0420761108,spotify:track:0Gof3IK7uVZjfL3EfeAukb,5,11,15,18,20,0
Hyssop of Love,BADBADNOTGOOD feat. Mick Jenkins,IV,0.685178875923,0.314821124077,0.0655551254749,0.0220876503736,0.06508532911540000,0.361392349005,0.179913431406,0.197429820895,0.0782793909311,0.0302569065243,0.244543969631,0.368217110634,0.121467769146,0.214713990688,0.051057167351200000,0.237410798669,0.762589216232,0.0269330739975,0.973066926003,0.886416077614,84.390007019,spotify:track:4cBYNX1aJsWR2M5RtH5IGZ,5,11,16,18,20,0
Community Service Announcement,Kylie Auldist,Just Say,0.907416343689,0.0925836265087,0.0385259948671,0.032827444374600000,0.114362247288,0.283328026533,0.208358183503,0.2566793859,0.044715709984300000,0.0212030094117,0.113217562437,0.354215145111,0.112755484879,0.311458140612,0.108353681862,0.784986436367,0.215013563633,0.0296588409692,0.970341145992,0.8485249876980000,85.2584991455,spotify:track:2oSpCrPdEoC4js67cCUNqw,5,11,15,18,20,0
"Medley - Swing Low Sweet Chariot, the Lonesome Road",Bobby Darin,Darin at the Copa,0.574120879173,0.425879120827,0.08445101976390000,0.00566633697599,0.120824582875,0.402122437954,0.0496363118291,0.292909771204,0.0153799885884,0.0290095638484,0.0857970863581,0.385275930166,0.126294374466,0.307693064213,0.0949395447969,0.983296215534,0.0167037788779,0.00235002324916,0.99764996767,0.640401601791,85.5499267578,Not Found,5,11,15,18,20,0
Nah Let Dem Kill Me,I-Octane,Stop the Bloodshed,0.958579659462,0.041420314461,0.0262506846339,0.012324093841000000,0.184842661023,0.480056971312,0.0760014727712,0.17511390149600000,0.016315523535,0.0290946811438,0.194870397449,0.345360934734,0.220260173082,0.149071618915,0.090436860919,0.924571990967,0.0754279866815,0.555644512177,0.444355517626,0.956432461739,86.3062210083,Not Found,5,11,15,17,20,0
Ven Devorame Otra Vez,Antonio Hart,Here I Stand,0.868932008743,0.131067976356,0.0172019861639,0.00828700978309,0.0159123502672,0.560932517052,0.19664247334,0.143669188023,0.0521931983531,0.00516125746071,0.101196095347,0.277911782265,0.260158866644,0.147327721119,0.213405534625,0.994366407394,0.00563361821696,0.999998033047,1.94523909158E-06,0.958182036877,87.3824386597,spotify:track:4Y4KEbWgFM2zqkGRNMPqpM,5,11,15,17,20,0
Public Knowledge,24K,Words… Yet Unspoken,0.844985842705,0.155014172196,0.186802223325,0.0143172414973,0.12500612437700000,0.299846112728,0.0402845516801,0.076569236815,0.0365156754851,0.22065885365,0.195206254721,0.347576797009,0.0267724394798,0.113156564534,0.317287951708,0.700692355633,0.29930767417,0.0595164634287,0.940483510494,0.91853505373,88.1047134399,spotify:track:12rru3PX53r5XZcZUJcBoP,5,11,15,18,20,0
Bad Boy,Miami Sound Machine,"The Best of 1980-1990, Volume 8",0.8502181768420000,0.149781808257,0.0223172642291,0.0785728618503,0.155545860529,0.247922688723,0.193331450224,0.234033405781,0.0621422529221,0.006134225055580000,0.098695717752,0.391248732805,0.0929881185293,0.335708618164,0.0813588276505,0.99998319149,1.68117749126E-05,0.115281529725,0.884718477726,0.845466017723,90.5957260132,spotify:track:5AM6VOkN7ficA2O04f5JG1,5,11,15,18,20,0
