title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Tutte,Masqualero,Bande A Part,0.253836780787,0.746163189411,0.07551973313090000,0.0161003656685,0.0527302399278,0.470405191183,0.0178980119526,0.326008915901,0.0134383300319,0.0278991926461,0.18968744576,0.353201985359,0.226999476552,0.14234410226300000,0.0877669975162,0.492243677378,0.507756352425,0.367994755507,0.632005214691,0.14942856133,109.74223327600000,spotify:track:6BgNTvyWjbvNQ9jBKAtdOs,5,11,16,18,19,1
Hearts and Minds,Andy Burrows ,Fall Together Again ,0.058445457369100000,0.941554546356,0.0429894961417,0.00783615652472,0.00627450179309,0.567845642567,0.15690472722100000,0.183145567775,0.0169307421893,0.0180731602013,0.08898870646950000,0.374514430761,0.279028058052,0.140875101089,0.116593725979,0.395572900772,0.604427099228,0.000525431532878,0.999474585056,0.759152472019,110.289878845,spotify:track:5aoukR2soyUWNsFeqP68dP,5,11,16,18,19,1
Somebody in My Home,Howlin Wolf,Tail Dragger,0.32406181097,0.67593818903,0.11037363112,0.005835834890600000,0.0943655520678,0.616696119308,0.0238794535398,0.103258095682,0.0249289032072,0.0206623971462,0.193513929844,0.311195969582,0.251314461231,0.198415622115,0.0455600172281,0.372781038284,0.627218961716,0.80422437191,0.195775642991,0.843263745308,110.31506347700000,spotify:track:5erxBnOBoDNexTUrrXOhCA,5,11,16,17,19,1
Cherry Tree Carol,colin meloy,colin meloy sings shirley collins,0.0105358315632,0.98946416378,0.080678768456,0.0013159099035000000,0.00706529431045,0.8332316875460000,0.00306454137899,0.0326254703104,0.00649529788643,0.035523023456300000,0.100340560079,0.41757068038,0.251676142216,0.130958735943,0.0994538739324,0.212910011411,0.7870900034900000,0.697919011116,0.302080959082,0.6702987551690000,111.220352173,Not Found,5,11,16,17,19,1
The Windmills of Your Mind,Jack Jones,Jack Jones Sings Michel Legrand,0.053783446550400000,0.946216523647,0.159775599837,0.0075342641212,0.0273622870445,0.463879823685,0.0838298797607,0.22509516775600000,0.0116317886859,0.0208911821246,0.106362171471,0.309408187866,0.22616070509,0.145782783628,0.212286144495,0.313863962889,0.686136007309,0.00198994390666,0.99801003933,0.250488936901,111.343513489,Not Found,5,11,16,18,19,1
How HIgh the Moon,Ella Fitzgerald,75th Birthday Celebration (disc 1),0.186038374901,0.813961625099,0.0684629157186,0.00715239346027,0.052347745746400000,0.443164229393,0.0131506258622,0.332024395466,0.0180562529713,0.0656414479017,0.156230673194,0.33219164609900000,0.13567402958900000,0.190495848656,0.185407802463,0.0735719650984,0.92642802,0.86793410778,0.13206589222,0.6578298807140000,111.56007385300000,spotify:track:2cvztQuBIxwV38kg1Ydaww,5,11,16,17,19,1
Youll Always Be the One I Love,Frank Sinatra,The Complete Capitol Singles Collection,0.0848527550697,0.91514724493,0.0181104950607,0.0028555279132,0.006879025604580000,0.7992792725560000,0.021513972431400000,0.139387175441,0.009062611497940000,0.00291194510646,0.07673325389620000,0.511153638363,0.13721267879,0.241045504808,0.0338549055159,0.274089246988,0.7259107828140000,0.0152750108391,0.984724998474,0.493915140629,111.75717926,spotify:track:1s8NLCigN11jfAhT2pD2Hg,5,11,16,18,19,1
God Only Wants You,Ours,Mercy (Dancing for the Death of an Imaginary Enemy),0.0692772045732,0.930722773075,0.116878777742,0.00464762281626,0.0110339438543,0.51300150156,0.0994832292199,0.22072070837,0.00957248732448,0.0246617011726,0.0944541841745,0.345270454884,0.230021283031,0.14922311902000000,0.181030973792,0.00980450864881,0.990195512772,0.6998959779740000,0.300104022026,0.442799240351,111.854911804,spotify:track:67vYxXvvH2ptuKGWbQZDuB,5,11,16,17,19,1
The Maids of Cadiz (take 1),Miles Davis & Gil Evans,The Complete Columbia Studio Recordings (CD 1),0.0336556509137,0.966344356537,0.0181977339089,0.0007265333551910000,0.0008350722491740000,0.960570931435,0.00520616909489,0.0103674130514,0.0013677943497900000,0.00272832997143,0.12403924018100000,0.273602187634,0.259679049253,0.222710475326,0.119969017804,0.320582956076,0.6794170141220000,0.999999761581,2.33897679891E-07,0.0634346008301,111.94284057600000,Not Found,5,11,16,17,19,1
Une saison unique,Dominique Dalcan,Music Hall,0.0313777290285,0.968622267246,0.0279103592038,0.000817136489786,0.0007450890843760000,0.942569732666,0.0113729657605,0.00445510121062,0.00889495387673,0.00323463510722,0.125489503145,0.413061201572,0.152116551995,0.162852346897,0.146480411291,0.425051689148,0.5749483108520000,0.912400245667,0.0875997394323,0.249647513032,112.00839996300000,Not Found,5,11,16,17,19,1
The Welcome Sailor,Lal Waterson & Norma Waterson,A True Hearted Girl,6.68420307193E-06,0.99999332428,0.425403535366,0.000428711908171,0.0006701624370180000,0.543549656868,0.00533481966704,0.0181810595095,0.00109495245852,0.00533706741408,0.122007504106,0.386507302523,0.17863152921200000,0.181484758854,0.131368905306,0.23403583467,0.765964150429,0.00511829555035,0.994881689548,0.142684087157,112.20781707800000,Not Found,5,11,16,18,19,1
Kings Selma,Hedningarna,Kaksi!,0.055732723325500000,0.944267272949,0.177771300077,0.0135727180168,0.0166292432696,0.481253474951,0.0994469076395,0.17467148602000000,0.0236476156861,0.0130072431639,0.196299239993,0.318169891834,0.14658509194900000,0.107525661588,0.231420114636,0.0976670011878,0.902333021164,0.995350301266,0.004649724345650000,0.6546079516410000,112.89364624,spotify:track:6WV8mmEeRECuWoC8AOob4l,5,11,16,17,19,1
On a Whim (interlude),Common,Black America Again,0.454853624105,0.545146346092,0.0137896761298,0.00735895661637,0.0944831892848,0.466603726149,0.0120630385354,0.359057158232,0.00484808813781,0.041796166449800000,0.172406807542,0.458507210016,0.202170595527,0.0899631902575,0.0769522115588,0.16929855942700000,0.8307014107700000,0.574715256691,0.425284713507,0.673869431019,112.90082550000000,spotify:track:0ouXabLAZZ7lCKKDThXAa5,5,11,16,17,19,1
Crying for Help IV,Arena,The Visitor: Revisited,0.226590275764,0.7734097242360000,0.145847931504,0.0146751273423,0.041071206331300000,0.380984723568,0.0308209136128,0.297449171543,0.0228250771761,0.0663258656859,0.146511778235,0.310440808535,0.244284167886,0.180198326707,0.118564918637,0.00624110316858,0.993758916855,0.93908393383,0.060916073620300000,0.6056161522870000,113.555130005,spotify:track:1Lao5afyrkd9XDCYyVb34O,5,11,16,17,19,1
Welcome To Baku,David Arnold,The World Is Not Enough,0.197534650564,0.8024653792380000,0.100152753294,0.0250367093831,0.0908372476697,0.386684119701,0.07051222771410000,0.264353424311,0.0421624332666,0.0202610976994,0.22192145884,0.33079841733000000,0.269001305103,0.130833774805,0.047445017844400000,0.464786559343,0.535213470459,0.978018224239,0.0219817589968,0.390067875385,113.74278259300000,spotify:track:5tdLDW09ogNmYSYIxxHAiU,5,11,16,17,19,1
Douce Dame Jolie,Annwn,Orbis Alia,0.0159331131727,0.984066903591,0.0654262602329,0.0030604917556,0.00137488043401,0.533419311047,0.272087395191,0.09172860533,0.0227035228163,0.0101995198056,0.1207575351,0.477359563112,0.136389225721,0.148898780346,0.11659489572,0.264312952757,0.7356870174410000,0.5337290167810000,0.466270953417,0.8945478200910000,113.90663147,spotify:track:5Uqc8fbFa3PbHfLDAaRST4,5,11,16,17,19,1
And Then the Clock Appeared,The Joy of Nature,"The Empty Circle, Part I: Swirling Lands of Disquiet and Catharsis",1.19886210876E-13,1.0,0.123942948878,0.0239817444235,0.132979735732,0.294858723879,0.235122278333,0.15253025293400000,0.0176024883986,0.0189818385988,0.120409019291,0.327842086554,0.21989159286,0.163198515773,0.168658792973,0.0319754257798,0.968024551868,0.999999701977,2.90456711127E-07,0.0142939863726,114.22058868400000,spotify:track:24kfUOfuyTFTKhryWdMqsB,5,11,16,17,19,1
Avatar,"Marilyn Crispell, Gary Peacock, Paul Motian",Amaryllis,0.0500170849264,0.949982941151,0.0121192811057,0.000507477845531,0.00138020631857,0.952113807201,0.00147104822099,0.0283571574837,0.00313611282036,0.00091490970226,0.139543503523,0.300348579884,0.195242285728,0.136934354901,0.227931261063,0.08112436532970000,0.91887563467,0.997384428978,0.0026155707892,0.08446177840230000,114.228752136,spotify:track:5xo1rG3PWcygEveRRFA12g,5,11,16,17,19,1
Ray Charles Blues,Ray Charles,The Genius Hits the Road,0.044938854873200000,0.955061137676,0.041592698544300000,0.00056518393103,0.00255841622129,0.92560428381,0.00141732709017,0.0192978978157,0.00570998666808,0.00325423292816,0.120197154582,0.35463991761200000,0.186025157571,0.229613602161,0.109524175525,0.0278681684285,0.972131848335,0.929342627525,0.0706573724747,0.841653943062,114.285232544,spotify:track:1bftGlyWhB7MqFht3ly2Og,5,11,16,17,19,1
Yesterdays,Stan Getz,Cabu Collection (Disc2),0.00576004432514,0.994239926338,0.0170095581561,0.00017248473886900000,0.0008041968685570000,0.97506082058,0.000247672171099,0.00255835102871,0.0009879808640110000,0.00315894978121,0.119744062424,0.377431064844,0.259480834007,0.172758460045,0.0705855712295,0.10636077076200000,0.8936392068860000,0.81107199192,0.188928022981,0.28137075901,114.41075134300000,spotify:track:1kJNGikvHS31br38L4TlYn,5,11,16,17,19,1
