title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Visits,Karen O,Crush Songs,0.187059506774,0.8129404783250000,0.0251815505326,0.00482552824542,0.0881397426128,0.63692432642,0.0210189521313,0.147870182991,0.0178016480058,0.05823805555700000,0.269775360823,0.293850690126,0.12868693471000000,0.21650531888,0.0911816954613,0.785547494888,0.214452534914,0.353242367506,0.646757602692,0.880204856396,68.2589874268,spotify:track:2QyMm6Wzj4mfsUKQt2mp7D,5,11,15,18,20,1
Willow Weep for Me,Etta James,Time After Time,0.158010661602,0.841989338398,0.00246101478115,0.0011043602135,0.00922878738493,0.957862973213,0.00426026806235,0.0196849610656,0.00160373235121,0.00379389966838,0.132829472423,0.27533569932,0.219124555588,0.158825531602,0.213884755969,0.862457573414,0.137542411685,0.7864678502080000,0.213532179594,0.483011901379,69.0626220703,spotify:track:60eTEysljnVFdVrQpPeVye,5,11,15,17,20,1
The Last Snowfal,史逸欣;Alex Wong,The Moment Always Vanishing,0.054272599518300000,0.945727407932,0.370192229748,0.00495251640677,0.019567778334,0.4886088669300000,0.0277304518968,0.0516205318272,0.00375404302031,0.033573564142,0.046712588518900000,0.471153467894,0.341499507427,0.134132891893,0.00650155497715,0.93467181921,0.06532821059230000,0.0073670190759,0.992632985115,0.184982419014,70.6855010986,Not Found,5,11,15,18,20,1
Intro,Fingathing,Superhero Music,0.0587161667645,0.94128382206,0.282636851072,0.00208664592355,0.0163641087711,0.533260941505,0.0388008654118,0.104780912399,0.00588947534561,0.0161801800132,0.159801259637,0.35286590457000000,0.201292142272,0.234442293644,0.051598399877500000,0.204330191016,0.795669794083,0.107804447412,0.892195522785,0.707984745502,73.6876754761,spotify:track:4ff6W7VZ7ZFLWwCt1IV3oI,5,11,16,18,20,1
Forget What I Said,Krezip,What Are You Waiting For,0.0491124875844,0.95088750124,0.0440567173064,0.000388251472032,0.000919052807149,0.582998037338,0.0555642358959,0.311358124018,0.002622497966510000,0.00209309346974,0.0858643576503,0.432812154293,0.248930096626,0.194369450212,0.0380239263177,0.925863325596,0.0741366446018,0.0020194787066400000,0.99798053503,0.567782282829,74.1482696533,spotify:track:79E3f5bhUwxanrLw00D3tB,5,11,15,18,20,1
Heartbreak Hotel,Elvis Presley,ElvisViva Las Vegas,0.166248932481,0.83375108242,0.181456267834,0.00903755426407,0.0438664704561,0.415179163218,0.0606276579201,0.178445771337,0.0243400279433,0.0870470702648,0.0915675014257,0.391423076391,0.282179683447,0.221185475588,0.0136442417279,0.560745477676,0.439254492521,0.260311901569,0.7396880984310000,0.493085116148,75.55935668950000,spotify:track:6xNwKNYZcvgV3XTIwsgNio,5,11,15,18,20,1
Anything Thats Part Of You,Elvis Presley,Elvis By the Presleys (Bonus CD),0.0528274811804,0.947172522545,0.198759406805,0.00682588201016,0.0271477270871,0.57582205534,0.0390382856131,0.113484345376,0.00825628545135,0.0306660272181,0.0723728388548,0.440997898579,0.345697879791,0.137157395482,0.00377395632677,0.7088234424590000,0.291176587343,0.00168980529997,0.998310208321,0.121548488736,75.6797027588,spotify:track:3iiR1M95X0Ib4HwqQApZZb,5,11,15,18,20,1
Let Yourself to Float... To the Flute of Death,Kerovnian,From the Depths of Haron,0.008349751122300000,0.991650223732,0.156917154789,0.0193594601005,0.181849613786,0.291446298361,0.0524439513683,0.20808018744000000,0.017750736326000000,0.07215259969230000,0.175022423267,0.217917472124,0.204287037253,0.20785138011,0.194921687245,0.00162880332209,0.998371183872,0.989624083042,0.0103759299964,0.255632340908,75.96114349370000,Not Found,5,11,16,17,20,1
So Long,Ricky Nelson,Greatest Love Songs,0.0531088449061,0.946891129017,0.00493311462924,0.00107288744766,0.0123400781304,0.853092908859,0.019590601325,0.100666716695,0.00265989243053,0.005643806420270000,0.181357309222,0.40801218152,0.111769102514,0.261000216007,0.037861172109800000,0.114551834762,0.8854481577870000,0.005199553444980000,0.994800448418,0.780163764954,76.402633667,spotify:track:7e54FeJMhkDhcePeF8vsav,5,11,16,18,20,1
For All We Know,Beverly Kenney,Born to Be Blue,0.0129650421441,0.987034976482,0.0163597874343,0.00163940119091,0.0110572054982,0.635949134827,0.139677777886,0.187340348959,0.000990328611806,0.006986007560040000,0.1554556638,0.320076048374,0.26094225049,0.155366957188,0.108159072697,0.8634964227680000,0.13650357723200000,0.051858779043000000,0.948141217232,0.21087525785,77.6657562256,spotify:track:1kXdxpRQMomJiIEhgtEYRm,5,11,15,18,20,1
Best Friend (acoustic),Amy Winehouse,In My Bed / You Sent Me Flying,0.0624668821692,0.937533140182,0.0100054787472,0.00118273543194,0.00110851274803,0.90253931284,0.0390245206654,0.0382860079408,0.0021399804391,0.00571344047785,0.0733785256743,0.351986765862,0.268415689468,0.244601219893,0.0616178102791,0.758698642254,0.241301372647,0.0698300674558,0.930169939995,0.871732234955,77.95301818850000,spotify:track:11DpzO37X3lrvDLS5dYta1,5,11,15,18,20,1
Ill Never Be The Same,Art Tatum,The Tatum Group Masterpieces,0.007184755988420000,0.992815256119,0.00144466431811,0.000338777696015,0.000420505268266,0.982216835022,0.00219385209493,0.00895148329437,0.003978600259870000,0.000455271801911,0.103246286511,0.510000765324,0.170430600643,0.14464238286000000,0.0716799870133,0.8621187210080000,0.137881264091,0.959430992603,0.0405689962208,0.798632860184,78.82577514650000,spotify:track:3jpwUkYOl2fFVFzZeK3l6B,5,11,15,17,20,1
My Feeling for the Blues,Freddie King,Hide Away: The Best of Freddie King,0.363809645176,0.636190354824,0.0244068149477,0.00132246839348,0.0206690002233,0.683235347271,0.0106069352478,0.23138192296,0.00397085631266,0.0244066547602,0.0985833182931,0.372006207705,0.290149122477,0.211593046784,0.0276683084667,0.959113061428,0.0408869124949,0.609832286835,0.390167683363,0.689524948597,79.2587890625,spotify:track:0mEEonUEBiHJPtwkfhzmFP,5,11,15,17,20,1
Ill Never Be The Same,Sarah Vaughan,Mean To Me,0.367554426193,0.632445573807,0.0179000031203,0.000937327684369,0.00326636130922,0.7944887876510000,0.0242253020406,0.151659399271,0.00351572106592,0.0040071164257800000,0.128461182117,0.35517090559000000,0.12749715149400000,0.188728272915,0.200142502785,0.0795997902751,0.920400202274,0.904874920845,0.0951250493526,0.577535748482,79.36763763430000,spotify:track:72FX3inIHkO3FIzzy93xwl,5,11,16,17,20,1
Streamline Woman,Howlin Wolf,The Chess Box,0.0731220692396,0.926877915859,0.248517394066,0.0009345764410680000,0.0117700407282,0.621505796909,0.00498643051833,0.10517988354,0.00332352006808,0.00378233124502,0.139532387257,0.385564684868,0.146479398012,0.177251219749,0.151172295213,0.560733854771,0.439266145229,0.323529928923,0.676470041275,0.43963816762,79.4796295166,spotify:track:5KQxnaNI4rcG6y6U6dk8tS,5,11,15,18,20,1
