title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
The Front Gate,Pyotr Ilyich Tchaikovsky,U.S. Marshals,3.00000096379E-14,1.0,0.213811814785,0.017926516011400000,0.0580708831549,0.368451535702,0.0901045054197,0.164053350687,0.0721495375037,0.0154318511486,0.295404225588,0.231975376606,0.0797916203737,0.136343285441,0.256485521793,0.00235863472335,0.997641384602,0.957545697689,0.0424542799592,0.32293552160300000,67.7306594849,spotify:track:08FskSUbcHsYFskPmgnCvO,5,10,16,17,20,1
We Cant Live Together,Joe Jackson,Big World,0.5373744368550000,0.462625533342,0.108425378799,0.0416504517198,0.064538538456,0.26564157009100000,0.160926818848,0.185788989067,0.14958493411500000,0.0234433133155,0.133162021637,0.16095466911800000,0.223185285926,0.249842122197,0.232855916023,0.718763053417,0.281236946583,0.314787060022,0.685212910175,0.444889307022,68.4602890015,spotify:track:00Wj6ONbIWkBLMJERs5nA6,5,13,15,18,20,0
Childrens Song #5,Chick Corea,Friends,1.33871508297E-05,0.999986588955,0.151473969221,0.001878441195,0.00777907902375,0.763095974922,0.0217580236495,0.043991744518300000,0.00364474114031,0.0063780010677900000,0.269505023956,0.169250071049,0.243449538946,0.0901753082871,0.227620065212,0.543867051601,0.456132948399,0.999989509583,1.04727041617E-05,0.248386144638,70.1263809204,spotify:track:6DtiLMgpjofXbXPcIuisio,5,10,15,17,20,1
Tree Trail,Moondog,Moondog,0.0473092272878,0.952690780163,0.056186042726,0.0164054948837,0.0681869909167,0.406798243523,0.0448343418539,0.342234492302,0.0401203744113,0.0252340119332,0.377462774515,0.14336335659000000,0.137475788593,0.129137650132,0.212560415268,0.186884745955,0.813115239143,0.746470093727,0.25352990627300000,0.7168279290200000,81.51625823970000,spotify:track:7wi4KwThktzllyRJ4HBqgk,5,10,16,17,20,1
Studio Chatter #4,Jerry Lee Lewis,Southern Roots: The Original Sessions (Disc 2),0.0982066616416,0.90179336071,0.252790033817,0.008261905051770000,0.0944200605154,0.26240003109,0.0195129588246,0.13745605945600000,0.00829092599452,0.216868042946,0.0541232600808,0.238754734397,0.251263231039,0.296067982912,0.159790799022,0.802545130253,0.197454884648,0.00015637661272200000,0.999843597412,0.00130384915974,84.0646438599,Not Found,5,13,15,18,20,1
Ill Be So Glad When Your Heart Is Mine,Chuck Willis,I Remember Chuck Willis / The King of Stroll,0.5223948359490000,0.477605134249,0.0324758887291,0.0136141302064,0.032340656966,0.3806942403320000,0.25038459897,0.260689020157,0.0225112810731,0.007290203124280000,0.08890331536530000,0.31031242013,0.200335904956,0.345734089613,0.054714273661400000,0.999992907047,7.10411859473E-06,0.0119062028825,0.988093793392,0.8068026900290000,86.9739151001,spotify:track:7fjpN6UFmMzRhDr1Y4JsGx,5,13,15,18,20,0
Unexpected Situations (Rh Re-Arrange),Rei Harakami,Trace of Red Curb,0.0313236489892,0.968676328659,0.0396558456123,0.0024693042505500000,0.250888198614,0.563513994217,0.00423020869493,0.07674017548560000,0.00171730865259,0.0607849955559,0.257469266653,0.194347381592,0.149955332279,0.21224683523200000,0.185981184244,0.0034750418271900000,0.99652493,0.660170197487,0.339829802513,0.0134811345488,88.430015564,spotify:track:3tSf7E7QP7R8sRPegd4X8b,5,10,16,17,20,1
Nadia,Nitin Sawhney,Onezero,0.581732332706,0.418267667294,0.0392379537225,0.00755986012518,0.0288489088416,0.366911441088,0.349198639393,0.18241032958,0.013392242603,0.0124406199902,0.0740924328566,0.250979572535,0.252619624138,0.277748346329,0.144560039043,0.751278579235,0.248721420765,0.975483179092,0.024516806006400000,0.766861915588,88.7691955566,spotify:track:6c05B0BTOJbDyRy5KLI7my,5,13,15,17,20,0
Falling in Love With Love,Cannonball Adderley,Verve Jazz Masters 31,0.46029239893,0.53970760107,0.052057128399600000,0.0035210927017,0.007424913346770000,0.749949336052,0.0626344233751,0.09594799578190000,0.0160681474954,0.0123969558626,0.159210413694,0.215445831418,0.259967446327,0.280414491892,0.0849618315697,0.377825081348,0.622174918652,0.853342413902,0.146657571197,0.8564968705180000,89.26900482180000,spotify:track:7oMOc5vQKJT5wdeafnXQRF,5,13,16,17,20,1
The Rockers Anthem,Johnny & The Roccos,Tearin Up the Border,0.462307929993,0.5376920700070000,0.0846980586648,0.0309004541487,0.08885660767560000,0.361060231924,0.0771619156003,0.209491953254,0.131395146251,0.0164356213063,0.212570413947,0.195509940386,0.194497317076,0.31342074275,0.08400157094,0.999999701977,3.24173527133E-07,0.137012571096,0.862987458706,0.914355456829,89.7904281616,spotify:track:5YBrWjCax6uo00ImZ3eg52,5,13,15,18,20,1
Iris,John Coltrane,Stellar Regions,0.949834942818,0.0501650869846,0.0093212723732,0.00485941721126,0.0160619802773,0.8675209283830000,0.0219281185418,0.0262444317341,0.0479725003242,0.00609134882689,0.110737450421,0.25708308816,0.121925145388,0.275396376848,0.23485794663400000,0.8291344642640000,0.17086553573600000,0.99452316761,0.005476859863850000,0.868233263493,90.6804656982,spotify:track:4NiKtErEz8AzMHw6XzXhbm,5,13,15,17,20,0
Cross Road Blues (take 2),Robert Johnson,The Complete Recordings,0.0479055866599,0.952094435692,0.00939368456602,0.00121879926883,0.0053389868699,0.940337061882,0.00179427617695,0.0363682433963,0.0039712376892600000,0.00157770863734,0.270753264427,0.254372805357,0.093294814229,0.201556995511,0.18002209067300000,0.00017787376418700000,0.99982213974,0.8877555727960000,0.112244412303,0.803159236908,91.09741210940000,spotify:track:2t6BfB8I8NReNCHPOVY8qI,5,10,16,17,20,1
Scherzo for X-Wings,John Williams,Star Wars: The Force Awakens,3.00000096379E-14,1.0,0.236530423164,0.0238023474813,0.0346082597971,0.252842754126,0.205637127161,0.193264976144,0.0377898551524,0.0155242616311,0.123017974198,0.131019338965,0.249456420541,0.256615996361,0.239890262485,0.233016893268,0.766983091831,0.637624561787,0.362375408411,0.386493861675,91.1990509033,spotify:track:6eWfgktrz9i593f0ivmw25,5,13,16,17,20,1
Her Love Rubbed Off (home recording),Carl Perkins,The Classic Carl Perkins (Disc 2),0.164854452014,0.8351455330850000,0.255463242531,0.00431237602606,0.0581407770514,0.517727971077,0.0211710054427,0.094383969903,0.0131609197706,0.0356397405267,0.0575900450349,0.185842990875,0.13867437839500000,0.354791432619,0.263101160526,0.61974298954,0.380257040262,0.838774681091,0.16122531890900000,0.725465536118,91.4994888306,Not Found,5,13,15,17,20,1
Ive Found A New Baby (Alternate Take),Sonny Rollins,Sonny Rollins And The Contemporary Leaders,0.831934928894,0.168065086007,0.0011034788331,0.00482580158859,0.005289682187140000,0.948462426662,0.00855815131217,0.0269481912255,0.00366607774049,0.00114617764484,0.141213417053,0.242439419031,0.200369611382,0.295978277922,0.119999267161,0.999998390675,1.61392972586E-06,0.97532761097,0.0246723853052,0.7620877027510000,92.36994171140000,spotify:track:0PTa6t4nXOwufGd0XyPwjn,5,13,15,17,20,0
