title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Královna temných spádů,Sto zvířat,Postelový scény,0.974637746811,0.0253622289747,0.00833473820239,0.0810541883111,0.181105092168,0.0300311576575,0.4596811831,0.199906602502,0.0327965505421,0.00709047587588,0.132714137435,0.228137716651,0.162794530392,0.165999218822,0.310354411602,0.513936698437,0.486063301563,0.581981122494,0.418018877506,0.911393821239,109.00329589800000,spotify:track:1GR538IR4ld0h1djTKE27g,6,14,15,17,19,0
02-On the tray,Sandra,Long Play,0.999999880791,1.00000008274E-07,0.00193872512318,0.0467098876834,0.0159215889871,0.0344568528235,0.845512509346,0.0138754928485,0.0408524870872,0.000732446438633,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.7556843161580000,0.244315683842,0.6796219944950000,0.320378035307,0.91076952219,109.282104492,Not Found,6,14,15,17,19,0
LÉléphant,Tom Tom Club,Tom Tom Club,0.7001293301580000,0.299870699644,0.0277840830386,0.201840817928,0.182153359056,0.0210967119783,0.206303492188,0.168783515692,0.174040034413,0.0179979763925,0.11145503819,0.149449840188,0.198715060949,0.0835526660085,0.456827372313,0.844136714935,0.155863270164,0.853834569454,0.146165430546,0.942301094532,109.28953552200000,Not Found,6,14,15,17,19,0
Slip of the Tongue,Nits,Urk,0.557072162628,0.442927867174,0.0150365279987,0.0751679763198,0.054502151906500000,0.0200471524149,0.607848584652,0.105685375631,0.10756855458,0.014143674634400000,0.0438043028116,0.0738937556744,0.12184497714000000,0.207955747843,0.55250120163,0.811768770218,0.188231229782,0.6224237084390000,0.377576261759,0.954529523849,109.733909607,spotify:track:4DpSAjOWkVdFQO5LBKnlhQ,6,14,15,17,19,0
Miles Away,The Rippingtons,Curves Ahead,0.7682420611380000,0.231757953763,0.00943131837994,0.0180519167334,0.0296577010304,0.0282555483282,0.7071286439900000,0.0989539846778,0.106424532831,0.0020963437855200000,0.161063164473,0.182640582323,0.192375823855,0.109730996192,0.354189425707,0.985814571381,0.0141854481772,0.988979041576,0.0110209323466,0.920903980732,109.807189941,spotify:track:2toYtnjHzMTfBhEmU7UGCU,6,14,15,17,19,0
A Rush and a Push and the Land Is Ours,The Smiths,"Strangeways, Here We Come",0.638287305832,0.361712664366,0.01283987239,0.0676847547293,0.0333436951041,0.0453515164554,0.624349355698,0.063318580389,0.147055104375,0.0060571283102,0.193022191525,0.203329384327,0.161668792367,0.0726212859154,0.369358330965,0.988480269909,0.0115197347477,0.8715521693230000,0.128447845578,0.9254809618,109.902000427,spotify:track:6Ps04Nfh2PySU4fIPZWxrU,6,14,15,17,19,0
Everybody Drops,Delayscape,Everybody Drops EP,0.998873591423,0.00112640508451,0.00336467195302,0.26746052503600000,0.113180957735,0.00499850092456,0.550790727139,0.0428768247366,0.0160719975829,0.0012557670706900000,0.0869660228491,0.0546200200915,0.381124347448,0.0560026504099,0.421286970377,0.606831789017,0.393168210983,0.975230693817,0.0247692819685,0.897203981876,110.010063171,Not Found,6,14,15,17,19,0
Iced Melancholy Spectacle,Sundial Aeon,Apotheosis,0.996904850006,0.00309517444111,0.00409371638671,0.0812935829163,0.0302086863667,0.0102275693789,0.831226766109,0.035526506602800000,0.004318160936240000,0.00310501060449,0.06429769098760000,0.0832231342793,0.196049287915,0.0599933862686,0.596436500549,0.992527186871,0.00747284200042,0.96147787571,0.0385221503675,0.771978139877,110.01007843,spotify:track:4UVW3SzaSumRZ8DYd9Ly9H,6,14,15,17,19,0
Why,Joe Satriani,joe satriani / The Extremist,0.974141716957,0.0258582886308,0.00249040033668,0.0754216611385,0.0460763797164,0.00531272310764,0.6942764520650000,0.0453975237906,0.129135757685,0.00188908097334,0.0715939179063,0.108967326581,0.141275033355,0.205244600773,0.472919136286,0.61080211401,0.38919788599,0.988077938557,0.0119220484048,0.899053573608,110.079101562,spotify:track:2gmUkcGtV5OXxjMIv50W9F,6,14,15,17,19,0
Vad heter du?,Caramell,Supergott (Speedy Mixes),0.999999880791,1.00000008274E-07,0.004500925075260000,0.332361221313,0.0328078977764,0.0242904406041,0.438364118338,0.091814674437,0.07207070291040000,0.00379001232795,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.996620178223,0.00337982363999,0.5762510299680000,0.423748940229,0.978667378426,110.38180542,spotify:track:4zePw5Y88cvf7PLN0pJMo0,6,14,15,17,19,0
