title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Murder,Ashlee Simpson,Bittersweet World,0.976002335548,0.0239976737648,0.0077338577248200000,0.106013804674,0.266757398844,0.0092134559527,0.405873924494,0.114471040666,0.0875536352396,0.00238287518732,0.15329824388,0.144981682301,0.069049410522,0.193297848105,0.439372837543,0.611284613609,0.388715356588,0.970776498318,0.0292234849185,0.94019728899,80.26596832280000,spotify:track:6MPh9Li3TZMaIb6WYuzbYO,6,14,15,17,20,0
Pieśń emigranta,Gienek Loska Band,Hazardzista,0.831349790096,0.16865019500300000,0.0135495206341,0.014076076448000000,0.08574016392230000,0.102742053568,0.402036577463,0.228125751019,0.139869585633,0.0138602554798,0.124168291688,0.14401811361300000,0.232144892216,0.131039515138,0.368629187346,0.7013139128680000,0.298686057329,0.5172892212870000,0.482710808516,0.841670811176,81.9351730347,spotify:track:02kHneqfB3ngYyMsaAl7Z0,6,14,15,17,20,0
Penicillum,Auļi,Auļos...,0.8384438157080000,0.161556199193,0.00444709602743,0.0761460289359,0.392817616463,0.00745331216604,0.418671220541,0.0360929369926,0.061288245022300000,0.00308353058062,0.219260632992,0.08329138159750000,0.044623117893900000,0.115471474826,0.537353396416,0.86689299345,0.133107021451,0.988083481789,0.0119164930657,0.898922860622,82.5445556641,spotify:track:1S5pB52Rk2FooRWj9mdxpK,6,14,15,17,20,0
At Sacred Walls,Szun Waves,At Sacred Walls,0.962077438831,0.037922538816900000,0.0186646208167,0.13674429059,0.0404117889702,0.123870946467,0.301610529423,0.109296232462,0.253071844578,0.0163297299296,0.145556867123,0.237915679812,0.24489843845400000,0.083808042109,0.287820965052,0.583302140236,0.416697889566,0.992495298386,0.00750468438491,0.940086901188,83.6639938354,spotify:track:4vwDfYUjuYTD8YJnDnW8EI,6,14,15,17,20,0
Handa Wanda,Zachary Richard,Mardi Gras Mambo,0.345057725906,0.654942274094,0.0542260184884,0.0319280177355,0.133019372821,0.14307209849400000,0.290629953146,0.166237935424,0.165755838156,0.0151307582855,0.142253696918,0.151280790567,0.143762260675,0.06304747611280000,0.499655783176,0.986471533775,0.0135284923017,0.982338905334,0.0176610779017,0.8399879932400000,85.0650787354,spotify:track:0dNoJ6AKiPEnYmwsejZJFh,6,14,15,17,20,1
Vowbreaker,Arktika,At Zero,0.297843545675,0.702156424522,0.0366844199598,0.0103380801156,0.050490722060200000,0.05843743309380000,0.438995480537,0.107085414231,0.289691925049,0.008276521228250000,0.0786916986108,0.0549014285207,0.220216840506,0.0361737310886,0.610016286373,0.808441400528,0.19155856967,0.983373463154,0.0166265424341,0.740403532982,86.12886810300000,Not Found,6,14,15,17,20,1
Julius (Live),Phish,Vegas 96,0.785180032253,0.214819982648,0.0380031429231,0.0116126267239,0.00997965689749,0.0724587664008,0.423739790916,0.0698356404901,0.364826858044,0.00954353064299,0.0782058089972,0.0652070865035,0.216321021318,0.0413749106228,0.598891198635,0.823011159897,0.176988855004,0.987174153328,0.0128258569166,0.930073678493,86.9052200317,spotify:track:0c5zLASnvI7Ls31hIIlmJ3,6,14,15,17,20,0
Ra ma da sa,Snatam Kaur,Grace,0.0194968916476,0.980503082275,0.0209286622703,0.005566732957960000,0.00678711570799,0.114790678024,0.646459043026,0.163744583726,0.0347660854459,0.00695711560547,0.0749848112464,0.047191251069300000,0.258062154055,0.0354013293982,0.584360420704,0.962976396084,0.0370236299932,0.950387120247,0.0496128611267,0.564694106579,88.03503417970000,spotify:track:1nBBKzNDyHVEoeoKyALTMs,6,14,15,17,20,1
R.S.V.P.,Boney James And Rick Braun,Grazin In The Grass,0.661999821663,0.338000148535,0.00535482354462,0.020482679829,0.0256464760751,0.0197583194822,0.788396239281,0.0713662728667,0.0652579814196,0.00373723939992,0.11154358834,0.16988658905,0.130960434675,0.141649886966,0.445959478617,0.7907202243800000,0.209279760718,0.967141926289,0.0328580550849,0.824845910072,88.7103042603,Not Found,6,14,15,17,20,0
Balcony,Big Country,Against All Odds,0.706604897976,0.293395102024,0.037900183349800000,0.030746916309,0.154822796583,0.104859642684,0.34811174869500000,0.12674871087100000,0.181055471301,0.0157545376569,0.21344460547,0.259754151106,0.050820417702200000,0.159553557634,0.31642729044,0.950310885906,0.0496891066432,0.7102689147,0.289731055498,0.854034483433,89.00812530520000,spotify:track:4WuL8lNRALLca4NlAjIzIT,6,14,15,17,20,0
Pilze,Egotronic,...die richtige Einstellung,0.611339092255,0.388660937548,0.00969124026597,0.0901994630694,0.0407047942281,0.14203964173800000,0.46101474762,0.0537345558405,0.195140555501,0.00747499009594,0.078168220818,0.0451187603176,0.226520732045,0.0310356300324,0.619156658649,0.892068982124,0.107931025326,0.509354889393,0.490645080805,0.874598026276,89.6013565063,spotify:track:1CcDAIJp2olbqWbX5WC33a,6,14,15,17,20,0
Caramel,Charley Ann,To Your Bones,0.970132887363,0.0298671089113,0.0069078290835,0.0730611681938,0.0400010943413,0.0117765637115,0.7338518500330000,0.0968999266624,0.0347323566675,0.00276920176111,0.133824542165,0.19193290174,0.131200611591,0.205548033118,0.337493896484,0.531439125538,0.468560874462,0.801757335663,0.198242634535,0.934280335903,90.0235137939,Not Found,6,14,15,17,20,0
Skinny Dippin,Warren Hill,La Dolce Vita,0.987394869328,0.0126051558182,0.0037781058345,0.0104393484071,0.0305559951812,0.0544541440904,0.687199354172,0.17659640312200000,0.0339371860027,0.00303945853375,0.07880083471540000,0.30989331007,0.0670697763562,0.185970336199,0.358265757561,0.913391292095,0.086608722806,0.999988436699,1.1552725482E-05,0.932295739651,90.0423583984,spotify:track:50yr9Nbxn8J75hCAihCyJH,6,14,15,17,20,0
Side,Travis,The Invisible Band,0.997825801373,0.00217418419197,0.00109344348311,0.0269717685878,0.0107578467578,0.00463643763214,0.859968781471,0.027493186295,0.0684686526656,0.0006099077290860000,0.129259586334,0.154750019312,0.271891385317,0.104615472257,0.339483559132,0.991196990013,0.0088030109182,0.6468374729160000,0.35316249728200000,0.862679004669,90.908821106,spotify:track:2rMFawCg4BW65jzbwztXAV,6,14,15,17,20,0
Saltimbanco,Cirque du Soleil,Saltimbanco,0.467963784933,0.532036244869,0.00954029522836,0.037530686706300000,0.0674278587103,0.007167355157430000,0.645222485065,0.150040537119,0.0812672376633,0.00180353457108,0.05878910422330000,0.0908541306853,0.0503842122853,0.0802123099566,0.7197602391240000,0.645134985447,0.354865014553,0.995500504971,0.004499470815060000,0.8216602206230000,91.87264251710000,spotify:track:6PvizpiZXKzjMEhibMbf1V,6,14,15,17,20,1
Ich Lieb Dich Überhaupt Nicht Mehr,Udo Lindenberg,Panikpräsident,0.480700939894,0.519299030304,0.012683131732,0.0361040346324,0.06734350323680000,0.0233379658312,0.525978863239,0.192770689726,0.127143263817,0.0146385626867,0.100045830011,0.11467871815,0.24602638185,0.0807229503989,0.4585261344910000,0.932704508305,0.0672954693437,0.913407504559,0.0865925177932,0.952186346054,92.0239334106,spotify:track:1sC7EqMuMlWToTyInah5Ch,6,14,15,17,20,1
I Wanta Do Something Freaky to You,Leon Haywood,Starsky & Hutch,0.481864005327,0.5181359648700000,0.098523914814,0.0241780113429,0.0607591532171,0.102372221649,0.31515976786600000,0.15154594183,0.230309978127,0.0171510316432,0.122166760266,0.151717171073,0.217462912202,0.125519737601,0.383133411407,0.587143659592,0.412856370211,0.796973347664,0.203026637435,0.8940937519070000,92.89198303220000,spotify:track:4ijuSvn7dE8i9o8Ori6QmC,6,14,15,17,20,1
Hayloft,Nickel Creek,A Dotted Line,0.987051486969,0.0129484888166,0.00482732476667,0.0820626169443,0.11020321399,0.0394563637674,0.628143668175,0.0219624973834,0.110473565757,0.00287074153312,0.209764689207,0.17800672352300000,0.115231782198,0.227466791868,0.26952999830200000,0.738833963871,0.261166036129,0.719407379627,0.28059262037300000,0.872403264046,92.9122772217,spotify:track:6dacQ4sqYOVuQKTzSBK2de,6,14,15,17,20,0
