title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
All Night Long,Jason Mraz,Jason Mrazs Beautiful Mess - Live From Earth,0.918958246708,0.08104177564380000,0.00879979785532,0.0668885037303,0.158532619476,0.0444311238825,0.428920358419,0.211103096604,0.072496406734,0.00882808025926,0.0955901145935,0.169218808413,0.233189806342,0.119271531701,0.382729738951,0.8323828578,0.1676171422,0.155822053552,0.844177961349,0.926206946373,109.12892913800000,spotify:track:7zV6lcEbkYnRIlztJR14hK,6,14,15,18,19,0
I Wont Let You Down,Kate Ceberano,Anthology,0.929802715778,0.07019729912280000,0.000591109914239,0.0602288320661,0.0102199828252,0.00272615649737,0.869158267975,0.017869481816900000,0.0386968590319,0.0005092896171850000,0.108569189906,0.204918086529,0.121679030359,0.0972231477499,0.467610538006,0.943208158016,0.0567918196321,0.0122830150649,0.987716972828,0.958509743214,109.96308136,Not Found,6,14,15,18,19,0
Everyone,Backstreet Boys,Black & Blue,0.98215919733,0.017840795218900000,0.00355397281237,0.0241966433823,0.017180381342800000,0.0206602942199,0.7223697304730000,0.0462820231915,0.164561375976,0.00119558325969,0.147203564644,0.143810227513,0.164646670222,0.262835621834,0.281503945589,0.948059380054,0.0519406013191,0.24678047001400000,0.753219544888,0.781670212746,109.967056274,spotify:track:464iersUDsSz3mIToTEWvK,6,14,15,18,19,0
Lost Coastlines,Okkervil River,Paste Magazine Sampler #47: October 2008,0.939270913601,0.0607290863991,0.00408499548212,0.029579937458000000,0.0144655806944,0.019180521369,0.522458255291,0.206865370274,0.200189128518,0.00317621952854,0.125766947865,0.186144441366,0.212026491761,0.134249910712,0.341812193394,0.993291079998,0.00670893955976,0.120774246752,0.879225730896,0.927124083042,109.985275269,spotify:track:2016zoJ6TxYzqjwQNMh3kw,6,14,15,18,19,0
Side-Swiped (Extended Mix),Adult.,Resuscitation,0.999898135662,0.00010183780978,0.0032823993824400000,0.292264521122,0.0990479588509,0.0382895432413,0.320110529661,0.23750564456,0.00520370854065,0.00429569929838,0.0935929864645,0.067405089736,0.349468916655,0.0784359425306,0.411097049713,0.989030003548,0.010970021598,0.486994326115,0.513005673885,0.897122144699,109.98680877700000,spotify:track:4BteSu0QGA5OFDU6JtFRN8,6,14,15,18,19,0
Alarm,Clouseau,Doorgaan (tot je niet meer op je benen kan staan),0.99952852726,0.000471454579383,0.0077744424343100000,0.0978917405009,0.139581486583,0.017037814483,0.462450742722,0.11086255312,0.156745314598,0.007655895780770000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.532909095287,0.467090904713,0.00166082545184,0.998339176178,0.927282452583,110.004402161,Not Found,6,14,15,18,19,0
High School Confidential,Jerry Lee Lewis with The Nashville Teens,"Live at the Star Club, Hamburg",0.72590303421,0.274096995592,0.104821056128,0.0527677163482,0.0435441695154,0.177661091089,0.279868781567,0.0747553631663,0.230365768075,0.036216057837,0.0974568650126,0.195757523179,0.12236148119,0.14524038136,0.439183741808,0.9777302742,0.0222697313875,0.111005850136,0.888994157314,0.929224312305,110.00672912600000,spotify:track:05ElP663NPBYqVk2Z5gmt3,6,14,15,18,19,0
Because of You,Ne-Yo,Because of You,0.999999880791,1.00000008274E-07,0.0024305798579,0.113516055048,0.0168615393341,0.0160574298352,0.441363245249,0.401510119438,0.005323998630050000,0.00293703842908,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.971814930439,0.0281850993633,0.0541407689452,0.945859253407,0.962705612183,110.092445374,spotify:track:6CFPFnS9EcLs2I0nWqtWci,6,14,15,18,19,0
Between Two Islands,Pet Shop Boys,Beside,0.950859367847,0.049140628427300000,0.000845016737003,0.00334090855904,0.00267700781114,0.00150466582272,0.878947377205,0.0325100161135,0.08006327599290000,0.000111750101496,0.0976440683007,0.15256239473800000,0.142429962754,0.215390205383,0.391973376274,0.961954295635,0.0380457267165,0.0676438733935,0.932356119156,0.933668971062,110.22819519,spotify:track:3B5H9RDJoBrV9ijesNsfq0,6,14,15,18,19,0
My Telephone,Coldcut,Whats That Noise?,0.997453212738,0.00254680984654,0.00446309801191,0.220985561609,0.124305948615,0.0089353332296,0.431603968143,0.101257964969,0.105042897165,0.00340523500927,0.07861556112770000,0.0939704105258,0.249988630414,0.20117162168,0.376253783703,0.704676151276,0.295323878527,0.260562926531,0.739437103271,0.931290090084,110.23307800300000,spotify:track:1x8lM2F7AXzsNYnXDOzkC6,6,14,15,18,19,0
