title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
We Fall Down,Skye,Back to Now,0.436311751604,0.5636882781980000,0.000444577337475,0.0717534944415,0.00356370746158,0.00206433073618,0.860680520535,0.0545029453933,0.00581990042701,0.00117050972767,0.164943218231,0.159920886159,0.227125197649,0.08699215948580000,0.361018538475,0.928294837475,0.07170518487690000,0.196887284517,0.8031127452850000,0.928764641285,110.059165955,spotify:track:4NzHNYTd71Atx0hIAoZTZ1,6,14,15,18,19,1
Doin It,Liberty X,Glamour Rocks,1.00242063539E-08,1.0,0.00150559609756,0.383419036865,0.0329080559313,0.00244631711394,0.404999136925,0.165510550141,0.00779142417014,0.0014198879944200000,0.144103452563,0.165948241949,0.117632508278,0.171817913651,0.400497883558,0.6929190158840000,0.307081013918,0.0440942123532,0.955905795097,0.835228145123,110.694747925,spotify:track:32eAUsuG0laZY7OFA8m8JZ,6,14,15,18,19,1
BETTER DAYS (album version) -来るべき世界,Scudelia Electro,Scudelia Electro,0.494055271149,0.505944728851,0.00268951966427,0.131310328841,0.01863270998,0.00299514969811,0.5673258900640000,0.040174856782,0.235449805856,0.00142177147791,0.0960632488132,0.114834845066,0.154645755887,0.0710161477327,0.5634400248530000,0.7576889991760000,0.242310985923,0.006917950697240000,0.993082046509,0.917842686176,111.182006836,Not Found,6,14,15,18,19,1
Mírame a Los Ojos,Paulina Rubio,Paulina,3.00000096379E-14,1.0,0.0032791434787200000,0.0465804934502,0.0957731604576,0.011007588356700000,0.568091511726,0.250258862972,0.021293701604,0.00371552188881,0.108154945076,0.237312436104,0.119409196079,0.16754221916200000,0.367581218481,0.793037593365,0.206962421536,0.169845923781,0.830154061317,0.936905264854,112.03149414100000,spotify:track:3hRyOGyPVzvgKDj0IQCSgV,6,14,15,18,19,1
White Room,Cream,Those Were the Days,0.302224069834,0.6977759599690000,0.0229627434164,0.0238067787141,0.06141065433620000,0.16860088706,0.389427959919,0.17255102098000000,0.152350202203,0.008889752440150000,0.07323917001490000,0.0731845721602,0.183984532952,0.0528888255358,0.6167029142380000,0.901459217072,0.0985407978296,0.150649055839,0.84935092926,0.203737020493,112.05226135300000,spotify:track:3Xls4cNOwy01dtrNXb1inG,6,14,15,18,19,1
Holiday (live),Jimmy Buffett,Meet Me in Margaritaville (Disc 1),0.395323216915,0.604676783085,0.0733934044838,0.0218133684248,0.014493891038,0.0301030296832,0.419931679964,0.197689846158,0.224527314305,0.0180474538356,0.100722752512,0.121244393289,0.252178132534,0.176735371351,0.349119335413,0.861996471882,0.138003513217,0.124412357807,0.875587642193,0.8944103717800000,112.557106018,Not Found,6,14,15,18,19,1
Weil Du Wiederkommst,Judy Weiss,Weil Du Wiederkommst (single),0.00821276381612,0.99178725481,0.00559032894671,0.025050034746500000,0.00759684247896,0.017555778846100000,0.6758196949960000,0.0853264927864,0.179304420948,0.00375639507547,0.116539150476,0.213063016534,0.178862541914,0.13609157502700000,0.35544371604900000,0.913744032383,0.0862559825182,0.307508438826,0.6924915313720000,0.918578803539,113.075889587,Not Found,6,14,15,18,19,1
The Harder They Come,Joe Jackson,Steppin Out: The Very Best Of Joe Jackson (Disc1),3.00000096379E-14,1.0,0.0138340368867,0.0483301393688,0.061087731272,0.216803237796,0.299857079983,0.223959922791,0.124952025712,0.011175832711200000,0.130107283592,0.220046117902,0.236529648304,0.0925212800503,0.320795655251,0.999996900558,3.12210545417E-06,0.218763843179,0.781236171722,0.714698851109,113.58016967800000,spotify:track:6y2RAwldW4SnKlNkLXNlto,6,14,15,18,19,1
Welcome to the Fire,Generationals,Alix,3.00000096379E-14,1.0,0.005907434970140000,0.0901149362326,0.0369286462665,0.043997168541,0.459404826164,0.166168689728,0.186757788062,0.0107205072418,0.0996298789978,0.0712243765593,0.253595679998,0.0401444584131,0.535405635834,0.946746230125,0.053253762424,0.447992533445,0.552007436752,0.949285805225,113.959907532,spotify:track:2PuMLVg8Fts2XlcgLuM9Nt,6,14,15,18,19,1
liebe war es nicht,Yvonne Catterfeld,Farben Meiner Welt,0.00601552426815,0.993984460831,0.0011199262226,0.128760397434,0.00388280162588,0.00205444730818,0.7042856216430000,0.105072453618,0.053771153092400000,0.00105317740235,0.158443570137,0.265765011311,0.11614947021,0.147068753839,0.312573194504,0.7550104260440000,0.244989559054,0.101299516857,0.8987004756930000,0.956913173199,114.38298034700000,Not Found,6,14,15,18,19,1
Love Leads the Way,Khymera,Khymera,0.271361708641,0.728638291359,0.00124098022934,0.0144627746195,0.00848001986742,0.0031753210350900000,0.550296247005,0.0375883691013,0.383731365204,0.0010249359766,0.224205806851,0.142714247108,0.106253780425,0.104126043618,0.4227001369,0.793563306332,0.20643670857,0.0214424114674,0.97855758667,0.927292585373,114.568435669,spotify:track:1yT3uPBDphl6PPSgT3iO50,6,14,15,18,19,1
Broken Promises,Survivor,Vital Signs,3.00000096379E-14,1.0,0.00415511336178,0.014190133661,0.006083971355110000,0.0229047909379,0.711660921574,0.0367148555815,0.202946335077,0.00134386995342,0.113176248968,0.0669307857752,0.27919486165,0.0458656549454,0.494832456112,0.671714544296,0.328285455704,0.253658086061,0.746341884136,0.879732429981,114.79496765100000,spotify:track:4lcWEQSXrgup2R6URNOYZ4,6,14,15,18,19,1
Leftovers,Johnny Flynn,A Larum,0.157269984484,0.842729985714,0.0256696175784,0.00832997635007,0.00765019655228,0.0195945482701,0.420182108879,0.151923030615,0.36044177413,0.0062087439000600000,0.174997210503,0.179725572467,0.219853818417,0.139443844557,0.285979539156,0.5482827425,0.4517172575,0.232737615705,0.767262399197,0.940489888191,115.79745483400000,spotify:track:4NT8oXrmu1A52IvOuozhoR,6,14,15,18,19,1
Non cè,Laura Pausini,The Best of Laura Pausini: E ritorno da te,3.00000096379E-14,1.0,0.00262966868468,0.016936004161800000,0.0273894388229,0.0198209229857,0.6720586419110000,0.234005659819,0.0255630929023,0.00159658293705,0.0912065133452,0.281777173281,0.1221870929,0.123925328255,0.38090389967,0.839728415012,0.16027161479000000,0.331784874201,0.668215095997,0.758489072323,115.810882568,spotify:track:2I0mW1Ldu2FQ8qmhxqQjeA,6,14,15,18,19,1
Sexmachine,Happy Elf,Sexmachine,3.00000096379E-14,1.0,0.00018360777176,0.195272311568,0.017525386065200000,0.000658248027321,0.753285586834,0.00517035741359,0.0277250241488,0.00017949634639100000,0.0958415046334,0.07685615867380000,0.315960377455,0.0413513146341,0.469990640879,0.7234100699420000,0.27658993005800000,0.0193021334708,0.980697870255,0.943295538425,116.219314575,spotify:track:5W6fLj84SukR9TJa6ESEih,6,14,15,18,19,1
Sentimentale Mon Cul !,Renaud,Rouge Sang,3.00000096379E-14,1.0,0.00318678445183,0.0245004408062,0.0123593155295,0.00948480796069,0.5326279401780000,0.089600302279,0.32388111949000000,0.00435928860679,0.110159538686,0.210339561105,0.160720318556,0.183369323611,0.335411250591,0.945933580399,0.0540664196014,0.27223265171100000,0.7277673482890000,0.930553436279,116.332923889,spotify:track:4yQ2yt1H0QSQK977O462Su,6,14,15,18,19,1
