title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Medley: 12 Ender Hirsch / I sing a Liad für di / Es wird alles wieder gut,Andreas Gabalier (MTV) 20,MTV Unplugged (Disc 2),0.835401892662,0.164598122239,0.0101021677256,0.029355242848400000,0.026415206491900000,0.0223805271089,0.508476018906,0.155371904373,0.243458852172,0.00444009667262,0.0967022627592,0.141758814454,0.183574751019,0.107417009771,0.470547169447,0.5431984066960000,0.456801563501,0.0980882644653,0.901911735535,0.8647265434270000,76.9637451172,Not Found,6,14,15,18,20,0
Daisy,Halfway to Hazard,Halfway to Hazard,0.421358644962,0.578641355038,0.08301180601120000,0.0269247069955,0.0315397381783,0.0930040478706,0.386572778225,0.198191806674,0.163920015097,0.0168350990862,0.0681657493114,0.0739960744977,0.146096542478,0.08332903683190000,0.628412604332,0.999993085861,6.92218145559E-06,0.21010056138,0.7898994088170000,0.814159750938,79.8557662964,spotify:track:6YmO4aElYRmtA7q5NpYVX6,6,14,15,18,20,1
Border,Years & Years,Communion,0.999758064747,0.000241944682784,0.00136646989267,0.011191687546700000,0.154721185565,0.00632860744372,0.631772696972,0.17122079432,0.0223787166178,0.00101983291097,0.133817464113,0.288846194744,0.122730903327,0.163516938686,0.291088491678,0.6866405606270000,0.313359439373,0.399574249983,0.600425779819,0.938711285591,80.0122909546,spotify:track:0hnKWlrzEFKGniSSOnvO6k,6,14,15,18,20,0
no es lo mismo,Alejandro Sanz,El Tren de los MomentosEn Vivo Desde Buenos Aires,0.907943367958,0.0920566543937,0.0213836859912,0.0101004876196,0.016887169331300000,0.046235073357800000,0.5001192688940000,0.254607021809,0.145357102156,0.005310218781230000,0.0526154860854,0.07383751869200000,0.277081251144,0.126884311438,0.46958142519,0.764232516289,0.23576746881,0.228788495064,0.771211504936,0.822994828224,80.3020248413,spotify:track:6yV2W1h4PZla1PE5s1zjVM,6,14,15,18,20,0
Tree,Sebadoh,The Sebadoh,0.127370670438,0.872629344463,0.025416070595400000,0.044988129288,0.0419430136681,0.0591749995947,0.371629744768,0.106737114489,0.33522602915800000,0.0148849161342,0.213599026203,0.196067810059,0.14571981132,0.0802446305752,0.364368706942,0.965787112713,0.0342128910124,0.00295966980048,0.997040331364,0.922451257706,81.9172821045,spotify:track:0d7KHq1JIcbvzylyOA2AUc,6,14,15,18,20,1
Intense,Skyline,Escapism,0.999828398228,0.000171579158632,0.00341232749633,0.274099886417,0.0610297694802,0.0159558653831,0.539022386074,0.054543126374500000,0.0491137094796,0.00282293441705,0.169854596257,0.22961792349800000,0.08420415967700000,0.148954063654,0.367369264364,0.860641241074,0.139358773828,0.07825810462240000,0.921741902828,0.908017396927,82.5771713257,spotify:track:0Zu9jTZalqGc9tG4MXJ8CR,6,14,15,18,20,0
The Saints,Josh Wilson,Trying To Fit The Ocean In A Cup,0.984109401703,0.0158906280994,0.000989908352494,0.0719394758344,0.00771465525031,0.00244079250842,0.681516349316,0.0513026602566,0.18280826509,0.00128788338043,0.134574562311,0.159010440111,0.262692481279,0.136518925428,0.30720359087,0.7029561400410000,0.297043859959,0.0420500636101,0.95794993639,0.945850074291,82.9615249634,spotify:track:0O95kuTvM9ybXT54Adsmlq,6,14,15,18,20,0
will ~Chizu ni Nai Basho~ (Album Mix),Janne Da Arc,Z-Hard,0.485733181238,0.51426678896,0.0245509520173,0.0088899191469,0.026229511946400000,0.00783809740096,0.5933598279950000,0.035631660372,0.301160126925,0.00233992887661,0.108749017119,0.17834943532900000,0.0686371102929,0.138019233942,0.506245195866,0.978169977665,0.0218300167471,0.06127755343910000,0.93872243166,0.8921885490420000,82.9935302734,Not Found,6,14,15,18,20,1
Tempus Fugit (tracking session),Yes,Drama,0.474064201117,0.525935769081,0.0391545593739,0.0329739637673,0.124090649188,0.0801512897015,0.315267622471,0.315206855536,0.089339107275,0.00381594453938,0.125113859773,0.166429162025,0.127743735909,0.188004165888,0.392709076405,0.8467481732370000,0.153251856565,0.225886121392,0.774113893509,0.751839578152,84.3802642822,spotify:track:1BFrzEuIUEHmWTGF4JOJPZ,6,14,15,18,20,1
For a Reason,Javier Colon,Gravity,0.993219137192,0.00678088190034,0.00221301033162,0.0921257063746,0.019512468949,0.004820910282430000,0.430607110262,0.363296985626,0.08526391536,0.0021598814055300000,0.163695454597,0.250928550959,0.126858487725,0.181482732296,0.277034789324,0.873344421387,0.126655563712,0.202948153019,0.797051846981,0.9006903171540000,84.9743270874,spotify:track:2shCs4T7l4uONMcJjMM0p0,6,14,15,18,20,0
