title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Sandunga,Arturo Sandoval,Hot House,0.999136686325,0.0008632887038400000,0.016465891152600000,0.0961745679379,0.227131202817,0.242692127824,0.243101209402,0.082873634994,0.0802687555552,0.0112926112488,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.328961580992,0.6710384488110000,0.934333980083,0.0656660273671,0.793341159821,109.12789917,spotify:track:3rUt9TSk0G5oQZllecbVtX,6,14,16,17,19,0
"Cold, Wet & Rainy Night / The Grand Hornpipe",Eliza Carthy,Wayward Daughter,0.999618411064,0.000381572754122,0.0909461826086,0.0368644595146,0.0310925263911,0.103484295309,0.34410110116,0.14368622005,0.196982458234,0.0528427734971,0.0726466029882,0.0471070893109,0.226880609989,0.033420715481,0.619944989681,0.07074876874690000,0.929251253605,0.636487543583,0.363512486219,0.779993951321,109.512138367,spotify:track:5pN9PzCkzJ5bReGNFHLK8F,6,14,16,17,19,0
Set Me Free,Hurtsmile,Hurtsmile,0.989788293839,0.0102117052302,0.00245194975287,0.0165087133646,0.013970853760800000,0.0159451011568,0.519687414169,0.185903295875,0.243802562356,0.00173008453567,0.145644962788,0.17902755737300000,0.102020092309,0.194854095578,0.378453284502,0.449682861567,0.550317168236,0.930742919445,0.0692571103573,0.938866913319,109.69415283200000,spotify:track:5WxN2yKWRmiaNThdMmuSxr,6,14,16,17,19,0
Ich sah einmal einen Teufel,Mantus,Die Hochzeit von Himmel und Hölle,0.807710945606,0.192289069295,0.008934549055990000,0.0634850785136,0.024281525984400000,0.0132905067876,0.5214281082150000,0.30488461256,0.0545881055295,0.00910749938339,0.07759191840890000,0.0718444436789,0.191810175776,0.0665631592274,0.592190265656,0.021398903802,0.978601098061,0.972076892853,0.0279230996966,0.5243546366690000,109.809616089,spotify:track:3jDLxVa0J9pNswvCsXhbCd,6,14,16,17,19,0
MILK,f(x),Red Light,0.994361877441,0.00563815189525,0.00294761918485,0.029150761663900000,0.0433113723993,0.007605658844110000,0.754546165466,0.108654208481,0.0500908829272,0.00369332800619,0.0994173809886,0.123831935227,0.17457203567,0.14839267730700000,0.453785955906,0.0555894225836,0.944410562515,0.641521751881,0.358478277922,0.939672291279,109.862915039,spotify:track:4wNbNcdMrxDcaAaNX6m2X4,6,14,16,17,19,0
Made in China,Pedro Bromfman,Robocop,0.5080245733260000,0.491975426674,0.026384787634,0.107331432402,0.239592328668,0.0265545081347,0.407901704311,0.08744652569290000,0.0938731506467,0.0109155569226,0.229155272245,0.188303872943,0.0447835624218,0.182547315955,0.355209976435,0.00476485630497,0.995235145092,0.6747928857800000,0.32520711422,0.218911170959,109.935890198,spotify:track:31FgMqWOU7jIu57zYacyvz,6,14,16,17,19,0
Perpetual Village,Liars,Mess,0.984677553177,0.0153224207461,0.01061147172,0.201677754521,0.142409801483,0.0321589410305,0.35203155875200000,0.138802751899,0.103774085641,0.0185336377472,0.0748213231564,0.064121209085,0.270857572556,0.0460155792534,0.544184327126,0.0125781781971,0.987421810627,0.850585818291,0.14941419661,0.946352243423,109.959625244,spotify:track:6aWb4a9yDONPlXEIrmD0dC,6,14,16,17,19,0
Flicker,Claire Voyant,Lustre,0.985888719559,0.0141112720594,0.00244018691592,0.102933049202,0.00333379558288,0.00557238655165,0.7022750377660000,0.0239752158523,0.158358082175,0.00111225154251,0.08414205163720000,0.0989050269127,0.178386732936,0.0909385755658,0.54762762785,0.0386644303799,0.961335539818,0.973563790321,0.0264362115413,0.912226140499,109.96169281,spotify:track:3adbe50ASMdKtZvsb00XmK,6,14,16,17,19,0
Numb,Holly McNarland,Live Stuff,0.95377856493,0.0462214238942,0.00355442822911,0.0482420474291,0.0643599033356,0.0412549600005,0.442296475172,0.0581056773663,0.34027853608100000,0.00190795760136,0.134473234415,0.08398903161290000,0.26387116313000000,0.138598620892,0.379067957401,0.0757458731532,0.924254119396,0.534479916096,0.465520054102,0.876010596752,109.96355438200000,spotify:track:7eH1GkchdFvNN4ZUx767G3,6,14,16,17,19,0
Preambles in 3rd Person,Fair to Midland,Inter.Funda.Stifle,0.998674690723,0.00132528378163,0.014475270174400000,0.171782761812,0.0559491179883,0.0157500468194,0.337692201138,0.218014717102,0.17904214561,0.00729373795912,0.137865051627,0.0750684738159,0.227811813354,0.059767886996300000,0.499486774206,0.0134954787791,0.986504495144,0.983170628548,0.0168293435127,0.636346876621,110.05472564700000,Not Found,6,14,16,17,19,0
Living in Another World,Talk Talk,Natural History: The Very Best of Talk Talk,0.916930675507,0.0830693468451,0.00516493432224,0.036847457289700000,0.0132937207818,0.0224813427776,0.70131534338,0.0346556194127,0.184904977679,0.0013366064522400000,0.07873295992610000,0.0609834194183,0.264156609774,0.0860304385424,0.510096549988,0.374367743731,0.6256322860720000,0.807071566582,0.192928433418,0.864214897156,110.387710571,spotify:track:03d3DCqwvt65Orfdomjs6e,6,14,16,17,19,0
Morpheus,In Strict Confidence,"Abby: The Compilation, Part 4.1",0.820079743862,0.179920226336,0.0157600101084,0.194294035435,0.0590496100485,0.048735909164,0.350619584322,0.140339836478,0.185214549303,0.00598646793514,0.121589504182,0.0969390645623,0.206924468279,0.141085833311,0.433461129665,0.0941388756037,0.905861139297,0.941253066063,0.0587469451129,0.8217003345490000,110.81691741900000,spotify:track:075Nq1P9w5KYx2fgN3LUMa,6,14,16,17,19,0
Die Schwäne im Moor,Nocte Obducta,Stille: Das nagende Schweigen,0.999999880791,1.00000008274E-07,0.027695011347500000,0.124321587384,0.12130574137,0.07120077311990000,0.299757927656,0.0583621151745,0.280911684036,0.0164451524615,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00644698087126,0.993553042412,0.842150330544,0.157849669456,0.848449349403,111.06400299100000,spotify:track:3BpED9dhL353nZyQRr9GAd,6,14,16,17,19,0
Abode of the Dead,Asmorod,Hysope,0.836023628712,0.16397638618900000,0.12743063271,0.039791397750400000,0.0974310189486,0.13558524847,0.244269385934,0.133963361382,0.180098205805,0.0414307489991,0.0953135713935,0.101377792656,0.2420578897,0.0961530059576,0.465097755194,0.00461777159944,0.995382249355,0.711687624454,0.288312375546,0.52475041151,111.174209595,Not Found,6,14,16,17,19,0
