title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Atonement,Lucinda Williams,Live @ The Fillmore (disc 1),0.869444489479,0.130555525422,0.00294989673421,0.0397649072111,0.07790285348890000,0.0454322658479,0.409737378359,0.38163921237,0.0392073951662,0.0033660971093900000,0.149150058627,0.116984367371,0.146047770977,0.104752957821,0.483064830303,0.08443704992530000,0.915562927723,0.8493341803550000,0.150665819645,0.832783460617,67.60594940190000,spotify:track:1LpfK4Ya8yqsy3CuRspGqy,6,14,16,17,20,0
Take A Bow,Leona Lewis,Spirit,0.998576700687,0.0014232893008700000,0.00149414630141,0.0139494482428,0.0175740811974,0.0376726947725,0.8105198144910000,0.111040398479,0.00617263792083,0.0015768067678400000,0.131218254566,0.143728718162,0.26380270719500000,0.114048548043,0.347201794386,0.165892422199,0.834107577801,0.759260296822,0.240739703178,0.8407166004180000,73.8658218384,spotify:track:09CIJTmSoWTrrpIh2EUatf,6,14,16,17,20,0
Door,EGOIST,リローデッド,0.616779446602,0.383220523596,0.00975333992392,0.004816988483070000,0.0034544372465500000,0.0549811311066,0.8187546134,0.088178627193,0.00853019114584,0.0115306554362,0.0698437541723,0.0981113687158,0.16492959857,0.08674244582650000,0.580372810364,0.0051830820739300000,0.9948168993,0.6319534778590000,0.368046522141,0.793229162693,74.1389541626,spotify:track:4Cv5PfRm2Qefuaxapdk9XQ,6,14,16,17,20,0
Deads Hope,Bruno Sanfilippo,The Poet,0.922443091869,0.07755693048240000,0.0308527145535,0.042683288455,0.16839979589,0.0400709547102,0.316517531872,0.206531122327,0.178688853979,0.0162557139993,0.117185562849,0.0598437301815,0.289396256208,0.164165899158,0.369408547878,0.00682791694999,0.993172109127,0.968393564224,0.0316064655781,0.8357393145560000,79.26171875,spotify:track:0Kyf4bMVHDFTUWNTYuEtlQ,6,14,16,17,20,0
Im So Small,Fleming & John,The Way We Are,0.917433619499,0.08256638050080000,0.0573246441782,0.0165193751454,0.277831971645,0.0320631228387,0.34331715107,0.125897452235,0.142913222313,0.00413307594135,0.163524091244,0.188083425164,0.0898030251265,0.136512890458,0.422076582909,0.246926337481,0.7530736923220000,0.6479319930080000,0.352068006992,0.380132704973,79.77937316890000,spotify:track:2J1XaTR86Wp4s8CfvdhiCX,6,14,16,17,20,0
An naer o nijal,Wig A Wag,An naer o nijal,0.7702994346620000,0.22970059514,0.0514448061585,0.0274128634483,0.0168379656971,0.15560029447100000,0.319560140371,0.111889459193,0.294241279364,0.0230131931603,0.141429305077,0.159991145134,0.158414199948,0.237313210964,0.302852153778,0.413790911436,0.586209058762,0.999998867512,1.13028204396E-06,0.936182320118,79.9685287476,spotify:track:3rJmGX5t8qbQI35l7qTsBC,6,14,16,17,20,0
Run From You,Alvarez Kings,Fear to Feel,0.932715296745,0.06728468090300000,0.0110934209079,0.121440142393,0.173175513744,0.00904424861073,0.341279029846,0.0768826082349,0.26187691092500000,0.005208153743300000,0.154282271862,0.1310916394,0.0506209395826,0.191223710775,0.472781449556,0.0227266550064,0.977273344994,0.618141531944,0.381858497858,0.836449205875,79.9935836792,spotify:track:7jY5tPwbAPxgLKBQff1MnG,6,14,16,17,20,0
Leaving,Fight or Flight,A Life By Design? (Deluxe Version),0.567900240421,0.432099759579,0.048730943352,0.0316533260047,0.112677440047,0.185621544719,0.295249730349,0.172961071134,0.139480561018,0.0136253908277,0.25445041060400000,0.207775607705,0.08714549988510000,0.158976331353,0.291652172804,0.268848836422,0.731151163578,0.936429977417,0.0635699927807,0.489428579807,80.0391921997,spotify:track:121oeMXoYl1zJjo0PGeALU,6,14,16,17,20,0
dance of the selenites,Tristitia,One Week Darkness,0.5753698349,0.4246301651,0.0348674468696,0.0176743753254,0.107536911964,0.0685274004936,0.504415869713,0.0624505952001,0.198587730527,0.00593967083842,0.106081314385,0.08805639296770000,0.0821260288358,0.0643447339535,0.659391522408,0.284010946751,0.715989053249,0.962313234806,0.0376867875457,0.587959349155,80.5270767212,spotify:track:07g9zMvxlVoKRpOX7jldaL,6,14,16,17,20,0
Affliction,Vociferian,Preludium to Massacre,0.99903768301,0.000962311518379,0.00690908683464,0.0288702640682,0.00439406745136,0.0479221753776,0.576046526432,0.023344911634900000,0.310600936413,0.0019120351644200000,0.0738249346614,0.0967198163271,0.110361114144,0.0568987764418,0.662195384502,0.207361117005,0.792638897896,0.859656512737,0.140343517065,0.948808670044,80.6015701294,Not Found,6,14,16,17,20,0
