title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Exposition,Eldar,Virtue,0.0928420200944,0.907157957554,0.0131871839985,0.0346340872347,0.07147727906700000,0.165985688567,0.409237802029,0.172559797764,0.106720402837,0.0261977575719,0.130338579416,0.207794889808,0.18120637536,0.12915161252,0.351508527994,0.0302647780627,0.969735205173,0.992717325687,0.00728269154206,0.945233106613,63.1108169556,spotify:track:4loVCRYfGjRYlP1LJ0d9Eq,6,14,16,17,20,1
Ironfoot (extended version),Howard Shore,The Hobbit: The Battle of the Five Armies,0.151373684406,0.848626315594,0.0613660179079,0.0098951170221,0.0228501688689,0.0865475907922,0.439971357584,0.282790154219,0.0576808191836,0.0388987697661,0.0990725904703,0.0945695713162,0.19406837225,0.07994929701090000,0.532340168953,0.00126142113004,0.998738586903,0.996122181416,0.0038777901791,0.6853308081630000,69.0403671265,spotify:track:4esx25twivOQi6MYGnV60E,6,14,16,17,20,1
En este cementerio,Guadalupe Plata,Guadalupe Plata,3.00000096379E-14,1.0,0.006044476758690000,0.109192721546,0.045602068305,0.0180553533137,0.383140981197,0.0709410905838,0.352971225977,0.0140520762652,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0115716224536,0.988428354263,0.99359279871,0.0064071812667,0.927976310253,70.5680847168,Not Found,6,14,16,17,20,1
Oi!,Platinum 45 feat. More Fire Crew,Now Thats What I Call Music! 51,3.00000096379E-14,1.0,0.00983236543834,0.140169456601,0.275342971087,0.0147417262197,0.323818385601,0.0551563166082,0.164927020669,0.0160117652267,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0686972364783,0.931302785873,0.999994218349,5.76284219278E-06,0.968581020832,70.65167999270000,Not Found,6,14,16,17,20,1
Miscount Detected,Kelly Bailey,Half-Life 2,0.004357464145870000,0.995642542839,0.179067462683,0.0134437186643,0.0292171761394,0.14584626257400000,0.313253760338,0.152764454484,0.143810465932,0.0225966908038,0.159625798464,0.110862269998,0.146282672882,0.072904445231,0.510324776173,0.00520094484091,0.994799077511,0.85116237402,0.148837596178,0.878385961056,71.2765884399,spotify:track:7etfwGasfb5HD3gYfQ34UU,6,14,16,17,20,1
Empty Faith,Solitude Aeturnus,Adagio,3.00000096379E-14,1.0,0.013809367083,0.179240688682,0.0481857955456,0.0359725952148,0.318349927664,0.0781519263983,0.308803021908,0.0174866914749,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0021891258657,0.997810900211,1.0,8.99718610725E-09,0.808288574219,77.41384887700000,spotify:track:4cJF0H5gPVUfFkbT6g1DXp,6,14,16,17,20,1
Remembered Forever,Tiger Army,II: Power of Moonlite,3.00000096379E-14,1.0,0.106149882078,0.0475097447634,0.206781342626,0.07294686883690000,0.248026713729,0.059342853725,0.21003267169,0.0492099225521,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.00037390270154,0.999626100063,0.967954814434,0.0320451781154,0.884316861629,79.1154708862,spotify:track:5JcaY5lS55EV0mmVgnSMzh,6,14,16,17,20,1
Klezmatic Fantasy: Terkish-Bulgarish,The Klezmatics,Rhythm + Jews,3.00000096379E-14,1.0,0.021265136078,0.00803924910724,0.0216096770018,0.00938942469656,0.562752664089,0.243486613035,0.131319999695,0.00213725562207,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.346882849932,0.6531171798710000,0.956296503544,0.0437034927309,0.906225383282,79.7691955566,Not Found,6,14,16,17,20,1
One Plus One,Astronaut Ape,The Mirror,0.06567621976140000,0.934323787689,0.019014440476900000,0.0118852537125,0.0302145853639,0.08609865605830000,0.586548745632,0.215799465775,0.0413355827332,0.00910328701138,0.0758710354567,0.066098831594,0.295688480139,0.0547613799572,0.507580280304,0.0368962325156,0.96310377121,0.999999046326,9.66438278738E-07,0.8400385379790000,79.92393493650000,spotify:track:5lu5sRB7R0PhKKZt97GpUW,6,14,16,17,20,1
恋のミルキーウェイ (カラオケ),UNDER17,UNDER17 meets Witch Vol.2,3.00000096379E-14,1.0,0.0012030628277,0.0894115939736,0.0203072838485,0.00209539709613,0.468697279692,0.00479196198285,0.412565231323,0.000928166729864,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.000505840580445,0.99949413538,0.987988471985,0.0120115084574,0.958065152168,79.9289855957,Not Found,6,14,16,17,20,1
