title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Fields of Joy (Reprise),Lenny Kravitz,Mama Said,0.975621581078,0.0243784021586,0.0118534229696,0.0301710739732,0.195067927241,0.0187895502895,0.356572389603,0.14603430032700000,0.235763251781,0.005748089402910000,0.173419892788,0.15591335296600000,0.07344860583540000,0.175207570195,0.422010570765,0.178349673748,0.8216503262520000,0.0005161601002330000,0.999483823776,0.771323680878,109.187133789,spotify:track:1zUvueOIVeLNLkPHjhHmCz,6,14,16,18,19,0
What Sound,Lamb,Live at Koko,0.776483356953,0.223516643047,0.040258269757,0.0315197296441,0.0272224321961,0.0618776679039,0.56470054388,0.176046520472,0.0940085873008,0.00436627399176,0.111976549029,0.201916024089,0.17547865212000000,0.153628408909,0.357000350952,0.0130453072488,0.986954689026,0.06350528448820000,0.936494708061,0.576690614223,109.45001220700000,spotify:track:2U1AxOxBIWBWdY82wQ03s0,6,14,16,18,19,0
Butterfly,Jason Mraz,Jason Mrazs Beautiful Mess - Live From Earth,0.978599727154,0.0214002504945,0.00343296839856,0.0397259220481,0.074342943728,0.016520712524700000,0.400720834732,0.313553333282,0.149184316397,0.00251898169518,0.0885184854269,0.113453969359,0.130303680897,0.0612936839461,0.60643017292,0.196136400104,0.8038635849950000,0.0230413209647,0.976958692074,0.8380222916600000,109.46341705300000,spotify:track:7rrmHHc1kY9vkIZnXrcH7T,6,14,16,18,19,0
Von der Armut (Stigma Edit),Das Ich,Relikt (disc 1),0.910165786743,0.0898342356086,0.0044797710143,0.166049018502,0.0212882664055,0.0178775936365,0.427638024092,0.019617035985,0.33964121341700000,0.0034090874251,0.121907569468,0.0967204272747,0.07453157007690000,0.0938959717751,0.612944483757,0.00338970660232,0.996610283852,0.13948251307,0.860517501831,0.959745705128,109.562995911,spotify:track:09f24cmOwcidW7u3P0gSbU,6,14,16,18,19,0
Talking Bout My Baby (Midfield Generals disco Reshuffle),Fatboy Slim,The Greatest Hits Remixed,0.78356385231,0.216436132789,0.0285723153502,0.208128735423,0.0736140161753,0.0334871336818,0.293791949749,0.0674825012684,0.281112402678,0.0138109494001,0.0754656121135,0.0702144354582,0.234124481678,0.0819543153048,0.538241147995,0.129308015108,0.8706919550900000,0.09677239507440000,0.903227627277,0.803362607956,109.76943969700000,spotify:track:79MyvZGqdooumYa7lBqeJj,6,14,16,18,19,0
Cyberwars,Yendri,Breakdown of Reality,0.999999880791,1.00000008274E-07,0.000241420028033,0.276473224163,0.007445248775180000,0.00031288171885500000,0.611108720303,0.00208758958615,0.102078318596,0.000252621102845,0.0997935757041,0.0712311342359,0.240881711245,0.0416080988944,0.546485483646,0.0331421121955,0.966857910156,0.403281122446,0.596718847752,0.971562922001,109.887557983,Not Found,6,14,16,18,19,0
Wallflower (feat. Tecca Nina),Krizz Kaliko,Go,0.968801736832,0.0311982445419,0.0171122644097,0.0682014673948,0.182887673378,0.037656147033,0.3927836120130000,0.203513145447,0.0731255039573,0.0247201919556,0.0718902051449,0.123930767179,0.228117123246,0.227596208453,0.34846571087800000,0.09000379592180000,0.909996211529,0.266179174185,0.733820855618,0.876800775528,109.934989929,Not Found,6,14,16,18,19,0
Stone of Destiny,Steve McDonald,Stone of Destiny,0.7980584502220000,0.201941564679,0.014082275331000000,0.0445813164115,0.273520082235,0.065016426146,0.34555137157400000,0.197092741728,0.0497781187296,0.0103776538745,0.10032697022,0.150226831436,0.125939235091,0.174243479967,0.449263453484,0.36669164896,0.6333083510400000,0.101044096053,0.898955881596,0.833877623081,109.94527435300000,spotify:track:19v1rIejBDx0vE5aFrMPwS,6,14,16,18,19,0
Rapture,Blondie,No Exit,0.973844051361,0.026155967265400000,0.00862913951278,0.139342114329,0.0442086569965,0.011888933368,0.45710682869,0.10276350379,0.229295372963,0.006765432190150000,0.074049115181,0.07941727340220000,0.148106411099,0.0532960481942,0.64513117075,0.249886512756,0.750113487244,0.455600172281,0.544399797916,0.93746638298,109.95890045200000,spotify:track:6F2vo4sxRNQ58VYe3pdiaL,6,14,16,18,19,0
The Mission,van Canto,A Storm to Come,0.932533740997,0.0674662366509,0.0118535142392,0.0137326046824,0.010912226513,0.0919403731823,0.6985450387000000,0.08693879842760000,0.078564979136,0.00751246046275,0.100273504853,0.155081227422,0.183088183403,0.179888784885,0.381668299437,0.010760770179300000,0.989239215851,0.0024113538675,0.997588634491,0.783849418163,110.01439666700000,spotify:track:08KSuSjiUALLYgpd2drWnd,6,14,16,18,19,0
