title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Never Let Go,David Crowder Band,Remedy,0.482028186321,0.517971813679,0.005924664903430000,0.0198607333004,0.050884783268,0.00684155803174,0.765207588673,0.125885903835,0.0156227685511,0.00977202877402,0.0708959326148,0.115681983531,0.314476639032,0.07927992194890000,0.419665545225,0.0300283785909,0.969971597195,0.0308786407113,0.969121336937,0.565319538116,109.92954254200000,spotify:track:4yFWOQU6Gmvsq53B3OpNaR,6,14,16,18,19,1
The Edge Part 3,Eternity X,The Edge,0.5,0.5,0.0181762557477,0.0654692798853,0.0826429799199,0.0309360660613,0.491210609674,0.114816613495,0.184337243438,0.012410971336100000,0.11328112334,0.130680054426,0.103315189481,0.0768672823906,0.5758563280110000,0.139580994844,0.860418975353,0.134577572346,0.8654224276540000,0.9000768661500000,110.090843201,spotify:track:6wct24MJxPKKbPFElIxMdr,6,14,16,18,19,1
A.D.I.D.A.S. (radio mix),Korn,Issues (bonus disc: All Mixed Up),3.00000096379E-14,1.0,0.00465353997424,0.220116719604,0.10924025625,0.007525538560000000,0.461815059185,0.015574241057,0.17328691482500000,0.00778773520142,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0100256772712,0.989974319935,0.481240093708,0.518759906292,0.907244265079,110.777053833,spotify:track:5UDeJfS93n4r4UzqzCOYG2,6,14,16,18,19,1
Нет меня в зеркалах,Легендарные пластилиновые ноги,Космонавтам,0.278786331415,0.7212136387830000,0.0168618429452,0.0458476915956,0.010103331878800000,0.0377961173654,0.449418455362,0.205909118056,0.18999864161,0.0440647900105,0.0933931544423,0.116747304797,0.308370471001,0.0982820391655,0.3832070529460000,0.00417145388201,0.995828568935,0.476386994123,0.523612976074,0.913672983646,111.986167908,spotify:track:2DFiXmNKL8cNqUGFEFR9oZ,6,14,16,18,19,1
Biggles,Crookram,19/76,0.352342575788,0.647657454014,0.0453500151634,0.113654345274,0.0492558069527,0.05721554905180000,0.343204140663,0.0871348306537,0.287993341684,0.0161919742823,0.112888768315,0.125446900725,0.279021680355,0.190565600991,0.292077034712,0.105605117977,0.894394874573,0.4734634161,0.5265365839,0.938940763474,113.778457642,Not Found,6,14,16,18,19,1
Nyembezi (Tears),Johnny Clegg,Human,3.00000096379E-14,1.0,0.005012895446270000,0.037903804332,0.00966738443822,0.0113234166056,0.746870875359,0.07756670564410000,0.110674537718,0.00098038779106,0.104777231812,0.232300549746,0.0693922191858,0.144009426236,0.449520587921,0.237588435411,0.7624115943910000,0.232501968741,0.767498016357,0.740433454514,113.89400482200000,Not Found,6,14,16,18,19,1
This Will Make You Love Again,IAMX,The Alternative,0.0258867722005,0.974113225937,0.194753736258,0.0067652198486,0.006258770823480000,0.217199265957,0.328465729952,0.117996349931,0.111709572375,0.0168513488024,0.123558446765,0.148344114423,0.130462050438,0.0981293022633,0.4995060861110000,0.0472980961204,0.952701926231,0.350612193346,0.649387836456,0.804585039616,114.614280701,spotify:track:30x4kLcCFqYhwXJdK0cKVE,6,14,16,18,19,1
Silnen Kempur,Rajna,Ishati,0.480869233608,0.5191307663920000,0.098768197,0.225965574384,0.090263530612,0.08134593814610000,0.236684337258,0.146574363112,0.09443795681,0.02596010454,0.141318678856,0.163026496768,0.26216679811500000,0.161096319556,0.272391706705,0.0122414343059,0.98775857687,0.309655666351,0.6903443336490000,0.7461764216420000,114.72819519,spotify:track:62i3F3rc1JLWm1ey1ShOO0,6,14,16,18,19,1
Now What,Lisa Marie Presley,Now What,0.404627025127,0.595372974873,0.0176095869392,0.0359956175089,0.0894761681557,0.092366039753,0.422591388226,0.221692308784,0.110340379179,0.00992850121111,0.0708013549447,0.0538626462221,0.245045483112,0.0494790002704,0.580811500549,0.452637702227,0.547362267971,0.464038103819,0.5359619259830000,0.477732211351,114.857887268,spotify:track:5daJfP9ZOzCkZxGSqmWtdx,6,14,16,18,19,1
Invisible Fields,Autumnblaze,Every Sun Is Fragile,0.427486628294,0.572513401508,0.00400564586744,0.125144124031,0.008806836791340000,0.00840409193188,0.5024822950360000,0.027501599863200000,0.317857354879,0.005798037629570000,0.124790780246,0.11368393898,0.214740201831,0.14365781843700000,0.403127282858,0.00300237420015,0.996997654438,0.000505018222611,0.999494969845,0.867456138134,114.881164551,spotify:track:0tn6UKUJ1kzWZdsp6cl6JH,6,14,16,18,19,1
