title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
AA XXX,Peaches,The Teaches of Peaches,0.949202954769,0.0507970266044,0.00978705380112,0.0328930430114,0.22552613914,0.0208679437637,0.4365814030170000,0.062531337142,0.202171474695,0.00964158494025,0.105527237058,0.0589443258941,0.0468454137444,0.058581981807900000,0.730101048946,0.0016205831198,0.998379409313,0.200872629881,0.799127399921,0.943291246891,75.4696884155,spotify:track:3QSb74GWuyLZstoFVf9Tsc,6,14,16,18,20,0
Præludium: En advarsel,Taur,Udviklingen Mixtape,0.99999576807,4.21563663622E-06,0.00353723065928,0.17103511095,0.348832279444,0.005860587116330000,0.382300108671,0.0560028776526,0.0288954675198,0.00353633542545,0.0700554251671,0.0584494993091,0.187395170331,0.047296795994,0.636803090572,0.033380057662700000,0.966619968414,0.0839668661356,0.916033148766,0.972905695438,78.6503982544,Not Found,6,14,16,18,20,0
Universe,Tying Tiffany,"Dark Days, White Nights",0.986111104488,0.013888898305600000,0.0170638971031,0.144427865744,0.13173148036,0.0476210452616,0.494445592165,0.07441551238300000,0.0819442495704,0.0083503453061,0.139741897583,0.17950434982800000,0.122322373092,0.139427736402,0.419003635645,0.110084943473,0.889915049076,0.421937733889,0.578062236309,0.904887616634,79.8583450317,spotify:track:6s6SiM2Es1Fl8KtWdiannH,6,14,16,18,20,0
These good people,The Gathering,Souvenirs,0.886906385422,0.113093629479,0.0154205299914,0.024141579866400000,0.034643325954700000,0.0212837029248,0.648021817207,0.0967794433236,0.15135255456,0.00835705734789,0.130783423781,0.137275218964,0.205385759473,0.19411316514,0.332442432642,0.011222506873300000,0.988777518272,0.188151910901,0.8118481040000000,0.7365678548810000,80.9273986816,spotify:track:0ysifObpXKF0PIuPiFyQxL,6,14,16,18,20,0
Boot Party,TISM,De Rigueurmortis,0.986140787601,0.0138592226431,0.00225968542509,0.0266460571438,0.06644190847870000,0.0120550263673,0.708602368832,0.096787750721,0.08318621665240000,0.00402101594955,0.219631046057,0.1485042274,0.114781066775,0.134371072054,0.382712602615,0.0101742045954,0.98982578516,0.222196131945,0.777803897858,0.955282568932,83.0106506348,spotify:track:0cpwpx3gNrtKu3DtN3G47l,6,14,16,18,20,0
Meenutan su nägu,Suur Papa,Grammilinn,0.999998688698,1.31237254664E-06,0.00242021284066,0.106112964451,0.0250114575028,0.00335900275968,0.719318151474,0.105647198856,0.0353510640562,0.00277995294891,0.212990969419,0.159093275666,0.208154842257,0.0832975953817,0.33646333217600000,0.355346649885,0.644653320312,0.0180325638503,0.981967449188,0.968624711037,83.4705047607,spotify:track:3u7BrrCdffHqCmPDAvnYQw,6,14,16,18,20,0
ComeTogether,Sugababes,John Lennon Covered#1,0.987095355988,0.0129046607763,0.0034082457423200000,0.039718080312,0.040798638016,0.0113914096728,0.613627433777,0.211364001036,0.0765156373382,0.00317656365223,0.184371694922,0.223857924342,0.188092216849,0.159448742867,0.244229435921,0.437044203281,0.562955796719,0.394909054041,0.605090975761,0.873454928398,83.9843902588,Not Found,6,14,16,18,20,0
Le 65isme,Buck 65,Devils Eyes,0.998276174068,0.00172381254379,0.00383089133538,0.0823278650641,0.06544764339920000,0.0141714792699,0.443897932768,0.101676262915,0.271695882082,0.016952048987200000,0.224361717701,0.223861694336,0.13595405221000000,0.15310084819800000,0.262721687555,0.303474456072,0.696525514126,0.494453400373,0.505546569824,0.966943740845,84.875038147,spotify:track:2d7BkFOngaB3IHe34vMKkK,6,14,16,18,20,0
Empty Skies,Kosheen,Resist,0.999044239521,0.000955753610469,0.00107945362106,0.040720723569400000,0.0679848641157,0.00289943790995,0.752039432526,0.0356907434762,0.0979160666466,0.00166924949735,0.0883877202868,0.156831383705,0.143334075809,0.193504482508,0.417942345142,0.0637088865042,0.936291098595,0.473636358976,0.5263636112210000,0.937131106853,84.9019546509,Not Found,6,14,16,18,20,0
Ghost,Jamie-Lee,Berlin,0.974826097488,0.025173896923700000,0.0047026742249700000,0.04778158292170000,0.0273911170661,0.00733798369765,0.758176326752,0.139558687806,0.0126286214218,0.00242301868275,0.094176672399,0.123176507652,0.247098132968,0.18683847785,0.348710209131,0.202143654227,0.797856330872,0.313061594963,0.686938405037,0.8863220810890000,84.9572143555,spotify:track:1Sao6YuJ4c133gemipn2lg,6,14,16,18,20,0
