title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Atlas,Delphic,Collections,0.415190279484,0.584809720516,0.0212021861225,0.0776479020715,0.0679135620594,0.0474950261414,0.420845121145,0.293044984341,0.058058395981800000,0.0137928184122,0.08946160227060000,0.113514110446,0.251704245806,0.0883403718472,0.45697966218,0.0257494878024,0.974250495434,0.159693494439,0.840306520462,0.442031055689,75.273109436,spotify:track:6nRA8R7JZehi3On88EX52Y,6,14,16,18,20,1
Thats Why God Made the Radio,The Beach Boys,Thats Why God Made the Radio,0.348711252213,0.651288747787,0.0152339171618,0.00978156458586,0.0513252690434,0.0240545645356,0.670492112637,0.161960735917,0.0611389279366,0.006012936122720000,0.130802169442,0.100178346038,0.07393515110020000,0.15355220437,0.541532158852,0.148634910583,0.851365089417,0.30026781559,0.69973218441,0.905144393444,75.9374160767,spotify:track:7bmiIJ98JjFCNwH27LUKSv,6,14,16,18,20,1
³±òX,advantage Lucy,Echo Park,0.409634292126,0.590365707874,0.008880892768500000,0.111745208502,0.0227275416255,0.0210138820112,0.325113773346,0.272573888302,0.227087378502,0.0108574284241,0.160114586353,0.109232544899,0.233899280429,0.09579361975190000,0.4009599685670000,0.268880397081,0.731119573116,0.104789242148,0.89521074295,0.847584724426,77.5233459473,spotify:track:1BxxF5sJVPn8qiGDSBrn49,6,14,16,18,20,1
She Never Cries,Proem,Enough Conflict,3.00000096379E-14,1.0,0.00227607949637,0.0574091747403,0.0959141403437,0.00445171957836,0.458883136511,0.312346637249,0.0625083893538,0.00621072156355,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.0269979462028,0.973002076149,0.0971464291215,0.902853548527,0.690812528133,79.9159698486,spotify:track:2NyIZ9dsAUuqg7zGnoER4Q,6,14,16,18,20,1
Jeden Abend,Letzte Instanz,Wir sind Gold,0.477626919746,0.522373080254,0.00978912040591,0.0497691482306,0.0216200631112,0.024821292609,0.421096593142,0.101448789239,0.35473683476400000,0.0167181435972,0.0955666005611,0.0881303995848,0.240453854203,0.152904137969,0.422945022583,0.398042917252,0.601957082748,0.362548410892,0.637451589108,0.929613232613,79.9909744263,spotify:track:5ivmYd1fNdRjab02vIZwnM,6,14,16,18,20,1
Factory Girl,Alizée,Une enfant du siècle,0.027557803317900000,0.972442209721,0.00262250425294,0.0192452855408,0.0044103609398,0.004032460507010000,0.928598880768,0.0231617707759,0.017361426726,0.000567281851545,0.141570717096,0.159455284476,0.08436987549070000,0.262163281441,0.352440834045,0.133466690779,0.866533279419,0.35899427533100000,0.6410057544710000,0.96147698164,80.0718917847,Not Found,6,14,16,18,20,1
Lend Your Love to Me Tonight,Greg Lake,Songs of a Lifetime,0.416763156652,0.58323687315,0.0547703057528,0.0180730223656,0.053302615881,0.025582002475900000,0.494908243418,0.108355365694,0.235060200095,0.0099482331425,0.046835437417000000,0.0886238515377,0.120248563588,0.0929166972637,0.651375472546,0.159541130066,0.8404588699340000,0.103504195809,0.8964958190920000,0.92448669672,82.0091934204,spotify:track:3HCDnWBKJEOG8xUciofltS,6,14,16,18,20,1
Battlescars,Midnight Juggernauts,The Crystal Axis,0.381511151791,0.618488848209,0.0582934357226,0.0395853258669,0.021171791479,0.042703859508,0.340935915709,0.195572689176,0.2817235291,0.0200134404004,0.126324504614,0.15445606410500000,0.288723945618,0.13926938176200000,0.291226089001,0.119511023164,0.880488991737,0.460295855999,0.539704144001,0.582298398018,83.8828430176,Not Found,6,14,16,18,20,1
Wolfsblut,Untoten,Grabsteinland V,3.00000096379E-14,1.0,0.00461511034518,0.289027780294,0.0258594043553,0.00567775825039,0.51123213768,0.0203899294138,0.139212980866,0.00398491555825,0.077556066215,0.0448055826128,0.228150755167,0.0307068116963,0.618780791759,0.317734599113,0.6822654008870000,0.223416253924,0.776583731174,0.904910683632,85.64614105220000,Not Found,6,14,16,18,20,1
Demonstrate,Kosheen,Resist,0.0451028943062,0.954897105694,0.106995396316,0.0519273020327,0.0540537424386,0.0811464637518,0.383947014809,0.204010561109,0.0995506495237,0.0183688681573,0.230225741863,0.117919147015,0.107311934233,0.08509273827080000,0.45945045352,0.0202053748071,0.979794621468,0.0065016271546500000,0.993498384953,0.7676361203190000,86.8335723877,Not Found,6,14,16,18,20,1
