title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Vertigo,Madeline Juno,The Unknown,0.723308622837,0.276691406965,0.00571289099753,0.017012216150800000,0.0149282058701,0.181755527854,0.538077354431,0.210687190294,0.030002143234,0.00182450027205,0.16087545454500000,0.243346169591,0.313682496548,0.210730195045,0.0713656544685,0.8640506267550000,0.135949343443,0.579649209976,0.420350760221,0.527964055538,109.316749573,spotify:track:3LH7TY0EdNHQXj19NqRmkZ,6,12,15,17,19,0
Nothing Else Matters,Paul Hartnoll,The Ideal Condition,0.889629244804,0.110370762646,0.00876276753843,0.0530999861658,0.00663926545531,0.0141565352678,0.7732935547830000,0.0592101961374,0.08217941969630000,0.00265828659758,0.08252324908970000,0.133145779371,0.386088967323,0.306548178196,0.0916938409209,0.99999910593,8.97851180071E-07,0.578688502312,0.421311527491,0.858950674534,109.801048279,Not Found,6,12,15,17,19,0
Archive,Down Review,"From Here, For Anyone",0.542616069317,0.457383930683,0.004386945627630000,0.0509679913521,0.00184773653746,0.0054264520295,0.662473917007,0.0312744043767,0.24307924509,0.00054332788568,0.129185810685,0.15646378696,0.334231585264,0.120965726674,0.25915312767,0.517189025879,0.4828109741210000,0.993951439857,0.00604855967686,0.5983815789220000,109.83930206300000,spotify:track:6bDdtct6CuUnjbVGaNZOor,6,12,15,17,19,0
Шаурма,Легендарные пластилиновые ноги,Космонавтам,0.636330902576,0.363669127226,0.043208360672000000,0.09651480615140000,0.0292810238898,0.0657976195216,0.387221187353,0.154139563441,0.210527941585,0.0133094871417,0.231821089983,0.09299431741240000,0.422260850668,0.157056793571,0.0958669409156,0.995649755001,0.004350264091040000,0.898838937283,0.101161062717,0.878839373589,109.91800689700000,spotify:track:7LlvuI5QFmMkFl4fBepoJC,6,12,15,17,19,0
Verblutet,Belborn,All is One,0.818610370159,0.181389644742,0.0647076368332,0.0795395746827,0.0229591503739,0.0556041188538,0.400687813759,0.294402778149,0.0517315231264,0.0303674023598,0.115708053112,0.102232180536,0.499562680721,0.227514982224,0.0549820996821,0.99475133419,0.00524868071079,0.713006317616,0.286993712187,0.969119429588,109.94631958,Not Found,6,12,15,17,19,0
Shadow of the Day,Linkin Park,Minutes to Midnight,0.932773649693,0.0672263428569,0.0183150731027,0.0343858599663,0.180161073804,0.08628994971510000,0.348498255014,0.263642370701,0.0523648560047,0.0163425672799,0.139785006642,0.297155231237,0.33257573843000000,0.128090769053,0.102393247187,0.8347912430760000,0.165208756924,0.810153663158,0.18984632194,0.710125565529,109.95971679700000,spotify:track:0OYcEfskah1egYHjYRvbg1,6,12,15,17,19,0
The Bond Between Us,Outlandish,Outlands Official,0.979565799236,0.0204342156649,0.00132658181246,0.23747934401,0.0575379543006,0.0153813567013,0.571499228477,0.108620740473,0.00480744708329,0.00334736285731,0.102594070137,0.150643691421,0.464765131474,0.0622498765588,0.219747245312,0.547698974609,0.452300995588,0.627232313156,0.372767686844,0.926078438759,110.04070282,spotify:track:3WeM2NMCQfR0j6Xc75r6cI,6,12,15,17,19,0
The Long Tunnel Of Wanting You,Vanessa Daou,Zipless,0.576191961765,0.423808068037,0.00199546827935,0.0524022355676,0.011246589943800000,0.0184949561954,0.807384133339,0.054740209132400000,0.0522964186966,0.0014400195796,0.212533041835,0.285877943039,0.286677241325,0.0792320221663,0.13567975163500000,0.931496977806,0.0685030147433,0.7374968528750000,0.262503147125,0.945561289787,110.88656616200000,spotify:track:0FVQLt4IwVipgnpthwsPuL,6,12,15,17,19,0
Give Me an Inch,Robert Palmer,"Addictions, Volume 2",0.577796816826,0.422203183174,0.00304460525513,0.0380963236094,0.00403985613957,0.120635151863,0.6120558977130000,0.0440703555942,0.17467546463,0.0033823736012,0.228911116719,0.173733994365,0.295757204294,0.130908384919,0.170689299703,0.5318806767460000,0.468119353056,0.522362053394,0.477637946606,0.956682384014,110.954528809,spotify:track:6c9DEGj7hB56QhSxhYmRpH,6,12,15,17,19,0
Tess,David Holmes,Oceans Eleven,0.964079141617,0.035920836031400000,0.0484859719872,0.054941050708300000,0.14576108753700000,0.105483353138,0.29488980770100000,0.272621870041,0.0488936677575,0.0289232134819,0.138776034117,0.203890070319,0.412220835686,0.202621430159,0.042491633445,0.5729004740720000,0.427099555731,0.972862124443,0.0271378681064,0.946374356747,111.44451141400000,spotify:track:4njp8AusoOfF8yvpnl2RZ0,6,12,15,17,19,0
Day That Needs Defending,Womans Hour,Conversations,0.506688714027,0.49331125617,0.0393259935081,0.026683550328,0.0259328167886,0.117409311235,0.5397216677670000,0.167318671942,0.07046950608490000,0.0131384814158,0.0795096233487,0.264902114868,0.375250607729,0.259322136641,0.021015509963,0.996205925941,0.00379407918081,0.966400384903,0.033599644899400000,0.698218047619,112.913421631,spotify:track:1ln0ZzBG2loybhTn1Da2kX,6,12,15,17,19,0
Sitting With Me,Mary Mary,Something Big,0.852205097675,0.147794887424,0.0014559979317700000,0.00457995804027,0.00228614290245,0.013502640649700000,0.525422215462,0.443715006113,0.008897964842620000,0.000140114687383,0.120843082666,0.219812184572,0.289014697075,0.204181432724,0.166148602962,0.975573837757,0.0244261678308,0.5089278817180000,0.491072118282,0.707246124744,113.20512390100000,spotify:track:2K4eauC2pM5C9KaQNBHxeU,6,12,15,17,19,0
Ave Maria,Andain,You Once Told Me,0.91143476963,0.08856524527070000,0.00214727967978,0.046713326126300000,0.005795836448670000,0.007574332877990000,0.791939258575,0.0945110544562,0.0493735559285,0.00194536708295,0.07926593720910000,0.114076972008,0.345374196768,0.222437351942,0.238845542073,0.950958669186,0.0490413531661,0.597982645035,0.402017354965,0.804660797119,113.874511719,spotify:track:7n4PMGhrqwvHvjM0DWjYVe,6,12,15,17,19,0
