title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
I Saw My Echo,Orcas,Orcas,0.117007240653,0.882992744446,0.13506852090400000,0.00672255735844,0.011049579829,0.0733836069703,0.49485078454,0.246637567878,0.019403912127,0.0128834666684,0.0529338158667,0.171924173832,0.453558176756,0.242637857795,0.078945979476,0.924930632114,0.0750693380833,0.665919005871,0.334080964327,0.728982925415,69.99374389650000,spotify:track:3xL5mSzG7iY8p7W8jfEKhU,6,12,15,17,20,1
House Of Broken Love,Great White,Stage,0.7544766068460000,0.245523408055,0.00875811092556,0.00920654740185,0.039892826229300000,0.0144918449223,0.568975150585,0.16216772794700000,0.191100880504,0.00540691334754,0.06874920427800000,0.0932076275349,0.35109412670100000,0.163282305002,0.323666751385,0.824787855148,0.175212159753,0.951330304146,0.048669666051900000,0.8332936167720000,75.77591705320000,spotify:track:0tFscEe2fMwsHflVPsyaAD,6,12,15,17,20,0
Within the Grove,Eluveitie,Evocation I: The Arcane Dominion,0.105873122811,0.89412689209,0.0379983186722,0.0149167766795,0.08584170788530000,0.042430691421,0.41644769907,0.279517412186,0.106182619929,0.0166647899896,0.218219533563,0.08375775069000000,0.533660054207,0.0760331898928,0.0883294418454,0.55577403307,0.444225937128,0.939387917519,0.0606120564044,0.909648656845,80.0333480835,spotify:track:7HkbZduZDZwkAxhpy6nFk9,6,12,15,17,20,1
Stop (Think Again),Bee Gees,Spirits Having Flown,0.114540494978,0.8854594826700000,0.220072627068,0.0051370738074200000,0.0169912297279,0.220532849431,0.253649324179,0.223146572709,0.045001141727,0.0154692027718,0.08024913817640000,0.149463668466,0.512926638126,0.110841035843,0.146519526839,0.742202579975,0.257797420025,0.990009009838,0.00999101065099,0.320098042488,81.32186889650000,spotify:track:0O8mb0LZ2ySEo1rhgum7ND,6,12,15,17,20,1
American Dream,"Crosby, Stills, Nash & Young",American Dream,3.00000096379E-14,1.0,0.006380176171660000,0.0521610528231,0.152144268155,0.0339205414057,0.427653312683,0.30572298169100000,0.0182187389582,0.00379894999787,0.248835101724,0.205547556281,0.266529530287,0.204611852765,0.07447596639390000,0.999990284443,9.70203927864E-06,0.557464063168,0.442535936832,0.694889783859,83.28466033940000,spotify:track:1QxTt4vwhrZjeyR0ODInim,6,12,15,17,20,1
LAstrée,Dawn & Dusk Entwined,Cathédrales de brume,0.17126807570500000,0.8287319540980000,0.13566766679300000,0.0234508663416,0.0134104322642,0.0810248330235,0.489086717367,0.108424328268,0.134127542377,0.0148076219484,0.0375626385212,0.108670093119,0.553847908974,0.230091422796,0.06982790678740000,0.771372914314,0.228627070785,0.966041982174,0.0339579880238,0.686272442341,83.3820648193,Not Found,6,12,15,17,20,1
Bei dir sein,Pur,Mittendrin,0.75193220377,0.248067811131,0.00215551466681,0.00472939526662,0.00346132344566,0.013799007050700000,0.7743117213250000,0.0627742484212,0.137845560908,0.000923227868043,0.129046484828,0.254843294621,0.321913003922,0.222230792046,0.0719664171338,0.993824481964,0.00617550453171,0.811497807503,0.188502207398,0.915355920792,85.51318359380000,spotify:track:1Qc5ivQD5VIKai9Rba5znY,6,12,15,17,20,0
Tres Palabras,Enrique Iglesias,Quizás,0.914199471474,0.08580055832860000,0.00191613519564,0.0571323372424,0.0142270857468,0.00570909352973,0.611232042313,0.28189867734900000,0.0249148700386,0.00296973949298,0.0849445611238,0.215717792511,0.304588407278,0.259908378124,0.134840846062,0.964663803577,0.0353362075984,0.6470833420750000,0.35291662812200000,0.876530051231,85.7500686646,spotify:track:0kPAmxMrDiE7f34YjfRKoV,6,12,15,17,20,0
Id Rather Have What We Had,Lee Ann Womack,Some Things I Know,0.6233579516410000,0.376642078161,0.0424098856747,0.00604115147144,0.0295239333063,0.0476954206824,0.641121923923,0.20942337811,0.0117615777999,0.0120227076113,0.0515401773155,0.236654311419,0.316316902637,0.166993871331,0.228494718671,0.7270874381070000,0.272912532091,0.59391528368,0.40608471632,0.747208476067,86.0142059326,spotify:track:0yqJsKfgpCJNr5w21V3Ubo,6,12,15,17,20,0
Real Life,Esser,Braveface,0.913567721844,0.08643228560690000,0.0070451884530500000,0.0936076045036,0.026981510222,0.053981076926,0.663558721542,0.112433850765,0.034924820065500000,0.00746720470488,0.0888196900487,0.2540409863,0.317593872547,0.308982223272,0.0305632315576,0.821103274822,0.17889672517800000,0.565429747105,0.434570252895,0.847952783108,86.9825668335,spotify:track:08DLqN1UvxUzhaLDHmTQDt,6,12,15,17,20,0
On The Wayside,Jeremy Enigk,The Missing Link,0.920846164227,0.0791538134217,0.001077886438,0.00494853639975,0.0046958434395500000,0.00634066201746,0.8401217460630000,0.0420043095946,0.100309669971,0.000501319591422,0.12649153173,0.194964051247,0.338425934315,0.245171770453,0.0949467346072,0.748955607414,0.251044392586,0.64685022831,0.35314977169,0.8411390185360000,87.6939163208,spotify:track:0ONt6PNfVjcc2of1OZKp1r,6,12,15,17,20,0
Луна,Чичерина,Сны,0.66085845232,0.339141577482,0.0050524934195,0.021246355027,0.115778461099,0.027649698779,0.637848496437,0.0649017393589,0.123982354999,0.0035404318478,0.1636415869,0.151197984815,0.34136632084800000,0.141256228089,0.202537894249,0.5724501013760000,0.427549868822,0.982881546021,0.0171184837818,0.90187561512,87.98971557620000,spotify:track:19gSY7ZAYHnFEUemJSXMFw,6,12,15,17,20,0
Sea of Tranquility,John Stanford,Deep Space,0.0661483481526,0.933851659298,0.243531644344,0.0327511690557,0.0235157310963,0.11984051764,0.26903668046,0.17058706283600000,0.131688445807,0.00904874689877,0.06610851734880000,0.0789878740907,0.503423631191,0.0949079990387,0.256571948528,0.7771978378300000,0.222802147269,0.986417770386,0.0135822147131,0.435032337904,88.97992706300000,spotify:track:4Rorf7uT2PY36KeLZnNayo,6,12,15,17,20,1
Grassland Theme,The Planets,Classical Graffiti,0.0120303425938,0.987969636917,0.0195998437703,0.00266141234897,0.00308222090825,0.0779224485159,0.491421997547,0.32284420728700000,0.0792453065515,0.00322253582999,0.230460852385,0.205540135503,0.317958384752,0.173577979207,0.07246265560390000,0.6821490526200000,0.31785094738,0.992223143578,0.00777685362846,0.6943438053130000,89.8837203979,Not Found,6,12,15,17,20,1
Angel in the Snow (edit),a-ha,25,0.719487607479,0.280512422323,0.0212435107678,0.0293187815696,0.0154248727486,0.145659059286,0.490689873695,0.250565081835,0.0359204001725,0.0111784124747,0.153118476272,0.160219937563,0.388901203871,0.147845312953,0.149915084243,0.7610837221150000,0.238916307688,0.892043590546,0.107956424356,0.7429923415180000,89.8993682861,spotify:track:5bacGRsW345UNkKUZ8WF2l,6,12,15,17,20,0
Fährmann,Stendal Blast,Schmutzige Hände,0.601100981236,0.398898988962,0.0159910544753,0.0224367137998,0.028946973383400000,0.0498381927609,0.453853517771,0.3710809648040000,0.047298736870300000,0.0105538582429,0.108195051551,0.294238835573,0.322521924973,0.143217712641,0.131826475263,0.617788493633,0.382211506367,0.567596614361,0.432403385639,0.8875464797020000,89.9832000732,spotify:track:0yyjME8KFvWnhzcPq3VoVR,6,12,15,17,20,0
Mille galassie,Cesare Cremonini,Bagus,0.665899634361,0.33410036563900000,0.034243106842,0.0158825479448,0.0124506950378,0.0475499033928,0.5752439498900000,0.0780455768108,0.226582989097,0.0100012402982,0.114227682352,0.24935621023200000,0.296231836081,0.133991703391,0.206192553043,0.613512933254,0.386487066746,0.7378916740420000,0.262108296156,0.8706255555150000,89.9962310791,spotify:track:4Dw0KakQeLrZgmPYaeH811,6,12,15,17,20,0
Spring to Downcomers,Yuppie Flu,Days Before the Day,0.450942486525,0.5490575432780000,0.004833278246220000,0.040974508971,0.0037759824190300000,0.0254261046648,0.6800169944760000,0.117718204856,0.124733701348,0.00252119963989,0.199017420411,0.110329709947,0.375265985727,0.202420011163,0.112966857851,0.940322160721,0.05967782810330000,0.783052682877,0.216947346926,0.902502477169,90.0983657837,spotify:track:04lTxP8wO8iVjkwltLiQBp,6,12,15,17,20,1
Greetings From Space,Amanda Jenssen,Killing My Darlings,0.427912414074,0.5720875859260000,0.0151637000963,0.0225788541138,0.0068742367439,0.0982917696238,0.536573052406,0.249092847109,0.0650749355555,0.00635062996298,0.06450527161360000,0.0836962834001,0.490568011999,0.184264913201,0.176965519786,0.992480456829,0.00751955760643,0.5598313212390000,0.440168648958,0.8492532372470000,90.10632324220000,spotify:track:7FL4MD97J1CcHCGUrHUWIM,6,12,15,17,20,1
From One Jesus to Another,The Mission,Masque,3.00000096379E-14,1.0,0.0169317387044,0.0241652932018,0.0288262348622,0.0174110159278,0.515573620796,0.350406974554,0.032897606492,0.0137875154614,0.117753237486,0.14476141333600000,0.401527762413,0.184581130743,0.151376456022,0.586217224598,0.4137827456,0.871395111084,0.128604888916,0.843372702599,91.2636795044,spotify:track:6JPKm9bFNS1JZaDdeXgH9P,6,12,15,17,20,1
"Release, Part II",Bumcello,Get Me,0.07646806538110000,0.92353194952,0.193523526192,0.0322618894279,0.0118510350585,0.08547261357310000,0.339732199907,0.273645222187,0.0555806867778,0.00793281383812,0.0923816412687,0.17326886951900000,0.491905152798,0.211712896824,0.0307314228266,0.990695357323,0.0093046175316,0.981143176556,0.0188568532467,0.869188845158,91.44639587400000,spotify:track:1vGQZCYlEofLXVaJO8ALN5,6,12,15,17,20,1
