title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Heartbreak,Celebration,The Modern Tribe,0.654752552509,0.345247447491,0.0145803019404,0.00949172023684,0.018131904304,0.0379556640983,0.392945766449,0.176612690091,0.346550941467,0.00373099045828,0.091533228755,0.170185416937,0.385554850101,0.265756577253,0.08696991950270000,0.999998867512,1.12443012767E-06,0.382895022631,0.617104947567,0.91055804491,109.69387817400000,spotify:track:5ec6Q8FTzQwluvYux4ZL1z,6,12,15,18,19,0
Love See No Colour,The Farm,Love See No Colour,0.5054749846460000,0.494525015354,0.0198023635894,0.006647030357270000,0.0141969528049,0.0148245729506,0.6864810585980000,0.0934400334954,0.162560611963,0.00204734434374,0.0630344748497,0.121095336974,0.346245646477,0.187943488359,0.281681060791,0.993420600891,0.00657941494137,0.0314320474863,0.968567967415,0.7612199187280000,109.854393005,spotify:track:4S8sVtBOqzcrE0YPPyAXJN,6,12,15,18,19,0
Was zieht mich noch zu dir,Matthias Reim,Phoenix (Disc 1),0.802088618279,0.197911351919,0.00460985349491,0.0494701080024,0.042263761162800000,0.0593153610826,0.497514605522,0.312032938004,0.0233661476523,0.0114272171631,0.125644415617,0.326638102531,0.346556037664,0.113498680294,0.0876627787948,0.689023911953,0.310976058245,0.309259831905,0.6907401680950000,0.931211531162,109.879882813,Not Found,6,12,15,18,19,0
Isojen tyttöjen yö,Leevi and the Leavings,Musiikkiluokka,0.999485433102,0.000514549552463,0.000201408140128,0.0180928539485,0.00304097658955,0.0011348786065400000,0.8956856727600000,0.0485707633197,0.0331237316132,0.00014969104086,0.153093129396,0.146042153239,0.476625353098,0.146618068218,0.07762128859760000,0.991435885429,0.00856408569962,0.00963177252561,0.990368247032,0.955869376659,110.071899414,Not Found,6,12,15,18,19,0
Fool (If You Think Its Over),Chris Rea,The Best of Chris Rea,0.698372423649,0.301627546549,0.0109538687393,0.00281896442175,0.00203825975768,0.0143574448302,0.799711048603,0.0955204218626,0.073382794857,0.00121720519383,0.112982921302,0.205048933625,0.368530213833,0.234626635909,0.0788113102317,0.649159610271,0.35084041953100000,0.329230070114,0.670769929886,0.8000000715260000,110.15776825,spotify:track:0UHiH4dy1hXULYl8CgNxRV,6,12,15,18,19,0
Whos Johnny,DeBarge,The Ultimate Collection,0.999950230122,4.97742585139E-05,0.000607125344686,0.118021130562,0.030952259898200000,0.00305479974486,0.785045325756,0.0434787832201,0.0176371075213,0.00120348262135,0.114615060389,0.190499380231,0.271528542042,0.222080811858,0.20127619803,0.704406917095,0.295593112707,0.144981890917,0.855018079281,0.925603687763,110.332046509,spotify:track:02RbmzVSbkxJVIqMNx47uY,6,12,15,18,19,0
Baby I Love You,Bad Boys Blue,Super 20,0.8652756214140000,0.134724393487,0.00979811698198,0.08166165649890000,0.066583327949,0.0265402924269,0.423148274422,0.276451587677,0.111117646098,0.00469910353422,0.133762031794,0.220693603158,0.33113995194400000,0.236387148499,0.0780172497034,0.995550394058,0.00444961665198,0.0362055413425,0.963794469833,0.817352890968,110.432540894,spotify:track:1zVapsr0N43BMAgpyAGfDV,6,12,15,18,19,0
The Woman He Walked On,Jeff Bates,Leave the Light On,0.7848029732700000,0.215197041631,0.000469724385766,0.000885734451003,0.00501547381282,0.00260163703933,0.5478816628460000,0.439372628927,0.00305798277259,0.000715156726073,0.0949121415615,0.274464786053,0.369710952044,0.196117728949,0.0647943913937,0.91139113903,0.08860883861780000,0.00704508507624,0.992954909801,0.799248337746,110.773780823,spotify:track:6FDwW3OF8uydXzgm34qJCN,6,12,15,18,19,0
Rod ♥ You,Die Ärzte,Planet Punk,0.507401645184,0.492598354816,0.0034818991553,0.0176225155592,0.0275454930961,0.032327175140400000,0.460080504417,0.337960511446,0.119139425457,0.00184247945435,0.113782085478,0.189510717988,0.329236328602,0.298333793879,0.0691370815039,0.995807170868,0.00419284636155,0.0685038045049,0.931496202946,0.65648406744,111.151451111,Not Found,6,12,15,18,19,0
Lullaby #1,Pugwash,Jollity,0.6981527209280000,0.301847279072,0.041705645620800000,0.007717143744230000,0.0043728868477,0.204169228673,0.482168406248,0.209358632565,0.0460237562656,0.00448428792879,0.0586221776903,0.123625025153,0.508369684219,0.293856889009,0.0155262313783,0.999999582767,3.97299913857E-07,0.0971369147301,0.90286308527,0.801920413971,111.292808533,Not Found,6,12,15,18,19,0
