title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Nous,Louane,Chambre 12,0.954670608044,0.0453293658793,0.00271708751097,0.0275545995682,0.0204727444798,0.014930540695800000,0.725015103817,0.147448316216,0.060668181628,0.0011933953501300000,0.170953437686,0.218546181917,0.393302619457,0.17290760576700000,0.0442901588976,0.776339352131,0.223660618067,0.0813137739897,0.918686211109,0.615829050541,69.8511047363,spotify:track:1tMs6ak4neDut56ObZvYfm,6,12,15,18,20,0
Beautiful World,BENI,Bitter & Sweet,0.982884705067,0.0171152949333,0.00237917155027,0.0150744207203,0.00323718227446,0.0016228662570900000,0.820897936821,0.0993618071079,0.0569333173335,0.000493308878504,0.0687078908086,0.193516492844,0.325123161077,0.279647886753,0.133004546165,0.969825804234,0.0301741901785,0.054969470948,0.945030510426,0.958882391453,75.98775482180000,Not Found,6,12,15,18,20,0
Deja Blue,Angela Strehli,Deja Blue,0.676996946335,0.32300305366500000,0.0297404062003,0.0255489759147,0.10979641974,0.0726325511932,0.382746458054,0.278037816286,0.08773225545880000,0.0137651199475,0.141348972917,0.289540618658,0.29208022356,0.109928451478,0.167101725936,0.984155237675,0.0158447418362,0.00533485272899,0.994665145874,0.955653071404,78.28238677980000,spotify:track:3unMbpk7USxNRqkkC9fKTw,6,12,15,18,20,0
Bugger Bognor,Luke Haines,Das Capital: The Songwriting Genius of Luke Haines and The Auteurs,0.978365063667,0.021634908393,0.000471924751764,0.0099914893508,0.0415319688618,0.0049310834147,0.657515883446,0.277376025915,0.0073976125568200000,0.000783989496995,0.0566726438701,0.150669544935,0.583096086979,0.07854728400710000,0.13101445138500000,0.939418315887,0.060581706464300000,0.0368719696999,0.9631280303,0.866034805775,78.9698257446,spotify:track:5KIn9crIKv1KZ44JavRpVe,6,12,15,18,20,0
Sparkle and Shine,Clique,The Clique,0.5507946610450000,0.449205368757,0.0474967062473,0.0118311392143,0.0250696521252,0.0595230013132,0.316367268562,0.240505591035,0.291393101215,0.00781353842467,0.08877840638160000,0.291579246521,0.297499299049,0.285164892673,0.036978177726300000,0.999998033047,1.97314420802E-06,0.017081379890400000,0.98291862011,0.921881914139,79.4397277832,spotify:track:5CSRuOixA0hWAvctAM44wJ,6,12,15,18,20,0
East Mountain Low,Low Motion Disco,Keep It Slow,0.8359604477880000,0.164039567113,0.00583766307682,0.016850793734200000,0.035553120076700000,0.0312357340008,0.54611903429,0.21677519381,0.144962862134,0.00266562914476,0.103807933629,0.175558269024,0.425668001175,0.223676413298,0.071289382875,0.944760322571,0.0552396960557,0.0118433879688,0.988156616688,0.817458450794,79.853515625,spotify:track:6WEOJbGC0lwYddIWCYHdv3,6,12,15,18,20,0
Friends Forever (Graduation) (LP version),Vitamin C,Friends Forever (Graduation),0.8638113737110000,0.136188656092,0.00526072597131,0.014965135604100000,0.17111839354000000,0.00490246620029,0.447705119848,0.3363966941830000,0.0183117315173,0.00133974500932,0.045023921877100000,0.187904298306,0.331207424402,0.238928735256,0.196935608983,0.980828166008,0.0191718228161,0.00940898992121,0.99059098959,0.7541192173960000,79.9392166138,Not Found,6,12,15,18,20,0
Our Lives,Où est le swimming pool,The Golden Year,0.917137861252,0.0828621536493,0.0110918590799,0.261856734753,0.0337348617613,0.0107094263658,0.295076578856,0.148491576314,0.228885293007,0.0101536782458,0.204851537943,0.211973696947,0.295758962631,0.160913065076,0.126502752304,0.8584117889400000,0.14158821106,0.0219888538122,0.978011131287,0.954638123512,79.954536438,spotify:track:5mBJH1HPO8f95PV4d6IIK9,6,12,15,18,20,0
All My Hope,Hillsong Live,Cornerstone,0.5502693057060000,0.449730694294,0.0105720059946,0.00731213670224,0.0126341022551,0.0122997611761,0.733549535275,0.170403406024,0.0505200363696,0.00270902086049,0.0492080673575,0.156475946307,0.5045977830890000,0.173816263676,0.115901961923,0.912727832794,0.08727214485410000,0.0469855852425,0.953014433384,0.569316923618,79.9861907959,spotify:track:01F1E0FW4qJb4iaAxvA5b6,6,12,15,18,20,0
Sad Colored Tears,The Stargazer Lilies,We Are the Dreamers ❬pink/purple vinyl❭,0.793388605118,0.20661136508000000,0.0771826356649,0.0158964637667,0.0168189704418,0.226266682148,0.32970654964400000,0.18735794723,0.136055797338,0.010714946314700000,0.0851925238967,0.116097539663,0.5540192127230000,0.189361602068,0.0553291030228,0.8431313037870000,0.156868711114,0.152824163437,0.8471758365630000,0.746413111687,80.8604125977,spotify:track:7FtyUR9M6mKmJqBLG7uMTP,6,12,15,18,20,0
Is This Love,Rosie Thomas,With Love,0.565723359585,0.4342766106130000,0.00293548731133,0.00316654494964,0.0015175867592900000,0.012348852120300000,0.7413392663000000,0.212063923478,0.0257678385824,0.000860467320308,0.123684160411,0.300496816635,0.348416358232,0.205929070711,0.021473582834,0.983620107174,0.0163798816502,0.008554884232580000,0.991445124149,0.8759088516240000,80.9681472778,spotify:track:7fuEcq452vZWxzKtKw8zef,6,12,15,18,20,0
Above My Head,Lou Doillon,Lay Low,0.519492268562,0.480507731438,0.0143998479471,0.08004957437520000,0.07726071774960000,0.0534865222871,0.375383108854,0.32534083724,0.0578336417675,0.0162457488477,0.209906250238,0.226932317019,0.354772895575,0.105822399259,0.10256614536,0.897896170616,0.102103859186,0.17221809923600000,0.8277819156650000,0.776828765869,80.9766082764,spotify:track:3ZhJ5d9IlqCfGJjAALSr7a,6,12,15,18,20,0
Hoochie Coochie Man www.emule,Eric Clapton,One More CarOne More Rider,0.956005752087,0.0439942665398,0.00574395945296,0.0789539068937,0.0551155917346,0.0381806232035,0.341673344374,0.328224182129,0.141563236713,0.0105451643467,0.147615402937,0.101758882403,0.585737705231,0.0965018868446,0.0683861002326,0.911728739738,0.08827124536040000,0.358864873648,0.641135156155,0.938250243664,81.02127838130000,Not Found,6,12,15,18,20,0
Its Not Too Late,Jim Lauderdale,The Other Sessions,0.615990936756,0.384009033442,0.00523207942024,0.007309417705980000,0.014378356747300000,0.007088589016350000,0.526693820953,0.244832128286,0.190458580852,0.00400701910257,0.135367825627,0.172332823277,0.5955804586410000,0.0805367678404,0.0161821246147,0.915754795074,0.0842452049255,0.0145593006164,0.985440671444,0.957267224789,81.7887954712,spotify:track:4EzqPMr1MkNh7HOaVujODL,6,12,15,18,20,0
The Good Confession (I Believe),Andrew Peterson,After All These Years: A Collection,0.615201830864,0.384798139334,0.0042145629413400000,0.00674730492756,0.00658076955006,0.011010392569,0.8094066977500000,0.0911507979035,0.06766862422230000,0.00322084245272,0.055271871388,0.142510265112,0.560152888298,0.163766592741,0.07829837501050000,0.604941308498,0.395058721304,0.109725423157,0.890274584293,0.840370118618,82.1042480469,spotify:track:1EfeoIlldqYSL2KSGKPJrE,6,12,15,18,20,0
What Well Become,Mason Summit,Absentee,0.762521803379,0.23747818172,0.00180069974158,0.00431911228225,0.037448797375,0.0141208125278,0.567658364773,0.336827665567,0.0347955077887,0.00302902725525,0.140963926911,0.270936071873,0.285071879625,0.199641525745,0.103386610746,0.559290468693,0.44070956111,0.0144420601428,0.98555791378,0.821647465229,82.4238433838,Not Found,6,12,15,18,20,0
Day Will Soon Come,Anjulie,BOOM,0.66452807188,0.33547192812,0.0263411682099,0.0288347527385,0.0362623669207,0.0163650363684,0.475090414286,0.384353011847,0.0298747327179,0.00287850340828,0.0611173771322,0.21974439919,0.514508664608,0.174138337374,0.0304912272841,0.97026848793,0.0297315381467,0.292050629854,0.707949399948,0.913794875145,82.92794799800000,spotify:track:4ZPW3RMZpI2uvGbJ4YaTEF,6,12,15,18,20,0
La Blanche,Renaud,Tournée Rouge Sang,0.765747487545,0.234252482653,0.0156739708036,0.0167591180652,0.0154441855848,0.05641809850930000,0.49939250946,0.33695837855300000,0.0203882344067,0.0389654822648,0.0639360249043,0.223470941186,0.435086756945,0.222349569201,0.0551566891372,0.975344777107,0.0246551968157,0.000791311496869,0.999208688736,0.8550120592120000,83.1615219116,spotify:track:02DhkjJWqChAlDddnlwoj9,6,12,15,18,20,0
Satis Vixi,Ataraxia,The Moon Sang On The April Chair,0.984480619431,0.015519398264600000,0.0220919586718,0.0541351549327,0.0312478747219,0.200926885009,0.407021909952,0.17038047313700000,0.10798420012,0.00621155276895,0.111640565097,0.0758532062173,0.481410235167,0.16163429617900000,0.16946169734000000,0.862459182739,0.137540832162,0.017388008534900000,0.982612013817,0.723539590836,83.7299118042,Not Found,6,12,15,18,20,0
Hello Josephine (Single Version),Jerry Jaye,My Girl Josephine,0.732747614384,0.267252385616,0.044106181711,0.0134630324319,0.131725519896,0.0515256598592,0.398144751787,0.297766119242,0.053043946623800000,0.0102247800678,0.0959615185857,0.226488873363,0.526283800602,0.108671359718,0.0425944253802,0.8325675725940000,0.167432457209,0.00100524525624,0.998994767666,0.940389931202,83.7635498047,Not Found,6,12,15,18,20,0
Longer Gone,Eric Church,Carolina,0.660306930542,0.339693069458,0.00197568070143,0.0043778126128,0.00494517292827,0.00843754876405,0.677975714207,0.281600505114,0.0160124208778,0.004675142001360000,0.100997529924,0.295004040003,0.389978080988,0.16843622922900000,0.0455841235816,0.995482027531,0.0045179491862700000,0.0406514666975,0.95934855938,0.872975230217,83.979057312,spotify:track:40PpMzWwqCG1TxMy2qpda3,6,12,15,18,20,0
You’ll Always Reap What You Sow,The Stranglers,Decade: The Best of 1981–1990,0.961061537266,0.0389384888113,0.00208133435808,0.021188210696,0.107833132148,0.00279979710467,0.545738875866,0.120601631701,0.198392421007,0.00136459153146,0.0938509851694,0.181697711349,0.305506378412,0.233209624887,0.185735300183,0.813632130623,0.186367869377,0.00793535169214,0.992064654827,0.81990224123,85.1227798462,Not Found,6,12,15,18,20,0
This Life,Mandalay,This Life,0.998317956924,0.00168202654459,0.00496271857992,0.14250792563,0.184375599027,0.00833304505795,0.4771619141100000,0.166554152966,0.0111923245713,0.0049123009666800000,0.124102674425,0.14934585988500000,0.357340186834,0.195625901222,0.173585370183,0.683936655521,0.31606334447900000,0.4742993414400000,0.525700628757,0.872393190861,85.9694213867,spotify:track:3T28jUJgz3QDIFQHm5gVvR,6,12,15,18,20,0
Whatever People Say You Are,Black,Comedy,0.59514272213,0.40485727787,0.0087959645316,0.00875398237258,0.0151013471186,0.0506036691368,0.385144889355,0.362934827805,0.166214883327,0.00245043518953,0.149747699499,0.130244970322,0.372507959604,0.27189707756,0.0756022930145,0.990043282509,0.00995672028512,0.28943413496,0.71056586504,0.7215345501900000,86.8129806519,spotify:track:5FUFqivZ2QCIEymil1kDix,6,12,15,18,20,0
Hard To Let A Good Love Go,Ernie Halter,This Beautiful Ache,0.647393465042,0.35260653495800000,0.0082243392244,0.0293718744069,0.00894474796951,0.17270542681200000,0.5202817916870000,0.236961558461,0.0183769594878,0.0051333070732700000,0.0815059840679,0.138752713799,0.465424597263,0.275479733944,0.0388369597495,0.999999463558,5.30832039658E-07,0.0146415317431,0.985358476639,0.803064644337,86.96231842040000,spotify:track:0bOJ7mO2RhrfhOCkASih5y,6,12,15,18,20,0
Ein Haus Ist Kein Zuhause,Mono und Nikitaman,Im Rauch der Bengalen (disc 1),0.947357475758,0.052642531693,0.00185042107478,0.145049631596,0.0145277474076,0.00414210325107,0.445314377546,0.182574093342,0.201974600554,0.00456704618409,0.17773284018,0.142824426293,0.5030196309090000,0.07521020621060000,0.101212903857,0.582256317139,0.417743653059,0.0150660630316,0.984933912754,0.958777070045,87.7969360352,spotify:track:1rqsm0M8r3dFji6gO2SdQC,6,12,15,18,20,0
É°Ê±¼Æ,£Å£Ø£É£Ì£Å,£Â£ò£å£å£ú£é£î¡¯¡«£Ô£ï£ç£å£ô£è£å£ò¡«,0.76476752758,0.235232502222,0.000258325628238,0.00283258245327,0.00435490254313,0.00105587393045,0.512773811817,0.4755448699,0.00288183847442,0.00029783174977600000,0.0637124329805,0.156311094761,0.388911545277,0.276071071625,0.114993855357,0.943535923958,0.056464061141,0.435663074255,0.5643368959430000,0.8390893340110000,87.93187713620000,spotify:track:4wK0iszzSLJbqIqbHw9ZQf,6,12,15,18,20,0
You Do the Same for Me,Dave Barnes,"What We Want, What We Get",0.893784821033,0.106215171516,0.006992991082370000,0.00448074750602,0.0220879428089,0.10122333467,0.499174982309,0.329359322786,0.0306314509362,0.00604924280196,0.07738877087830000,0.238777175546,0.514347553253,0.115883611143,0.0536028854549,0.987048089504,0.01295188535,0.353688985109,0.646311044693,0.848710179329,87.97192382810000,spotify:track:5NjEDbj7kxsHDR8Km3KdkE,6,12,15,18,20,0
Wildflower,Rachael Sage,The Blistering Sun,0.916285097599,0.0837149098516,0.006058461032810000,0.0838178098202,0.0433426760137,0.0181975439191,0.5873231887820000,0.22716422379,0.0300551522523,0.00404091738164,0.125708267093,0.214919924736,0.350297749043,0.255298942327,0.0537751093507,0.974541962147,0.0254580490291,0.026650076732,0.973349928856,0.857225298882,88.0141830444,spotify:track:7EzgBVYEqQKSqxubBK6YSW,6,12,15,18,20,0
