title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Lara’s Theme,James Last,Last the Whole Night Long,0.351482123137,0.648517847061,0.055319882929300000,0.035919442772900000,0.022706344723700000,0.0883397907019,0.449653655291,0.285527259111,0.0538414716721,0.00869216024876,0.156249403954,0.2553627491,0.330945193768,0.205038011074,0.0524046272039,0.988633275032,0.0113667128608,0.17041330039500000,0.8295866847040000,0.8822008967400000,65.4247589111,spotify:track:5YlF6jJFe9VqF4elXZYpdt,6,12,15,18,20,1
Her IQ #1,Aroah,No Podemos Ser Amigos,0.00869435910136,0.991305649281,0.0259727314115,0.00993017014116,0.00363064371049,0.0138296028599,0.587904453278,0.207375794649,0.13985411822800000,0.011502504348800000,0.17254191637000000,0.109118670225,0.58474367857,0.0933486297727,0.040247131139,0.979974508286,0.0200255177915,0.00043718583765400000,0.999562799931,0.958181321621,74.38655853270000,spotify:track:68PISFaEyHIBCfi2KB2pfQ,6,12,15,18,20,1
Some Of Your Lovin,Phil Collins,Going Back,0.0783958658576,0.921604156494,0.016246413812,0.00257627014071,0.00290600396693,0.0131996618584,0.666277050972,0.266646713018,0.0283196866512,0.00382821192034,0.117133460939,0.265377640724,0.491630524397,0.0952020734549,0.0306563135237,0.794629991055,0.205370038748,0.006818788126110000,0.993181228638,0.930373311043,75.882522583,spotify:track:7qexGObP8oDGRrgMlP6YAP,6,12,15,18,20,1
~*♥*~More Than Lo√e~*♥*~,Los Lonely Boys,)(_Rockpango_)(,0.295634776354,0.7043652534480000,0.0066480888053800000,0.00358085869811,0.008596641011540000,0.0914022698998,0.48076581955,0.396341443062,0.00947057735175,0.00319430814125,0.123739443719,0.298092514277,0.382989704609,0.171473518014,0.023704824969200000,0.990115106106,0.00988487992436,0.14021876454400000,0.8597812652590000,0.913967490196,76.8689422607,spotify:track:1VZiq9RGaMp3v3F9Att0va,6,12,15,18,20,1
"Vom Himmel Hoch, Da Komm Ich Her",Flippers,Weihnachten Mit Den Flippers,0.307271242142,0.6927287578580000,0.0439329817891,0.00429200287908,0.00255812192336,0.0197315271944,0.807398736477,0.0657534152269,0.052337564528,0.00399563740939,0.08689201623200000,0.240328207612,0.430712491274,0.1444157511,0.0976515412331,0.966937124729,0.0330628976226,0.004074031952770000,0.995925962925,0.948807060719,77.7561264038,spotify:track:0Hvt2dgMZ2s6ZHFhv5gXJA,6,12,15,18,20,1
Main Title,John Carpenter & Alan Howarth,Escape From New York,0.073203779757,0.926796197891,0.0403592810035,0.00881083868444,0.07686265558,0.102812379599,0.511126101017,0.22620922327,0.016234081238500000,0.0175854302943,0.0876317545772,0.177105471492,0.524811625481,0.141568124294,0.06888300180440000,0.6679590344430000,0.332040935755,0.23444133997,0.7655586600300000,0.5867599844930000,79.2144393921,spotify:track:3Eb0zZx8jSDz8PPcydqRpX,6,12,15,18,20,1
Our Lady of Winter,Molasses,A Slow Messe,0.119948074222,0.880051910877,0.0512149520218,0.0201248042285,0.0231517888606,0.0383247844875,0.477010637522,0.35656043887100000,0.0264706704766,0.0071419281885,0.0379576161504,0.173316180706,0.6934462785720000,0.0786087661982,0.0166711397469,0.7728188037870000,0.227181211114,0.0601389668882,0.939861059189,0.507756114006,79.74968719480000,Not Found,6,12,15,18,20,1
When You Were Mine,Saigon Kick,Water,0.153622403741,0.84637761116,0.235207244754,0.00960782635957,0.0127713792026,0.0297904144973,0.294955998659,0.156255364418,0.246536970139,0.014874798245700000,0.121738865972,0.302549034357,0.432316422462,0.112286865711,0.031108826398800000,0.958733677864,0.0412662997842,0.11055716872200000,0.889442801476,0.801150679588,79.77578735350000,spotify:track:1dTUbIA7u2jza57MVtjZbN,6,12,15,18,20,1
Kyynelsilmin kuutamolla,Pate Mustajärvi,Taivas on täynnä,0.322770535946,0.677229464054,0.0459462888539,0.00759378261864,0.0166641045362,0.022131310775900000,0.540774822235,0.230130150914,0.131940305233,0.004819250665610000,0.0979948490858,0.15006685257000000,0.530476331711,0.17041860520800000,0.0510433875024,0.646604239941,0.353395789862,0.00748801790178,0.992511987686,0.8704127073290000,79.9027023315,spotify:track:542qCOh05sIw4RGXtLT6EQ,6,12,15,18,20,1
Disaster,The Besnard Lakes,The Besnard Lakes Are the Dark Horse,0.153086796403,0.846913218498,0.167364671826,0.0136587079614,0.0143760638312,0.0596692338586,0.39445412159,0.250275611877,0.08105815202000000,0.0191434491426,0.0604982078075,0.131208732724,0.594051420689,0.163200393319,0.0510412789881,0.996452629566,0.003547353670000000,0.0896905064583,0.910309493542,0.815044283867,79.9798278809,spotify:track:6jX4JzkryeEhLrGWh69apy,6,12,15,18,20,1
Neva Give Up,Tiwony & Konshens,Cité Soleil,3.00000096379E-14,1.0,0.0010591505561,0.033136997371900000,0.0895275697112,0.0099093830213,0.656904101372,0.176572099328,0.0320616103709,0.000829110969789,0.167402714491,0.260454446077,0.367478787899,0.179250851274,0.025413217023,0.935901463032,0.0640985220671,0.008837076835330000,0.991162896156,0.980229139328,80.0250091553,spotify:track:25efqyerZ39fcRjr99eHjE,6,12,15,18,20,1
Re Vos Cerveaux,Jonathan Coulton,The Aftermath,0.238079950213,0.761920034885,0.0251677818596,0.0109531125054,0.0311665274203,0.0523631423712,0.411806195974,0.14823000133,0.312572449446,0.00774079980329,0.099119797349,0.150050148368,0.474820107222,0.175422862172,0.100587077439,0.999993443489,6.55562280372E-06,0.0927172973752,0.907282710075,0.868990421295,80.0251235962,Not Found,6,12,15,18,20,1
Oh Lord Why Lord,Jim Capaldi,"Rock Classics: Rock Ballads, Volume 3",0.179543673992,0.8204563260080000,0.0467627309263,0.0115193286911,0.00886004045606,0.0380373522639,0.573896348476,0.168000951409,0.145483836532,0.007439401000740000,0.0652754530311,0.09207103401420000,0.535008430481,0.119019635022,0.188625440001,0.5174043178560000,0.482595682144,0.00476256106049,0.995237410069,0.716329336166,80.1529312134,Not Found,6,12,15,18,20,1
Somewhere in the Night,Barry Manilow,Ultimate Manilow (Compilation),0.186536774039,0.8134632110600000,0.0588756911457,0.0292874407023,0.020104072988,0.107485413551,0.376980692148,0.295993238688,0.0952288433909,0.0160446148366,0.138715818524,0.144612744451,0.398559451103,0.266281068325,0.0518309213221,0.999988734722,1.12570041892E-05,0.153849944472,0.846150040627,0.8002935051920000,80.909324646,spotify:track:3PAyW4dkGxnWJNWzKNVWf5,6,12,15,18,20,1
Let Me Go,Sonya Kitchell,Words Came Back To Me,0.318925470114,0.681074559689,0.0034433584660300000,0.00252839596942,0.005941418465230000,0.021131278947,0.499534368515,0.453050881624,0.0118570579216,0.00251322402619,0.0484191253781,0.269264012575,0.438467115164,0.211490750313,0.0323590300977,0.997444570065,0.00255543226376,0.0245386678725,0.975461304188,0.8463327288630000,81.0009918213,spotify:track:2AMuMEy8n2qLuOSPzEiWmP,6,12,15,18,20,1
Unforgettable,Marvin Gaye,I Heard It Through the Grapevine,0.205061018467,0.794938981533,0.142545253038,0.00717857666314,0.028415806591500000,0.11418274045,0.331429749727,0.297290503979,0.0647071748972,0.0142501778901,0.089646011591,0.17260736227,0.545763134956,0.101837679744,0.0901458114386,0.793925404549,0.206074595451,0.048696924001,0.951303064823,0.630970180035,81.4902420044,spotify:track:1JEsURJWtByMnjla7r9Wpj,6,12,15,18,20,1
Blue Velvet,Johnny Tillotson,Talk Back Trembling Lips / The Tillotson Touch,0.213913559914,0.7860864400860000,0.224528118968,0.00741448393092,0.0302358567715,0.181869551539,0.23917658627,0.234644770622,0.0293588191271,0.0527718104422,0.0710732415318,0.137960672379,0.5416894555090000,0.198426559567,0.05085009709,0.537478208542,0.462521761656,0.224647805095,0.7753521800040000,0.918101847172,81.7640228271,spotify:track:3p3d1EHpY1qKkddlolqoEg,6,12,15,18,20,1
Never Felt Love,Little Big Town,Little Big Town,0.205887272954,0.794112741947,0.0220709796995,0.008288447745140000,0.0122025925666,0.07616267353300000,0.507558703423,0.07995676249270000,0.280108481646,0.0136513542384,0.136047303677,0.188215151429,0.538956701756,0.106235049665,0.0305457822978,0.8521730899810000,0.147826939821,0.0357532389462,0.964246749878,0.916264235973,82.2228927612,spotify:track:0bwFzt7jBlwf2d1otUb5Nr,6,12,15,18,20,1
運命(instrumental),KAMIJO,闇夜のライオン,0.0408225245774,0.959177494049,0.202565655112,0.0288089532405,0.0115143479779,0.0275711696595,0.293382972479,0.14886046946000000,0.280084371567,0.007212074007840000,0.113973803818,0.296513587236,0.400972723961,0.117918863893,0.07062102854250000,0.977522552013,0.0224774740636,0.17441491782700000,0.825585067272,0.748756051064,82.4610290527,spotify:track:3ysGsCTqCRBVJuE0XkrjfD,6,12,15,18,20,1
Beribau,Dion & The Belmonts,Together Again,0.0113909896463,0.988609015942,0.125217169523,0.0158867742866,0.0127269765362,0.0351027138531,0.306250303984,0.24367326498000000,0.219024285674,0.042118512094,0.124417282641,0.17148786783200000,0.550011754036,0.0476194173098,0.106463678181,0.755607664585,0.244392335415,0.110184974968,0.889815032482,0.927336990833,82.5881652832,Not Found,6,12,15,18,20,1
Open Window,MitiS feat. Anna Yvette,Open Window,0.23938266933,0.760617315769,0.005432553123680000,0.0208151973784,0.006571763195100000,0.0188495386392,0.457104742527,0.0416048616171,0.44484898448,0.00477236229926,0.17919881641900000,0.151227712631,0.390022724867,0.123365387321,0.156185358763,0.825488507748,0.17451152205500000,0.17690299451400000,0.8230969905850000,0.935874581337,82.9903335571,spotify:track:4nkBL9MVNCSfUJpNHKeiyb,6,12,15,18,20,1
Du gingst vorbei,Udo Jürgens,Udo 70,0.393231064081,0.606768906116,0.27804449200600000,0.0170167051256,0.010791182518,0.0354607887566,0.404873996973,0.163550049067,0.06313806027170000,0.0271247178316,0.0586846955121,0.158715978265,0.545168101788,0.229945465922,0.00748578319326,0.977836489677,0.022163527086400000,7.32613480068E-05,0.999926745892,0.702677845955,83.0770645142,spotify:track:0wFO7RfBcxGuo06HO9gEe0,6,12,15,18,20,1
Jody Sings,Masters of Reality,Sunrise on the Sufferbus,3.00000096379E-14,1.0,0.00144660240039,0.026983350515400000,0.012614651583100000,0.0547806434333,0.667259156704,0.21242775023,0.021608067676400000,0.0028798065614,0.197078973055,0.145488396287,0.534641385078,0.0539120994508,0.0688791275024,0.937892079353,0.06210790947080000,0.249068558216,0.750931441784,0.660505831242,83.5170288086,spotify:track:6MIhP1mAIzCkL4WOzYhiys,6,12,15,18,20,1
Kings Garden,Tim Christensen,Secrets on Parade,0.157659634948,0.8423403501510000,0.0530881658196,0.008145931176840000,0.0113772908226,0.0528553500772,0.426218688488,0.346715778112,0.08489152044060000,0.0167072787881,0.06320334225890000,0.105062395334,0.702197849751,0.110835887492,0.0187005288899,0.996866941452,0.00313308020122,0.0811518877745,0.918848097324,0.847723901272,83.5962677002,spotify:track:5z1oO9j7CGLePdOqK16LeO,6,12,15,18,20,1
Somethin About,John Denver,Its About Time,0.382854878902,0.617145121098,0.0647590756416,0.00657009612769,0.054655902087700000,0.0465580932796,0.421984314919,0.322592079639,0.07464147359130000,0.00823896378279,0.0831684991717,0.242194727063,0.421228379011,0.226823121309,0.0265852920711,0.951146185398,0.0488537997007,0.0731350183487,0.926864981651,0.717462837696,83.6437301636,spotify:track:5aBDkdy3R52w4EcfGhB614,6,12,15,18,20,1
Defenders of the Flag,Bruce Hornsby & The Range,Scenes From the Southside,0.367453455925,0.632546544075,0.0536564104259,0.0126818874851,0.0126935625449,0.0192698128521,0.450120478868,0.0958362296224,0.350303858519,0.005437760148200000,0.0901554524899,0.17124029994000000,0.3919454813,0.282283097506,0.0643756687641,0.911272168159,0.0887278541923,0.0240864269435,0.975913584232,0.926115095615,83.792175293,spotify:track:1AMDkW9QDA8ijZQ2bhpJwd,6,12,15,18,20,1
Winter Song,Chris Rea,The Journey 1978 - 2009 (Disc 2),0.185562059283,0.8144379258160000,0.0123955011368,0.00493844086304,0.00508236093447,0.0563102699816,0.7004979252820000,0.140604868531,0.07591558992860000,0.00425507221371,0.103876560926,0.149908319116,0.55114865303,0.148767486215,0.046298999339300000,0.936571598053,0.0634283721447,0.127173677087,0.872826337814,0.8583879470830000,84.0120010376,spotify:track:5OL0wsglaARwT2LFnFV6vo,6,12,15,18,20,1
Belle Virginie,Tri Yann,Marines,3.00000096379E-14,1.0,0.000204565702006,0.00351619464345,0.0008311560377480000,0.0007898920448500000,0.913398563862,0.0708059966564,0.01015511062,0.00029852768057,0.116968333721,0.224005654454,0.313838481903,0.109141804278,0.236045718193,0.906601548195,0.0933984443545,0.00817930232733,0.991820693016,0.916823625565,84.8812637329,spotify:track:78i1i5X2JnrI8USW0sMUYO,6,12,15,18,20,1
Goodbye in His Eyes,Natalie Imbruglia,Male,0.339981526136,0.660018444061,0.00206321571022,0.0248209834099,0.004944831598550000,0.00902467872947,0.625710785389,0.328380644321,0.00387419504113,0.00118067068979,0.0916901007295,0.143605202436,0.5066650509830000,0.209239766002,0.048799905926,0.986121952534,0.013878069818,0.0015576616860900000,0.998442351818,0.769988834858,84.9558029175,spotify:track:6W0qwhCgHp7Q2qY9FzT48G,6,12,15,18,20,1
Ne Baisse Pas la Tête,Kate Ryan,Different,0.0500293299556,0.949970662594,0.00127661204897,0.0695219710469,0.0549153238535,0.006020628381520000,0.665903568268,0.169411823153,0.0309273060411,0.00202278280631,0.122950561345,0.258880317211,0.335065215826,0.251764416695,0.0313395038247,0.999981284142,1.87250479939E-05,0.061707928776700000,0.938292086124,0.955589413643,85.6738891602,Not Found,6,12,15,18,20,1
Waiting for Today to Happen,The Lightning Seeds,Dizzy Heights,0.024674218148,0.975325763226,0.000324373744661,0.005018239375200000,0.0029007140547,0.000613846117631,0.487075775862,0.347098588943,0.156682193279,0.0002862873952840000,0.0591387040913,0.188279628754,0.6865034699440000,0.037505965679900000,0.0285722501576,0.951256871223,0.0487431026995,0.00352097698487,0.996479034424,0.910514295101,85.7611618042,spotify:track:37mv4dXTJG6Iubu2Nkwenn,6,12,15,18,20,1
Avalon,Blackmores Night,Under a Violet Moon,0.147839263082,0.85216075182,0.0197185650468,0.006186392158270000,0.00703108124435,0.0105058234185,0.618255376816,0.306355804205,0.02535392344,0.0065930695273000000,0.16967956721800000,0.266474962234,0.281229346991,0.213215664029,0.06940045207740000,0.8253338336940000,0.174666151404,0.00977535545826,0.990224659443,0.611222982407,86.02235412600000,spotify:track:02bnl7vqZoqEIVTEfXgrkE,6,12,15,18,20,1
Quand Les Roses,Adamo,30 Ans: Ses 20 Plus Grandes Chansons,0.354658871889,0.645341157913,0.0524915792048,0.00985830184072,0.01552469749,0.07233807444570000,0.431026935577,0.360048145056,0.0465333610773,0.012178924866,0.062187589705,0.197608441114,0.598314702511,0.134923160076,0.00696610705927,1.0,2.38587176682E-08,0.0042149741202600000,0.99578499794,0.403058499098,86.0656967163,spotify:track:1FfDswzkGiYoHtbPI6iLdg,6,12,15,18,20,1
04 - SLAUGHTER - Days Gone By,Slaughter,Mass SlaughterThe Best of Slaughter,0.430968016386,0.569031953812,0.0131647121161,0.0312243122607,0.0137030063197,0.025372069329,0.5612273812290000,0.210217237473,0.137671068311,0.007420230191200000,0.08907704055310000,0.155608013272,0.38893738389,0.26038044691100000,0.105997093022,0.896765112877,0.103234887123,0.0265618320554,0.97343814373,0.925443351269,86.4449234009,Not Found,6,12,15,18,20,1
This Aint Love,Pierce Pettis,Making Light of It,0.0646540224552,0.935345947742,0.0355142354965,0.0238439999521,0.0159312710166,0.0480305701494,0.504009246826,0.290687143803,0.07157555222510000,0.0104079674929,0.242693170905,0.156435728073,0.266804337502,0.235036015511,0.0990307480097,0.977998912334,0.0220010969788,0.00254443800077,0.997455537319,0.572632551193,86.8113250732,spotify:track:0BYoSqbB4bJw3fiZQFCm80,6,12,15,18,20,1
America,Miko,Chandelier,9.55941959546E-06,0.999990463257,0.0446172468364,0.007013892754910000,0.0028055717703,0.0389479622245,0.646941244602,0.150399565697,0.0973303392529,0.0119441570714,0.213791459799,0.241533443332,0.248495683074,0.24638864398,0.0497907623649,0.947883367538,0.0521166548133,0.00619837641716,0.993801593781,0.910832822323,86.9756164551,spotify:track:0UdHQ44HgM8bTdqcEHzdQn,6,12,15,18,20,1
Unchained Melody,Kate Ceberano,Anthology,0.14190950989700000,0.8580904603,0.0483114719391,0.0139005454257,0.0181026794016,0.279702275991,0.32176822423900000,0.298762977123,0.0110931312665,0.00835869181901,0.0764534845948,0.283021509647,0.35243642330200000,0.13769286871,0.150395721197,0.925563037395,0.0744369477034,0.124416857958,0.875583171844,0.307041108608,87.8011474609,spotify:track:2yTExeuWAaXmTowIYTZsgm,6,12,15,18,20,1
Woman (What Have You Done to Me),Shakin Stevens,The Epic Masters (Disc 8: a Whole Lotta Shaky),0.213610678911,0.786389350891,0.0439516790211,0.0327075608075,0.020629145205,0.0126730138436,0.479966938496,0.251707702875,0.154249936342,0.0041140075773,0.07759633660320000,0.16855524480300000,0.6033524870870000,0.113522596657,0.0369733534753,0.999996006489,3.96630275645E-06,0.255787879229,0.744212090969,0.846925199032,88.11003875730000,Not Found,6,12,15,18,20,1
Things That Stop You Dreaming,Passenger,All the Little Lights,0.15577326715,0.844226717949,0.00935621745884,0.00759598659351,0.0159927364439,0.00585557008162,0.666159570217,0.26258769631400000,0.028389248997,0.0040629724972,0.109415598214,0.286733984947,0.4471308887,0.0955646708608,0.0611548796296,0.991747438908,0.0082525620237,0.00745490333065,0.992545068264,0.826783418655,88.9336395264,spotify:track:6QeSCvsJj4g112mxfrMmYk,6,12,15,18,20,1
Born Again,Starsailor,Silence Is Easy,0.357559561729,0.6424404382710000,0.0166729949415,0.00389244756661,0.0024396886583400000,0.0203683730215,0.624474942684,0.04586660116910000,0.283917874098,0.00236711418256,0.0944801419973,0.114142179489,0.48860964179,0.177032396197,0.125735640526,0.984128952026,0.0158710349351,0.0172682330012,0.982731759548,0.855475842953,89.0868377686,spotify:track:2w0zk7i8H03UlKI5sHjt4L,6,12,15,18,20,1
Scissorhands,The Uncluded,Hokey Fright (Deluxe Version),0.02431024611,0.975689768791,0.00572054320946,0.004743837751450000,0.00237438967451,0.040763489902,0.624059677124,0.164543747902,0.146589815617,0.0112045127898,0.14945124089700000,0.118236832321,0.62163990736,0.0865457952023,0.0241261962801,0.963795185089,0.036204826086800000,0.00171410338953,0.998285889626,0.972412526608,89.5990753174,spotify:track:3B2K9B7TtUXOVfK7fceBd3,6,12,15,18,20,1
Medley; Slipping Away-Here Is Kazmeyer,Information Society,The Best of.....,0.076456733048,0.923543274403,0.00141060061287,0.0602235719562,0.00903124455363,0.00153904850595,0.762638270855,0.0451551638544,0.119138740003,0.000863385561388,0.0818588063121,0.0975445061922,0.44957485795,0.0576857365668,0.313336104155,0.98739439249,0.012605578638600000,0.243366912007,0.756633102894,0.919486582279,89.7468414307,Not Found,6,12,15,18,20,1
Teenage Fury,Washington,How to Tame Lions,0.181573629379,0.818426370621,0.007400546688590000,0.00295371725224,0.00265301018953,0.017939297482400000,0.6207926869390000,0.25202742219,0.0926697701216,0.00356354936957,0.13802018761600000,0.262633293867,0.297042816877,0.272908866405,0.0293948482722,0.995762765408,0.00423720525578,0.00272644520737,0.997273564339,0.936447381973,89.8531570435,spotify:track:2egWpO9XAHJTU8wfo3Jn2f,6,12,15,18,20,1
笑顔,Aimer,Sleepless Nights,0.0863340497017,0.913665950298,0.0811328142881,0.017251672223200000,0.017381621524700000,0.134155660868,0.299044936895,0.241018339992,0.196029722691,0.0139852166176,0.112287089229,0.257620960474,0.33839610219000000,0.158732950687,0.132962927222,0.982886075974,0.017113910988,0.19117167592,0.808828294277,0.803549528122,89.9296417236,spotify:track:6PXnqnETH8lRJP27QzvyXU,6,12,15,18,20,1
Exalted (Yahweh),Chris Tomlin,Hello Love,0.257378727198,0.742621243,0.0681365057826,0.0151331834495,0.01577995345,0.287845224142,0.35079818964000000,0.20387044549,0.0464529916644,0.0119835119694,0.118779815733,0.112669594586,0.348753333092,0.161540806293,0.258256435394,0.566644966602,0.433355003595,0.047642555087800000,0.952357470989,0.574437379837,90.0097351074,spotify:track:670Ld1dHnVyTBBw81Ybf2t,6,12,15,18,20,1
Belladonna mia,Les Innocents,Fous à lier,0.109274201095,0.890725791454,0.000844630645588,0.0358212664723,0.00960418581963,0.0182319059968,0.556949853897,0.35001865029300000,0.0258732903749,0.00265619670972,0.15555076301100000,0.297827959061,0.393957853317,0.08247112482790000,0.070192322135,0.941490352154,0.058509655296800000,0.177372261882,0.8226277232170000,0.94924646616,90.0268707275,spotify:track:3Fm6jEXVb2Pbp1S5RDS8Gi,6,12,15,18,20,1
Sparrows,Matt Pond PA,The Dark Leaves,0.0398139767349,0.960186004639,0.0948584079742,0.028911119326900000,0.0156886931509,0.063834913075,0.414521306753,0.141085803509,0.210547879338,0.0305518750101,0.218451917171,0.286562412977,0.311467409134,0.13371670246100000,0.0498015582561,0.546609640121,0.4533903300760000,0.0378107950091,0.96218919754,0.848416686058,90.43412017820000,spotify:track:4eqeLR4lcS2FV4ugvX7Z9h,6,12,15,18,20,1
Sure Enough,Amy Grant,Lead Me On,0.410555422306,0.589444577694,0.00982659589499,0.0108756059781,0.00260644638911,0.015497260727,0.506342232227,0.0410926751792,0.41246125102,0.0012979211751400000,0.0953887626529,0.112562306225,0.354100823402,0.188687175512,0.249260947108,0.563551723957,0.436448305845,0.0020774519071,0.997922539711,0.881905972958,90.9473419189,spotify:track:3WUaMxGv8oCoEYm9Bny17S,6,12,15,18,20,1
Tramps Heartbreak,Black 47,Trouble in the Land,0.12455612421000000,0.8754438757900000,0.13519103825100000,0.0124881779775,0.0208029709756,0.0980182215571,0.273610591888,0.186377301812,0.258957862854,0.0145538216457,0.07758255302910000,0.109745427966,0.464578509331,0.173786312342,0.174307182431,0.999994277954,5.74830664846E-06,0.118566170335,0.8814338445660000,0.8428507447240000,91.00866699220000,spotify:track:081QqeC1i15guCko5uYI39,6,12,15,18,20,1
Who Left Who,Del Shannon,Rock On!,0.34867593646,0.651324033737,0.0289215687662,0.022879103198600000,0.015845293179200000,0.019497675821200000,0.545532286167,0.251563578844,0.110946841538,0.00481366505846,0.10467389971,0.182969152927,0.460206955671,0.199723288417,0.0524266958237,0.6386015415190000,0.361398458481,0.00397516600788,0.996024847031,0.921984016895,91.7143478394,spotify:track:49raS3qP6N4CEeL6uXCsgo,6,12,15,18,20,1
Where Sorrys Not Enough,Smokie,The World and Elsewhere,0.277575284243,0.7224247455600000,0.0103196622804,0.0069657121785,0.00759060913697,0.013220249675200000,0.615444540977,0.247684523463,0.0969788059592,0.0017959063407,0.136946216226,0.180257126689,0.293999552727,0.251812905073,0.136984199286,0.996067345142,0.00393263716251,0.0125323273242,0.987467646599,0.624719560146,91.8248672485,spotify:track:0QTyAFFsTq5hyQi5t7AAiP,6,12,15,18,20,1
I Will Return,Dare,Circles,0.32320055365600000,0.6767994761470000,0.0758246183395,0.0232782121748,0.0171700045466,0.0793659314513,0.358548879623,0.121230982244,0.307166218758,0.0174151360989,0.119577333331,0.266103088856,0.293635755777,0.229261413217,0.0914224013686,0.999999940395,7.7706054924E-08,0.0226912349463,0.977308750153,0.722006678581,92.00730896,spotify:track:12At5OZKHbWS48z0zGWaC7,6,12,15,18,20,1
The Only Love,Vince Gill,These Days (Disc 3: Some Things Never Get Old: the Country and Western Record),0.0683978572488,0.931602120399,0.0379459112883,0.00486473878846,0.00507827987894,0.0115635739639,0.744323313236,0.150150552392,0.0400510802865,0.006022542715070000,0.08873795717950000,0.239821448922,0.435250669718,0.173862591386,0.0623273216188,0.995798707008,0.0042013162747,0.0225675553083,0.97743242979,0.8678026795390000,92.0270767212,spotify:track:7DQKtToIYiHEPM4gZdNSnh,6,12,15,18,20,1
Ces grands moments de solitude (ou lart délicat de passer pour un con),Tété,À la faveur de lautomne,0.4424197673800000,0.5575802326200000,0.0848977267742,0.0153959384188,0.017361143603900000,0.10600283742,0.37321293354,0.23268084228,0.123893834651,0.0465547330678,0.0638792142272,0.26997679472,0.446711480618,0.207721889019,0.0117106391117,1.0,1.09519335822E-08,0.00138891965616,0.998611092567,0.940662384033,92.03196716310000,spotify:track:2gbRknJFINbG5ofX06P3ci,6,12,15,18,20,1
Blessing in Disguise,"Susan Ashton, Margaret Becker & Christine Denté",Along the Road,2.10463632633E-10,1.0,0.00100494443905,0.006500643212350000,0.00185292505194,0.00351077294908,0.63369756937,0.336627870798,0.0161021817476,0.000703079800587,0.105863727629,0.156885147095,0.563963294029,0.153771325946,0.0195165015757,0.986827015877,0.0131730111316,0.0240626949817,0.975937306881,0.910768687725,92.0364685059,spotify:track:4kpg49xyiFC3PkEBPEFdK5,6,12,15,18,20,1
Soldier,Ingrid Michaelson,Everybody,0.247448518872,0.752551496029,0.009036748670040000,0.0582881644368,0.0141337225214,0.017231948673700000,0.462436705828,0.40161550045,0.0276101566851,0.00964703876525,0.101074934006,0.230412840843,0.304549157619,0.245978266001,0.117984808981,0.993302106857,0.00669791037217,0.014157186262300000,0.985842823982,0.881006300449,92.0527954102,spotify:track:1BrsPJLHCETAnjozWh9S5B,6,12,15,18,20,1
White Lipstick,Them Bird Things,Wildlike Wonder,0.162137448788,0.8378625512120000,0.0134871015325,0.0279018245637,0.00904008932412,0.0728800520301,0.5752220153810000,0.221083879471,0.071124009788,0.0092610064894,0.08533197641370000,0.200577124953,0.528085768223,0.140606105328,0.045399017632,0.948286950588,0.0517130419612,0.217666387558,0.7823336124420000,0.921363532543,92.2211227417,spotify:track:7B5HN152mCGUfZv8rakwVC,6,12,15,18,20,1
