title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Me and My Friend Lobstah,Tweeter,Me and My Friend Lobstah,0.738100171089,0.26189985871300000,0.11556135118,0.02445624955,0.113169334829,0.132463529706,0.294528573751,0.24780023098,0.033734839409600000,0.0382858961821,0.0954823493958,0.0864613503218,0.4527722299100000,0.145782798529,0.219501271844,0.182218879461,0.817781150341,0.999996066093,3.95849838242E-06,0.855966866016,67.553024292,Not Found,6,12,16,17,20,0
A Dança das Ondas,Ava Inferi,The Silhouette,0.301986724138,0.6980133056640000,0.0162768419832,0.0467709004879,0.032732963562,0.0445675067604,0.455669075251,0.305561810732,0.090473562479,0.00794732198119,0.0948255881667,0.122711025178,0.403368651867,0.08090736716990000,0.298187345266,0.0134149482474,0.986585080624,0.220628991723,0.779371023178,0.675270080566,68.71207427980000,Not Found,6,12,16,18,20,1
Rouge Sang,Renaud,Rouge Sang,0.978648245335,0.0213517695665,0.00210068421438,0.0300451144576,0.0519178770483,0.00521792843938,0.7662051916120000,0.127048268914,0.0103745367378,0.007090403232720000,0.146258339286,0.17118251323700000,0.441098123789,0.15477159619300000,0.08668942749500000,0.0171398632228,0.982860147953,0.147943228483,0.852056801319,0.831570565701,70.1991882324,spotify:track:1IQk9qtfyb9WrnhiqpK1AW,6,12,16,18,20,0
Inner Female,Angels of Light,New Mother,0.186542361975,0.8134576082230000,0.0053964308463,0.00735551072285,0.0229136161506,0.00508776959032,0.554898560047,0.36218971014,0.036750953644500000,0.00540748797357,0.0897838324308,0.146529227495,0.447268694639,0.125228986144,0.191189274192,0.000559457403142,0.999440550804,0.00830521713942,0.991694808006,0.882872819901,71.0561752319,spotify:track:273gdFA0f2N73f3OJos2FG,6,12,16,18,20,1
Lapsuuden metsä,Indica,Tuuliset tienoot,0.69310593605,0.30689406395,0.00719308201224,0.00946690700948,0.00335848261602,0.0145853916183,0.822696805,0.0494820736349,0.091660797596,0.0015564835630400000,0.170212894678,0.253219544888,0.325554192066,0.119112446904,0.131900936365,0.182875454426,0.817124545574,0.562144994736,0.437855005264,0.8761007785800000,73.3079910278,spotify:track:4YHJTO1WzqiNcQsE8wYY4k,6,12,16,17,20,0
Overboard,Matthew,Overboard,0.0422299131751,0.957770109177,0.025430789217400000,0.00489781051874,0.00322729418986,0.0388765670359,0.6318126320840000,0.27558618784,0.0116222677752,0.008546476252380000,0.06998332589860000,0.08050250262020000,0.567630112171,0.128471240401,0.15341281890900000,0.336728781462,0.663271248341,0.00915807206184,0.990841925144,0.702900886536,76.86906433110000,spotify:track:5Kqohw0BJOWNWZbnN1Rjs3,6,12,16,18,20,1
Outcasts,Savant,ZION,0.993014574051,0.00698541244492,0.020367346704,0.197535544634,0.180202692747,0.025022495538,0.34102681279200000,0.181585103273,0.0402094982564,0.0140504930168,0.106938190758,0.132670342922,0.347935795784,0.157351613045,0.255104064941,0.061584580689700000,0.938415408134,0.997057080269,0.00294291623868,0.7110127806660000,77.4657821655,spotify:track:6DioUy1cSfBRYnfuzx3LV4,6,12,16,17,20,0
Kennedy Rose,Patricia Kaas,Scène de vie,0.7028004527090000,0.297199577093,0.0137589303777,0.0465064644814,0.105777204037,0.0393066853285,0.406797975302,0.353005111217,0.0284750126302,0.006372609175740000,0.105116769671,0.144778713584,0.367289215326,0.17503124475500000,0.207784056664,0.478014320135,0.521985709667,0.08362158387900000,0.916378438473,0.869088411331,78.2416000366,spotify:track:0fUsDp0W38EyncnG3DAM1t,6,12,16,18,20,0
Lights Come On At 3,Piano Magic,Heart Machinery - A Piano Magic Retrospective (2001-2008),0.993257343769,0.00674265017733,0.00509628467262,0.23805552721,0.0191999133676,0.0222182050347,0.291364580393,0.23595033586,0.180966988206,0.00714816804975,0.15830604732,0.187109649181,0.329388350248,0.134866714478,0.19032925367400000,0.0652014091611,0.934798598289,0.576949477196,0.423050522804,0.945953071117,78.3410797119,spotify:track:3lvrsiOckyqJWDIugYhq7U,6,12,16,17,20,0
Who You Talking To?,Durrty Goodz,Ultrasound,0.999997496605,2.52794188782E-06,0.0005341163487170000,0.141303539276,0.0505205355585,0.00132366863545,0.701525270939,0.0867748633027,0.016929218545600000,0.00108878710307,0.08240531384940000,0.146348282695,0.535077810287,0.133665457368,0.102503098547,0.265816092491,0.734183907509,0.0296622235328,0.970337748528,0.95635420084,78.8607330322,spotify:track:2a3qyXGQRhQntmnepnDCbv,6,12,16,18,20,0
