title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Now or Never,Natalie Walker,With You,0.6843545436860000,0.315645426512,0.0147888083011,0.0652672722936,0.018890034407400000,0.0561276227236,0.531545579433,0.19667372107500000,0.101567193866,0.0151397539303,0.124707631767,0.426835656166,0.124087110162,0.201122835279,0.123246759176,0.96346193552,0.036538071930400000,0.657904565334,0.342095434666,0.946960151196,109.751037598,spotify:track:2TTRCFklwoNaqyCotClF8u,6,11,15,17,19,0
Gunpowder,Samifati,Trip-Hop.net Best Tunes 2015,0.999039053917,0.0009609694243410000,0.0132415201515,0.212930217385,0.0712342485785,0.0387837328017,0.382995843887,0.251578480005,0.0235512033105,0.00568476086482,0.0654856339097,0.314699977636,0.300587683916,0.252902716398,0.0663239583373,0.976530969143,0.0234690308571,0.8002381920810000,0.199761837721,0.956650733948,110.06313324,spotify:track:4kNIwgk3h323xUNO9d6hxm,6,11,15,17,19,0
You Make Me Sing,Kasey Chambers,Carnival,0.844351530075,0.155648455024,0.0107453223318,0.00618532812223,0.0107926903293,0.06280773133040000,0.562257289886,0.243997424841,0.0982850715518,0.004929147660730000,0.108410604298,0.35012060403800000,0.149899736047,0.184670582414,0.206898480654,0.82988846302,0.170111522079,0.8810665011410000,0.118933483958,0.935649871826,110.574569702,spotify:track:2b6aCvfmMKAUNrrfmAje8t,6,11,15,17,19,0
Two Shoes,The Cat Empire,Two Shoes,0.647586345673,0.352413654327,0.0101392827928,0.0245582666248,0.014832297340000000,0.243655055761,0.420291393995,0.174641013145,0.105506651103,0.006376031320540000,0.14068689942400000,0.346511602402,0.165129944682,0.12792082130900000,0.219750747085,0.811665594578,0.188334435225,0.986035168171,0.0139648094773,0.84114921093,113.285079956,spotify:track:57LP4yVIIBkRLWbq0ETF4K,6,11,15,17,19,0
Hearts Are Insane,Sherbet,Anthology (Disc 2),0.88479924202,0.115200743079,0.00188092293683,0.0045216786675200000,0.00710282800719,0.0132661424577,0.8360801339150000,0.0398359447718,0.0955106988549,0.00180165097117,0.163787677884,0.32170632481600000,0.18208307027800000,0.14096903801,0.191453889012,0.772466063499,0.227533921599,0.73543637991,0.264563590288,0.9591178298,114.000320435,spotify:track:1dH0W1Cb5Ufb4Cy4KRwrJj,6,11,15,17,19,0
Atlas Eyes,Tangerine Dream,The Private Music of Tangerine Dream,0.588047087193,0.411952912807,0.0127528999001,0.0469874590635,0.0138086117804,0.0663889870048,0.6299085617070000,0.160676270723,0.0603958517313,0.00908137392253,0.262583881617,0.263550937176,0.139778003097,0.148755192757,0.185332000256,0.922922134399,0.0770778730512,0.999993741512,6.24089761914E-06,0.845733940601,114.813354492,spotify:track:5zNFiVnwJL7KwQXyqgWx2m,6,11,15,17,19,0
Strange Entity,Oscar And The Wolf,Entity,0.616402029991,0.383597970009,0.013859087601300000,0.0307365469635,0.0712295100093,0.153996810317,0.388176172972,0.248002961278,0.0829133242369,0.0110855968669,0.162384405732,0.310614675283,0.17335909605,0.13612857461,0.217513248324,0.967008590698,0.0329914204776,0.853369116783,0.146630868316,0.8517238497730000,114.825683594,spotify:track:3zPeX8LNkyUPP3BB7HxSP7,6,11,15,17,19,0
Solid Gold (The Lost Version),International Pony,Mit dir sind wir vier,0.929765403271,0.0702345743775,0.026889543980400000,0.0144049162045,0.0361749753356,0.0928594768047,0.638810992241,0.12830285728,0.0537819415331,0.008775315247480000,0.0954075679183,0.514520466328,0.181019216776,0.0985322892666,0.11052043736,1.0,1.39448381731E-08,0.923021018505,0.0769789665937,0.836754381657,114.846008301,Not Found,6,11,15,17,19,0
Out of Touch,Hall & Oates,Ultimate Daryl Hall + John Oates (Disc 2),0.6016774177550000,0.398322552443,0.0608452185988,0.0416233539581,0.0408623181283,0.0770611539483,0.3647843301300000,0.210480362177,0.190148979425,0.0141942705959,0.178306087852,0.279029905796,0.147790521383,0.127660095692,0.267213374376,0.995360612869,0.00463938526809,0.828976452351,0.171023547649,0.867395162582,114.92212677,spotify:track:7o67roCVsFiCt7Cf0ZLOJq,6,11,15,17,19,0
So Surprise,Laltra,Different Days,0.590786993504,0.409212976694,0.0127550568432,0.0230307970196,0.020323440432500000,0.0561951287091,0.608346581459,0.225479632616,0.047288775444,0.0065805837512,0.124511174858,0.351063370705,0.209286376834,0.13204947114,0.183089628816,0.992022395134,0.007977630011740000,0.882278680801,0.117721289396,0.709562540054,115.015403748,Not Found,6,11,15,17,19,0
Its OK (Its Alright),Fine Young Cannibals,The Raw & The Cooked,0.989465713501,0.0105343079194,0.0005355306784620000,0.0492626652122,0.0183511637151,0.007094921078530000,0.8488959074020000,0.0375123731792,0.0379836447537,0.0003637756162790000,0.192311301827,0.371083766222,0.06538747996090000,0.218402415514,0.152815058827,0.997315645218,0.00268434081227,0.574121654034,0.4258783459660000,0.935745716095,115.127441406,spotify:track:51MvZmximYzZv9t0yyEwkh,6,11,15,17,19,0
Sayonara,The Pogues,Hells Ditch,0.998555600643,0.00144438375719,0.00460661062971,0.139650434256,0.0394895710051,0.015164860524200000,0.576970934868,0.147391840816,0.07408087700610000,0.00264487951063,0.0737359523773,0.337758332491,0.177644759417,0.332586616278,0.0782743319869,0.999986231327,1.37441356856E-05,0.7384971976280000,0.261502832174,0.920733094215,115.56111145,spotify:track:6DeOcQkwweyF1zEEanJCYs,6,11,15,17,19,0
(Hey You) The Rock Steady Crew (instrumental version),The Rock Steady Crew,(Hey You) The Rock Steady Crew,0.641386985779,0.358613014221,0.041866771876800000,0.017041610553900000,0.089339569211,0.0632751956582,0.554042100906,0.106818057597,0.121480673552,0.006136044859890000,0.200625941157,0.34796708822300000,0.050905585289,0.161368817091,0.239132553339,0.97622525692,0.0237747579813,0.567319333553,0.432680666447,0.8795673847200000,115.588394165,spotify:track:20wNRTaGvgF8Zg3JxmqeJn,6,11,15,17,19,0
Last Christmas,Taylor Swift,Sounds of the Season: The Holiday Collection,0.991774857044,0.008225127123300000,0.00224812072702,0.00726744811982,0.00240580830723,0.0266886912286,0.747453868389,0.0507536754012,0.161743044853,0.00143936683889,0.106391727924,0.508870482445,0.0721363946795,0.152904227376,0.159697175026,0.995560646057,0.004439351148900000,0.609714150429,0.390285849571,0.953895568848,115.94909668,spotify:track:2IprIjGNRlj3TfqUWCAo0C,6,11,15,17,19,0
You Ought to Be Havin Fun,Tower of Power,Aint Nothin Stoppin Us Now,0.8513737320900000,0.14862626791,0.052100405097,0.04979756847020000,0.0601497143507,0.194477617741,0.259030461311,0.190739348531,0.17199954390500000,0.0217053312808,0.08470389992,0.425397694111,0.105395331979,0.309404224157,0.0750988647342,0.996172368526,0.00382764055394,0.823846757412,0.176153257489,0.818286597729,116.83199310300000,spotify:track:0GEMqWyxl6gGHWFnFkB9Cc,6,11,15,17,19,0
Dot Com,Battles,La Di Da Di,0.910175919533,0.0898240879178,0.052607357502,0.0550420843065,0.105389297009,0.07316743582490000,0.378384709358,0.227092251182,0.0772008001804,0.0311160776764,0.173527598381,0.305163681507,0.182060956955,0.172025159001,0.167222604156,0.572822332382,0.427177667618,0.972289741039,0.027710268273900000,0.668702185154,116.85146331800000,spotify:track:2BOpeOItfLqg4Si1eQhJBx,6,11,15,17,19,0
Pretend That Youre Alone (Demo),Keane,Perfect Symmetry (Deluxe Edition),0.720618546009,0.279381483793,0.0424657166004,0.0230106096715,0.057012375444200000,0.172459319234,0.389303714037,0.223873138428,0.0751594156027,0.0167157202959,0.0953170657158,0.47121116519,0.149002835155,0.15596061945,0.128508329391,1.0,5.62019042416E-10,0.91125446558,0.0887455642223,0.850982487202,117.007797241,spotify:track:6e1ReKYhgYejJjpesV2C7p,6,11,15,17,19,0
Girl From Ipanema Goes to Greenland,The B-52s,Planet Claire,0.8686757087710000,0.131324321032,0.004897951614110000,0.023244181647900000,0.076318949461,0.013426659628700000,0.6264177560810000,0.127043381333,0.126420676708,0.00223042373545,0.14632612466800000,0.317196786404,0.137464702129,0.12678706646,0.272225320339,0.950623393059,0.049376614391800000,0.946834683418,0.0531652905047,0.7692002058030000,117.16258239700000,spotify:track:0Q1e6S8IPsoiz8K6rh72UP,6,11,15,17,19,0
Tribute to Skatalites,The Busters,Ruder Than Rude,0.822885096073,0.177114918828,0.08659226447340000,0.0193836726248,0.0313435867429,0.105100169778,0.43536055088,0.117258511484,0.192398458719,0.0125627918169,0.120101377368,0.324735373259,0.122447751462,0.116585351527,0.316130161285,0.999999940395,6.59030305883E-08,0.985206782818,0.0147932386026,0.966011106968,117.38951873800000,spotify:track:54WFhECDNfyuiRJHmrsr0y,6,11,15,17,19,0
Las gaviotas,Flaco Jiménez,The Best of,0.647309482098,0.352690517902,0.0940771624446,0.0126438802108,0.0168586820364,0.0714240968227,0.32502281665800000,0.19880400598,0.249522596598,0.0316467471421,0.101292066276,0.453361868858,0.121724203229,0.252953261137,0.07066862285140000,1.0,1.19271925669E-08,0.866745650768,0.133254319429,0.8980916738510000,117.803703308,spotify:track:1qYqK3OlVTEWF6j4ULSMGa,6,11,15,17,19,0
Du temps qui passe,Laurent Voulzy,Voulzy Tour,0.920295476913,0.0797045379877,0.007090869825330000,0.0982821658254,0.017636058852100000,0.0129141220823,0.476671546698,0.138336628675,0.241477280855,0.00759132392704,0.0906381607056,0.299952626228,0.19537156820300000,0.292872786522,0.12116484344,0.994637012482,0.0053630117327000000,0.5443878769870000,0.455612123013,0.784924268723,117.89188385,spotify:track:2gtpEHtVop54vNw8pUYcox,6,11,15,17,19,0
