title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Som en duva,Björn Afzelius & Mikael Wiehe,Olympiska nätter,0.327628582716,0.672371387482,0.0625480785966,0.0351257175207,0.0118103260174,0.0358261205256,0.480420261621,0.126439675689,0.238070040941,0.00975979585201,0.118461184204,0.409837603569,0.172021687031,0.104323364794,0.195356145501,0.999999821186,2.03145575028E-07,0.0342515297234,0.965748488903,0.887605369091,109.93055725100000,Not Found,6,11,15,18,19,1
This Life,LeAnn Rimes,Whatever We Wanna,0.226362422109,0.773637592793,0.00263543357141,0.00848290417343,0.00240137195215,0.040951222181300000,0.786027371883,0.14391149580500000,0.0136922337115,0.00189798255451,0.17730252444700000,0.264791965485,0.217698678374,0.12842258811,0.211784243584,0.990906953812,0.00909305177629,0.311888366938,0.688111662865,0.886533141136,110.016540527,Not Found,6,11,15,18,19,1
Anna (Go To Him) (Mono),The Beatles,The Early Beatles,0.43685027957,0.563149690628,0.126412451267,0.00767118111253,0.010525530204200000,0.059717062860700000,0.553638219833,0.122053578496,0.115010917187,0.004971085116270000,0.0659122616053,0.580465495586,0.07108439505100000,0.251976549625,0.0305612944067,0.977438747883,0.0225612539798,0.0112044205889,0.98879557848,0.896844208241,110.123466492,Not Found,6,11,15,18,19,1
The snake song,Billy Gilman,One Voice,0.368654668331,0.631345331669,0.0317252092063,0.0118864197284,0.0222752988338,0.17134693265,0.453666865826,0.200535163283,0.0969519987702,0.0116121247411,0.160477295518,0.524915516376,0.07278967648740000,0.203098326921,0.0387191511691,0.8141154050830000,0.185884609818,0.0753956660628,0.924604356289,0.657261550426,110.33199310300000,spotify:track:2IuOeSAQyWRo9JthRas8f9,6,11,15,18,19,1
Wanita,Siti Nurhaliza ÜçµÙÅµ¹þÀöÉ¯,ÐÄÖÐµÄÀñÎï(Hadiah Daripada Hati),0.07658098638060000,0.923418998718,0.00512648234144,0.00953339599073,0.0006711159367110000,0.00355249200948,0.723798513412,0.15167170763,0.105318345129,0.00032793343416400000,0.142828419805,0.4087921977040000,0.127988815308,0.153390452266,0.167000129819,0.929640769958,0.0703592076898,0.059941124171,0.940058887005,0.86933195591,110.59362793,Not Found,6,11,15,18,19,1
Wildflower,Bee Gees,Mythology The 50th Anniversary Collection (Disc 3: Maurice),0.30114004015900000,0.6988599300380000,0.020028680563,0.014299889095100000,0.00413951603696,0.0281873065978,0.5015166401860000,0.128381937742,0.299814283848,0.00363176665269,0.111111730337,0.318677425385,0.268924772739,0.24698407948000000,0.0543019920588,0.99716180563,0.00283817457967,0.07338348776100000,0.926616489887,0.755937635899,110.66297912600000,spotify:track:64VDrhPKkALic0srXfxHIo,6,11,15,18,19,1
Walkin,Phosphorescent,The Partys Over,0.17574635148000000,0.8242536187170000,0.152217969298,0.015772998333,0.0101702790707,0.0376024805009,0.40064701438,0.17892442643600000,0.187431886792,0.0172329582274,0.127182409167,0.423463821411,0.270908683538,0.132747292519,0.0456978082657,0.976004779339,0.0239952113479,0.376617223024,0.623382806778,0.766869008541,110.86073303200000,spotify:track:4BEyTuzqyD4Yi41HCeaqS5,6,11,15,18,19,1
Walkin My Cat Named Dog,Norma Tanega,Walkin My Cat Named Dog,0.492456048727,0.507543981075,0.121757902205,0.0111713316292,0.0291918162256,0.121182925999,0.292712658644,0.205978423357,0.204356595874,0.0136483544484,0.111085735261,0.535906374454,0.0976032093167,0.23291580379,0.0224888771772,0.99999320507,6.80624134475E-06,0.109136193991,0.890863835812,0.8407458066940000,111.08381652800000,spotify:track:6S89ZitemdRnIshumKqpyt,6,11,15,18,19,1
Beyond the Sea,Celtic Woman,The Greatest Journey: Essential Collection,0.267309248447,0.732690751553,0.0106302853674,0.00124361074995,0.00373868900351,0.0217568036169,0.708269178867,0.249369904399,0.00125271012075,0.00373883754946,0.053717110306,0.428630113602,0.207750320435,0.224570959806,0.085331492126,0.8994138240810000,0.100586175919,0.00367742218077,0.996322572231,0.177875474095,111.21467590300000,spotify:track:7mjpTAOF23vrpTU5B1pqsT,6,11,15,18,19,1
06 Razon,Michael Popp / Estampie - M¨¹nchner Ensemble F¨¹r Fr¨¹he Musik,Signum,0.0504798255861,0.949520170689,0.044542431831400000,0.00407729949802,0.00356294075027,0.285284668207,0.428149610758,0.175012737513,0.0530554875731,0.006314839702100000,0.0845647603273,0.314676016569,0.127256706357,0.302975952625,0.17052656412100000,0.996029734612,0.00397028913721,0.026563083753,0.973436892033,0.913183271885,111.352516174,Not Found,6,11,15,18,19,1
My Name Is Nobody,Ennio Morricone,An Ennio Morricone Anthology (Disc1),0.365715414286,0.6342845559120000,0.004398308694360000,0.008090010844170000,0.00847186800092,0.0365523695946,0.5334979891780000,0.30669337511100000,0.100427404046,0.00186867208686,0.228810071945,0.418917059898,0.0791695266962,0.170828163624,0.102275177836,0.999989032745,1.09602651719E-05,0.08822565525770000,0.911774337292,0.914666414261,111.531051636,spotify:track:1COGf43kGcamWmxB7ZBAF5,6,11,15,18,19,1
High Road (Demo),Kate Voegele,Gravity Happens (Deluxe Editio,0.0753783285618,0.924621701241,0.17509213089900000,0.013680357486,0.018024623394,0.15259462595,0.332468390465,0.23318170011,0.0522046536207,0.022753521800000000,0.0719233304262,0.472050428391,0.13646659255000000,0.177356868982,0.142202779651,0.99999910593,9.20568538731E-07,0.184382408857,0.8156175613400000,0.858324766159,111.658760071,spotify:track:6TGzoSGue7sDQ7hnHtUh8m,6,11,15,18,19,1
Grazin In The Grass (Can You Dig It? Vocal),Boney James And Rick Braun,Grazin In The Grass,0.3663242757320000,0.633675694466,0.022991636768,0.010520635172700000,0.00663086259738,0.102116987109,0.557362735271,0.08424313366410000,0.213036313653,0.0030977150891,0.118113361299,0.454990893602,0.0795469656587,0.193169504404,0.154179275036,0.99708288908,0.0029170934576500000,0.402789592743,0.597210407257,0.852264523506,111.700553894,Not Found,6,11,15,18,19,1
X-Song,Aroah,No Podemos Ser Amigos,0.00705285044387,0.992947161198,0.0269038155675,0.005657684989270000,0.00382325937971,0.021525904536200000,0.565716087818,0.102210827172,0.268093794584,0.0060686534270600000,0.200813814998,0.290890812874,0.201854690909,0.108116291463,0.198324382305,0.798593103886,0.201406911016,0.058786239475,0.941213786602,0.950275063515,111.715774536,spotify:track:04qTz8WJsZsFfyEaM6SoNO,6,11,15,18,19,1
Lament,Audrey Assad,Heart,0.237987726927,0.7620122432710000,0.0113027598709,0.00179837842006,0.0165067892522,0.0295745283365,0.467818051577,0.461338996887,0.008484834805130000,0.00317568029277,0.0547269359231,0.630065083504,0.205685511231,0.0905647873878,0.0189577043056,0.706400215626,0.293599784374,0.043248023837800000,0.956752002239,0.557175040245,111.84876251200000,spotify:track:7zfcn7gBIRfmtZwY4WLlSF,6,11,15,18,19,1
Swallow It,Brandon Flowers,Flamingo,0.487420648336,0.512579381466,0.016237048432200000,0.0919044986367,0.026228543371,0.050402346998500000,0.54070276022,0.18976958096,0.0671846792102,0.017570545896900000,0.0997005105019,0.559174776077,0.0969703644514,0.195381715894,0.0487726479769,0.957075715065,0.042924292385600000,0.00866455491632,0.991335451603,0.8214675188060000,111.858123779,spotify:track:2xn0OVpBlWUC18ZSs6zN9H,6,11,15,18,19,1
In The Great Unknown,Mary Fahl,The Other Side of Time,0.051996618509300000,0.948003411293,0.0557703599334,0.006729684770110000,0.0100792823359,0.0928940400481,0.416275054216,0.3608168661590000,0.048676319420300000,0.00875839684159,0.124552875757,0.3664509058,0.237796843052,0.145161703229,0.126037687063,0.993175685406,0.0068242913112,0.383534342051,0.616465628147,0.517960071564,111.86395263700000,spotify:track:6eiCROl5LtpOyHCUZsp8EP,6,11,15,18,19,1
These Are the Days,Jason Collett,Idols of Exile,0.133204638958,0.8667953610420000,0.140663027763,0.0232763383538,0.0329243205488,0.0520263575017,0.350721657276,0.287841141224,0.0951449424028,0.0174021944404,0.0873374193907,0.5816271305080000,0.08507625758650000,0.203630700707,0.0423284955323,0.997425556183,0.00257441750728,0.14377607405200000,0.8562239408490000,0.857255756855,111.93296814,spotify:track:44g0kd30idU74ePM1sV9HO,6,11,15,18,19,1
A Jukebox With a Country Song,Doug Stone,I Thought It Was You,0.252401918173,0.747598111629,0.08891956508160000,0.007763408124450000,0.0221074298024,0.0290961414576,0.4067612290380000,0.09003150463100000,0.34845370054200000,0.006867005024110000,0.16045409441,0.507632017136,0.07654128968720000,0.171205669641,0.08416694402690000,0.999998688698,1.32431580369E-06,0.0118073550984,0.988192617893,0.790699839592,111.957672119,spotify:track:5N1reHjeScPW46VIZJP5TQ,6,11,15,18,19,1
Angry Young Man,Steve Earle,Angry Young Man,0.472770184278,0.527229845524,0.0644081532955,0.0535847507417,0.0309277661145,0.0485493429005,0.359804362059,0.2228666991,0.206486597657,0.0133723458275,0.102146342397,0.352036178112,0.167469397187,0.306889891624,0.071458183229,0.977086782455,0.0229132138193,0.0286137480289,0.971386253834,0.846655786037,112.407974243,spotify:track:5qUZuITzfx5gpta1uxXoz0,6,11,15,18,19,1
Pretty Boy Floyd (live),Byrds,There Is a Season (Disc 3),0.487770617008,0.5122293829920000,0.199904680252,0.0265101771802,0.0297781787813,0.112252704799,0.221577256918,0.187175422907,0.19188298285,0.0309185925871,0.131654188037,0.367933064699,0.207646653056,0.270253390074,0.0225126966834,0.991186916828,0.00881306454539,0.100846335292,0.899153649807,0.854189634323,112.48030090300000,spotify:track:4FTBjSXviLJZe7OLR9r3sy,6,11,15,18,19,1
Callin Baton Rouge (live),Garth Brooks,Double Live (Disc 1),0.389043360949,0.6109566092490000,0.06284524500370000,0.0193991269916,0.011194919236,0.0399890393019,0.516301810741,0.0757268071175,0.265319883823,0.009223154746,0.12678001821000000,0.5839396119120000,0.07067069411280000,0.181106999516,0.0375026576221,0.949654579163,0.0503454059362,0.0134153775871,0.986584603786,0.803078472614,112.670272827,Not Found,6,11,15,18,19,1
Jesse With the Long Hair....,"Robert Earl Keen, Jr.",A Bigger Piece of Sky,0.34305948019,0.65694051981,0.0960851982236,0.0122024081647,0.046907849609900000,0.0897418260574,0.397198230028,0.265925496817,0.0771900713444,0.0147488983348,0.0958792790771,0.572058856487,0.115471377969,0.157759398222,0.0588310845196,0.999998569489,1.44033685956E-06,0.0677356123924,0.932264387608,0.46287253499,112.755447388,Not Found,6,11,15,18,19,1
The Hits Hurt,The Pastels,Illumination,0.110033594072,0.8899664282800000,0.104703485966,0.0441122539341,0.0182660259306,0.0755300372839,0.31048980355300000,0.210135355592,0.187701120973,0.0490619018674,0.0947496145964,0.327911406755,0.228551179171,0.22658534348,0.122202470899,0.603154420853,0.39684560895,0.467680096626,0.5323199033740000,0.8212165832520000,112.951438904,spotify:track:5oC4R8OoQB8P3oMRC3wQzg,6,11,15,18,19,1
Saltwater Cowboy,Sammy Kershaw,Better Than I Used To Be,0.175738871098,0.8242611289020000,0.111894138157,0.011708347126800000,0.0250614881516,0.122505865991,0.36351570487,0.166636586189,0.182196944952,0.0164809245616,0.149057805538,0.5335513949390000,0.109977528453,0.147987365723,0.059425920248,0.999992609024,7.37149093766E-06,0.0685791447759,0.931420862675,0.642013370991,113.630439758,spotify:track:6GQ5jBz6kGExvH7xi29J14,6,11,15,18,19,1
